2Sam.0.0	¶ The seconde Boke of Samuel otherwyse called the seconde boke of the kynges.
2Sam.20.22	And then the woman went vnto all the people with her wisdome. And they smote of the heed of Seba the sonne of Bichri, and cast it out to Ioab. And he blewe a trompet, and they skatered from the cytie, euery man to his tent. And Ioab returned to Ierusalem, vnto the kynge.
2Sam.20.23	Ioab was ouer all the hoste of Israel. And Banaia the sonne of Iehoiada was ouer the Crethites Ꟶ Phelethites.
2Sam.20.24	And Aduram was ouer the tribute. And Iehosaphat the sonne of Ahilud was Recorder.
2Sam.20.25	Seua was scribe. And Sadock Ꟶ Abiathar were the preastes.
2Sam.20.26	And Ira the Iairite was Dauids preast.
2Sam.21.1	Then there fell an hongre in the dayes of Dauid, thre yeres together. And Dauid enquired of the Lorde. And the Lorde answered: it is for Saul, and the house of bloude, because he slue the Gibaonites.
2Sam.21.2	And the kynge called the Gibaonites, Ꟶ sayde vnto them (Nowe the Gibaonites were, not of the chyldren of Israel, but a remnaunt of the Ammorites, and the chyldren of Israel sware vnto them: And Saul sought to sley them, for a zele that he had to the children of Israel and of Iuda.)
2Sam.21.3	Wherfore Dauid sayde vnto them, what shall I do for you, and wherwith shall I make the attonement, that ye maye blesse the enheritaunce of the Lorde?
2Sam.21.4	The Gibaonites answered him: we wyll haue no syluer ner gold, of Saul ner of hys house: nether is it oure mynde, that thou shuldest kyll any man in Israel. He sayde: what saye ye then that I shall do for you?
2Sam.21.5	They answered the kinge: the man that consumed vs, Ꟶ ymagened to brynge vs to nought him will we destroye, that nought of him continewe in any of the coastes of Israel.
2Sam.21.6	Let seuen men of his sonnes be delyuered vnto vs, and we will hange them vp vnto the Lorde, in Gibeah of Saul, whom the Lorde dyd chose. And the kynge sayde: I will geue them you.
2Sam.21.7	But the kynge had compassyon on Miphiboseth the sonne of Ionathas, the sonne of Saul, because of the Lords othe that was betwene them: euen betwene Dauid and Ionathas the sonne of Saul.
2Sam.21.8	But he toke the two sonnes of Rizpa the daughter of Aia (whom she bare vnto Saul) euen Armoni and Miphiboseth, Ꟶ the fyue sonnes of Michol (the daughter of Saul) whom she bare to Adriel the sonne of Barselai the Meholathite.
2Sam.21.9	And he delyuered them vnto the handes of the Gibeonites, which hanged them in the hill before the Lorde. And they fell all seuen togeather, and were slayne in the dayes of heruest: euen in the fyrst dayes, and in the beginnynge of Barley heruest:
2Sam.21.10	And Rizpa the daughter of Aia toke sackclothe and hanged it vp for them vpon the Rocke, euen from the begynninge of haruest vntyll rayne dropped vpon them out of heuen: and suffered nether the byrddes of the Ayre to fall on them by daye, nor beastes of the felde by nyght.
2Sam.21.11	And it was tolde Dauid what Rizpa the daughter of Aia the concubyne of Saul had done:
2Sam.21.12	and Dauid went, Ꟶ toke the bones of Saul and of Ionathas his sonne, from the men of Iabes in Gilead (which had stolen them from the strete of Bethsan, where the Philistines had hanged them when the Philistines had slayne Saul in Gilboa.)
2Sam.21.13	And he brought thence the bones of Saul, and the bones of Ionathas his sonne, Ꟶ they toke vp the bones of them that were hanged.
2Sam.21.14	And the bones of Saul and Ionathas hys sonne buryed they in the contrey of Beniamin, in zela, in the sepulchre of Cis hys father. And when they had performed all that the kynge commaunded. God was then at one with the lande.
2Sam.21.15	It fortuned, that the Philistines had yet warre agayne with Israel. And Dauid went downe Ꟶ his seruauntes with hym, Ꟶ fought agaynst the Philistines. And Dauid waxed fayntie,
2Sam.21.16	and Iesby of Nob one of the sonnes of the gyauntes (the yron of whose speare wayed thre hundred sycles, and he beynge gyrded with a newe swerde) thought to haue slayne Dauid.
2Sam.21.17	But Abisai the sonne of zaruia succoured hym, and smote the Philistine, and killed him. Then the seruauntes of Dauid sware vnto him, sayinge: Thou shalt go no moare out with vs to battell, that thou quench not the lyght of Israel.
2Sam.21.18	And yet after this, there was a battell with the Philistines at Nob, and then Sibbechai the Husathite slewe Saph which was one of the sonnes of the giauntes.
2Sam.21.19	And there was yet another battell in Nob with the Philistines, where Elhanam the sonne of Iaere Orgim, a Bethlemite slue one Goliath a Gethite: the staffe of whose speare was as great as a weuers cloth beame.
2Sam.21.20	And there was yet another battell in Geth where was a man of a great stature, Ꟶ had on euery hand .vj. fyngers and on euery fote .vj. toes .xxiiij. in all. And was borne also of the kynred of the giauntes in Geth.
2Sam.21.21	And whan he defyed Israell, Ionathas the sonne of Simea the brother of Dauid slewe hym
2Sam.21.22	These foure giauntes were borne in Geth, Ꟶ fell into the hande of Dauid and into the handes of his seruauntes.
2Sam.22.1	And Dauid spake the wordes of thys songe vnto the Lorde, what tyme the Lorde had delyuered him out of the hande of all his enemyes, and out of the hande of Saul.
2Sam.22.2	And he sayde: the Lorde is my rocke, and my castel, and my delyuerer.
2Sam.22.3	God is my strength, in him will I trust: he is my shylde, and the horne of my saluacyon: my worshyp and my refuge: my sauiour, thou shalt saue me from wronge.
2Sam.22.4	I will call on the Lorde which is prayse worthy, and so shall I be saued from myne enemyes.
2Sam.22.5	For the corrupcyons of deeth closed me about: the floudes of Belial put me in feare.
2Sam.22.6	The sorowes of hell compassed me about: the snares of deeth ouertoke me.
2Sam.22.7	In my tribulacyon will I call vpon the Lorde, and crye to my God. And he shall heare my voyce out of his temple, and my crye shall enter into his eares.
2Sam.22.8	The erth trimbled and quaked: the foundacyons of heuen moued and shoke, whan he was angrye.
2Sam.22.9	Smoke went vp in his wrath, and consumynge fyre out of hys mouth, coles were kendled therof.
2Sam.22.10	And he bowed heuen, and came downe, and there was darcknesse vnder his fete.
2Sam.22.11	And he satt vpon Cherub Ꟶ dyd flye he was sene caryed vpon the wynges of the wynde.
2Sam.22.12	He made darcknesse a tabernacle rounde about hym, with waters geathered to geather in thycke cloudes.
2Sam.22.13	Thorowe the bryghtnesse of his presence were the fyre coles kyndled.
2Sam.22.14	God thundred from heuen, and he that is most hye, doth put out his voyce.
2Sam.22.15	He shotte arowes, and skatered them: he hurled lyghtenynge, and ouerthrewe them.
2Sam.22.16	The flowinges of the see appered, and the foundacyons of the worlde were sene, by the reason of the rebukinge of the Lorde, and thorowe the blastynge of the breeth of hys nostrelles.
2Sam.22.17	He shall sende from heauen, and fett me, he shall plucke me out of many waters.
2Sam.22.18	He shall delyuer me from my myghtye aduersarye, and fro myne enemyes, for they are to stronge for me.
2Sam.22.19	When they had ouertaken me in the daye of my calamytye the Lorde stayed me vp.
2Sam.22.20	For he brought me out into rowmth: he delyuered me, because he had a loue vnto me.
2Sam.22.21	The Lord will rewarde me accordinge to my ryghtwysnesse: accordynge to the purenesse of my handes will he recompense me.
2Sam.22.22	For I haue kept the wayes of the Lorde, Ꟶ done no wyckednesse agaynst my God.
2Sam.22.23	For all his lawes are in my syght, Ꟶ his statutes wyll not I put awaye fro me.
2Sam.22.24	In his syght also haue I bene vndefyled, Ꟶ haue kepte me fro myne awne iniquite.
2Sam.22.25	And the Lorde dyd to me agayne, accordynge to my ryghtwesnes, euen after my purenesse in his eyesyght.
2Sam.22.26	Wyth the godly thou shalt be godly, and wt the man that is vncorrupt, thou shalt be vncorrupt.
2Sam.22.27	With the pure thou shalt be pure, Ꟶ with the frowarde thou shalt be frowarde.
2Sam.22.28	And the pore people that are in aduersyte, thou shalt helpe. And on the proude shalt thou cast thine eyes.
2Sam.22.29	Thou art my light O Lorde: the Lorde shall lyght my darknesse.
2Sam.22.30	For with thy helpe I will runne thorowe an Hoste of men, and in my God wyll I sprynge ouer a walle
2Sam.22.31	God is vncorrupt in his waye: the worde of the Lorde is tryed in the fyre: he is the defender of all them that trust in him.
2Sam.22.32	For who is a God, saue the Lorde? Ꟶ who is myghtie, saue oure God?
2Sam.22.33	God strengtheth me with power, and ryddyth the waye in battell cleare before me.
2Sam.22.34	He maketh my fete lyke hartes fete, Ꟶ setteth me fast vpon my hye holde.
2Sam.22.35	He teacheth my handes to fyght, that euen a bowe of stele is to weake for myne armes.
2Sam.22.36	Thou hast geuen me the shild of thy saluacyon, and with thy louinge mekenesse thou dost multiplie me.
2Sam.22.37	Thou shalt make me space to walke in, and my legges shall not fayle me.
2Sam.22.38	I wyll folowe vpon myne enemyes and destroye them, and turne not agayne vntyll I haue consumed them.
2Sam.22.39	I will waste them and smyte them, that they shall not be able to aryse: yee, they shall fall vnder my fete.
2Sam.22.40	Thou hast gyrded me about with myght to battell, and them that roase agaynst me, hast thou subdued vnder me.
2Sam.22.41	And thou madest myne enemyes (Ꟶ them that hated me) to turne their backes to me, that I myght destroye them.
2Sam.22.42	They loke for helpe, but there is none to saue them: Yee, euen vnto the Lorde do they crye, but he heareth them not.
2Sam.22.43	I will beate them as smalle as the dust of the erth: I will stampe them as the dyrte of the strete, and will spreade them abroade.
2Sam.22.44	Thou shalt delyuer me from the dissencyon of my people: thou shalt kepe me to be an heed ouer nacyons: the people whych I knewe not, shall serue me.
2Sam.22.45	Straunge children dissemble with me. At the hearynge of the eare they obeye me.
2Sam.22.46	Straunge chyldren will shryncke awaye, and they shalbe smytten with feare in their preuye chamber.
2Sam.22.47	God is a lyue, and blessed be my maker: magnifyed be God, my most stronge saluacion.
2Sam.22.48	It is God that aduengeth me, and bryngeth downe the people vnder me.
2Sam.22.49	He delyuereth me fro myne enemyes, thou also shalt lyfte me vpon hye from them that ryse agaynst me, thou shalt delyuer me from the wicked men.
2Sam.22.50	And therfore I will prayse the (O Lorde) amonge the nacyons, and wyll synge vnto thy name.
2Sam.22.51	Whych sheweth greate saluacyon for his kynge, and dealeth mercyfully with his anoynted: euen wyth Dauid, and wyth his sede for euermore.
2Sam.23.1	These be the last sayinges of Dauid. Dauid the sonne of Isay sayde. And the man (which was made, the anoynted of the God of Iacob, and the noble Psalmist of Israel) sayde:
2Sam.23.2	the sprete of the Lorde spake by me, Ꟶ his worde was in my tonge.
2Sam.23.3	The God of Israel spake of me, euen the most myghtie of Israel, sayde: he that beareth rule ouer men, ought to rule iustlye in the feare of God.
2Sam.23.4	And as the mornynge lyght when the sonne is vp, a mornynge in whych are no cloudes to lett the bryghtnesse, and as the grasse of the erth is by the vertue of the rayne.
2Sam.23.5	Shall not my house be so wt God? For he hath made with me an euerlastinge couenaunt, perfecte and sure in all poyntes Ꟶ this is truly all my health Ꟶ all my desire that it growe but not as grasse.
2Sam.23.6	But the vngodly man of Belial shall be as a thorne cleane pluckt vp, which can not be taken wt handes:
2Sam.23.7	But the man that shall touche them, must haue yron, or a longe helue. Or els must they be burnt with fyre in the same place.
2Sam.23.8	These be the names of the myghtye men whom Dauid had: one that satt in the seat of wisdome, beinge chefest amonge thre, pleasaunt was he and stronge: he slue eyght hundred at one tyme.
2Sam.23.9	After him was Eleazar the sonne of Dodi the sonne of Ahohi, one of the thre worthies wt Dauid, which defyed the Phylistines that were there geathered together to battell: whan the men of Israel were gone vp.
2Sam.23.10	He arose Ꟶ layed on the Philistines, vntyll hys hande was werye, and claue vnto the swerde. And the Lorde gaue great victorye the same daye. And the people returned, and went after him to runne to the spoyle.
2Sam.23.11	After him was Samma the sonne of Age the Hararite: and the Philistines geathered together besyde a towne. (Where was a parcell of lande full of ryce) and the people fled from the Philistines.
2Sam.23.12	But he stode in the myddes of the grounde, and defended it, and slue the Philistines. And the the Lorde gaue great victorye.
2Sam.23.13	These thre (which were of the thirtye chefe captaynes) went downe to Dauid in the haruest tyme vnto the caue Adullam, Ꟶ the hoost of the Philistines abode in the valeye of Geauntes.
2Sam.23.14	And Dauid was then in an holde. And the Soudioures of the Philistines were in Bethlehem.
2Sam.23.15	And Dauid longed and sayde. Oh, that I had of the water that is in the well by the gate of Bethlehem, for to drincke.
2Sam.23.16	And the thre myghtie brake thorowe the Host of the Philistines, Ꟶ fett water out of the well of Bethlehem that was by the gate, and toke and brought it to Dauid: Neuerthelesse he wolde not dryncke therof, but offered it vnto the Lorde,
2Sam.23.17	and sayde: the Lorde forbyd that I shulde do so. Is not this the bloude of the men that wente in ieopardye of their lyues? and therfore he wolde not dryncke it. And these thinges dyd these thre myghtie men.
2Sam.23.18	Abisai the brother of Ioab, the sonne of Saruiah, was chefe amonge the thre, and he lyfte vp hys speare agaynst thre hundred, Ꟶ slue them, and had the name amonge the thre.
2Sam.23.19	For he was nobler man then the thre and was their captayne. Howbeit he attayned not vnto thre.
2Sam.23.20	And Banaiahu the sonne of Iehoiada (the sonne of a myghtie man) valyant in actes, of kabzeel, slue two stronge lyons, euen lyons of Moab. He went downe also, Ꟶ slue a lyon in a pyt in tyme of snowe.
2Sam.23.21	And he slue an Egypcyan, a goodly bygge man, which had a speare in his hande. But he went downe to him with a staffe, and plucked the speare out of the Egypcians hande, and slue him wt hys awne speare.
2Sam.23.22	These thynges did Banaiahu the sonne of Iehoiada, Ꟶ had the name amonge the thre worthies.
2Sam.23.23	He was honorable amonge thirtye, but he attayned not to the (first) thre. And Dauid made him of hys councell.
2Sam.23.24	Asahel the brother of Ioab also was one of the thirtye. Then Elhanan the sonne of Dodo of Bethlehem:
2Sam.23.25	Samma the haronite: Elica the Harodite:
2Sam.23.26	Helez the Paltite: Ira the sonne of Akes the Thekoite:
2Sam.23.27	Abiezer of Anathoth: Meobnai the Husathite:
2Sam.23.28	zelmon an Ahohite: Maharai the Netophatite:
2Sam.23.29	Heleb the sonne of Baanah an Netophatite: Ithai the sonne of Ribai out of an hill of the chyldren of Beniamin:
2Sam.23.30	Banaiahu the Phiratonite: Hedai, of the ryuer of Gaas:
2Sam.23.31	Abialbon the Arbathite: Asmaueth a Barhumite:
2Sam.23.32	Elihaba a Saalbonite: and the sonnes of Iasen, Ionathas.
2Sam.23.33	Samma the Hararite. Ahiam the sonne of Sarar an Hararite:
2Sam.23.34	Eliphelet the sonne of Aasbai the sonne of a Maachathite: Eliam the sonne of Aithophel the Gilonite:
2Sam.23.35	Hezrai the Carmelite: Paarai the Arbite:
2Sam.23.36	Igal the sonne of Nathan of zoba: Bani the Gadite:
2Sam.23.37	zelec an Amonite: Naharai a Berothyte, which was the harnesberer of Ioab the sonne of zaruia.
2Sam.23.38	Ira the Iethrite: Gareb the Iethrite
2Sam.23.39	Uria the Hethite, thirtye Ꟶ seuen in all.
2Sam.24.1	And agayne, the Lord was wroth agaynst Israel, and he moued Dauid agaynst them, in that he sayde: go and nombre Israel and Iuda.
2Sam.24.2	For the kynge sayde to Ioab the captayne of his host: go thou abroade nowe, thorow out all the trybes of Israel, euen from Dan to Beer Seba, Ꟶ nombre ye the people, that I maye knowe the nombre of them.
2Sam.24.3	And Ioab sayde vnto the kynge: I beseche the Lorde thy God, to make the people as many moo as they be: ye and an hundred tymes so many mo, and that the eyes of my Lorde the kynge maye se them. And what is the cause that my Lorde the kynge hath a lust to this thinge?
2Sam.24.4	Not witstandynge the kynges worde preuayled agaynst Ioab and agaynst the captaynes of the hoste: And Ioab and the captaynes of the host went out from the presence of the kynge, to nombre the people of Israel.
2Sam.24.5	And they passed ouer Iordan, and pitched in Aroer on the ryght syde of the cytie that lyeth in the myddes of the valeye of Gad, ouer agaynst Iazer.
2Sam.24.6	And then they came to Gilead, and to the nether lande, where was a newe habitacyon, Ꟶ from thence they came to Dan Iaan about to Sidon,
2Sam.24.7	Ꟶ came to the stronge holde of Tyre, and to all the cyties of the Heuites and of the Cananites, Ꟶ then went out to the South of Iuda, euen to Beerseba.
2Sam.24.8	And so, when they had bene abroade thorowe out all the lande, they returned to Ierusalem agayne, after the ende of nyne monethes and twentye dayes.
2Sam.24.9	And Ioab delyuered vp the nombre and summe of the people vnto the kynge. And there were in Israel eyghte hundred thousande men of myght that drewe swerdes. And the men of Iuda were fyue hundred thousande men.
2Sam.24.10	And Dauids hert smote hym, after that he had nombred the people. And Dauid sayde vnto the Lorde: I haue synned excedyngly in that I haue done. And nowe Lorde take awaye the trespace of thy seruaunt: for I haue done very folyshely.
2Sam.24.11	And when Dauid was vp in a morninge, the worde of the Lord came vnto the prophet Gad Dauids sear, sayinge:
2Sam.24.12	go and saye vnto Dauid, thus sayth the Lord: I offer the thre thynges, chose the which of them I shall do vnto the.
2Sam.24.13	So Gad came to Dauid, and shewed him, Ꟶ sayde vnto him. Wilt thou haue seuen yeres hunger to come in thy lande, or wilt thou flee .iij. monethes before thyne enemies, they folowinge the, or that there be thre dayes pestilence in thy lande? Nowe therfore aduyse the, Ꟶ se, what answere I shall geue to him that sent me.
2Sam.24.14	And Dauid sayde vnto Gad: I am in extreme trouble. We will fall now into the hande of the Lorde, for moch is his mercye, and lett me not falle into the hande of man.
2Sam.24.15	And so the Lorde sent a pestilence in Israel. from the mornynge vnto the tyme appoynted. And there dyed of the people from Dan to Beerseba seuenty thousande men.
2Sam.24.16	And when the Angell stretched out his hande vpon Ierusalem to destroye it, the Lorde had compassion to do that euell, and sayde to the Angell that destroyed the people: it is nowe sufficient: holde thyne hande. And the angell was by the thresshinge place of Arefna the Iebusite.
2Sam.24.17	And Dauid spake vnto the Lorde (when he sawe the angell that smote the people) and sayde: loo, it is I that haue synned, and I that haue done wyckedly. But these shepe, what haue they done? lett thyne hande (I praye the) be agaynst me and agaynst my fathers house.
2Sam.24.18	And Gad came the same daye to Dauid, and sayde vnto him: go vp and reare an aultare vnto the Lord in the thresshinge flowre of Arefna the Iebusite.
2Sam.24.19	And Dauid (accordinge to the sayinge of Gad) went vp, as the Lorde commaunded.
2Sam.24.20	And Arefna loked, and sawe the kynge and his seruauntes cominge towarde him. And Arefna went out, and bowed him selfe before the kynge flat on his face vpon the grounde,
2Sam.24.21	and Arefna sayde wherfore is my Lorde the kynge come to his seruaunt? Dauid answered: to bye the thresshynge flowre of the, and to make an aultare vnto the Lorde, that the plage maye cease from the people.
2Sam.24.22	And Arefna sayde vnto Dauid: let my Lord the kynge take and offer what semyth him good in his eyes: Beholde, here be oxen for burnt sacrifyce, and steades and the other instrumentes of the oxen for wood.
2Sam.24.23	All these thynges dyd Arefna geue vnto the kynge, Ꟶ sayde moreouer vnto the kynge: the Lorde thy God accept the.
2Sam.24.24	And the kynge sayde vnto Arefna: not so, but I wyll bye it of the at a pryce, and wyll not offer sacrifyce vnto the Lorde my God of that which doth cost me nothinge. And so Dauid bought the thresshynge flowre, Ꟶ the oxen for fyftie sycles of syluer.
2Sam.24.25	And Dauid buylt there an aultare vnto the Lorde, Ꟶ offered burnt sacrifyces and peace offeringes. And so the Lorde was intreated for the lande. And the plage ceased from Israel.
2Sam.0.0	¶ The ende of {the} second boke of Samuel: otherwyse called the seconde of the kynges.
