Num.0.0	¶ The fourth boke of Moses called in the Hebrue, Uaiedabber and in the Latyn Numeri.
Num.26.62	And after theyr nombres, they were foure and twentye thousande, all males from a moneth olde and aboue. For they were not nombred amonge the chyldren of Israel, because there was no enheritaunce geuen them amonge the children of Israel.
Num.26.63	These are the nombres, when Moses and Eleazar the preast nombred the children of Israel in the playne of Moab, fast by Iordan, ouer against Iericho.
Num.26.64	And among these there was not a man of them, whom Moses and Aaron nombred, when they tolde the chyldren of Israel in the wyldernesse of Sinai.
Num.26.65	For the Lorde sayde of them: they shall dye in the wildernes: and ther was not left a man of them, saue Caleb the sonne of Iephune, and Iosua the sonne of Nun.
Num.27.1	And the daughters of zelaphead the sonne of Heber the sonne of Gilead the sonne of Machir the sonne of Manasse, of the kinred of Manasse the sonne of Ioseph (whose names were Mahela, Noha, Hagla, Melcha and Thirza)
Num.27.2	came, and stode before Moses and Eleazar the prest, and before the lordes, and all the multitude by the dore of the tabernacle of witnes, saying:
Num.27.3	oure father dyed in the wyldernes: and was not in the companye of them that gathered them selues together against the Lorde in the congregacyon of Corah. But dyed in hys awne synne, and hadd no sonnes.
Num.27.4	Wherfore then is the name of our fathers taken awaye from amonge his kinred, because he hath no sonne? Geue vnto vs therfore a possession among the brethren of oure father.
Num.27.5	And Moses brought theyr cause before the Lorde.
Num.27.6	And the Lorde spake vnto Moses, sayinge:
Num.27.7	The daughters of zelaphead speake ryght: thou shalt geue them a possessyon to enheret amonge theyr fathers brethren, Ꟶ shalt turne the enheritaunce of their father vnto them.
Num.27.8	And thou shalt speake vnto the chyldren of Israel, sayinge: If a man dye and haue no sonne, ye shall turne his enheritaunce vnto hys daughter.
Num.27.9	If he haue no daughter, ye shall geue his enheritaunce vnto hys brethren.
Num.27.10	If he haue also no brethren, ye shall geue his enheritaunce vnto his fathers brethren.
Num.27.11	And yf his father haue no brethren, ye shall geue his enheritaunce vnto him that is next to him of his kinred, and he shall possesse it. And thys shalbe vnto the children of Israel a lawe of iudgement, as the Lorde hath commaunded Moses.
Num.27.12	And the Lorde sayde vnto Moses: get the vp into this mount Abarim, and behold the lande which I haue geuen vnto the children of Israel.
Num.27.13	And when thou hast sene it, thou shalt be gathered vnto thy people also, as Aaron thy brother was gathered.
Num.27.14	For ye were disobedyent vnto my mouthe in the deserte of Sin, in the stryfe of the congregacyon. Neyther dyd ye sanctifye me in the waters before their eyes. That is the water of stryfe in Cades in the wildernesse of Sin.
Num.27.15	And Moses spake vnto the Lorde sayinge:
Num.27.16	let the Lorde God of the spretes of all fleshe sett a man ouer the congregacyon,
Num.27.17	which maye go out and in before them, and leade them out and in: that the congregacyon of the Lorde be not as shepe which haue not a shepherde.
Num.27.18	And the Lorde sayde vnto Moses: take Iosua the sonne of Nun, in whom is the sprete, and putt thyne handes vpon hym,
Num.27.19	Ꟶ set hym before Eleazar the preast, and before all the congregacyon: and geue hym a charge in theyr syght.
Num.27.20	And put of thy prayse vpon him, that all the companye of the children of Israel maye be obedient.
Num.27.21	And he shall stande before Eleazar the preaste, which shall aske councell for hym after the iudgement of Urim before the Lorde. And according vnto his worde shall they go out and in, both he and all the chyldren of Israel wyth hym, and all the congregacyon.
Num.27.22	And Moses dyd as the Lorde commaunded him: and he toke Iosua, and set hym before Eleazar the preaste, and before all the congregacyon:
Num.27.23	and put hys handes vpon him, Ꟶ gaue him a charge, as the Lord commaunded thorowe the hande of Moses.
Num.28.1	And the Lord spake vnto Moses saying:
Num.28.2	Commaunde the children of Israel, and saye vnto them: My offring and my bred for my sacrifyces which are made for a swete sauoure, shall ye obserue in theyr due season.
Num.28.3	And thou shalt saye vnto them: This is the offering which ye shall offer vnto the Lord .ij. lambes of a yere olde without spot daye by daye, for a continuall burntoffering.
Num.28.4	One lambe shalt thou offer in the morning, and the other at euen.
Num.28.5	And therto the tenth part of an epha of floure for a meatofferyng myngled with beaten oyle conteyninge the fourth part of an hin.
Num.28.6	It is a dayly burntoffering, such as was ordeyned in the mounte Sinai for a swete sauoure a sacrifyce vnto the Lorde.
Num.28.7	And let the drinckofferyng of the same be the fourth part of an hin for one lambe, and in the holy place shalt thou commaunde the wyne to be powred vnto the Lorde.
Num.28.8	And the other lambe thou shalt offer at euen after the maner of the meatofferyng and the drinckoffering of the morning: a sacrifice shalt thou offre for a swete sauoure vnto the Lorde.
Num.28.9	And on the Sabboth daye two lambes of a yere olde a pece, and without spot, and two tenth deales of flour for a meatoffering myngled wt oyle, and the drinck offerynge therto.
Num.28.10	The burntoffering of the Sabboth must be done in the selfe Sabboth, besyde the dayly burntoffering and his drinckoffering.
Num.28.11	And in the beginnynge of youre monethes, ye shall offer a burntofferinge vnto the Lord: two yonge bullockes, and a ram, and vij, lambes of a yere olde without spot:
Num.28.12	and .iij. tenth deales of floure for a meatoffering myngled with oyle for one bullocke, and .ij. tenth deales of floure for a meatoffering mingled with oyle for one ram.
Num.28.13	And a tenth deale of floure myngled with oyle for a meateoffering vnto one lambe, for a burntoffring and a swete sauoure and sacrifice vnto the Lorde.
Num.28.14	And theyr drinckofferynges shalbe halfe an hin of wyne vnto one bullocke, and the third part of an hin of wyne vnto a ram, and the fourth part of an hin vnto a lambe. Thys is the burntofferynge of the moneth in hys moneth, thorowout the monethes of the yere:
Num.28.15	and one he goate for a synoffering vnto the Lord shalbe offred, after the dayly burntofferyng and hys drinckoffring.
Num.28.16	And the fourtenth daye of the fyrst moneth, is the passeouer of the Lorde.
Num.28.17	And in the fyftenth daye of the same moneth is the feast: and seuen dayes longe shall vnleuened bred be eaten.
Num.28.18	In the fyrst daye shalbe an holy conuocacyon, ye shall do no maner of seruile worke therin.
Num.28.19	But ye shall offer a sacrifyce for a burntofferynge vnto the Lorde .ij. yong bullockes, one ram, and seuen lambes of a yere olde, which are to you wtout spot,
Num.28.20	and let theyr meatoffering be of floure mingled with oyle: thre tenth deales also shall ye offre for a bullock, and two tenth deales for a ram:
Num.28.21	one tenth deale shalt thou offre for euery lambe of the seuen lambes:
Num.28.22	and a hegoate for synne to make atonement for you.
Num.28.23	Ye shall offer these, besyde the burntofferyng in the morning, which is a contynuall burntsacrifyce.
Num.28.24	After this maner ye shall offre thorowout the .vij. dayes: the fode of the sacrifyce for a swete sauoure vnto the Lord. And it shalbe done besyde the dayly burntoffering and his drinckofferyng.
Num.28.25	And in the seuenth daye ye shall haue an holy conuocacion, and ye shall do no seruyle worke.
Num.28.26	Therfore in the daye of your first frutes, when ye bryng a newe meatoffering vnto the Lorde (accordyng to your wekes) ye shall haue an holy conuocacion,
Num.28.27	Ꟶ ye shall do no seruile worke in it: but offer a burntofferynge for a swete sauoure vnto the Lorde two yonge bullockes, a ram, and .vij. lambes of a yere olde a pece,
Num.28.28	with their meate offerynges of floure myngled with oyle, thre tenth deales vnto a bullock, two tenth deales to a ram,
Num.28.29	and one tenth deale vnto a lambe thorowout the seuen lambes,
Num.28.30	and an hegoate to make an atonement for you.
Num.28.31	This ye shall do besydes the contynuall burntofferynge, and hys meatofferyng: Ꟶ they shalbe vnto you without spot, with their drynckofferynges.
Num.29.1	And in the fyrst daye of the .vij. moneth ye shall haue an holy conuocacion: ye shall do then no seruyle worke. For it is a daye of blowing vnto you.
Num.29.2	But ye shall offre a burntoffering for a swete sauoure vnto the Lord: one yong bullocke, one ram, and .vij. lambes of a yere olde a pece that are pure.
Num.29.3	And their meatoffering shalbe made of floure mingled with oyle .iij. tenth deales vnto the bullocke, and .ij. vnto the ram:
Num.29.4	and one tenth deale vnto one lambe thorowout the .vij. lambes.
Num.29.5	And an hegoate for synne to make an atonement for you,
Num.29.6	besyde the daylye burntoffering of the moneth Ꟶ his meatoffering, Ꟶ besyde the dayly burntofferyng Ꟶ his meatofferyng, and the drynckofferinges of the same, which must be done according vnto the maner of them for a sauoure of swetnes of the sacrifyce of the Lorde.
Num.29.7	And ye shall haue the tenth daye of that same seuenth moneth an holy conuocacyon: and ye shall humble youre soules, Ꟶ shall do no maner worke therin.
Num.29.8	But ye shall offre a burntofferynge vnto the Lorde for a swete sauoure: one bullocke, a ram, and .vij. lambes of a yere olde a pece, which shalbe vnto you, without faute.
Num.29.9	Theyr meatoffering shalbe of floure mingled with oyle .iij. tenth deales to a bullock, and .ij. to a ram.
Num.29.10	Ꟶ a tenth deale vnto a lambe, thorowout the .vij. lambes.
Num.29.11	An he goate for synne, besyde the synoffering of atonement and dayly burntoffring, and the meate and drinck offeringes that longe to the same.
Num.29.12	And in the fyftenth daye of the .vij. moneth ye shall haue an holy conuocacyon, and do then no seruyle worcke, and ye shall kepe a feast vnto the Lorde .vij. daies longe.
Num.29.13	And ye shall offer a burntoffering for a sacrifice of a swete sauoure vnto the Lord thirtene bullockes, two rams, and fourtene lambes of a yere olde: which shalbe without blemysh.
Num.29.14	And their meatofferynge shalbe of floure myngled wt oyle .iij. tenth deales vnto euery one of the .xiij. bullockes .ij. tenth deales to ether of the rams,
Num.29.15	and one tenth deale vnto eche of the .xiiij. lambes.
Num.29.16	And one hegoate for synne, besyde the dayly burntofferynge with his meate and drinkofferyng.
Num.29.17	And the second daye ye shall offre twelue yonge bullockes .ij. rams .xiiij. yerlyng lambes without spot:
Num.29.18	and let their meatoffering and drynckeofferynges vnto the bullockes, rams and lambes be according to the nombre of them and after the maner.
Num.29.19	And an hegoate for synne, besyde the dayly burntofferinge and his meate and drynckofferinges.
Num.29.20	And the thirde daye ye shall offre .xi. bullockes .ij. rams, and .xiiij. yerling lambes without spot:
Num.29.21	and let their meate and drinckofferinges vnto the bullockes, rams, and lambes be after the nombre of them and accordynge to the maner.
Num.29.22	And there shalbe offred an hegoate for synne, besyde the dayly burntoffering and his meate and drinckofferynge.
Num.29.23	In the fourth daye, ye shall offre ten bullockes, two rams, and fourtene lambes yerlynges and pure:
Num.29.24	let their meate and drinckofferinges vnto the bullockes, rams Ꟶ lambes be, according to the nombre of them and after the maner.
Num.29.25	And an hegoate for synne, besyde the dayly burntofferynge, and hys meate and drinckoffering.
Num.29.26	In the fyfth daye ye shall offre nyne bullockes, two rams and thirtene lambes of one yere olde a pece without spot.
Num.29.27	And let their meate and drinckofferinges vnto the bullockes, rams and lambes be according to the nombre of them, and after the maner.
Num.29.28	And an hegoate for synne, beside the dayly burntoffering and his meat and drinckofferynge.
Num.29.29	And in the syxth daye, ye shall offre eight bullockes, two rams and fourtene yerling lambes without spot.
Num.29.30	And let their meat and drinckofferinges vnto the bullockes, rams and lambes be accordynge to the maner.
Num.29.31	And an hegoate for synne, besyde the dayly burntoffering, and his meate and drinckofferynges.
Num.29.32	In the seuenth daye, ye shal offre seuen bullockes, two rams and thirten lambes that are yerlinges and pure.
Num.29.33	And let their meate and drynckeofferynges vnto the bullockes, rams and lambes be accordyng to their nombre, and after the maner.
Num.29.34	And an hegoate for synne, besyde the daylye burntofferynge, and hys meate and drinckofferinge.
Num.29.35	In the eight daye, ye shall haue a colleccyon of the feaste vnto you, and ye shall do no seruile worcke therin.
Num.29.36	But ye shall offre a burntofferinge, a sacrifyce for a swete sauoure vnto the Lord: one bullock, one ram and seuen yerelynge lambes without spot.
Num.29.37	Let theyr meat and drynck offerynges vnto the bullocke, ram and lambes be accordyng to the nombre, and accordyng to the maner.
Num.29.38	And an hegoate for synne, besyde the dayly burnt offerynge and hys meate and drynckofferynges.
Num.29.39	These thinges ye shall do vnto the Lorde in youre feastes: besyde youre vowes and frewylofferynges, in youre burnt offerynges, meateofferynges, drynckeofferynges, and peaceofferynges.
Num.29.40	And Moses tolde the chyldren of Israel all that the Lorde commaunded him.
Num.30.1	And Moses spake vnto the heades of the tribes of the children of Israel, saying: this is the thing which the Lorde hath commaunded.
Num.30.2	If a man vowe a vowe vnto the Lord, or swere an oth to bynde his soule: he shall not go back with his worde: but shall fulfyll all that is proceded out of his mouth.
Num.30.3	If a woman also vowe a vowe vnto the Lorde, and bynde her selfe beynge in her fathers house in the tyme of her youth,
Num.30.4	and her father heare her vowe and bonde which she hath made vpon her soule, and holde his peace therto: then all her vowes Ꟶ bondes which she hath made vpon her soule shall stande in effect.
Num.30.5	But and yf her father forbyd her the same daie that he heareth it, none of her vowes nor bondes which she hath made vpon her soule shalbe of value: and the Lorde shall forgeue her, because her father forbade her.
Num.30.6	If she had an husbande when she vowed or pronounced ought out of her lippes, wherwith she bonde her soule,
Num.30.7	and her husbande hearde it and helde his peace there at the same daye he heard it, then her vowes and her bondes wherwith she bounde her soule, shall stande in effecte.
Num.30.8	And yf her husbande forbade her the same daye that he hearde it: and made her vowe which she hath vpon her of none effecte, and released the openyng of her lyppes, wherwith she bounde her soule, the Lorde shall forgeue her.
Num.30.9	But euery vowe of a wedowe and of her that is deuorced (that they haue bounde their soule withall) shall stande in effect wt them.
Num.30.10	If she vowed in her husbandes house, or bounde her soule with an oth,
Num.30.11	and her husbande hearde it, and helde his peace, and forbad her not, then all her vowes and bondes wherwith she bounde her soule, shall stande.
Num.30.12	But yf her husbande disannulled them the same daye that he heard them, then nothing that proceadeth out of her lippes in vowes and bondes (wherwith she bounde her soule) shall stande in effecte: for her husbande hath lowsed them. And the Lorde shall forgeue her.
Num.30.13	All vowes and othes that binde to humble the soule, maye her husbande stablysh or breake.
Num.30.14	But yf her husbande holde his peace from one daye vnto another, then he stablisheth all her vowes and bondes which she had vpon her, because he helde his peace the same daye that he hearde them.
Num.30.15	But yf he breake them, after that he hath heard them, he shall beare her synne him selfe.
Num.30.16	These are the ordynaunces whiche the Lorde commaunded Moses, betwene a man and hys wyfe: and betwene the father and his daughter, beynge yet a damsell in her fathers house.
Num.31.1	And the Lorde spake vnto Moses, sayinge:
Num.31.2	auenge the chyldren of Israel of the Madianites, and afterwarde shalt thou be gathered vnto thy people.
Num.31.3	And Moses spake vnto the folke sayinge. Harnesse some of you vnto warre, and let them go vpon the Madianites, and auenge the Lorde of the Madianites.
Num.31.4	Lett there be chosen a thousande out of euery tribe of Israel, that out of all the tribes ye may send some to the warre.
Num.31.5	And there were taken out of the thousandes of Israel, twelue thousande prepared vnto warre, of euery trybe a thousande.
Num.31.6	And Moses sent them to the warre, euen a thousande of euery trybe, and with them, Phineas the sonne of Eleazar the preaste, and the holy vesselles: and the trompettes to blowe were in hys hande.
Num.31.7	And they warred agaynst the Madianites, as the Lorde commaunded Moses, Ꟶ slue all the males.
Num.31.8	And they slue the kinges of Madian amonge other that were sleyne: Namely Eui, and Rekem, zur and Hur and Reba: fyue kinges of Madian wt Balaam the sonne of Beor, whom they slue wt the sweard:
Num.31.9	And the chyldren of Israel toke all the wemen of Madian presoners, Ꟶ their chyldren: and spoiled all their catell, and all their flockes, and all their goodes.
Num.31.10	And they burnt al their cityes wherin they dwelt, and all their castels with fier.
Num.31.11	And they toke all the spoyle and all that they coulde catch both of men and beastes.
Num.31.12	And they brought the captiues and that which they had taken and the spoile vnto Moses and Eleazar the preaste, and vnto the company of the children of Israel, euen vnto the hoost that were in the feldes of Moab by Iordan, oueragaynst Iericho.
Num.31.13	And Moses and Eleazar the preast, and all the lordes of the congregacion went out of the hoost against them.
Num.31.14	And Moses was angrye with the officers of the hoost, with the captaynes ouer thousandes and ouer hundredes, which came from the warre and battayll:
Num.31.15	and Moses sayde vnto them: Haue ye saued all the wemen alyue?
Num.31.16	beholde, these caused the children of Israel thorow the councell of Balaam, to commyt trespace against the Lorde, in the busynes of Peor, Ꟶ there folowed a plage among the congregacion of the Lorde.
Num.31.17	Nowe therfore, sleye all the men children, and the wemen that haue lien with men fleshly.
Num.31.18	But all the wemen children that haue not lyen with men, kepe alyue for your selues.
Num.31.19	And ye shall remayne without the hoost seuen dayes, all that haue kylled any persone: Ꟶ all that haue touched any deed body, and purify both your selues and your presoners, the .iij. daye Ꟶ the .vij.
Num.31.20	And sprynkle all your raymentes and all that is made of skinnes, and al worke of goates heer, and all thinges made of wodd.
Num.31.21	And Eleazar the preaste sayde vnto the men of warre, which came from the battayll: this is the ordinaunce of the lawe which the Lorde commaunded Moses:
Num.31.22	Golde, syluer, brasse, and yron tyn and lead,
Num.31.23	and all that maye abyde the fier, ye shall make it go thorowe the fier, and it shalbe cleane. Neuerthelesse, it shalbe sprynked with sprynkling water. And all that suffreth not the fier ye shall make go thorowe the water.
Num.31.24	And washe youre clothes the seuenth daye, and ye shalbe cleane. And afterwarde come into the hooste.
Num.31.25	And the Lorde spake vnto Moses, saying:
Num.31.26	take the summe of the praye that was taken both of the wemen and of catell, thou Ꟶ Eleazar the preaste, and the auncient fathers of of the congregacyon.
Num.31.27	And deuyde it into two partes, betwene them that toke the warre vpon them, and went out to battayll: and all the congregacion.
Num.31.28	And take a porcyon vnto the Lorde of the men of warre, which went out to battayll: one soule of fyue hundred, both of the wemen and of the oxen, and of the asses, and of the shepe:
Num.31.29	and ye shall take it of theyr halfe, and geue it vnto Eeleazar the preast, as an heueoffering of the Lord.
Num.31.30	And of the halfe of the chyldren of Israel, thou shalt take one porcion of fyfty, of the wemen, of the oxen, of the asses and of the shepe, and of all maner of beastes: and geue them vnto the Leuites, which wayte vpon the habitacyon of the Lorde.
Num.31.31	And Moses and Eleazar the preaste dyd as the Lorde commaunded Moses.
Num.31.32	And the botye and the praye which the men of warre had caught, was syxe hundred thousande, and .lxxv. thousande shepe:
Num.31.33	and .lxxij. thousande oxen
Num.31.34	.lxj. thousande asses:
Num.31.35	and .xxxij. thousande soules of wemen, that had lyen by no man.
Num.31.36	And the halfe which was the parte of them that went out to warre, was thre hundred thousande and seuen and thirtye thousande and .v. hundred shepe.
Num.31.37	And the Lordes part of the shepe was syxe hundred and .lxxv.
Num.31.38	And the oxen were .xxxvi. thousande, of which the Lordes parte was .lxxii.
Num.31.39	And the asses were .xxx. thousande and fyue hundred, of which the Lordes parte was .lxi.
Num.31.40	And the soules of wemen were .xvi. thousande, of whyche the Lordes parte was .xxxij. soules.
Num.31.41	And Moses gaue that summe which was the Lordes heue offeryng, vnto Eleazar the preaste: as the Lorde commaunded Moses.
Num.31.42	And the other halfe of the chyldren of Israel whiche Moses separated from the men of warre,
Num.31.43	(that is to wete the halfe that perteyned vnto the congregacion) was .iij. hundred thousande, and .xxxvij. thousande Ꟶ fyue hundred shepe:
Num.31.44	and .xxxvi. thousande oxen:
Num.31.45	and .xxx. thousand asses, and fyue hundred:
Num.31.46	and .xvi. thousande soules of wemen.
Num.31.47	And Moses toke of his halfe that perteyned vnto the children of Israel, one porcyon of fyftye, both of the wemen and of the catell, and gaue them vnto the Leuites, which wayted vpon the habitacyon of the Lorde, as the Lorde commaunded Moses.
Num.31.48	And the offycers of thousandes of the hooste, the captaynes ouer the thousandes, and the captaynes ouer the hundredes came forth, and sayde vnto Moses:
Num.31.49	Thy seruauntes haue taken the summe of the men of warre, which are vnder oure auctoryte, and there lacketh not one man of vs.
Num.31.50	We haue therfore brought a present vnto the Lorde what euery man founde of iewels of golde, cheyns, bracellettes, rynges, earynges and spangels, to make an atonement for our soules before the Lorde.
Num.31.51	And Moses and Eleazar toke the golde of them, iewels of all maner fashions.
Num.31.52	And all the golde of the heueoffering that they heued vp to the Lorde, (of the captaynes ouer thousandes and hundredes) was .xvi. thousande .vij. hundred and fyftye sycles,
Num.31.53	for the men of warre had spoyled, euery man for him selfe.
Num.31.54	And Moses and Eleazar the prest toke the golde of the captaynes ouer the thousandes and of the captaynes ouer the hundredes, Ꟶ brought it into the tabernacle of witnes, for a memoriall of the children of Israel before the Lorde.
Num.32.1	The chyldren Ruben and the chyldren of Gad had an exceadynge greate multitude of catell. And when they sawe the lande of Iazer and the lande of Gilead that it was apte place for catell,
Num.32.2	the chyldren of Ruben and the chyldren of Gad came Ꟶ spake vnto Moses and Eleazar the preast and vnto the lordes of the congregacyon, saying:
Num.32.3	The lande of Ataroth and Dibon, Iazer and Nemrah, Hesbon and Elealeh, Sabam and Nebo and Beon:
Num.32.4	which contreye the Lorde smote before the congregacyon of Israel: is a lande mete for a catell, and we thy seruauntes haue catell:
Num.32.5	wherfore (sayde they) yf we haue founde grace in thy syght, let this land be geuen vnto thy seruauntes to possesse, and bryng vs not ouer Iordan.
Num.32.6	And Moses sayde vnto the children of Gad and of Ruben: shall youre brethren goo to warre, and ye shall syt here?
Num.32.7	Wherfore discorage ye the hert of the chyldren of Israel, that they shulde not goo ouer into the lande, which the Lorde hath geuen them?
Num.32.8	Thus dyd your fathers, when I sent them from Cades Barne to se the lande.
Num.32.9	For when they went vp euen vnto the riuer of Escol, and sawe the lande: they discoraged the hert of the children of Israel, that they shulde not go into the lande, which the Lorde hath geuen them.
Num.32.10	And the Lorde was wroth the same tyme and sware, saying:
Num.32.11	None of the men that came out of Egipte from twentye yere olde and aboue, shall se the lande which I sware vnto Abraham, Isaac and Iacob, because they haue not wholy folowed me:
Num.32.12	saue Caleb the sonne of Iephune the Kenesite, and Iosua the sonne of Nun: for they haue folowed the Lorde.
Num.32.13	And the Lorde was angry with Israel, and made them wandre in the wildernes fourty yere, vntyll all the generacyon that had done euell in the syght of the Lorde were consumed.
Num.32.14	And beholde, ye are rysen vp in your fathers steade, as an encrease of synfull men, to augmente the fearce wrath of the Lorde, to Israel warde.
Num.32.15	For yf ye turne awaye from after hym, he will yet agayne leaue the people in the wyldernesse, and ye shall destroye all thys folke.
Num.32.16	And they went nere him, and sayde: we will buylde shepefoldes here for oure shepe and for oure catell, and cityes for our children.
Num.32.17	But we our selues will goo ready armed before the chyldren of Israel, vntyll we haue brought them vnto their place. And our children shall dwell in the fenced cityes, because of the inhabiters of the lande.
Num.32.18	We wyll not returne vnto oure houses, vntyll the children of Israel haue enhereted, euery man his enheritaunce.
Num.32.19	Neyther will we enheret with them on yonder syde Iordan forwarde, because oure enheritaunce is fallen to vs on this syde Iordan eastwarde.
Num.32.20	And Moses sayde vnto them: yf ye will do this thinge, and goo harnessed before the Lorde to warre,
Num.32.21	and wyll go all of you in harnesse ouer Iordan before the Lorde, vntyll he haue cast out his enemies before him:
Num.32.22	and vntyll the lande be subdued before the Lorde, then ye shall returne and be without synne before the Lord and before Israel, and this lande shalbe youre possessyon before the Lorde.
Num.32.23	But and yf ye wyll not do so, beholde, ye haue synned agaynst the Lord: and be sure, youre synne wyll fynde you out.
Num.32.24	Nowe therfore, buylde cityes for youre chyldren, and foldes for your shepe, and do that ye haue spoken.
Num.32.25	The children of Gad and the children of Ruben spake vnto Moses, sayinge: thy seruauntes wyll do as my lorde commaundeth.
Num.32.26	Our chyldren, our wyues, oure shepe and our catell shall remayne here in the cityes of Gilead.
Num.32.27	But thy seruauntes wyll goo all harnessed for the warre, and vnto battayll before the Lorde, as my lorde sayth.
Num.32.28	And for theyr sakes, Moses commaunded Eleazar the preast, and Iosua the sonne of Nun, and the auncient fathers of the trybes of the chyldren of Israel:
Num.32.29	and Moses saide vnto them: If the children of Gad and the children of Ruben wyll go with you ouer Iordan, all prepared to fyght before the Lord, then when the lande is subdued before you, ye shall geue them the lande of Gilead to possesse:
Num.32.30	but and yf they wyll not go ouer with you in harnesse, they shall haue their possessions amonge you in the lande of Canaam.
Num.32.31	And the children of Gad and the chyldren of Ruben answered, sayinge: As the Lorde hath sayde vnto thy seruauntes, so wyll we do.
Num.32.32	We will go harnessed before the Lorde into the lande of Canaan, that the possession of oure enheritaunce maye be on thys syde Iordan.
Num.32.33	And Moses gaue vnto the chyldren of Gad and to the children of Ruben, and vnto halfe the trybe of Manasse the sonne of Ioseph, the kingdome of Sehon kynge of the Amorites, and the kingdome of Og king of Basan, the lande wt the cityes therof in the coastes and cityes of the countrey rounde about.
Num.32.34	And the children of Gad buylt Dibon Ꟶ Ataroth, Ꟶ Aroer, and Atroth,
Num.32.35	Sophan Iaeser, Ꟶ, Iegabea,
Num.32.36	Bethnimra, Ꟶ Betharan, fenced cities, Ꟶ they buylt foldes for the shepe.
Num.32.37	And the children of Ruben buylt Hesbon, Eleale, Kiriathaim,
Num.32.38	Nebo, Baal, Meon, Ꟶ turned their names, Ꟶ Sibama also: and gaue other names vnto the cityes which they builded.
Num.32.39	And the children of Machir the sonne of Manasse went to Gilead, and toke it, Ꟶ put out the Amorites that dwelt therin.
Num.32.40	And Moses gaue Gilead vnto Machir the sonne of Manasse, and he dwelt therin.
Num.32.41	And Iahir the sonne of Manasse went and toke the small townes therof, and called them Hauoth Iair.
Num.32.42	And Nobah went and toke kenath, and the townes longyng therto, Ꟶ called it Nobah after his awne name.
Num.33.1	These are the iourneies of the children of Israel, which went out of the lande of Egipt with their armyes vnder the hande of Moses and Aaron.
Num.33.2	And Moses wrote their goinge out by their iourneyes, accordyng to the commaundement of the Lord: euen these are the iourneyes of their goynge out.
Num.33.3	They departed from Rahemses the .xv. daye of the fyrst moneth, on the morowe after Passeouer: and the children of Israel went out with an hye hande in the syght of all the Egipcyans.
Num.33.4	For the Egipcyans buryed all their fyrst borne which the Lorde had smyten amonge them. And vpon theyr goddes also the Lorde dyd execucion.
Num.33.5	And the children of Israel remoued from Rahemses, and pitched in Socoth.
Num.33.6	And they departed from Socoth, and pitched theyr tentes in Ethan, which is in the edge of the wildernesse.
Num.33.7	And they remoued from Ethan, and turned againe vnto Pi Hiroth which is before Baal zephon: and pitched before Migdol.
Num.33.8	And they departed from the playne of Hiroth: and went thorowe the myddes of the see in the wildernes, and went .iij. dayes iorney in the wildernes of Ethan, and pitched in Marah.
Num.33.9	And they remoued from Marah, and came vnto Elim, where were twelue fountaynes of water, and .lxx. paulmetrees, and they pitched there.
Num.33.10	And they remoued from Elim, and laye fast by the red see.
Num.33.11	And they remoued from the red see, and laye in the wildernes of Sin.
Num.33.12	And they toke their iorneye out of the wyldernesse of Sin, and set vp theyr tentes in Daphka.
Num.33.13	And they departed from Daphka, and laye in Alus.
Num.33.14	And they remoued from Alus, and laye at Raphedim, where was no water for the people to drynke.
Num.33.15	And they departed from Raphedim, and pitched in the wildernes of Sinai.
Num.33.16	And they remoued from the desert of Sinai, and pitched at the graues of lust.
Num.33.17	And they departed from the sepulchres of lust, and laye at Hazeroth.
Num.33.18	And they departed from Hazeroth, and pitched in Rithma.
Num.33.19	And departed from Rithma, and pitched at Rimon Parez.
Num.33.20	And they departed from Rimon parez, and pitched in Libna.
Num.33.21	And they remoued from Libna, and pitched at Risa.
Num.33.22	And they iourneied from Risa, and pitched in Rehelatha.
Num.33.23	And they went from Rehelatha, and pitched in mount Sapher.
Num.33.24	And they remoued from mount Sapher, and laye in Harada.
Num.33.25	And they remoued from Harada, and pitched in Makeheloth.
Num.33.26	And they remoued from Makeheloth, and laye at Tahath.
Num.33.27	And they departed from Tahath, and pitched at Tharath.
Num.33.28	And they remoued from Tharath, Ꟶ pitched in Mithca.
Num.33.29	And they went from Mithca, and pitched in Hasmona.
Num.33.30	And they departed from Hasmona, and laye at Moseroth.
Num.33.31	And they departed from Moseroth, and pitched in Bane Iakan.
Num.33.32	And they remoued from Bane Iakan, and laye at Horgadgad.
Num.33.33	And they went from Horgadgad, and pitched in Iathbatha.
Num.33.34	And they remoued from Iathbatha, and laye at Abrona.
Num.33.35	And they departed from Abrona, and laye at Ezeon gaber.
Num.33.36	And they remoued from Ezeon gaber, and pitched in the wyldernesse of Sin, whych is Cades.
Num.33.37	And they remoued from Cades, and pitched in mounte Hor, whiche is in the edge of the lande of Edom.
Num.33.38	And Aaron the preast went vp into mount Hor at the commaundement of the Lorde, and dyed there, euen in the fourtyth yere, after the chyldren of Israel were come out of the lande of Egypte, and in the fyrst daye of the fyfth moneth.
Num.33.39	And Aaron was an hundred and .xxiij. yere olde when he died in mount Hor.
Num.33.40	And king Erad the Canaanite, which dwelte in the south of the lande of Canaan, hearde of the comming of the chyldren of Israel.
Num.33.41	And they departed from mounte Hor, and pitched in zalmona.
Num.33.42	And they departed from zalmona, and pitched in Phunun.
Num.33.43	And they departed from Phunun, and pitched in Oboth.
