Lev.0.0	¶ The thyrde boke of Moses called in the Hebrue Uariah: and in the Latyn. Leuiticus
Lev.21.10	He that is the hye Preaste amonge hys brethren, vpon whose heed the anoyntynge oyle was powred, and that consecrated hys hande to put on the vestimentes, shall not vncouer his heade, nor rent his clothes
Lev.21.11	nether goo to any deed body, nor make hym selfe vncleane on hys father or hys mother,
Lev.21.12	nether shall go out of the sanctuarye, ner polute the holy place of hys God, for the croune of the anoyntynge oyle of hys God, is vpon him. I am the Lord.
Lev.21.13	He shall take a mayde vnto hys wyfe:
Lev.21.14	but a wedowe, a deuorsed woman, or an harlot, shall he not mary: But shall take a mayde of hys awne people to wyfe.
Lev.21.15	Neyther shall he defyle hys seed amonge hys people: for I am the Lord which sanctifye him.
Lev.21.16	And the Lorde spake vnto Moses, sayinge:
Lev.21.17	speke vnto Aaron, and saye: Whosoeuer of thy seed in their generacions hath any deformyte, let hym not preace for to offer bread vnto his God
Lev.21.18	for whosoeuer hath any blemyshe, shall not come nere: as yf he be blynde or lame, or that hath a brused nose, or that hath any mysshapen membre,
Lev.21.19	or is broken foted, or broken handed,
Lev.21.20	or haue no heere on his eye browes, or haue a webbe or other blemishe in his eye, or be mawnge, or skaulde, or hath hys stones broken.
Lev.21.21	No man that hath a blemyshe, and is of the seed of Aaron the preaste, shall come nye to offer the sacrifyces of the Lorde. Whan he hath a deformyte, let him not preace to offer the bread of hys God.
Lev.21.22	Let him eate the bread of hys God: euen of the most holy and of the holy:
Lev.21.23	Onely let him not goo in vnto the vayle, nor come nye the alter, when he is deformed, that he polute not my sanctuary, for I am the Lorde that sanctifye them.
Lev.21.24	And Moses tolde it vnto Aaron and to hys sonnes, and vnto all the chyldren of Israel.
Lev.22.1	And the Lorde spake vnto Moses, sayinge:
Lev.22.2	Speake vnto Aaron and hys sonnes, that they be separated from the holy thynges of the chyldren of Israel, and that they polute not my holy name in those thynges whych they halowe vnto me: I am the Lorde.
Lev.22.3	Saye vnto them: whosoeuer he be of all youre seed amonge youre generacyons after you, that goeth vnto the holy thynges whych the chyldren of Israel halowe vnto the Lorde, hauynge hys vnclennes vpon hym: that soule shall peryshe from out of my syght. I am the Lorde.
Lev.22.4	What man soeuer of the seed of Aaron is a leper or hath a runnynge yssue, he shall not eate of the holy thynges vntyll he be cleane. And whoso toucheth any man that is vncleane ouer the soule of the deed, or a man whose seed runneth from him in hys slepe,
Lev.22.5	or whosoeuer toucheth any worme, wherby he maye be made vncleane, or a man, of whom he maye take vnclenness
Lev.22.6	(whatsoeuer vnclennesse he hath) the same soule that hath touched any soche, shalbe vncleane vntyll euen, and shall not eate of the holy thinges, vntyll he haue wasshed his flesshe with water.
Lev.22.7	And when the sonne is doune, he shalbe cleane, Ꟶ shall afterwarde eate of the holy thinges: for asmoche as it is hys fode.
Lev.22.8	Of a beast that dieth alone, or is rent wyth wylde beastes (wherby he maye be defyled) he shall not eate: I am the Lorde.
Lev.22.9	Let them kepe therfore myne ordynaunce, lest they for the same lade synne vpon them, and dye for it, yf they defyle it. I the Lorde sanctifye them.
Lev.22.10	There shall no straunger eate of the holy thynge, nether a gest of the preastes, neyther shall an hyred seruaunte eate of the holy thinge.
Lev.22.11	But yf the Preaste bye any soule wyth money, he shall eate of it, lyke as he that is borne in hys house, shall they eate of hys bread.
Lev.22.12	If the Preastes daughter also be maryed vnto a straunger, she maye not eate of the halowed heue offrynges.
Lev.22.13	Notwythstandynge yf the Preastes daughter be a wedowe or deuorsed Ꟶ haue no chylde, but is returned vnto her fathers house agayne, she shall eate of her fathers bread, as well as she dyd in her youth. But there shall no straunger eate therof.
Lev.22.14	If a man eate of the holy thynge vnwittingly, he shall put the fyfthe parte ther vnto, and geue it vnto the Preaste wyth the halowed thynge.
Lev.22.15	And the Preastes shall not defyle the holy thynges of the chyldren of Israel (which they offer vnto the Lord)
Lev.22.16	to lade them selues wt mysdoynge Ꟶ trespace whyle they eate their holy thynges, for I the Lorde do halowe them.
Lev.22.17	And the Lorde spake vnto Moses sayinge:
Lev.22.18	speake vnto Aaron and hys sonnes and vnto all the chyldren of Israel, and saye vnto them: whatsoeuer he be of the house of Israel or straunger in Israel, that will offer hys sacrifyce for all his vowes, and for all hys frewyllofferinges which they will offer vnto the Lord for a burntofferynge,
Lev.22.19	ye shall offre (to reconcyle youre selues) a male without blemyshe of the oxen, of the shepe, or of the goates.
Lev.22.20	But whatsoeuer hath a blemyshe, that shall ye not offre, for ye shall gett no fauoure therwith.
Lev.22.21	And whosoeuer bringeth a peace offringe vnto the Lorde (accordynge as he is apoynted) or a vowe, or a frewyll offeringe, in oxe or shepe, that is without deformyte, he shall be accepted.
Lev.22.22	There shalbe also no blemyshe therin: blinde, or broken, or wounded, or haue a wen, or be mawnge, or scabbed. Ye shall not offre soche vnto the Lorde, nor put an offerynge of any soche vpon the alter vnto the Lorde.
Lev.22.23	An oxe or a shepe that hath any membre out of proporcion, mayst thou offer for a frewillofferynge: but for a vowe it shall not be accepted.
Lev.22.24	Ye shall not offer vnto the Lorde that which is broosed, or broken, or plucked out, or cut awaye, nether shall ye make any soch in youre lande,
Lev.22.25	nether of a straungers hande shall ye offer bread vnto youre God of any soche. Because their corrupcyon is in them, and they haue deformite in them selues, and therfore shall they not be accepted for you.
Lev.22.26	And the Lorde spake vnto Moses sayinge:
Lev.22.27	when an oxe, or a shepe, or a goate is brought forth, it shalbe seuen dayes vnder the damme. And from the .viij. daye forth, it shalbe accepted, for a sacrifice vnto the Lorde.
Lev.22.28	And whether it be oxe or shepe, ye shall not kill it and her yonge both in one daye.
Lev.22.29	When ye wyll offre a thank offerynge vnto the Lorde, offre it that ye maye be accepted.
Lev.22.30	And the same daye it must be eaten vp, so that ye leaue none of it vntyll the morowe. I am the Lorde.
Lev.22.31	Therfore shall ye kepe my commaundementes and do them, I am the Lorde.
Lev.22.32	Neyther shall ye polute my holy name, but I will be halowed amonge the chyldren of Israel. I am the Lord which halowe you,
Lev.22.33	and that brought you out of the lande of Egypte, to be youre God: I am the Lorde.
Lev.23.1	And the Lord spake vnto Moses, sayinge:
Lev.23.2	speake vnto the chyldren of Israel, Ꟶ saye vnto them: These are my feastes, euen the feastes of the Lorde, whych ye shall call holy conuocacyons.
Lev.23.3	Syxe dayes ye shall worke, but the seuenth daye is the Sabboth of reast, an holy conuocacyon: so that ye doo no worke therin, it is the Sabboth of the Lorde, in all youre dwellynges.
Lev.23.4	These are the feastes of the Lorde, euen holy conuocacyons, whyche ye shall proclayme in their ceasons.
Lev.23.5	In the .xiiij. daye of the fyrst moneth at euen is the Lordes Passeouer.
Lev.23.6	And in the fyfteneth daye of the same moneth is the feast of swete bread vnto the Lorde: seuen dayes ye must eate vnleuended bread.
Lev.23.7	In the fyrst daye ye shall haue an holy conuocacyon: ye shall do no laborious worke therin.
Lev.23.8	But ye shall offer sacrifyces vnto the Lorde thorow out those seuen dayes, and in the seuenth daye is an holy conuocacyon: ye shall do no laborious worke therin.
Lev.23.9	And the Lorde spake vnto Moses sayenge:
Lev.23.10	speake vnto the chyldren of Israel Ꟶ saye vnto them when ye be come into the lande (whyche I geue vnto you) Ꟶ repe doune the haruest therof, ye shall brynge a shefe of the fyrst frutes of youre haruest vnto the preast,
Lev.23.11	whych shall waue the shefe before the Lorde to be accepted for you: Ꟶ euen the morowe after the Sabboth the Preaste shall waue it.
Lev.23.12	And ye shall offer that daye when ye waue the shefe, an he lambe wythout blemish of a yeare olde, for a burntoffrynge vnto the Lorde:
Lev.23.13	and the meatofferynge therof, shalbe made of two tenth deales of fyne floure mengled with oyle, to be a sacrifyce vnto the Lorde for a swete sauoure: and the drynkoffring therof shalbe of wyne, euen the fourth deale of an Hyn.
Lev.23.14	And ye shall eate nether bread, nor parched corne, nor furmentye, nor newe corne, vntyll the selfe same daye that ye haue brought an offrynge vnto youre God. Let thys be a lawe for euer in youre generacions and in all youre dwellynges.
Lev.23.15	And ye shall counte from the morowe after the Saboth: euen from the daye that ye brought the shefe of the waueoffrynge .vij. Sabbathes complete:
Lev.23.16	euen vnto the morowe after the seuenth Sabbath shall ye nombre fyftye dayes. And ye shall brynge a new meatoffrynge vnto the Lorde.
Lev.23.17	And ye shall brynge out of youre habitacions two waue loues made of two tenth deales of fyne floure and that are made wyth leuen for fyrst frutes vnto the Lord.
Lev.23.18	And ye shall brynge with the breed seuen lambes wythout deformite of one yeare of age, and one yonge oxe Ꟶ two rammes, whych shall serue for a burntoffrynge vnto the Lorde, wyth meatoffringes and theyr drynkoffrynges, to be a sacrifyce for a swete sauoure vnto the Lorde.
Lev.23.19	Then ye shall offer an he goate for a synne offrynge: and two lambes of one yeare olde for a peace offrynge.
Lev.23.20	And the preast shall waue them wyth the breed of the fyrst frutes before the Lorde, and wyth the two lambes. And these holy thynges of the Lorde, shalbe the preastes.
Lev.23.21	And ye shall proclayme the same daye, that it maye be an holy conuocacyon vnto you: ye shall do no laborious worke therin: let it be a lawe for euer in all your dwellynges, and in all youre generacyons.
Lev.23.22	And when ye reepe doune your haruest, thou shalt not make cleane ryddaunce of thy felde, nether shalt thou make any aftergatherynge of thy haruest: but shalt leaue it vnto the poore and the straunger. I am the Lorde youre God.
Lev.23.23	And the Lorde spake vnto Moses sayinge:
Lev.23.24	speake vnto the chyldren of Israel, and saye: In the seuenth moneth, in the fyrst daye of the moneth shall ye haue rest, euen the remembraunce of blowynge, an holy conuocacyon:
Lev.23.25	ye shall do no laborious worke therin, but offer sacrifyce vnto the Lorde.
Lev.23.26	And the Lorde spake vnto Moses, sayinge:
Lev.23.27	the tenth daye also of the selfe seuenth moneth, is a daye of reconcilynge, therfore shall it be an holy conuocacion vnto you, and ye shall humble your soules, and offer sacrifyce vnto the Lorde.
Lev.23.28	Ye shall do no worke the same daye, for it is a daye of reconcylynge, to make an atonement for you before the Lorde your God.
Lev.23.29	For whatsoeuer soule it be that humbleth not hym selfe that daye, he shalbe destroyed from amonge hys people.
Lev.23.30	And whatsoeuer soule do any maner worke that daye, the same soule will I destroye from amonge his people.
Lev.23.31	Ye shall do no maner worke therfore: Let it be a lawe for euer in youre generacyons and in all your dwellynges.
Lev.23.32	Let it be vnto you a Sabboth of reste, and ye shall humble your soules in the nynth daye of the moneth at euen: from euen to euen shall ye rest in your Sabboth.
Lev.23.33	And the Lord spake vnto Moses sayeng:
Lev.23.34	speake vnto the chyldren of Israel, and saye: the fyftenth daye of the same seuenth moneth is the feast of tabernacles, seuen dayes vnto the Lord.
Lev.23.35	The fyrst daye is an holy conuocacyon: ye shall do no laboryous worke.
Lev.23.36	Seuen dayes ye shall offer sacryfyce vnto the Lord, and in the eyght daye shalbe an holy conuocacyon vnto you, and ye shall offer sacryfyces vnto the Lorde. It is the colleccyon, and ye shall do no laborious worke therin.
Lev.23.37	These are the feastes of the Lord, whiche ye shall call holy conuocacyons, for to offer sacrifyce vnto the Lord, burntoffrynge, meatoffrynge, peaceoffrynge, and drynkeoffrynges, euery daye hys due sacrifyc
Lev.23.38	besyde the Sabbothes of the Lorde, Ꟶ besyde youre gyftes, besyde all your vowes, and all your frewylloffrynges, whyche ye geue vnto the Lorde.
Lev.23.39	Moreouer in the fyftenth daye of the seuenth moneth whan ye haue gathered in the frute of the lande, ye shall kepe holy daye vnto the Lorde seuen dayes. The fyrst daye shall be as a Sabboth: lykewise in the eyght daye shalbe the rest of the Sabboth.
Lev.23.40	And ye shall take you in the fyrst daye, the frutes of goodly trees, braunches of palme trees, and the bowes of thycke trees, and wyllowes of the brooke, and shall reioyse before the Lord your God seuen dayes.
Lev.23.41	And ye shall kepe this feast vnto the Lorde seuen dayes in the yeare. It shalbe a lawe for euer in youre generacyons, that ye kepe it in the seuenth moneth.
Lev.23.42	Ye shall dwell in boothes seuen dayes: euen all that are Israelites borne, shall dwell in boothes,
Lev.23.43	that youre chyldren after you maye knowe, howe that I made the chyldren of Israel to dwell in boothes, when I brought them out of the lande of Egypt: I am the Lord youre God.
Lev.23.44	And Moses spake vnto the chyldren of Israel concernynge the feastes of the Lorde.
Lev.24.1	And the lord spake vnto Moses sayinge:
Lev.24.2	commaunde the chyldren of Israel that they brynge vnto the, pure oyle olyue beaten for lyghtes, to cause the lampes to burne allwaye:
Lev.24.3	wythout the vayle of wytnesse in the tabernacle of wytnesse shall Aaron dresse them both euen and mornynge before the Lorde allwayes. Let it be a lawe for euer in youre generacyons.
Lev.24.4	He shall dresse the lampes vpon the pure candelstycke before the Lorde perpetually.
Lev.24.5	And thou shalt take fyne floure, and bake twelue wastels therof, two tenthdeales shalbe in one wastell.
Lev.24.6	And thou shalt set them in two rowes, syxe on a rowe vpon the pure table before the Lorde,
Lev.24.7	and put pure frankencens vpon the rowes, that they maye be bread of remembraunce, and an offrynge to the Lorde.
Lev.24.8	Euery Sabboth he shall put them in rowes before the Lorde euermoare: of the chyldren of Israel shall they be offred for an euerlastynge couenaunte.
Lev.24.9	And they shall be Aarons and hys sonnes, whych shall eate them in the holy place. For they are most holy vnto hym of the offerynges of the Lorde by a perpetuall statute.
Lev.24.10	And the sonne of an Israelitish wife whose father was an Egypcian, went out amonge the chyldren of Israel. And thys sonne of the Israelitish wyfe Ꟶ a man of Israel, stroue together in the hoste.
Lev.24.11	And the Israelitish womans sonne blasphemed the name of the Lorde, and cursed, and they broughte hym vnto Moses. Hys mothers name was Salomyth, whych was the daughter of Dibry, of the trybe of Dan:
Lev.24.12	and they put hym in warde, that the mynde of the Lorde myght be shewed them.
Lev.24.13	And the Lord spake vnto Moses sayinge:
Lev.24.14	brynge the cursed speaker wythout the hoste, and lett all that hearde hym, put theyr handes vpon hys heed, and let all the multitude stone hym.
Lev.24.15	And thou shalt speake vnto the chyldren of Israel sayinge: Whosoeuer curseth hys God, shall bere his synne:
Lev.24.16	And he that blasphemeth the name of the Lorde, let hym be slayne, and all the multitude shall stone hym to deeth. Whether he be borne in the londe or a straunger, whan he blasphemeth the name of the Lorde, let hym be slayne.
Lev.24.17	And he that kylleth any man, let hym dye the death.
Lev.24.18	And he that kylleth a beast, let hym make hym good, soule for soule.
Lev.24.19	And yf a man mayme hys neyghboure, as he hath done, so shall it be done to hym:
Lev.24.20	broke for broke eye for eye, and toth for toth: euen as he hath maymed a man, so shall he be maymed agayne.
Lev.24.21	And he that kylleth a beast, let him paye for it: and he that kylleth a man, let hym dye.
Lev.24.22	Ye shall haue one maner of lawe: euen for the straunger as well as for one of youre selues, for I am the Lorde youre God.
Lev.24.23	And Moses tolde the chyldren of Israel, and they brought hym (that had cursed) out of the hoste, and stoned hym wyth stones. And the chyldren of Israel dyd as the Lord commaunded Moses.
Lev.25.1	And the Lorde spake vnto Moses in mount Sinai sayinge:
Lev.25.2	speake vnto the chyldren of Israel, and saye vnto them: when ye be come into the lande whych I geue you, the lande shall rest, Ꟶ kepe Sabboth vnto the Lorde.
Lev.25.3	Syxe yeares thou shalt sowe thy felde, and syxe yeare thou shalt cut thy vinyarde, and gether in the frute therof.
Lev.25.4	But the seuenth yeare shall be a Sabboth of rest vnto the lande. The Lordes Sabboth it shalbe: thou shalt nether sowe thy felde, nor cut thy vyneyarde.
Lev.25.5	That which groweth of the owne accorde thou shalt not reape, nether gather the grapes that thou hast left behynde, for it is a yeare of rest vnto the lande.
Lev.25.6	And the rest of the lande shalbe meat for you: euen for the, for thy seruaunte, and for thy mayde, for thy hyred seruaunte, and for the straunger that sogeourneth wyth the:
Lev.25.7	and for thy catell, and for the beastes that are in thy lande, shall all the encrease therof be meat.
Lev.25.8	And thou shalt nombre seuen Sabbathes of yeares vnto the, euen seuen tymes seuen yeare: and the space of the seuen Sabbathes of yeares will be vnto the .xlix. yeare.
Lev.25.9	And then thou shalt make a trompe blowe: in the tenth daye of the seuenth moneth, euen in the daye of attonement shall ye make the trompe blowe, thorowe out all youre lande.
Lev.25.10	And thou shalt halowe that yeare: euen the fyftyth yeare, Ꟶ proclayme lybertye thorowe out the lande vnto all the inhabiters therof, for it shalbe a yeare of iubelye vnto you, and ye shall retourne: euery man vnto hys possessyon, and euery man vnto hys kynred agayne.
Lev.25.11	A yeare of iubelye shall that fiftieth yeare be vnto you. Ye shall not sowe nether repe that which groweth of it selfe, nor gether the grapes that are left.
Lev.25.12	For that yeare of iubelie shalbe holy vnto you: but ye shall eate of the encrease therof out of the felde.
Lev.25.13	In the yeare of thys iubelye ye shall retourne euery man vnto hys possessyon agayne.
Lev.25.14	It thou sellest oughte vnto thy neyghboure, or byest of thy neyghboures hande, ye shall not disceaue one another:
Lev.25.15	but accordynge to the nombre of yeares after the iubelye yeare thou shalt bye of thy neyghboure, and accordynge vnto the nombre of yeares Ꟶ of the frutes, he shall sell vnto the.
Lev.25.16	Accordinge vnto the multitude of yeares, he shall encrease the pryse therof and accordyng to the fewnesse of yeares, he shall minyshe the pryce of it: for the nombre of frutes doth he sell vnto the.
Lev.25.17	Disceaue not ye therfore euery man his neyghboure, but thou shalt feare thy God. For I am the Lorde youre God:
Lev.25.18	wherfore ye shall do after myne ordinaunces and kepe my lawes, and do them, and ye shall dwell in the lande in safetye.
Lev.25.19	And the lande shall geue her frute, and ye shall eate youre fyll, and dwell therin in safetye.
Lev.25.20	And yf ye shall saye: what shall we eate the seuenth yeare, for we shall not sowe, nor gether in oure encrease?
Lev.25.21	I will sende my blessynge vpon you in the syxt yeare,
Lev.25.22	and it shall brynge forth frute for thre yeares: Ꟶ ye shall sowe the eyght yeare, and eate yet of olde corne vntyll the .ix. yeare: euen vntyll her frutes come, ye shall eate of olde stoare.
Lev.25.23	The lande shall not be solde to be wast: for the lande is myne, and ye but straungers and soiourners with me.
Lev.25.24	In all the lande of youre possessyon, ye shall graunt a redempcion for the lande.
Lev.25.25	Yf thy brother be waxed poore, and hath solde awaye of hys possessyon: and yf any of his kyn come to redeme it, let him bye out that whyche hys brother solde.
Lev.25.26	And yf he haue no man to redeme it, let hys hande get asmuch as maye be suffycyent to bye it oute agayne,
Lev.25.27	and let hym counte howe longe it hath bene solde, Ꟶ delyuer the rest vnto the man to whome he solde it, that he maye retourne to hys possessyon agayne.
Lev.25.28	But and yf hys hande cannot gett suffycient to restore to the other agayne, then that whyche is solde shall remayne in the hande of hym that hath boughte it, vntyll the yeare of iubelye: and in the Iubelye it shall come out, and he shall retourne vnto hys possessyon agayne.
Lev.25.29	And yf a man sell a house or a dwellynge wythin the walles of a cytie, he maye bye it out agayne wythin a whole yeare after it is solde: euen any daye of the yeare shall he redeme it agayne.
Lev.25.30	But and yf he bye it not out agayne wythin the space of a full yeare, then the house that is in the walled citie, shalbe stablisshed, and be his owne that boughte it, and hys successoures after him, and shall not go out in the iubelie.
Lev.25.31	But the houses of vyllages which haue no walles rounde aboute them, are counted as the felde of the countre, Ꟶ therfore they maye be boughte out agayne, and shall returne in the iubelye.
Lev.25.32	Notwithstandinge the cyties of the leuytes, and the houses of the cyties of their possession, maye the leuites redeme at all ceasons.
Lev.25.33	And yf a man purchase ought of the Leuites, the house that was solde, and the cite of their possession shall go out in the yeare of iubelie: for the houses of the cyties of the leuites, are their possession amonge the chyldren of Israel.
Lev.25.34	But the felde of the suburbe that is besyde their cyties, maye not be solde: but is theyr perpetuall possession.
Lev.25.35	If thy brother be waxen poore, and fallen in decaye with the, thou shalt releue him, both the straunger and soiourner, that he maye lyue with the.
Lev.25.36	And thou shalt take none vsurye of him, or vantage. But thou shalt feare thy God, that thy brother maye lyue with the.
Lev.25.37	Thou shalt not geue hym thy money vpon vsurye, nor lende him thy corne for increace.
Lev.25.38	I am the Lorde youre God, which brought you out of the lande of Egypte to geue you the lande of Canaan, Ꟶ to be youre God.
Lev.25.39	If thy brother that dwelleth by the, be waxen poore, and be solde vnto the, thou shalt not compell him to the bondage of seruauntes:
Lev.25.40	but as an hyred seruaunte and as a soiourner he shalbe with the, and shall serue the vnto the yeare of iubelie,
Lev.25.41	Ꟶ then shall he departe from the: both he and his children with him, and shall retourne vnto his awne kynred agayne, and vnto the possession of his fathers:
Lev.25.42	for they are my seruauntes, whych I brought out of the lande of Egypte, and shall not therfore be solde as bondmen.
Lev.25.43	Thou shalt not raygne ouer hym cruelly, but shalt feare thy God.
Lev.25.44	Thy bondseruaunte, and thy bondmayde which thou shalt haue, shalbe of the heythen that are rounde aboute you:
Lev.25.45	of them shall ye purchace seruauntes and maydes, and of the chyldren of the straungers that are soiourners amonge you, Ꟶ of theyr generacyons that are wyth you, which they begate in youre lande.
Lev.25.46	These shalbe youre possessyon, and ye shall take them as inheritaunce for youre chyldren after you, to possesse them, they shalbe youre bondmen for euer. But ouer youre brethren the chyldren of Israel, ye shall not raygne one ouer another cruelly.
Lev.25.47	Yf a soiourner or straunger waxe ryche by the, and thy brother that dwelleth by him waxe poore, and sell hym selfe vnto the straunger or sogeourner by the, or to any of the straungers kyn:
Lev.25.48	after that he is solde, he maye be redemed agayne: one of his brethren
Lev.25.49	ether his vncle or his vncles sonne may bye hym out: or any that is nye of kynne vnto hym of his kynred, maye redeme hym: ether yf his hande can get so moch, he maye be loosed.
Lev.25.50	And he shall reken wyth hym that boughte hym, from the yeare that he was solde in, vnto the yeare of iubelye Ꟶ the pryce of hys byenge shalbe valued accordynge vnto the nombre of yeares. As a hyred seruaunte shall he be wyth hym.
Lev.25.51	If there be yet many yeares behynde, accordynge vnto them let hym geue agayne for hys delyueraunce, of the money that he was bought for.
Lev.25.52	Yf there remayne but fewe yeares vnto the yeare of iubelye, let hym counte wyth him agayne, and accordynge vnto his yeares geue hym agayne for hys redempcyon,
Lev.25.53	and he shalbe with hym yeare by yeare as an hyred seruaunte Ꟶ the other shall not raygne cruelly ouer him in thy sighte.
Lev.25.54	If he be not redemed thus, he shall goo out in the yeare of iubelie, both he and his chyldren with hym:
Lev.25.55	for the chyldren of Israel are my seruauntes, whych I broughte out of the lande of Egypte. I am the Lorde youre God.
Lev.26.1	Ye shall make you no ydolles nor grauen ymage, nether reare you vp any stone, nether shall ye sett vp any ymage of stone in your land to worshippe it: for I am the Lord youre God:
Lev.26.2	ye shall kepe my Sabbothes, Ꟶ feare my sanctuary: for I am the Lorde.
Lev.26.3	If ye walke in myne ordinaunces and kepe my commaundementes, and do them,
Lev.26.4	I wyll sende you rayne in the ryght ceason and the lande shall yelde her encrease, and the trees of the felde shall geue theyr frute.
Lev.26.5	And the thresshynge shall reach vnto wyne haruest, and the wyneharuest shall reach vnto sowynge tyme, and ye shall eate your bread in plenteousnes, and dwell in youre lande peasably.
Lev.26.6	And I wyll sende peace in the lande, Ꟶ ye shall slepe without any man to make you a frayde. And I wyll rydd euell beastes out of the lande, and there shall no swerde goo thorow out youre lande.
Lev.26.7	And ye shall chase youre enemyes, and they shall fall before you vpon the swerde.
Lev.26.8	And fyue of you shall chace an hundred, Ꟶ an hundred of you shall put ten thousande to flyghte, and youre enemyes shall fall before you vpon the swerde.
Lev.26.9	For I will haue respect vnto you, and make you encrease and multiplye you, and sett vp my couenaunt with you.
Lev.26.10	And ye shall eate olde stoare, and carye out olde for the newe.
Lev.26.11	And I wyll make my dwellynge place amonge you, Ꟶ my soule shall not lothe you.
Lev.26.12	I wyll walke amonge you, and wylbe youre God, and ye shalbe my people.
Lev.26.13	I am the Lorde youre God, whyche broughte you out of the lande of Egypte, that ye shulde not be theyr bondemen, and I haue broken the cheynes of your yoke, and made you go vp ryghte.
Lev.26.14	But and yf ye wyll not harken vnto me, nor wyll do all these my commaundementes:
Lev.26.15	And yf ye shall despise myne ordinaunces, ether yf youre soule abhorre my lawes, so that ye wyll not do all my commaundementes, but breake myne appoyntment,
Lev.26.16	I also will do thys vnto you. For I will bring vpon you fearfulnesse, swellynge of body, and the burnynge agewe, to consume youre eyes, Ꟶ gendre sorowe of hert. And ye shall sowe youre seed in vayne, for youre enemyes shall eate it,
Lev.26.17	And I wyll set my face agenste you, and ye shall fall before youre enemyes, Ꟶ they that hate you, shall raygne ouer you and ye shall flee, when no man foloweth you.
Lev.26.18	And yf ye will not yet for all this herken vnto me, then will I punysh you seuen tymes more for youre synnes,
Lev.26.19	and wyll breake the pryde of youre stubburnesse. And I wyll make youre heauen as yron, and youre erth as brasse.
Lev.26.20	And youre laboure shalbe spent in vayne. For youre lande shall not geue hyr encrease, nether shall the trees of the lande geue theyr frutes.
Lev.26.21	And yf ye walke contrary vnto me, and wyll not herken vnto me, I wyll brynge seuen tymes moo plages vpon you, accordinge to youre synnes.
Lev.26.22	I will also sende in wilde beastes vpon you, which shall robbe you of youre children, and destroye youre catell, and make you fewe in nombre, and cause youre hye wayes to growe vnto a wyldernesse.
Lev.26.23	And yf ye maye not be refourmed by these thynges but shall walke contrarye vnto me,
Lev.26.24	then wyll I also walke contrarye vnto you, and wyll punish you yet seuen tymes for youre synnes.
Lev.26.25	And I wyll sende a swerde vpon you, that shall auenge my testament And when ye are gathered together wythin youre cyties, I wyll sende the pestilence amonge you, and ye shalbe delyuered into the hande of the enemye.
Lev.26.26	And when I haue broken the staffe of youre bread: ten wyues shall bake youre bread in one ouen, and they shall delyuer you youre bread agayne by weyght ye shall eate, and not be satisfyed.
Lev.26.27	And yf ye wyll not yet for all thys herken vnto me, but shall walke agaynst me,
Lev.26.28	I will walke contrarye vnto you also in indignacyon, and wyll chastice you seuen tymes for youre synnes.
Lev.26.29	And ye shall eate the flesh of youre sonnes and the fleshe of youre daughters shall ye deuoure.
Lev.26.30	I wyll destroye youre hye places, and roote out youre ymages, and cast youre carkasses vpon the bodyes of youre ydolles, and my soule shall abhorre you.
Lev.26.31	And I wyll make your cyties desolate, and brynge youre sanctuarye vnto nought, and wyll not smell the swetnesse of youre odoures.
Lev.26.32	I wyll brynge the lande vnto a wyldernesse, and youre enemyes which dwell therin, shall wondre at it.
Lev.26.33	And I will strawe you amonge the hethen, and will drawe out a swerde after you, and youre lande shalbe wast, and youre cyties desolate.
Lev.26.34	Then shall the lande enioye her Sabbothes, as longe as it lyeth voyde, and ye shalbe in your enemyes lande: euen then shall the lande rest, and reioyse in her Sabbothes.
Lev.26.35	As longe as it lyeth voyde it shall rest, because it dyd not reste in youre Sabbothes, when ye dwelt vpon it.
Lev.26.36	And vpon them that are left alyue of you, I wyll sende a fayntnesse into theyr hertes in the lande of theyr enemyes: Ꟶ the sounde of a shakyng leef, shall chace them, and whan they flee the swerde, they shall fall: no man folowinge vpon them.
Lev.26.37	They shall fall one vpon another, as it were before a swerde, euen no man folowynge vpon them, and ye shall haue no power to stande before your enemyes:
Lev.26.38	And ye shall perish amonge the hethen, Ꟶ the lande of youre enemyes shall eate you vp.
Lev.26.39	And they that are left of you, shall pyne awaye in their vnryghteousnes, euen in their enemyes lande, and in the mysdeades of their fathers shall they consume.
Lev.26.40	And they shall confesse their misdeades and the mysdeades of their fathers for their trespace, which they haue trespaced agaynst me, and for that also that they haue walked contrarye vnto me.
Lev.26.41	Therfore I also wyll walke contrary vnto them, and wyll brynge them into the lande of their enemyes. And then at the leest waye their vncircumcysed hertes shall be tamed, and they shall make an attonement for their mysdeades.
Lev.26.42	And I will remembre my couenaunt, with Iacob, and my bonde with Isahac, and myne appointment with Abraham, and will thynke on the lande.
Lev.26.43	The lande shall be lefte of them, and shall enioye her Sabbothes, whyle she lyeth wast without them. And they shall make an attonement for their misdeades, because they despised my lawes, and because their soule refused myne ordinaunces:
Lev.26.44	And yet for all that when they be in the lande of their enemyes, I will not cast them awaye, neyther will abhorre them, to destroye them vtterly, and to breake myne appoyntment with them: for I am the Lorde their God.
Lev.26.45	I wyll for their sakes remembre the couenaunt made vnto their fathers, whom I brought out of the lande of Egypte in the syghte of the hethen, that I myght be their God: I am the Lorde.
Lev.26.46	These are the ordinaunces, and iudgementes, and lawes, which the Lorde made betwene him and the children of Israel in mount Sinai, by the hande of Moses.
Lev.27.1	And the Lord spake vnto Moses sayinge:
