Job.0.0	¶ The boke of Iob.
Job.37.18	Hast thou helped hym to spreade out the heauen, whych is to loke vpon, as it were cast of cleare metall?
Job.37.19	Teache vs what we shall saye vnto hym, for we are vnmete because of darcknes.
Job.37.20	Shall it be tolde hym what I saye? Shuld a man speake, or shulde he kepe it backe?
Job.37.21	For euery man seyth not the light, that he kepeth cleare in the cloudes whych he clenseth whan he maketh the wynde to blowe.
Job.37.22	Golde is brought out of the North, but the prayse and honoure of Gods feare commeth from God hym selfe.
Job.37.23	It is not we that can fynde out the almightye: for in power, equite, and ryghteousnesse, he is hyer than can be expressed.
Job.37.24	Let men therfore feare hym, for there shall no man se hym that is wise in his awne conceate.
Job.38.1	Then answered the Lorde vnto Iob out of the storme, and sayd:
Job.38.2	what is he that hydeth his mynde with folysh wordes?
Job.38.3	Gyrde vp thy loynes lyke a man, for I wyll questyon wyth the, se thou geue me a directe answere.
Job.38.4	Where wast thou, when I layde the foundacyons of the earth? Tell playnely, yf thou hast vnderstandyng.
Job.38.5	Who hath measured it, knowest thou? Or, who hath spreade the lyne vpon it?
Job.38.6	Where vpon stande the pyllers of it? Or, who layed the corner stone therof?
Job.38.7	Where wast thou, when the mornyng starres praysed me together, and all the chyldren of God reioysed triumphantly?
Job.38.8	Who shut the see wyth dores, when it brake forth as a chylde out of hys mothers wombe?
Job.38.9	When I made the cloudes to be a coueryng for it, and swadled it with the darcke?
Job.38.10	when I gaue it my commaundement, makyng dores and barres for it,
Job.38.11	saying: Hyther to shalt thou come, but no farther, Ꟶ here shalt thou laye downe thy proud and hye waues.
Job.38.12	Hast thou geuen the mornynge hys charge (as sone as thou wast borne) and shewed the daye spryng hys place,
Job.38.13	that it myght take holde of the corners of the earth, and that the vngodly myght be shaken out?
Job.38.14	Theyr tokens and weapens are turned lyke claye, and sett vp agayne as the chaungyng of a garment.
Job.38.15	The vngodly shalbe disapoynted of their lyght, and the arme of the proude shalbe broken.
Job.38.16	Camest thou euer into the grounde of the see: or walkedest in the lowe corners of the depe?
Job.38.17	Haue the gates of deeth bene opened vnto the, or hast thou sene the dores of the shadowe of death?
Job.38.18	Hast thou also perceaued how broade the earth is? Yf thou hast knowledge of all thys,
Job.38.19	then shew me, where lyght dwelleth, and where darcknes is:
Job.38.20	that thou mayest brynge vs vnto theyr quarters, yf thou canst tell the waye to theyr houses.
Job.38.21	Knewest thou (afore thou wast borne) how olde thou shuldest be?
Job.38.22	Wentest thou euer into the treasuryes of the snowe, or hast thou sene the secrete places of the hayle,
Job.38.23	whych I haue prepared agaynst the tyme of trouble, agaynst the tyme of batell and warre?
Job.38.24	By what waye is the lyght parted, and into what lande breaketh the east wynde:
Job.38.25	Who deuydeth the aboundaunce of waters into ryuers, or who maketh a waye for the lyghtenyng and thonder,
Job.38.26	that it watereth Ꟶ moystureth the drye and barengrounde:
Job.38.27	to make the grasse growe in places where no body dwelleth, and in the wyldernes where no man remayneth?
Job.38.28	Who is the father of rayne? Or who hath begotten the droppes of dewe?
Job.38.29	Out of whose wombe came the yse? Who hath gendred the coldnes of the ayre?
Job.38.30	that the waters are as harde as stones, and lye congeled aboue the depe.
Job.38.31	Wylt thou hyndre the swete influences of the .vij. starres? Or art thou able to breke the circle of heauen?
Job.38.32	Canst thou brynge forth the mornynge starre or the euenynge starre at conuenient tyme, Ꟶ conueye them home agayne?
Job.38.33	Knowest thou the course of heauen, that thou mayest set vp the ordinaunce therof vpon the erth?
Job.38.34	Moreouer, canst thou lyft vp thy voyce to the cloudes, that they maye poore downe a greate rayne vpon the?
Job.38.35	Canst thou thondre also that they maye go theyr waye, and be obedient vnto the, sayeng: Lo here are we?
Job.38.36	Who geueth sure wysdome or stedfast vnderstandynge?
Job.38.37	who nombreth the cloudes in wysdome? who stylleth the vehement waters of the heauen?
Job.38.38	who turneth the clottes to dust, Ꟶ then to be clottes agayne?
Job.38.39	Wylt thou hunt the praye from the lyon, or fede hys whelpes
Job.38.40	lying in theyr dennes, and lurkyng in theyr couches?
Job.38.41	who prouideth meate for the rauen, when hys yonge ones crye vnto God, and fle aboute for lack of meate?
Job.39.1	Knowest thou the tyme when the wylde goates brynge forth theyr yonge, amonge the stony rockes? Or layest thou wayte when the hyndes vse to fawne?
Job.39.2	rekenest thou the monethes after they engendre, that thou knowest the tyme of theyr bearinge?
Job.39.3	or when they lye downe, when they cast theyr younge ones, and when they are delyuered of theyr trauayle and payne?
Job.39.4	How their younge ones growe vp, Ꟶ waxe greate thorow good fedyng? whan they go forth, and returne not agayne vnto them?
Job.39.5	who letteth the wylde asse go fre, or who lowseth the bondes of the mule?
Job.39.6	Euen I whych haue geuen the wyldernes to be theyr house, and the vntylled land to be theyr dwellyng place.
Job.39.7	That they may geue no force for the multitude of people in the cyties, nether regarde the cryenge of the dryuer:
Job.39.8	but seke theyr pasture about the mountaynes, and folowe the grene grasse.
Job.39.9	Wyll the vnycorne be so tame as to do the seruice, or to abyde styll by thy crybbe?
Job.39.10	Canst thou bynd the yock about the vnycorne in thy forowe, to make hym plowe after the in the valleys?
Job.39.11	Mayest thou trust hym (because he is strong) or committe thy labour vnto hym?
Job.39.12	Mayest thou beleue hym, that he wyll bringe home thy corne, or to cary any thyng vnto thy barne?
Job.39.13	Gauest thou the fayre wynges vnto the pecockes, or wynges Ꟶ fethers vnto the storke?
Job.39.14	For he leaueth hys egges in the earth and layeth them in the dust.
Job.39.15	He remembreth not, that they myght be troden wyth fete, or broken wyth some wylde beast.
Job.39.16	So harde is he vnto hys yonge ones, as though they were not hys, and laboureth in vayne wythout any feare.
Job.39.17	And that because God hath taken wysdome from hym, Ꟶ hath not geuen hym vnderstandynge.
Job.39.18	When hys tyme is that he flyeth vp on hye, he careth nether for horse ner man.
Job.39.19	Hast thou geuen the horsse hys strength, or lerned him to bowe downe his neck wt feare:
Job.39.20	that he letteth hym selfe be dryuen forth lyke a greshopper, where as the stoute neynge that he maketh, is fearfull?
Job.39.21	he breaketh the grounde with the hoffes of his fete chearfully in his strength, and runneth to mete the harnest men.
Job.39.22	He layeth asyde all feare, hys stomack is not abated, nether starteth he a back for any swerde.
Job.39.23	Though the quyuers rattle vpon him, though the speare and shilde glystre:
Job.39.24	yet russheth he in fearsely, and beateth vpon the grounde. He feareth not the noyse of the trompettes,
Job.39.25	but as soone as he heareth the shawmes blowe, tush (sayeth he) for he smelleth the battel a farre of, the noyse, the captaynes and the shoutinge.
Job.39.26	Commeth it thorow thy wysdome, that the Goshauke flyeth towarde the South?
Job.39.27	Doth the Aegle mount vp, and make hys nest on hye at thy commaundement?
Job.39.28	He abydeth in the stony rockes, and vpon the hye toppes of harde mountaynes, where no man can come.
Job.39.29	From thence seketh he his praye, Ꟶ loketh farre about with hys eyes.
Job.39.30	Hys younge ones are fed with bloud: Ꟶ where any deed body lyeth, there is he immediatly.
Job.40.1	Moreouer, God spake vnto Iob and sayde:
Job.40.2	Can he that stryueth wyth the Almyghtye, be at rest? Shulde not he which disputeth wyth God, geue hym an answere?
Job.40.3	Iob answered the Lorde, saying:
Job.40.4	Beholde. I am to vyle a personne, to answere the, therfore wyll I laye my hande vpon my mouth.
Job.40.5	Once or twise haue I spoken, but I wyll saye nomore.
Job.40.6	Then answered the Lorde vnto Iob out of the storme, and sayde:
Job.40.7	Gyrde vp thy loynes now lyke a man, and tell me the thinges that I will aske the.
Job.40.8	Wylt thou disanul my iudgement? Or wylt thou condemne me, that thou thy selfe mayest be made ryghteous?
Job.40.9	Is thy power then lyke the power of God? Maketh thy voyce soch a sounde as hys doth?
Job.40.10	Then arme thy selfe wyth thyne awne power, vp, decke the in thy ioly araye,
Job.40.11	powre out the indignacion of thy wrath: se that thou cast downe all the proude,
Job.40.12	loke well, that thou makest all soch as be stubburne, to obeye: treade downe all the vngodly in their place,
Job.40.13	cast them downe into the dust, and couer their faces with darcknesse:
Job.40.14	Then will I confesse vnto the also, that thyne awne right hande shall saue the.
Job.40.15	Beholde, the beast Behemoth (whom I made wyth the) whych eateth haye as an oxe:
Job.40.16	lo, how stronge he is in hys loynes, and what power he hath in the nauell of his body.
Job.40.17	He spredeth out hys tayle lyke a Cedre tre, all hys vaynes are styf.
Job.40.18	Hys shynnes are lyke pypes of brasse, hys rydge bones are lyke staues of yron.
Job.40.19	Fyrst, when God made him, he ordened the wildernesse for him,
Job.40.20	that the mountaynes shulde geue hym grasse, where all the beastes of the felde take their pastyme.
Job.40.21	He lyeth amonge the redes in the Mosses,
Job.40.22	the fennes hyde him with their shadowe, and the wylowes of the broke couer him rounde aboute.
Job.40.23	Lo, without any labour myght he drincke out of the whoale floude, and suppe of Iordane without any trauayle.
Job.40.24	Who darre laye hande vpon hym openly, and vndertake to catch him? Or, who darre put a hooke thorow his nose, and lay a snare for hym?
Job.41.1	Darrest thou drawe out Leuiathan wyth an Angle, or bynde hys tonge wyth a snare?
Job.41.2	Canst thou put a ryng in the nose of him, or bore hys chawe thorow with a naule?
Job.41.3	Wyll he make many fayre wordes with the (thynkest thou) or flatter the?
Job.41.4	Will he make a couenaunt with the? Or art thou able for to compell hym to do the continuall seruyce?
Job.41.5	Wylt thou take thy pastyme wyth hym, as with a byrde, or geue him vnto thy maydens,
Job.41.6	that thy companyons may make a refeccion of hym, or that he maye be parted amonge the marchaunt men?
Job.41.7	Canst thou fyll the baskett with his skynne, or the fysh pannyer wt his heade?
Job.41.8	Darrest thou laye hande vpon hym? It is better for the to consydre what harme myght happen the there thorow, and not to touch him.
Job.41.9	For when thou thynkest to haue holde vpon him, he shall begyle the.
Job.41.10	No man is so cruell, that is able to stere him vp. Who is able to stande before me?
Job.41.11	Or who hath geuen me any thyng afore hande, that I maye rewarde him agayne? All thynges vnder heauen are myne:
Job.41.12	I feare him not, whether he threaten or speake fayre.
Job.41.13	Who lyfteth him vp, and stripeth hym out of his clothes, or who taketh him by the bytt of his brydle?
Job.41.14	Who openeth the dore of his face? for he hath horrible tethe rounde about.
Job.41.15	His body is couered wyth scales as it were with shyldes, lockte in, kepte, and well compacte together:
Job.41.16	One is so ioyned to another, that no ayre can come in:
Job.41.17	Yee, one hangeth so vpon another, and stycketh so together, that they cannot be sundered.
Job.41.18	His nesyng is lyke a glystering fyre, and his eyes lyke the mornynge shyne.
Job.41.19	Out of his mouth go torches,
Job.41.20	and out of his nostrels ther goeth a smoke, lyke as out of an hote sething pot.
Job.41.21	His breth maketh the coales burne, and the flamme goeth out of hys mouth.
Job.41.22	In his necke remayneth strength, and nothing is to laborious for him.
Job.41.23	The membres of his body are ioyned so strayte one to another, and cleaue so fast together, that he cannot be moued.
Job.41.24	His hert is as herd as a stone, and as fast as the stythye that the smyth smyteth vpon.
Job.41.25	When he goeth: the myghtye are afrayed, and feare troubleth them.
Job.41.26	If any man draw out a swearde at him, it shall not hurt him: there may nether speare, iauelinge ner brest plate, abyde hym.
Job.41.27	He setteth as moch by a strawe as by yron, and as moch by a rotten stocke as by brasse.
Job.41.28	He starteth not awaye for hym that bendeth the bowe: and as for slynge stones, he careth as moch for stubble as for them.
Job.41.29	He counteth the dartes no better then a strawe, he laugheth hym to scorne that shaketh the speare.
Job.41.30	He treadeth the gold in the myre lyke the sharpe potsherdes.
Job.41.31	He maketh the depe to boyle lyke a pot, and stereth the see together lyke an oyntment.
Job.41.32	He maketh a path to be sene after hym, the depe is hys walkynge place.
Job.41.33	Upon erth is there no power lyke vnto hys, for he is so made that he feareth not.
Job.41.34	If a man wyll consydre all hye thynges, thys same is a kynge ouer all the chyldren of pryde.
Job.42.1	Then Iob answered the Lorde, and sayde.
Job.42.2	I knowe that thou hast power ouer all thynges, and that there is no thought hyd vnto the.
Job.42.3	For who can kepe hys awne councell so secrete, but it shalbe knowne? Therfore haue I spoken that I vnderstode not, the thynges that are so hye, Ꟶ passe myne vnderstanding.
Job.42.4	O herken thou vnto me also, and let me speake: answere vnto the thyng that I wyll aske the.
Job.42.5	I haue geuen diligent care vnto the, and now I se the wyth myne eyes.
Job.42.6	Wherfore, I geue myne awne selfe the blame, and take repentaunce in the dust and asshes.
Job.42.7	Now when the Lorde had spoken these wordes vnto Iob, it fortuned, that the Lord sayde vnto Eliphas the Themanite: I am displeased with the, and thy two frendes, for ye haue not spoken of me the thynge that is ryght, lyke as my seruaunt Iob hath done.
Job.42.8	Therfore, take you now seuen oxen and seuen rammes, and go to my seruaunt Iob, and offre vp for youre selues a brent offeringe: and my seruaunt Iob shall praye for you. Hym wyll I accepte, and not deale wyth you after youre folyshnesse: in that ye haue not spoken the thinge whych is ryght, lyke as my seruaunt Iob hath done.
Job.42.9	So Eliphas the Themanite, and Bildad the Suhite Ꟶ Sophar the Naamathite went their waye, and dyd accordyng as the Lord commaunded them, The Lord also accepted the personne of Iob,
Job.42.10	and the Lorde turned the captiuite of Iob, when he prayed for his frindes: Yee, the Lord gaue Iob twyse as moch as he had afore.
Job.42.11	And then came there vnto hym all hys brethren, all hys systers, Ꟶ all they that had bene of hys acquayntaunce afore, Ꟶ dyd eat bread with him in his housse, wondrynge at hym, and comfortynge hym ouer all the trouble, that the Lorde had brought vpon hym. Euery man also gaue hym a certayne some of money and a Iewell of golde.
Job.42.12	And the Lorde made Iob rycher then he was before: for he had fourtene .M. shepe .vj.M. camels, a .M. youck of oxen, and a .M. asses.
Job.42.13	He had seuen sonnes also Ꟶ thre daughters.
Job.42.14	The fyrst daughter called he Iemima: the second Kezia, and the thirde Kerenhapuch.
Job.42.15	In all the land were no wemen found so fayre, as the daughters of Iob, and their father gaue them enheritaunce amonge their brethren.
Job.42.16	After thys lyued Iob an hundred and fourty yeares, so that he sawe hys chyldren, Ꟶ hys chyldrens chyldren into the fourth generacion.
Job.42.17	And so Iob dyed, beynge olde Ꟶ of a perfect age.
Job.0.0	¶ The ende of the boke of Iob.
