Ezek.0.0	¶ The booke of the Prophete Ezechiel.
Ezek.37.9	Then sayde he vnto me. Thou sonne of man, prophecye thou towarde the wynde: prophecy: and speake to the wynde. Thus sayeth the Lord God. Come (O thou ayre) from the foure wyndes, Ꟶ blowe vpon these slayne that they may be restored to lyfe.
Ezek.37.10	So I prophecied, as he had commaunded me: then came the breth into them, and they receaued lyfe, and stode vp vpon their fete, a maruelous greate sorte.
Ezek.37.11	Moreouer, he sayde vnto me: Thou sonne of man, these bones are the whole house of Israell. Beholde, they saye: Oure bones dried vp, oure hope is gone, we are clene cut of.
Ezek.37.12	Therfore prophecie thou, and speake vnto them: thus saieth the Lord God. Beholde, I will open your graues (O my people) and take you out of your sepulcres, Ꟶ brynge you into the lande of Israel agayne.
Ezek.37.13	So shall ye knowe that I am the Lorde, when I open your graues, and bringe you out of them.
Ezek.37.14	My sprete also will I put in you, and ye shall lyue: I will set you agayne in your awne lande, and ye shall knowe, that I am the Lord, which haue sayde it, and fulfilled it in dede.
Ezek.37.15	The worde of the Lorde came vnto me, sayinge:
Ezek.37.16	thou sonne of man, take a stycke Ꟶ wryte vpon it. Unto Iuda and to the chyldren of Israell his companions. Then take another sticke, and write vpon it: Unto Ioseph the stock of Ephraim, Ꟶ to all the housholde of Israell his companions.
Ezek.37.17	And than, take both these together in thyne hande, so shall there be one stycke therof.
Ezek.37.18	Now yf the chyldren of thy people saye vnto the: wilt thou not shewe vs, what thou meanest by these?
Ezek.37.19	Then geue them this answere: thus sayeth the Lord God: beholde, I will take the stock of Ioseph, which is in the hande of Ephraim and of the tribes of Israell his felowes, and will put them to the stock of Iuda, and make them one stock, and they shall be one in my hande.
Ezek.37.20	And the two stickes where vpon thou writest, shalt thou haue in thyne hand, that they may se,
Ezek.37.21	and shalt saye vnto them. Thus sayeth the Lord God: beholde, I will take awaye the children of Israel from amonge the Heathem, vnto whom they be gone, and will gather them together on euery syde, and bringe them agayne into theyr awne lande:
Ezek.37.22	yee, I will make one people of them in the lande, vpon the mountaynes of Israel, and they all shal haue but one kyng. They shall no more be two peoples from hence forth, nether be deuided into two kingdomes:
Ezek.37.23	they shal also defile them selues nomore with their abhominacions, Idoles, Ꟶ all their wycked doinges. I will helpe them out of all their dwellinge places, wherin they haue synned: and wil so clense them, that they shalbe my people, and I their God.
Ezek.37.24	Dauid my seruaunt shalbe their kyng, Ꟶ they al shal haue one shepherde onely. They shall walcke in my lawes, Ꟶ my commaundementes shall they both kepe and fulfyll.
Ezek.37.25	They shall dwell in the lande, that I gaue vnto Iacob my seruaunt, where as your fathers also haue dwelt. Yee, euen in the same lande shal they, their chyldren, Ꟶ their chylders chyldren dwell for euermore, Ꟶ my seruaunt Dauid shalbe their euerlastinge prince.
Ezek.37.26	Moreouer, I wil make a bonde of peace wt them, which shalbe vnto them an euerlastinge couenaunt. I wil setle them also, Ꟶ multiply them, my Sanctuary wil I set among them for euermore.
Ezek.37.27	My dwellynge shalbe with them: yee, I will be their God, Ꟶ they shal be my people.
Ezek.37.28	Thus the Heathen also shal knowe, that I the Lord am the holy maker of Israell: when my Sanctuary shalbe amonge them for euermore.
Ezek.38.1	And the worde of the Lord came vnto me, sayinge.
Ezek.38.2	Thou sonne of man, turne thy face towarde Gog the lande of Magog which is the chefe prince at Mesech and Tubal: prophecy agaynst hym,
Ezek.38.3	Ꟶ saye. Thus sayeth the Lord God. O Gog thou chefe prince of Mesech and Tubal: beholde, I will vpon the,
Ezek.38.4	Ꟶ will turne the aboute and put a bytt in thy chawes: I will bringe the forth and all thine hoost, both horse and horsmen, which be all weapened of the best fassion: a great people, that handle altogether speares, shildes, Ꟶ swerdes:
Ezek.38.5	the Perses, Morians and with them the Libians, which all beare shildes and helmettes:
Ezek.38.6	Gomer and all his hoostes: the house of Thogorma out of the north quarters, and all his hoostes, yee, and moch people with the.
Ezek.38.7	Therfore prepare the, set thy selfe in araye with all thy people, that are come vnto the by heapes, and be thou their defence.
Ezek.38.8	After many dayes thou shalt be visited, and in the latter yeares thou shalt come into the lande that hath bene destroyed with the swearde, Ꟶ now is replenished agayne with diuerse people vpon the mountaines of Israel, which haue longe lyen waste. Yee, they be brought out of the nacions, and dwell all safe.
Ezek.38.9	Thou shalt come vp like a stormy wether, to couer the lande, Ꟶ as it were a darck cloude, thou with all thine hostes, and a greate multitude of people with the.
Ezek.38.10	Moreouer, thus sayeth the Lord God: At the same tyme shal many thinges come into thy mynde, so that thou shalt ymagyn myschefe,
Ezek.38.11	and saye: I wyll vp to yonder playne lande, seinge they syt at ease, Ꟶ dwell so safely (for they dwell all without any walles they haue nether barres nor dores)
Ezek.38.12	to spoyle them, to robbe them, to laye hande vpon their so well inhabited wyldernesses: against that people, that is gathered together from amonge the Heathen, which haue gotten catell and good, and dwell in the middest of the lande.
Ezek.38.13	Then shall Saba, and Dedan, and the marchauntes of Tharsis with all their worthies saye vnto the: Art thou come to robbe? Hast thou gathered thy people together, because thou wilt spoyle? to take syluer and golde: to cary awaye catell and good, and to haue a greate praye?
Ezek.38.14	Therfore, O thou sonne of man, thou shalt prophecie, and saye vnto God. Thus saieth the Lord God. In that daye thou shalt knowe that my people of Israel dwelleth safe:
Ezek.38.15	and shalt come from thy place out of the north partes, thou Ꟶ moch people with the which ryde vpon horses, whereof there is a greate multitude and an innumerable sorte.
Ezek.38.16	Yee, thou shalt come vpon my people of Israell, as a cloude to couer the lande. Thys shall come to passe in the latter dayes: I will bringe the vp into my lande, that the heathen maye knowe me, when I get me honoure vpon the (O Gog) before their eyes.
Ezek.38.17	Thus sayeth the Lorde God: Thou art he, of whom I haue spoken afore tyme by my seruauntes the prophetes of Israel, which prophecied in those dayes and yeares, that I shuld bringe the vpon them.
Ezek.38.18	At the same tyme, when Gog commeth vp into the land of Israel (saieth the Lord God) shal my indignacion go forth in my wrath.
Ezek.38.19	For in my gelousy and hote displeasure I haue deuysed that there shalbe a greate trouble in the lande of Israell at that tyme.
Ezek.38.20	The very fishes in the see, the foules of the ayre, the beastes of the felde, and all the men that are vpon the earth, shall tremble for feare of me. The hilles also shalbe turned vp side downe, the stayres of stone shal fall, and all walles shal syncke to the grounde.
Ezek.38.21	I will cal for a swearde vpon them in all my mountaines sayeth the Lorde God: so that euery mans swearde shall be vpon another.
Ezek.38.22	With pestylence and bloude will I punishe him: stormy rayne and hayle stones, fyre and brimstome will I cause to rayne vpon him and all his heape, yee, and vpon all that greate people that is with hym.
Ezek.38.23	Thus will I be magnifyed, honoured, Ꟶ knowne amonge the Heathen: that they maye be sure, howe that I am the Lorde.
Ezek.39.1	Therfore, O thou sonne of man, prophecie agaynst Gog, and speake. Thus sayeth the Lorde God: Beholde O Gog: thou chefe prince at Mesech and Tubal, I wyll vpon the,
Ezek.39.2	and punyshe the with sixe plages, Ꟶ leade the from the north partes, and bring the vp to the mountaines of Israell.
Ezek.39.3	As for thy bowe, I will smyte it out of thy left hande, and cast thyne arowes out of thy ryght hande.
Ezek.39.4	Thou with all thine heape, and all the people that is wt the, must fall vpon the mountaynes of Israell. Then will I geue the vnto foules and wilde beastes of the felde, to be deuoured:
Ezek.39.5	there must thou lye vpon the felde: for euen I the Lord haue spoken it, sayeth the Lord God.
Ezek.39.6	Into Magog, and among those that syt so carelesse in the Iles: will I send a fyre, Ꟶ they shal knowe, that I am the Lord,
Ezek.39.7	I wil make also the name of my holinesse to be knowne among my people of Israel: and I will not let my holy name be euel spoken of enymore: but the very Heathen also shall knowe, that I am the Lord, the holy one of Israel.
Ezek.39.8	Beholde, it commeth, and shalbe fulfilled in dede, sayeth the Lord God. This is the daye wherof I haue spoken.
Ezek.39.9	They that dwel in the cities of Israell, shall go forth and set fyre vpon the weapens, and burne them: shyldes and speres, bowes and arowes, bylles Ꟶ clubbes: seuen yeares shal they be burnynge therof,
Ezek.39.10	so that they shal els bringe no stickes from the felde, nether haue nede to hewe downe eny out of the wodde. For they shal haue weapens ynowe to burne. They shal robbe those that robbed them, Ꟶ spoyle those that spoyled them sayeth the Lord God.
Ezek.39.11	At the same tyme wil I geue vnto God, a place to be buried in Israel, euen the valley, where thorow men go from the east to the see warde. Those that trauayle therby, shall stoppe ther noses for stenche. There shall Gog Ꟶ all hys people be buried: and it shalbe called the valley of the people of God.
Ezek.39.12	Seuen monethes longe shall the house of Israell be buryenge of them that they maye clense the lande.
Ezek.39.13	Yee, all the people of the lande shall burie them. O, it shall be a glorious daye, when I gett me that honoure, saieth the Lord God.
Ezek.39.14	They shal ordeyne men also to be deed buriers, euer goynge thorow the lande, Ꟶ appoynte them certayne places to bury those in, which remayne vpon the felde, that the lande maye be clensed. From ende to ende shall they seke, Ꟶ that seuen monethes longe.
Ezek.39.15	Now those that go thorow the lande, where they se a mans bone, they shalt set vp a token by it, tyll the deed buryers haue buried it also, in the valley of the people of Gog.
Ezek.39.16	And the name of the citie shalbe called, hamonah (that is a multitude.) Thus shall they make the lande clene.
Ezek.39.17	And thou sonne of man: thus sayeth the Lord God. Speake vnto all the foules and euery byrde, yee, and to al the wilde beastes of the felde, heape you together and come, gather you rounde aboute vpon my slaughter, that I haue slayne for you: euen a greate slaughter vpon the mountaynes of Israell eate flesh and drincke bloude.
Ezek.39.18	Ye shall eate the flesh of the worthies, Ꟶ drinke the bloud of the princes of the lande: of the wethers, of the lambes, of the goates, and of the oxen that be all slayne at Basan.
Ezek.39.19	Eate the fat your belyfull, and drincke bloude, tyll ye be dronken of the slaughter, whych I haue slayne vnto you.
Ezek.39.20	Fill you at my table with horses and stronge horsmen: with captaynes and men of warre, sayeth the Lord God.
Ezek.39.21	I will bringe my glory also amonge the Gentyles, that all the heathen maye se my iudgement, that I haue kepte, and my hand which I haue layed vpon them:
Ezek.39.22	that the house of Israell maye knowe, how that I am the Lord their God from that daye forth.
Ezek.39.23	And the heathen shall knowe, that where as the house of Israell were led into captiuyte: it was for their wyckednes sake, because they offended me. For the which cause I hyd my face from them, and delyuered them into the handes of their enemies, that they might all be slaine with the swearde.
Ezek.39.24	Accordinge to their vnclennesse Ꟶ vnfaithfull dealinges, so haue I entreated them, and hyd my face from them.
Ezek.39.25	Therfore, thus sayeth the Lord God: Now will I bringe agayne the captiues of Iacob Ꟶ haue mercy vpon the whole house of Israel, and be gelous for my holy names sak
Ezek.39.26	All their confusion and offence that they haue done agaynst me shall be taken awaye: Ꟶ so safely shal they dwell in their lande, that no man shall make them afrayed.
Ezek.39.27	And when I haue brought them agayne from amonge the people, when I haue gathered them together out of their enemies landes, Ꟶ am praysed in them before many Heathen:
Ezek.39.28	then shal they knowe, that I am the Lord their God which suffred them to be led into captiuite amonge the Heathen, but now haue I brought them agayne into their awne lande, and not left one of them yonder.
Ezek.39.29	After that, will I hyde my face nomore from them but will poure out my sprete vpon the house of Israell, sayeth the Lorde God.
Ezek.40.1	In the .xxv. yeare of oure captiuite, in the begynnynge of the yeare, the .x. daye of the moneth: that is the .xiiii. yeare, after that the cyte was smyten downe: the same daye came the hand of the Lorde vpon me, and caried me forth:
Ezek.40.2	euen into the lande of Israel brought he me in the visyons of God: Ꟶ set me downe vpon a maruelous hye mountayne, wher vpon there was a buylding (as it had bene of a cyte) toward the north.
Ezek.40.3	Thyther he caried me, and beholde, there was a man, whose similitude was like brasse, which had a threde of flax in his hande, Ꟶ a meterode also. He stode in the dore,
Ezek.40.4	and sayd vnto me: marcke well with thine eyes, herken to with thine eares, and fasten it in thine hert, whatsoeuer I shal shewe the, for to that intent that they myght be shewed the therfore art thou brought hyther. And whatsoeuer thou seyst, thou shalt certyfye the house of Israell therof.
Ezek.40.5	Beholde, there was a wall on the out syde rounde aboute the house: the meterodde that he had in his hande, was sixe cubytes longe Ꟶ a spanne. So he measured the bredth of the buyldinge, which was a meterodde, and the heygth also a meterode.
Ezek.40.6	Then came he vnto the east dore, Ꟶ wente vp the steares, Ꟶ measured the postes of the dore, wherof euery one was a meterodde thicke. Euery chambre was a meterodde longe Ꟶ brode:
Ezek.40.7	betwene the chambers were fyue cubytes. The poste of the dore within the porche, was one meterodde.
Ezek.40.8	He measured also the porche of the ynnermer dore, which conteyned a meterodde.
Ezek.40.9	Then measured he the entrye of the dore, that conteyned eyght cubytes, Ꟶ his pylers two cubytes: and this entrye stode inwarde.
Ezek.40.10	The chambers of the dore eastwarde, were thre on euery syde: a lyke brode and longe. The pilers also that stode of both the sydes were of one measure.
Ezek.40.11	After this, he measured the wydenesse of the dore, which was .x. cubytes, Ꟶ the heygth of the dore .xiii. cubytes.
Ezek.40.12	The edge before the chambers was one cubyte brode vpon both the sydes, and the chambres six cubytes wyde of eyther syde.
Ezek.40.13	He measured the dore from the rydge of one chambre to another, whose wydenesse was .xxv. cubytes, Ꟶ one dore stode agaynst another.
Ezek.40.14	He made pilers also .lx. cubites hye, rounde about the courte dore.
Ezek.40.15	Before the inwarde parte vnto the fore entre of the ynnermer dore, were .L. cubytes.
Ezek.40.16	The chambers and their pylers within, rounde about vnto the dore, had syde wyndowes. So had the fore entries also, whose wyndowes wente rounde about within. And vpon the pylers there stode date trees.
Ezek.40.17	Then brought he me into the fore courte where as were chambers Ꟶ paued worckes, made in the fore courte rounde aboute .xxx. chambres vpon one paued worcke.
Ezek.40.18	Now the paued worke was a longe besyde the dores Ꟶ that was the lower paued worke.
Ezek.40.19	After this he measured the bredth from the lower dore, vnto the ynnermer courte of the outsyde, which had an .C. cubytes vpon the east Ꟶ the north parte.
Ezek.40.20	And the dore in the vttermoste court towarde the north, measured he after the length and bredth:
Ezek.40.21	hys thre chambres also on ether syde with his pillers and forentryes: which had euen the measure of the first dore. His heyght was .l. cubytes, the bredth .xxv. cubites,
Ezek.40.22	hys wyndowes Ꟶ porches with hys date trees, had euen lyke measure as the dore towarde the east: there were .vij. steppes to go vp vpon, and their porche before them.
Ezek.40.23	Nowe the dore of the ynnermer court stode streyght ouer agaynst the dore, that was towarde the northeast. From one dore to another he measured .C. cubytes.
Ezek.40.24	After that, he brought me to the southsyde, where there stode a dore towarde the south: whose pillers and porches he measured, these had the fyrst measure,
Ezek.40.25	and with their porches they had windowes rounde about, like the fyrst wyndowes. The heyght was .l. cubites, the bredth .xxv.
Ezek.40.26	with steppes to go vp vpon: hys porche stode before with hys pyllers and date trees on ether side.
Ezek.40.27	And the dore of the ynnermer courte stode towarde the south, and he measured from one dore to another an .C. cubites.
Ezek.40.28	So he brought me into the ynnermer court, thorowe the dore of the southsyde, which he measured: and it had the measure aforsayde.
Ezek.40.29	In lyke maner, hys chambres, pyllers and forentreys, had euen the foresayde measure also. And he had with hys porches rounde about windowes of fifty cubites heyght, and .xxv. cubytes broade.
Ezek.40.30	The porches round about were .xxv. cubites longe, and .v. cubites broad:
Ezek.40.31	and his porche reached vnto the vttermost court, vpon his pyllers, there were date trees, and eyght steppes to go vp vpon.
Ezek.40.32	He brought me also into the ynmost court vpon the east syde, and measured the dore, according to the measure aforsayd.
Ezek.40.33	His chambers, pyllers and porches had euen the same measure, as the fyrst had: and with hys porches, he had wyndowes rounde about. The heyght was .l. cubytes, the bredth .xxv. cubites:
Ezek.40.34	hys porche reached vnto the vttermost court: his pillers also had date trees on ether syde, Ꟶ .viij. steppes to go vp vpon.
Ezek.40.35	And he brought me to the north dore Ꟶ measured it: which also had the forsayde measure.
Ezek.40.36	His chambres, pillers Ꟶ porches had windowes rounde about: whose heyght was .l. cubites, and the bredth .xxv.
Ezek.40.37	Hys pyllers stode towarde the vtmost court, and vpon them both were date trees, and .viij. steppes to go vp vpon.
Ezek.40.38	Ther stode a chambre also, whose intraunce was at the dore pyllers, and there the burntofferynges were wasshed.
Ezek.40.39	In the dore porche, there stode on eyther syde two tables for the slaughtinge: to sleye the brentofferinges, synofferynges and trespace offeringes therupon.
Ezek.40.40	And on the outside as men go forth to the north dore, ther stode two tables.
Ezek.40.41	Foure tables stode on ether side of the dore, that is .viij. tables: wherupon they slaughted.
Ezek.40.42	Foure tables were of hewen stone for the burntoffringes, of a cubite and a halfe longe and brode, and one cubite hye: wherupon were layed the vessels and ornamentes, which were vsed to the burnt and slayne offeringes: whan they were slaughted.
Ezek.40.43	And within, there were hokes foure fingers brode, fastened rounde about, to hange flesh vpon, and vpon the tables was layed the offryng fleshe.
Ezek.40.44	On the out syde of the innermer dore were the syngers chambers in the inwarde court besyde the north dore oueragaynst the south. There stode one also, besyde the east dore northwarde.
Ezek.40.45	And he sayde vnto me: This chambre on the south syde belongeth to the prestes, that kepe the habytatyon:
Ezek.40.46	and this towarde the north, is the prestes that wayte vpon the aulter: which be the sonnes of Sadoch, that do seruice before the Lorde in steade of the chyldren of Leui.
Ezek.40.47	So he measured the fore court, which had in length an .C. cubites, and asmoch in bredth by the foure corners. Now the aulter stode before the house.
Ezek.40.48	And he brought me to the fore entrye of the house, and measured the walles by the entry dore: which were .v. cubites longe on eyther syde. The thycknes also of the dore on eyther syde was thre cubites.
Ezek.40.49	The length of the porche was .xx. cubites, the bredth .xi. cubites, and vpon steppes went men vp to it: by the walles also were pyllers on eyther syde one.
Ezek.41.1	After this, he brought me to the temple, and measured the postes, which were of both sydes syxe cubites thicke, accordyng to the widenes of the tabernacle.
Ezek.41.2	The bredth of the dore was .x. cubites, Ꟶ the walles of the dore on eyther syde .v. cubites. He measured the length therof, which conteyned .xl. cubites, Ꟶ the bredth .xx.
Ezek.41.3	Then went he in Ꟶ measured the dore postes: which were two cubites thicke: but the dore it selfe was syxe cubites, and the bredth of the dore was, .vij. cubites.
Ezek.41.4	He measured the length and bredth therof, which were euery one .xx. cubites, before the temple. And he sayde vnto me: this is the holiest of all.
Ezek.41.5	He measured also the wall of the house, which was .vi. cubites. The chambres that stode rounde about the house, were euery one .iiij. cubites wyde:
Ezek.41.6	and one stode harde vpon another, wherof ther were .xxxiij. ther stode postes beneth by the walles rounde about the house, to beare them vp: but in the wall of the house, they were not fastened.
Ezek.41.7	The syde chambres were, the hyer the wyder, Ꟶ had steppes thorowe them rounde about the house. Thus was it wyder aboue, that from the lowest men myght go to the hyest by the mydd chambres.
Ezek.41.8	I sawe also that the house was very hye rounde aboute. The foundacyon of the syde chambres was a meterodde, that is .vi. cubites broade.
Ezek.41.9	The thicknes of the syde wall without, conteined .v. cubites, and so dyd the outwall of the chambres in the house.
Ezek.41.10	Betwene the chambres was the wydenes .xx. cubites rounde about the house.
Ezek.41.11	The chambre dores stode ouer agaynst the outwall, the one dore was toward the north, the other towarde the south: and the thycknesse of the outwall was .v. cubites rounde about
Ezek.41.12	Nowe the buylding that was separated towarde the west, was .lxx. cubites wyde: the wall of the buylding was .v. cubytes thicke rounde about, and the length foure score cubites Ꟶ ten.
Ezek.41.13	So he measured the house which was an .C. cubytes longe, and the separated buylding with the wall were an .C. cubytes longe also.
Ezek.41.14	The wydenes before the house, and of it that was separated towarde the east, was an .C. cubytes.
Ezek.41.15	And he measured the length of the buylding before and behynde with the chambres vpon both the sydes: and it conteyned an .C. cubytes. The ynnermer temple, the porch of the fore court,
Ezek.41.16	the syde postes, these thre had syde wyndowes and pyllers rounde about ouer agaynst the postes, from the grounde vp to the wyndowes. The wyndowes them selues were syled ouer with bordes:
Ezek.41.17	and thus was it aboue the dore vnto the ynmost house: and without also. Yee, the whole wall on euery syde both within and without was silled ouer with great borders.
Ezek.41.18	There were cherubins and date trees made also, so that one date tree stode euer betwixte to cherubyns. One cherub had two faces,
Ezek.41.19	the face of a man lokyng asyde toward the date tree, Ꟶ a lions face on the other syde. Thus was it made rounde about in all the house.
Ezek.41.20	Yee, the cherubyns and date trees were made from the grounde vp aboue the dore, and so stode they also vpon the wall of the temple.
Ezek.41.21	The bypostes of the temple were fouresquared, and the fashyon of the sanctuarye was euen as it appeared vnto me afore in the vision.
Ezek.41.22	The table was of wodde .iij. cubites hye and .ij. cubytes longe: hys corners, the length Ꟶ the walles were of wodde. And he sayde vnto me: Thys is the table, that shall stande before the Lorde.
Ezek.41.23	The temple and the holyest of all had eyther of them two dores.
Ezek.41.24	and euery dore had .ij. lytle wyckettes which were folden in one vpon another, on euery side two.
Ezek.41.25	And vpon the dores of the temple, ther were made cherubins and date trees, like as vpon the walles: and a greate thycke balke of wodde was before on the out syde of the porche.
Ezek.41.26	Upon both the sydes of the walles of the porch, there were made depe wyndowes and date trees, hauyng beames and balkes, lyke as the house had.
Ezek.42.1	Then caryed he me out into the fore court towarde the north, Ꟶ brought me into the chambre that stode oueragaynst the backbuyldinge north ward, which had the length of an .C. cubytes: whose dore turned toward the north.
Ezek.42.2	The wydenes conteyned .l. cubytes:
Ezek.42.3	oueragaynst the .xx. cubytes of the ynnermer court, and agaynst the paued worke that was in the court, besyde all these thre, ther stode pillers, one oueragaynst another:
Ezek.42.4	And before thys chambre there was a walkyng place of .x. cubites wyde, and within was a waye of one cubite wyde and their dores towarde the north.
Ezek.42.5	Thus the hyest chambres were alwaye narower then the lowest and myddelmost of the buyldynge:
Ezek.42.6	for they bare chambre vpon chambre, and stode thre together one vpon another, not hauyng pillers lyke the fore court: therfore were they smaller then those beneth and in the middest to reken from the grounde vpwarde.
Ezek.42.7	The wall without that stode by the chambres towarde the vtmost court vpon the fore syde of the chambres, was .l. cubytes longe:
Ezek.42.8	for the length of the vtmost chambres in the fore court was .l. cubytes also: but the length therof before the temple was an .C. cubytes.
Ezek.42.9	These chambres had vnder them an intraunce of the east syde, wherby a man myght go in to them out of the fore court,
Ezek.42.10	thorowe the thicke wall of the fore court towarde the east, ryght oueragaynst the separated buylding.
Ezek.42.11	Before the same buyldyng vpon thys syde, there were chambres also which had a waye vnto them, lyke as the chambre on the north syde of the same length and wydenesse. Theyr intraunce, fashyon and dores were also of the same maner.
Ezek.42.12	Yee, euen lyke as the other chambre dores were: so were those also of the south syde. And before the waye towarde the syngers steppes on the east syde, there stode a dore to go in at.
Ezek.42.13	Then sayde he vnto me: The chambers towarde the north Ꟶ the south which stande before the backe buyldynge: those be holy habytatyons, wherein the prestes that do seruyce before the Lorde, must eate the most holy offeringes: and there must they laye the most holy offeringes, meatofferynges, synne offerynges, and trespace offerynges: for it is an holy place.
Ezek.42.14	When the prestes come therin, they shall not go out into the fore courte: but (seynge they be holy) they shall leaue the clothes of their ministracyon, and put on other garmentes, when they haue any thyng to do with the people.
Ezek.42.15	Nowe when he had measured all the ynnermer house, he brought me forth thorowe the east porte, and measured the same rounde about.
Ezek.42.16	He measured the east syde with the meterode, which rounde about conteyned .v.C. meteroddes:
Ezek.42.17	And the north syde measured he which conteyned rounde about euen so moch.
Ezek.42.18	The other two sydes also towarde the south
Ezek.42.19	and the west, which he measured, conteyned ether of them .v.C. meteroddes.
Ezek.42.20	So he measured all the foure sydes, where there went a wall rounde about .v.C. meteroddes longe, and as broade also which separated the holy from the vnholy.
Ezek.43.1	So he brought me to the dore that turneth toward the east.
Ezek.43.2	Behold, then came the glory of the God of Israel from out of the east, whose voyce was lyke a great noyce of waters, and the earth was lyghtened with his glory.
Ezek.43.3	His syght to loke vpon was lyke the fyrst, that I sawe when I went in, what tyme as the cytie shuld haue bene destroyed: and like the visyon that I sawe by the water of Cobar. Then fell I vpon my face:
Ezek.43.4	but the glory of the Lord came into the house, thorowe the east dore.
Ezek.43.5	So a wynde toke me vp, and brought me into the ynnermer court: and beholde, the house was full of the glory of the Lorde.
Ezek.43.6	I hearde one speaking vnto me out of the house: and there stode one by me,
Ezek.43.7	that sayde vnto me: O thou sonne of man, this rowme is my seate, Ꟶ the place of my fotsteppes, where as I wyll dwell amonge the children of Israel for euermore: so that the house of Israel shall nomore defyle my holy name: nether they, ner their kynges thorowe theyr whordome, thorowe their hye places, Ꟶ thorowe the deed bodyes of their kinges:
Ezek.43.8	which haue builded their thresholdes in maner hard vpon my thresholdes, Ꟶ their postes almost at my postes: Ꟶ a wall betwyxte me and them. Thus haue they defyled my holy name wt their abhominations, that they haue commytted. Wherfore, I haue destroyed them in my wrath.
Ezek.43.9	But now they shal put awaye their whordome Ꟶ the deed bodies of their kinges out of my syght, that I maye dwell among them for euermore.
Ezek.43.10	Therfore, O thou sonne of man, shewe thou the housholde of Israel a temple, that they maye be ashamed of their wickednes, Ꟶ measure them selues an example therat.
Ezek.43.11	And when they be ashamed of all theyr worckes, then shewe them the fourme Ꟶ fashyon of the temple, the comming in, the goynge out, all the maner and descripcyon therof: yee, all the vses Ꟶ ordinaunces of it, that they maye kepe and fulfyll all the fashyons and customes therof.
Ezek.43.12	This is the descripcion of the house. Aboue, vpon the mount rounde about all the corners, it shalbe the holyest of all. Beholde, that is the descripcyon and fashyon of the house.
Ezek.43.13	Thys is the measure of the aultar, after the true cubite: which is a spanne longer then another cubyte, his botome in the middest was a cubite longe and wyde, and the ledge that went rounde about it, was a spanne broade. This is the heyght of the aulter.
Ezek.43.14	From the ground to the lower steppes, the length is two cubites: and the bredth one cubite: and from the lower steppes to the hygher, are foure cubytes, and the bredth but one cubite.
Ezek.43.15	The aultar was .iiij. cubytes hye, and from the aultar vpwarde stode .iiij. hornes,
Ezek.43.16	and it was .xij. cubytes longe and .xij. cubites broade, vpon the foure corners:
Ezek.43.17	the couering of the aultar was .xiiij. cubites longe Ꟶ broad vpon the foure corners, and the ledge that went rounde about had halfe a cubite, and the botome therof rounde about one cubite: hys steppes stode towarde the east.
Ezek.43.18	And he sayd vnto me: Thou sonne of man, thus sayth the Lorde God: these are the ordynaunces and lawes of the aultar: in the daye, whan it is made to offer burntofferinges, and to sprenckle bloude therupon.
Ezek.43.19	To the prestes, to the leuites that be of the sede of Sadoch, and treade before me to do me seruyce, sayeth the Lorde God. Unto these geue thou a yonge bullocke for a synoffering:
Ezek.43.20	Ꟶ take the bloude of hym, and sprenckle his foure hornes withall: and the foure corners of the aultar couering, with the ledge that goeth rounde about, herwith shalt thou clense it, and reconcyle it.
Ezek.43.21	Thou shalte take the bullocke also of the synoffering, and burne him in a seuerall place without the sanctuary.
Ezek.43.22	The next daye, take a goatbucke, wtout blemysh for a synofferynge, to reconcyle the aultar withall, lyke as it was reconcyled wt the bullocke.
Ezek.43.23	Nowe whan thou hast made it cleane, then offre a yonge bullocke without blemysh, and a ramme out of the flocke without blemysh also.
Ezek.43.24	Offer them before the Lord: and let the preste cast salt therupon, and geue them so vnto the Lord for a burntofferyng.
Ezek.43.25	Seuen dayes shalt thou brynge euery daye a goatbuck. A yonge bullocke and a ramme of the flocke, both without blemysh, shall they offre.
Ezek.43.26	Seuen dayes shall they reconcyle and clense the aultar, and offre vpon it.
Ezek.43.27	When these dayes are expyred, then vpon the eight daye and so forth, the prestes shall offre their burntofferinges and healthofferinges vpon the aultar: so will I be mercyfull vnto you, sayth the Lorde God.
Ezek.44.1	After this, he brought me againe to the outwarde dore of the sanctuary on the east syde, and that was shut.
Ezek.44.2	Then sayd the Lord vnto me: This dore shalbe styll shut: Ꟶ not opened for eny man to go thorowe it: but only for the Lorde God of Israel: yee, he shall go thorowe it, els shall it be shut styll.
Ezek.44.3	The prince hym selfe shall come thorowe it, that he maye eate bread before the Lorde. At the porche shall he come in, and there shall he go out againe.
Ezek.44.4	Then brought he me to the dore vpon the north syde of the house. And as I loked aboute me, beholde, the glory of the Lord fylled the house: and I fell downe vpon my face.
Ezek.44.5	So the Lorde spake vnto me: O thou sonne of man, fasten thys to thyne herte: beholde, and take diligent hede to all that I wyll saye vnto the, concernyng all the ordynaunces of the Lord, Ꟶ all his lawes: pondre well with thyne hert the commynge in of the house and the goyng forth of the sanctuary:
Ezek.44.6	Ꟶ tell that obstynate housholde of Israell. Thus sayth the Lorde God: O house of Israel, ye haue nowe don ynough withall your abhominacyons,
Ezek.44.7	seyng that ye haue brought into my sanctuary straungers, hauyng vncircumcysed hertes and fleshe, where thorowe my sanctuary is defyled, when ye offre me bread, fatt, and bloude. Thus with all youre abhominacions ye haue broken my couenaunt,
