Acts.0.0	¶ The Actes of the Apostles.
Acts.20.16	for Paul had determined to sayle ouer by Ephesus, because he wolde not spende the tyme in Asia. For he hasted (yf it were possible for him) to kepe at Ierusalem the daye of Pentecoste.
Acts.20.17	And from Myleton he sent messaungers to Ephesus, Ꟶ called the elders of the congregacion.
Acts.20.18	Which when they were come to him, he layd vnto them: Ye knowe from the fyrst daye that I cam into Asia, after what maner I haue bene wt you at all ceasons,
Acts.20.19	seruynge the Lorde with all humblenes of mynde, and with many teares Ꟶ temptacions which happened vnto me by the layinges awayte of the Iewes,
Acts.20.20	because I wolde kepe backe nothynge that was profitable vnto you: but to shewe you and teache you openly, Ꟶ thorowe out euery house,
Acts.20.21	witnessynge both to the Iewes, Ꟶ also to the Grekes, the repentaunce, that is toward God, Ꟶ the fayth which is toward oure Lorde Iesus.
Acts.20.22	And now beholde I go bounde in the sprete vnto Ierusalem, not knowing the thinges that shal come on me there,
Acts.20.23	but the the holy goost witnesseth in euery cytie, saying. that bandes and trouble abyde me.
Acts.20.24	But none of these thinges moue me nether is my lyfe deare vnto my selfe, that I might fulfyll my course with ioye, and the ministracyon which I haue receaued of the Lorde Iesu, to testifye the Gospell of the grace of God.
Acts.20.25	And now beholde, I am sure, that henceforth ye all (thorow whom I haue gone preachynge the kyngdom of God) shall se my face no more.
Acts.20.26	Wherfore, I take you to recorde this daye that I am pure from the bloude of all men.
Acts.20.27	For I haue spared no laboure, but haue shewed you all the counsell of God.
Acts.20.28	Take hede therfore vnto youre selues Ꟶ to all the flocke amonge whom the holy ghost hath made you ouersears, to rule the congregacyon of God which he hath purchased with his bloude.
Acts.20.29	For I am sure of thys, that after my departynge shall greueous wolues entre in amonge you, not sparyng the flocke.
Acts.20.30	Moreouer, of youre awne selues shall men arise, speaking peruerse thinges to drawe disciples after them.
Acts.20.31	Therfore awake, Ꟶ remember, that by the space of .iij. yeres: I ceased not to warne euery one of you nyght and daye with teares.
Acts.20.32	And now brethren, I commende you to God and to the worde of his grace, which is able to build farther, Ꟶ to geue you an inheritaunce amonge all them which are sanctifyed
Acts.20.33	I haue desyred no mans syluer, golde, or vesture.
Acts.20.34	Yee, ye your selues knowe that these handes haue ministred vnto my necessyties, Ꟶ to them that were with me.
Acts.20.35	I haue shewed you all thinges, how that so laboring ye ought to receaue the weake, Ꟶ to remember the wordes of the Lorde Iesu, how that he sayd: it is more blessed to geue then to receaue.
Acts.20.36	And when he had thus spoken, he kneled downe and prayed with them all.
Acts.20.37	And they all wepte sore and fell on Pauls necke, and kyssed hym,
Acts.20.38	sorowynge, most of all for the wordes which he spake, that they shulde se hys face nomore. And they conuayed hym vnto the shyppe.
Acts.21.1	And whan it chaunced that we had launched forth, and were departed from them, we came with a strayght course vnto Choon and the daye folowynge vnto the Rhodes, and from thence vnto Patara.
Acts.21.2	And whan we had gotten a shyppe that wolde sayle vnto Phenyces, we went aborde into it, and set forth.
Acts.21.3	But whan Ciprus beganne to appeare vnto vs, we lefte it on the lefte hande, and sayled vnto Siria, and cam vnto Tyre. For there the shyppe vnladed the burthen.
Acts.21.4	And when we had founde brethren, we taryed there .vij. dayes. And they tolde Paul thorowe the sprete that he shuld not go vp to Ierusalem.
Acts.21.5	And when the dayes were ended we departed and went oure waye, and they all brought vs on oure waye, with wyues and chyldren, tyll we were come out of the cytie. And we kneled downe in the shore and prayde.
Acts.21.6	And when we had taken oure leaue one of another, we toke shippe, Ꟶ they returned home agayne:
Acts.21.7	When we had full ended the course from Tyre, we went downe to Ptolomaida, Ꟶ saluted the brethren, Ꟶ abode with them one daye
Acts.21.8	The nexte daye, we that were of Pauls company departed, and came vnto Cesarea. And we entred into the house of Philip the Euangelist, which was one of the seuen, Ꟶ abode wt hym.
Acts.21.9	The same man had fower daughters virgens, which dyd prophesy.
Acts.21.10	And as we taryed there a good mayny of dayes, there cam a certaine prophet from Iurie, named Agabus.
Acts.21.11	When he was come vnto vs, he toke Pauls gerdell, Ꟶ bounde his fete Ꟶ handes, Ꟶ sayd: Thus sayth the holy ghost so shal the Iewes at Ierusalem bynde the man that oweth this gerdell, and shall delyuer hym into the handes of the Gentyls.
Acts.21.12	When we hearde this, both we and other which were of the same place, besought him that he wolde not go vp to Ierusalem.
Acts.21.13	Then Paul answered, Ꟶ sayde: what do ye wepynge Ꟶ veryng myne herte? I am ready, not to be bounde onely, but also to dye at Ierusalem for the name of the Lorde Iesu.
Acts.21.14	When we coulde not turne hys mynde, we ceased, sayinge the wyll of the Lord be fulfylled.
Acts.21.15	After those dayes we toke vp oure burthens, Ꟶ went vp to Ierusalem.
Acts.21.16	Ther went with vs also certayne of the discyples of Cesarea, and brought with them one Mnason of Cyprus an olde discyple, with whom we shulde lodge.
Acts.21.17	And when we were come to Ierusalem, the brethren receaued vs gladly.
Acts.21.18	And on the morow, Paul went in with vs vnto Iames. And all the elders came together.
Acts.21.19	And when he had saluted them, he tolde by order all thynges, that God had wrought amonge the gentyls by his ministracyon.
Acts.21.20	And when they hearde it, they glorifyed the Lorde, and sayde vnto him: Thou seest brother, how many thousande Iewes ther are which beleue, and they are all ernest folowers ouer the lawe.
Acts.21.21	And they are informed of the, that thou teachest all the Iewes which are amonge the gentyls, to forsake Moses: and sayst, that they ought not to circuncise theyr chyldren, nether to lyue after the customes.
Acts.21.22	What is it therfore? The multytude must nedes come together: For they shall heare that thou arte come.
Acts.21.23	Do therfore this, that we saye to the. We haue .iiij. men, which haue a vowe on them.
Acts.21.24	Them take, Ꟶ purifie thy selfe with them, and do cost on them, that they maye shaue their heades: and all shall knowe, that those thynges which they haue hearde concernyng the, are nothyng: but that thou thy selfe also walkest and kepest the lawe.
Acts.21.25	But as touchynge the gentyls which beleue we haue written and concluded, that they obserue no soche thyng: saue onely that they kepe them selues from thynges offred to ydoles, and from bloude, and from strangled, and from fornicacyon.
Acts.21.26	Then the nexte daye Paul toke the men, and puryfyed hym selfe with them and entred into the temple, declarynge that he obserued the dayes of the purificacyon, vntyll that an offeryng shuld be offered for euery one of them.
Acts.21.27	And whan the seuen dayes were nowe almost ended, that Ieues which were of Asia (when they sawe hym in the temple) moued all the people, and layde handes on him,
Acts.21.28	crying: men of Israell, helpe. This is the man, that teacheth all men euery where agaynst the people and the lawe, and thys place. He hath also brought Grekes into the temple, and hath polluted thys holy place.
Acts.21.29	For they had sene with hym one in the cytie. Trophinus an Ephesian, whom they supposed that Paul had brought into the temple.
Acts.21.30	And all the cytie was moued, and the people swarmed together. And they toke Paul and drue him out of the temple, and forth with, the dores were shut.
Acts.21.31	As they went about to kyll him, tidinges came vnto the hye captayne of the soudyers, that all Ierusalem was moued.
Acts.21.32	Which immediatly toke soudiers and vndercaptaynes, and ranne downe vnto them. When they sawe the vpper captayne and the soudiers: they lefte smytinge of Paul.
Acts.21.33	Then the captayne cam neare and toke hym, and commaunded hym to be bounde with two chaynes, and demaunded what he was, and what he had done.
Acts.21.34	And some cryed one thinge, some another amonge the people. And when he coulde not knowe the certayntie for the rage, he commaunded him to be caryed into the castle.
Acts.21.35	And when he cam vnto a stayre, it fortuned that he was borne of the soudiers for the violence of the people.
Acts.21.36	For the multitude of the people folowed after, cryinge: awaye with hym.
Acts.21.37	And whan Paul beganne to be caryed into the castle, he sayde vnto the hye Captayne: maye I speake vnto the? Which sayde: Canst thou speake Greke?
Acts.21.38	Art not thou that Egypcyan, which before these dayes madest an vproure, and leddest out into the wildernes: .iiij. thousande men that were motherers?
Acts.21.39	But Paul sayde: I am a man which am a Iewe of Tharsus a cytie in Cycill, a Cytesin of no vyle citie, I beseche the soffre me to speake vnto the people.
Acts.21.40	And when he had geuen him lycence, Paul stode on the steppes, and beckened with the hande vnto the people: and whan there was made a greate sylence he spake vnto them in the Hebrue tonge, sayinge.
Acts.22.1	Men, brethren, and fathers, heare ye myne answere which I make nowe vnto you.
Acts.22.2	When they hearde, that he spake in the Hebrue tonge to them, they kept the more sylence. And he sayeth:
Acts.22.3	I am verely a man which am a Iewe borne in Tarsus a cytie in Cycile: neuertheles, yet brought vp in thys cytie, at the fete of Gamaliell, and informed dilygently in the lawe of the fathers, and was seruent mynded to God warde, as ye all are thys same daye,
Acts.22.4	and I persecuted thys waye vnto the death byndynge and delyueryng into preson both men and wemen,
Acts.22.5	as the chefe preste doth beare me wytnesse, and all the estate of the elders: of whom also I receaued lettres vnto the brethren, and went to Damasco to bring them, (which were there bounde) vnto Ierusalem for to be punysshed.
Acts.22.6	And it fortuned (that as I made my iorney and was come nye vnto Damasco aboute none) sodenly there shone from heauen a greate lyght ronnde aboute me,
Acts.22.7	and I fell vnto the earthe, and hearde a voyce sayinge vnto me: Saul, Saul, why persecutest thou me?
Acts.22.8	And I answered: what arte thou Lorde? And he sayde vnto me: I am Iesus of Nazareth, whom thou persecutest.
Acts.22.9	And they that were wyth me, sawe verely a lyghte, and were afrayde: but they hearde not the voyce of hym that spake with me.
Acts.22.10	And I sayde: what shall I do Lorde? And the Lorde sayde vnto me: Aryse, and go into Damasco, and there it shall be tolde the of all thynges, whych are appoynted for the to do.
Acts.22.11	And whan I sawe nothynge for the bryghtnes of that lyght, I was leade by the hande of them that were wyth me, and came into Damasco.
Acts.22.12	And one Ananias a parfecte man, (and as pertaynynge to the lawe hauynge good reporte of all the Iewes, whych there dwelt)
Acts.22.13	cam vnto me, and stode, and sayde vnto me: Brother Saul, receaue thy lyght. And the same houre I receaued my syghte, and sawe hym.
Acts.22.14	And he sayde: the God of our fathers hath ordeyned the before, that thou shuldest knowe hys wyll, and shuldest heare the voyce of hys mouth:
Acts.22.15	for thou shalt be hys wytnes vnto all men of those thinges, which thou hast sene and heard.
Acts.22.16	And nowe, why taryest thou? Aryse, and be baptysed, and wasshe awaye thy synnes in callyng on the name name of the Lorde.
Acts.22.17	And it fortuned, that whan I was come agayne to Ierusalem, and prayde in the temple, I was in a traunce,
Acts.22.18	and sawe hym, sayinge vnto me: Make haste, and get the quyckly oute of Ierusalem: for they wyll not receaue thy wytnesse, that thou bearest of me
Acts.22.19	And I sayde: Lorde, they knowe that I presoned, and bett in euery Synagoge them that beleued on the.
Acts.22.20	And whan the bloude of thy wytnes Steuen was shed, I also stode by, and consented vnto hys death, and kept the rayment of them that slewe hym.
Acts.22.21	And he sayd vnto me departe, for I wyll sende the a farre hence vnto the Gentyls.
Acts.22.22	They gaue hym audience vnto thys worde, and then lyft vp theyr voyces and sayde: awaye with soche a felowe from the earth: for it is not reason that he shuld lyue.
Acts.22.23	And as they cryed, and cast of thir clothes, and thrue dust into the ayer,
Acts.22.24	the captayne commaunded hym to be brought into the castle, and bad that he shulde be scourged, and to be examined, that he might knowe, wherfore they cryed so on hym.
Acts.22.25	And whan they bounde hym wyth thonges, Paul sayde vnto the Centurion, that stode by him: Is it lauful for you to scourge a man that is a Romayn and vncondempned?
Acts.22.26	When the Centurion hearde that, he went and tolde the vpper captayne, saying: What intendest thou to do? For thys man is of Rome.
Acts.22.27	Then the vpper captayne cam, and sayd vnto him: tell me, art thou a Romayne? He sayd: Yee.
Acts.22.28	And the captayne answered, with a great some obtayned I thys fredom. And Paul sayd: I was fre borne.
Acts.22.29	Then strayght waye departed from hym they which shulde haue examyned hym. And the hye captayne also was afrayde, after he knewe that he was a Romayne, and because he had bounde hym.
Acts.22.30	On the morowe (because he wolde haue knowen the certentye wherfore he was accused of the Iewes) he losed hym from hys bondes, and commaunded the hye prestes and all the counsell to come together and brought Paul forth, Ꟶ set hym before them.
Acts.23.1	Paul behelde the councel, and sayde: men, and brethren I haue lyued in all good conscyence before God vntyll this daye.
Acts.23.2	And the hye preste Ananias commaunded them that stode by, to smyte hym on the mouth.
Acts.23.3	Then sayde Paul vnto hym: God shall smyte the thou paynted wall. Syttest thou and iudgest me after the lawe: and commaundest me to be smytten contrary to the lawe?
Acts.23.4	And they that stode by, sayde reuylest thou Goddes hye preste?
Acts.23.5	Then sayd Paul: I wist not brethren, that he was the hye preste. For it is wrytten: thou shalt not curse the ruler of thy people.
Acts.23.6	When Paul perceaued that the one parte were Saduces, and the other Pharises, he cryed out in the councell: Men and brethren, I am a Pharisey, the sonne of a Pharisey. Of the hope and resurreccyon from death, I am iudged.
Acts.23.7	And whan he had so sayde, there arose a debate betwene the Phariseyes and the Saduces and the multitude was deuyded.
Acts.23.8	For the Saduces saye, that there is no resurreccyon, nether angel, nor sprete: But the Phariseyes graunt both.
Acts.23.9	And there arose a greate crye: and whan the Scrybes which were of the Phariseyes parte arose, they stroue saying: we fynde none euyll in thys man. Though a sprete or an angell hath apeared to hym, let vs not stryue agaynst God.
Acts.23.10	And when there arose greate debate, the captayne (fearyng, lest Paul shulde haue bene pluckte a sondre of them) commaunded the soudyers to go downe, and to take hym from amonge them, and to brynge hym into the castell.
Acts.23.11	The nyght folowynge, God stode by hym, and sayde: be of good cheare Paul: for as thou hast testifyed of me in Ierusalem so must thou beare wytnesse also at Rome.
Acts.23.12	And whan it was daye, certayne of the Iewes gathered them selues togeather, and made a vowe, sayinge: that they wolde nether eate nor dryncke, tyll they had kylled Paul.
Acts.23.13	They were moo then fourtye men, which had made thys conspiracyon.
Acts.23.14	And they came to the chefe prestes and elders, and sayde: we haue bounde oure selues with a vowe, that we wyll eate nothynge, vntyll we haue slayne Paul.
Acts.23.15	Nowe therfore geue ye knowledge to the vpper captayne and to the councell, that he brynge hym forth vnto vs to morowe, as though we wold knowe some thyng more perfectly of him. But we (or euer he come neare) are redy to kyll hym.
Acts.23.16	Whan Pauls systers sonne hearde of theyr layinge awayte, he went, and entred into the castell, and tolde Paul.
Acts.23.17	And Paul called one of the vnder captaynes vnto him and sayde: brynge thys younge man vnto the hye captayne: for he hath a certayne thynge to shewe hym.
Acts.23.18	And he toke hym and brought hym to the hye captayne, and sayd: Paul the presoner called me vnto hym, and prayed me to brynge thys younge man vnto the, whych hath a certayne matter to shewe the.
Acts.23.19	The hye captayne toke hym by the hand, and went with him out of the waye, and asked him: what is yt that thou hast to tell me?
Acts.23.20	And he sayde: the Iewes are determyned to desyre the, that thou woldest brynge forth Paul to morow into the counsell, as though they wolde enquyre somwhat of hym more perfectly.
Acts.23.21	But folowe not thou theyr myndes: for there lye in wayte for hym of them, moo then fourtye men, which haue bounde them selues with a vowe, that they will nether eate nor dryncke, tyll they haue kylled hym. And now are they redy, and loke that thou shuldest promes.
Acts.23.22	The vpper captayne then let the younge man departe, and charged hym, sayinge: se thou, tell it oute to no man, that thou hast shewed these thynges to me:
Acts.23.23	And he called vnto hym two vnder captaynes sayinge: make ready two hundred soudiers to go to Cesarea, and horssmen threscore, and ten: and speare men two hundred, at the thyrde houre of the nyghte.
Acts.23.24	And delyuer them beastes, that they maye sett Paul on, and brynge hym safe vnto Felix the hye debyte
Acts.23.25	and he wrote a letter after thys maner.
Acts.23.26	Claudius Lysias vnto the most myghty rular Felix, sendeth, gretynges.
Acts.23.27	Thys man was taken of the Iewes, and shuld haue bene kylled of them. Then came I with soudyers, and reskued hym, and perceaued that he was a Romayn.
Acts.23.28	And when I wold haue knowen the cause, wherfore they accused hym, I broughte hym forth into theyr councell.
Acts.23.29	There perceaued I that he was accused of questions of their lawe. But was not gyltye of eny thynge worthy of death or of bondes.
Acts.23.30	And when it was shewed me, how that Iewes layde wayte ther for him, I sent hym strayght waye to the, and gaue commaundement to hys accusars, that the thynges, which they haue agaynst hym, they shulde tell before the: fare well.
Acts.23.31	Then the soudyers (as it was commaunded them) toke Paul, and brought hym by night to Antipatras.
Acts.23.32	On the morow they left the horssmen to go with hym, and returned vnto the castle.
Acts.23.33	Whych when they came to Cesarea, (and delyuered the epistle to the debyte) presented Paul also before him.
Acts.23.34	When the debite had redde the lettre, he asked of what countre he was. And when he vnderstode that he was of Cilicia
Acts.23.35	I wyll heare the (sayde he) when thyne accusars are come also: and he commaunded hym to be kepte in Herodes iudgement hall.
Acts.24.1	After fyue dayes, Ananias the hye preste descended with the elders, and with a certayne oratour named Tartullus, which enformed the debite against Paul.
Acts.24.2	And when Paul was called forth, Tartullus beganne to accuse hym, saying: Seyinge that we lyue in greate quietnes by the meanes of the, and that many good thynges are done vnto thys nacion thorowe thy prouidence.
Acts.24.3	that alowe we euer and in all places moost noble Felix with all thankes.
Acts.24.4	Notwithstandynge, that I be not tedious vnto the, I praye the, that thou woldest heare vs of thy curtesy a feaw wordes:
Acts.24.5	For we haue founde this man a pestilent felowe, and a mouer of debate vnto all the Iewes in the whole world, and a maynteyner of the secte of the Nazarites
Acts.24.6	which hath also enforsed to pollute the temple. Whom we toke, and wolde haue iudged accordinge to our lawe:
Acts.24.7	but the hye captayne Lisias came vpon vs, and with great violence toke hym awaye oute of oure handes,
Acts.24.8	commaundynge hys accusars to come vnto the. Of whom thou mayest (yf thou wilt enquyre) knowe the certenty of all these thinges, wherof we accuse him:
Acts.24.9	The Iewes lykewyse affermed, sayinge, that these thinges were euen so.
Acts.24.10	Then Paul (after that the debite hym selfe had beckened vnto hym that he shulde speake) answered: With a moare quiet minde do I answere for my selfe,
Acts.24.11	for as moche as I vnderstande, that thou hast bene of many yeares a iudge vnto thys people, because that thou mayest knowe, that ther are yet, but twelue dayes sence I went vp to Ierusalem for to worshyppe,
Acts.24.12	and they nether founde me in the temple disputynge with eny man, ether raysinge vp the people, nether in the Synagoges, nor in the cytie.
Acts.24.13	Nether can they proue the thynges wherof they accuse me
Acts.24.14	But thys I confesse vnto the, that after the waye (which they call heresye) so worship I the God of my fathers, beleuynge all thinges which are wrytten in the lawe Ꟶ the prophetes,
Acts.24.15	and haue hope towardes God, that the same resurreccion of the deed (which they them selues loke for also) shalbe, both of iust and vniust.
Acts.24.16	And therfore study I to haue allwaye a cleare conscience toward God, and towarde men.
Acts.24.17	But after many yeares, I came and brought almes to my people and offerynges
Acts.24.18	in the which they founde me purifyed in the temple, nether with multitude, nor yet with vnquyetnesse. Howbeit there were certen Iewes out of Asia,
Acts.24.19	which ought to be here present before the, and accuse me, yf they had ought agaynst me:
Acts.24.20	or elles lett these same here saye, yf they haue found any euyll doynge in me, whyle I stande here in the councell:
Acts.24.21	except it be for this one voyce, that I cryed standynge among them. of the resurreccyon from death am I iudged of you thys daye.
Acts.24.22	When Felix heard these thinges, he deferde them, for he knew very well of that waye, and sayde: when Lysias the captayne is come downe. I will knowe the vtmost of your matter.
Acts.24.23	And he commaunded an vndercaptayne to kepe Paul, and to let hym haue rest, and that he shuld forbyd none of hys acquayntaunce to minister vnto him, or to come vnto hym.
Acts.24.24	And after a certayne dayes, whan Felix came with his wyfe Drusilla (which was a Iewesse) he called forth Paul, and hearde hym of the fayth, which is towarde Chris
Acts.24.25	And as he preached of ryghtewesnes temperaunce, and iudgement to come, Felix trembled, and answered: Go thy waye for thys tyme: whan I haue a conuenient season, I wyll sende for the.
Acts.24.26	He hoped also, that money shulde haue bene geuen hym of Paul, that he myght loose him: wherfore, he called hym the oftenner and comened with hym.
Acts.24.27	But after two yeare, Festus Porcius came into Felix rowme. And Felix wyllynge to shewe the Iewes a pleasure, lefte Paul in preson bounde.
Acts.25.1	When Festus had receaued the offyce, after thre dayes, he ascended from Cesarea vnto Ierusalem.
Acts.25.2	Then enformed him the hye prestes and the chefe of the Iewes, of Paul. And they besought hym,
Acts.25.3	and desyred fauour agaynst hym, that he wolde sende for hym to Ierusalem: and they layde awayte for hym in the waye, to kyll hym.
Acts.25.4	Festus answered, that Paul shulde be kept. at Cesarea, but that he hym selfe wold shorly departe thyther.
Acts.25.5	Let them therfore (sayde he) which among you are able, come downe with vs, and accuse hym, yf there be any fawte in the man.
Acts.25.6	When he had taryed there amonge them more then ten dayes, he wente downe vnto Cesarea and the nexte daye sat downe in the iudgement seate, and commaunded Paul to be brought.
Acts.25.7	Which when he was come, the Iewes which were come from Ierusalem, stode aboute hym, and layde many and greueous complayntes agaynst Paul, whych they coulde not proue,
Acts.25.8	as longe as he answered for hym self that he had nether agaynst the lawe of the Iewes, nether agaynst the temple, nor yet agaynst Cesar offended any thynge at all.
Acts.25.9	Festus wyllynge to do the Iewes a pleasure, answered Paul, and sayde: wylt thou go vp to Ierusalem, and there be iudged of these thynges before me?
Acts.25.10	Then sayde Paul: I stande at Cesares iudgement seate, where I ought to be iudged. To the Iewes haue I no harme done, as thou very well knowest.
Acts.25.11	If I haue hurte them, or commytted any thyng worthy of death, I refuse not to dye. If no one of these thynges are, where of they accuse me, no man maye delyuer me to them, I appeale vnto Cesar.
Acts.25.12	Then spake Festus with deliberacyon, and answered: Thou hast appealed vnto Cesar: vnto Cesar shalt thou go.
Acts.25.13	And after a certayne dayes, kinge Agripa and Bernice came vnto Cesarea to salute Festus.
Acts.25.14	And whan they had bene there a good ceason, Festus rehearsed Paules cause vnto the kynge, sayinge: there is a certayne man lefte in preson of Felix,
Acts.25.15	aboute whom whan I came to Ierusalem, the hye prestes and elders of the Iewes enfourmed me, and desyred to haue iudgement agaynst hym.
Acts.25.16	To whom I answered: It is not the maner of the Romaynes, for fauoure to delyuer any man, that he shulde perysshe, before that he which is accused, haue the accusars before hym, and haue lycence to answere for hym selfe, concernynge the cryme layde agaynst hym.
Acts.25.17	Therfore, whan they were come hyther, withoute any delaye, on the morowe I sate to geue iudgment, and commaunded the man to be brought forth.
Acts.25.18	Agaynst whom, whan the accusars stode vp, they brought noone accusacion of soch thynges as I supposed:
Acts.25.19	but had certen questious agaynst hym of theyr awne supersticion, and of one Iesus which was deed, whom Paul affyrmed to be alyue.
Acts.25.20	And because I douted of soche maner of questions, I asked hym, whether he wolde go to Ierusalem, and there be iudged of these matters.
Acts.25.21	But whan Paul had appealed to be kepte vnto the knowledge of Cesar, I commaunded hym to be kepte, tyll I myght sende hym to Cesar.
Acts.25.22	Agripa sayde vnto Festus: I wolde also heare the man my selfe. Tomorowe, (sayde he) thou shalt heare hym.
Acts.25.23	And on the morowe whan Agripa was come and Bernice, with greate pompe, and were entred into the councell house, with the captaynes and chefe men of the cytie, at Festus commaundement was Paul brought forth.
Acts.25.24	And Festus sayde: kyng Agripa, Ꟶ all ye men which are heare present with vs, ye se thys man, about whom all the multitude of the Iewes haue intreated me, both at Ierusalem and also here cryinge, that he ought not to lyue any lenger.
Acts.25.25	Yet founde I nothyng worthy of death, that he had committed. Neuertheles, seying that he hath appealed to Cesar, I haue determined to send hym.
Acts.25.26	Of whom I haue no certayne thyng to write vnto my lord. Wherfore, I haue brought hym vnto you, and specially vnto the: O kynge Agripa, that after examinacyon had, I myght haue sumwhat to wryte.
Acts.25.27	For me thincketh it vnreasonable, for to sende a presoner, and not to shewe the causes which are layde agaynst hym
Acts.26.1	Agrippa sayde vnto Paul: thou art permytted to speake for thy selfe. Then Paul stretched forth the hand, and answered for hym selfe.
Acts.26.2	I thinke my self happy king Agrippa, because I shall answere this daye before the, of all the thinges wherof, I am accused of the Iewes:
Acts.26.3	namely, because thou arte experte in all customes and questions, which are among the Iewes. Wherfore I beseche the, to heare me paciently.
Acts.26.4	My lyuynge that I haue lead of a chylde (which was at the fyrst among myne awne nacion at Ierusalem) knowe all the Iewes,
Acts.26.5	which knewe me from the begynnynge, yf they wolde testyfye. For after the moost straytest secte of our religion, I lyued a pharisey.
Acts.26.6	And now I stande and am iudged for the hope of the promes made of God vnto oure father:
Acts.26.7	vnto which promes our twelue tribes (instantly seruyng God daye Ꟶ night) hope to come. For which hopes sake, kynge Agrippa, I am accused of the Iewes.
Acts.26.8	Why shulde it be thought a thynge incredyble vnto you, that God shulde rayse agayne the deed?
Acts.26.9	I also verely thought in my selfe, that I ought to do many contrary thynges, cleane agaynst the name of Iesus of Nazareth:
Acts.26.10	which thynge I also dyd in Ierusalem. And many of the saynctes dyd I shut vp in preson, and had receaued auctorite of the hye Prestes. And when they were put to deeth. I gaue the sentence.
Acts.26.11	And I punisshed them ofte in euery synagoge, and compelled them to blaspheme: and was yet more mad vpon them, and persecuted them, euen vnto straunge cyties.
Acts.26.12	About which thinges as I went to Damasco wyth auctorite and licence of the hye Prestes,
Acts.26.13	euen at myddaye. (O kyng) I sawe in the waye a lyght from heauen aboue the bryghtnes of the sonne shyne rounde about me, and them whych iorneyed wyth me.
Acts.26.14	When we were all fallen to the erthe, I heard a voyce speakynge vnto me, Ꟶ saying in the Hebrue tonge: Saul, Saul, why persecutest thou me? It is harde for the to kicke agaynst the prickes.
Acts.26.15	And I sayd: Who art thou Lorde? And he sayde: I am Iesus whom thou persecutest,
Acts.26.16	but ryse and stand vp on thy fete. For I haue appeared vnto the for thys purpose, to make the a minister and a witnes both of those thynges whych thou hast sene, Ꟶ of those thynges in the which I will appeare vnto the,
Acts.26.17	delyueringe the from the people, and from the gentyls, vnto whom now I sende the,
Acts.26.18	to open their eyes, that they maye be turned from darckness to light, and from the power of Satan vnto God, that they maye receaue forgeuenes of synnes, and inheritaunce amonge them whych are sanctified by fayth that is toward me.
Acts.26.19	Wherfore (O kynge Agryppa) I was not disobedient vnto the heauenly visyon:
Acts.26.20	but shewed fyrst vnto them of Damasco, and at Ierusalem, and thorow out all the coastes of Iewry, and then to the gentyls, that they shuld repent, and turne to God, and do soch workes as become them that repent.
Acts.26.21	For thys cause the Iewes caught me in the temple, and went about to kyll me.
Acts.26.22	Seyng therfore that I haue obtained helpe of God: I contynew vnto thys daye, wytnessinge bothe to small Ꟶ to great, saying none other thynges, then those whych the prophetes and Moses dyd saye shuld come:
Acts.26.23	that Christ shulde soffer, and that he shulde be the fyrst that shuld ryse from deth, and shuld shew lyght vnto the people, and to the gentyls.
Acts.26.24	As he thus spake for hym selfe: Festus sayde with a loude voyce: Paul, thou art besyde thy selfe. Moch learnynge doth make the madd.
Acts.26.25	And Paul sayde: I am not mad (most deare Festus) but speake forth the wordes of trueth and sobernes.
Acts.26.26	For the kynge knoweth of these thynges, before whom also I speake frely: nether thynke I that eny of these thynges are hydden from him. For thys thynge was not done in a corner.
Acts.26.27	Kynge Agrippa beleuest thou the Prophetes? I wote well that thou beleuest.
Acts.26.28	Agrippa sayde vnto Paul: Sumwhat thou bryngest me in mynde for to become Chrysten.
Acts.26.29	And Paul sayde? I wolde to God that not onely thou: but also all that heare me to daye were, not somwhat onely, but all together, soch as I am, except these bondes.
Acts.26.30	And when he had thus spoken, the kynge rose vp, and the debite, and Bernice, and they that sate with them,
Acts.26.31	And when they were gone aparte, they talked betwene them selues, sayinge. Thys man doeth nothyng worthy of deeth, or of bondes.
Acts.26.32	Then sayde Agrippa vnto Festus. Thys man myght haue bene let loose, yf he had not appealed vnto Cesar.
Acts.27.1	When it was concluded, that we shuld sayle into Italy they delyuered both Paul Ꟶ certayne other presoners, vnto one named Iulius, an vndercaptayne of Cesars soudiars.
Acts.27.2	And we entred into a shyp of Adramicium, and loosed from land, apoynted to sayle by the coastes of Asia, one Aristarcus out of Macedonia, of the contre of Thessalonia taryinge styll with vs.
Acts.27.3	And the nexte daye we came to Sidon. And Iulius courteously entreated Paul, and gaue him lyberte, to go vnto his frendes, Ꟶ to refresshe hym selfe.
Acts.27.4	And whan we had launched from thence, we sayled harde by Cypers, because the wyndes were contrarye.
Acts.27.5	And whan we had sayled ouer the see of Cylicia, Ꟶ Pamphilia, we cam to Myra whych is in Lycia.
Acts.27.6	And there the vndercaptayne founde a shyppe of Alexandria ready, that sayled into Italy, and he put vs therin.
Acts.27.7	And when we had sayled slowly many dayes, and scace were come ouer agaynst Guydon (because the wynde wyth stode vs) we sayled harde by the coaste of Candy, ouer agaynst Salmo,
Acts.27.8	and wyth moche worke sayled beyonde it, Ꟶ came vnto a place which is called the fayre hauens. Nye wher vnto was the cytie of Lasea
Acts.27.9	when moche tyme was spent, and whan sayling was now ieoperdous, because also that they had ouerlonge fasted, Paul put them in remembraunce,
Acts.27.10	and sayd vnto them: Syrs I perceaue, that thys viage wilbe wyth hurte and moche damage, not of the ladynge and shyp onely, but also of your lyues:
