Judg.0.0	¶ The boke of Iudges, called in the Hebrue Sophtim and in the Latin Iudicum.
Judg.20.28	in those dayes. And Phinehes the sonne of Eleazar, the sonne of Aaron waytynge vpon it at that tyme sayde: shall I get me vp to go out any moare to batell agaynst the chyldren of BenIamin my brethren, or shall I cease? The Lorde sayde: go, for to morowe I will delyuer them into youre handes.
Judg.20.29	And Israell sett layers awayte rounde about Gibea.
Judg.20.30	And the chyldren of Israel went vp agaynst the chyldren of BenIamin the thyrde tyme, and put them selues in araye agaynst Gibea, as twyse before.
Judg.20.31	And the chyldren of BenIamin came out agaynst the people, and were drawen awaye from the cytie: And they beganne to smyte of the people deed (as twise before, by two hye wayes of which one gothe vp to Bethell and the other to Gibea thorowe the felde) vpon a thyrtye men of Israell.
Judg.20.32	And the chyldren of BenIamin sayde. They are fallen before vs, as at the fyrst. But the chyldren of Israel sayde: let vs flye and plucke them awaye from the cytie, vnto the hye wayes.
Judg.20.33	And all the men of Israell rose vp out of their place, and put them selues in araye at Baal Thamar. And lyke wyse the layers in wayte of Israel came forth out of their places, euen out of the medowes that were aboute Gibea,
Judg.20.34	Ꟶ came agaynst Gibea: ten thousande chosen men out of all Israel, and there was a sore battell. But the other wist not that so great euyll was so nye them.
Judg.20.35	And the Lorde plaged BenIamin before Israel, Ꟶ the chyldren of Israel destroyed of the Beniamites the same daye .xxv. thousande and a hundred men, that drue swerdes euerye one of them.
Judg.20.36	And whan the chyldren of BenIamin sawe that they were put to the worste, the men of Israel gaue rowme to the Beniamites, because they trusted vnto the layers in wayte which they had layde besyde Gibea.
Judg.20.37	And the layers in wayte hasted, and ranne vpon Gibea, and went and smote all the cytye with the edge of the swerde.
Judg.20.38	And an apoyntment had the men of Israell from the layers in wayte that they shulde make a greate smoke ryse vp out of the cytie.
Judg.20.39	And whan the men of Israel fledd in the battell BenIamin began to smyte deed of the chyldren of Israel, aboute a thyrtie parsonnes, and sayde: the other are put to the worsse before vs, as in the fyrst batell.
Judg.20.40	But whan there began to aryse out of the cytie a pyller of smoke, the Beniamites loked backe: and beholde, the wastynge of the hole cytie began to ascende vp to heauen.
Judg.20.41	When the men of Israell also turned agayne, the men of Ben Iamin were abasshed: for they saw that euel approched them.
Judg.20.42	And therfore they turned their backes before the men of Israel vnto the waye that leadeth to the wildernesse, but the men of warre ouertoke them. And besyde that, they which came out of the cytie, destroyed them in the myddle of them.
Judg.20.43	And thus they compassed the Beniamites aboute, and chased them to Menuha, and ouerranne them to Gibea on the east syde:
Judg.20.44	and there were slayne of BenIamin .xviij. thousande, which were all men of warre.
Judg.20.45	And they turned and fledd to the wyldernesse warde, and vnto the rocke of Rymmon. And the other slue by the waye of the rest of them, fyue thousande men, and stycked vnto them, vntyll they cam to Gideom and slue two thousande men of them.
Judg.20.46	So that all that were slayne that same daye of BenIamin were .xxv. thousande men that drue swerdes, which were all men of warre:
Judg.20.47	onelye .vj. hundred men turned and fledd to the wyldernesse, vnto the Rocke of Rymmon and abode there .iiij. monethes.
Judg.20.48	And the men of Israell turned backe agayne vnto the chyldren of BenIamin, Ꟶ smote them with the edge of the swerde in the cyties, bothe man and beast and all that came to hande, and sett on fyer all the cyties that they coulde come by.
Judg.21.1	And euery man of Israel sware in Mizpa, sayinge: there shall none of vs geue hys daughter vnto any of BenIamin to wyfe.
Judg.21.2	And the people came to Bethell Ꟶ abode there tyll euen before God, Ꟶ lyfte vp theyr voyces and wept sore,
Judg.21.3	and sayde. O Lorde God of Israel, why is thys chaunced in Israel, that there shulde be thys daye one trybe lackynge in Israell?
Judg.21.4	And on the morow the people rose vp by tyme, and made there an altare, and offered burntofferinges and peaceofferynges.
Judg.21.5	And the chyldren of Israell asked, who are they amonge all the tribes of Israel, that came not vp with the congregacyon vnto the Lorde? for they had made a greate othe concernynge him that came not vp to the Lord to Mizpa, sayinge: he shall suerlye dye.
Judg.21.6	And the chyldren of Israell had pytie on BenIamin theyr brethren, and sayde: there is one trybe cut of from Israell thys daye:
Judg.21.7	what shall we do vnto the remnaunt of them, that they maye haue wyues? we haue sworne by the Lorde, that we will not geue them of oure daughters to wyues.
Judg.21.8	And they sayde: Is there any of the trybes of Israel, that came not vp to Mizpa to the Lorde?
Judg.21.9	And beholde, ther came none of the enhabitoures of Iabes Gilead vnto the hoost and congregacyon. For the people were vewed: and beholde, there were none of the enhabiters of Iabes Gilead there.
Judg.21.10	And they sent thether a multitude, euen .xij. thousande men of the strongest of them, and commaunded them, sayinge: go and smyte the enhabiters of Iabes Gilead with the edge of the swerde, both wemen and chyldren.
Judg.21.11	And this is it that ye shall do: vtterlye destroye all the males and all the wemen that haue lyen by men.
Judg.21.12	And they founde amonge the in habiters of Iabes Gilead foure hundred damoselles, virgines, that had knowen no man, by lyeng with any male. And they brought them vnto the host to Silo, which is in the lande of Canaan.
Judg.21.13	And the hole congregacion sent and spake with the chyldren of BenIamin that were in the Rocke of Rymmon, and called peceablye vnto them:
Judg.21.14	and BenIamin came agayne at that tyme, and they gaue them wyues, which they had saued alyue of the wemen of Iabes Gilead. But they suffysed them not.
Judg.21.15	And the people had compassyon on BenIamin, because that God had made a gappe in the trybes of Israel.
Judg.21.16	And then the elders of the congregacyon, sayde: what shall we do to the remnaunt of them, to get them wyues, seinge all the wyues of BenIamin are destroyed?
Judg.21.17	And they sayde: there must be an enheritaunce for them that be escaped of BenIamin, that a trybe be not destroyed out of Israell:
Judg.21.18	howbeit, we maye not geue them wyues of oure daughters. For the chyldren of Israell had sworne, sayinge: curssed be he, that geueth a wyffe to BenIamin.
Judg.21.19	Then they sayde: beholde, there is a feast of the Lord yearly in Sylo, which is on the northsyde of Bethel, and on the east syde of the waye that goeth from Bethel to Sichen and south from Libanon.
Judg.21.20	Therfore they commaunded the chyldren of BenIamin, saying: go and lye in wayte in the vynyardes.
Judg.21.21	And when ye se that the daughters of Silo come out to daunce in a rowe, then come ye out of the vyneyardes, and catch you euerye man a wyfe of the daughters of BenIamin.
Judg.21.22	And whan theyr fathers or brethren come vnto vs to complayne, we wyll saye vnto them: haue pytie on vs for theyr sakes, because we reserued not to eche man his wyfe in tyme of warre, Neither haue ye geuen vnto them, that ye shulde synne at this tyme.
Judg.21.23	And the chyldren of BenIamin dy euen so: and toke them wyues accordynge to the nombre of them that daunced, whom they caught. And they went, and returned vnto theyr enheritaunce, and repayred the cyties, and dwelt in them.
Judg.21.24	And the chyldren of Israell departed thence at that tyme, and went euery man to hys trybe, and to hys kynred, and went out from thence euery man to hys enheritaunce.
Judg.21.25	In those dayes there, was no kynge in Israel: but euery man dyd that which semed ryght in his awne eyes.
Judg.0.0	¶ The ende of the boke of Iudges, called in the Hebrue Sophtim
