Gen.0.0	¶ The fyrst booke of Moses / called in the Hebrue Bereschit : and in the latyn: Genesis.
Gen.41.3	Ꟶ .vij. other kyne came vp after them out of the ryuer, euel fauored and leane flesshed, and stode by the other kyne vpon the brynke of the ryuer.
Gen.41.4	And the euyll fauored and leane flesshed kyne dyd eate vp the seuen well fauored and fatt kyne: and Pharao awoke.
Gen.41.5	And he slepte agayne and dreamed the seconde tyme. And beholde, seuen eares of corne grewe vpon one stalke, rancke and goodly.
Gen.41.6	And agayne, seuen thynne eares blasted wyth the east wynde, sprange vp after them:
Gen.41.7	and the seuen thynne eares deuowred the seuen rancke and full eares. And Pharao a waked: and se, it was a dreame.
Gen.41.8	And when the mornynge came, his sprete was troubled. And he sent and called for all the sothesayers of Egypte, and all the wyse men therof, and Pharao tolde them hys dreame: but there was none of them that coulde interpretate it vnto Pharao.
Gen.41.9	Than spake the chefe buttelar vnto Pharao sayinge: I do remembre my fawtes thys daye.
Gen.41.10	Pharao beynge angrie wyth hys seruauntes, put in warde in the chefe Stewardes house both me Ꟶ the chefe baker.
Gen.41.11	And we dreamed both of vs in one nyght, and eche mannes dreame of a sondrye interpretacyon.
Gen.41.12	And there was wyth vs a yonge man, an Hebrue borne, seruaunte vnto the chefe Stewarde. To whom whan we tolde them, he declared oure dreames to vs accordynge to ether of oure dreames.
Gen.41.13	And as he declared them vnto vs, euen so it came to passe. For he restored me to myne offyce agayne, Ꟶ hanged hym.
Gen.41.14	Pharao sent therfore and called Ioseph. And they brought hym hastely out of preson. And he shaued hym selfe and chaunged hys rayment, and came in to Pharao.
Gen.41.15	And Pharao sayde vnto Ioseph: I haue sene a dreame, and no man can interpretate it, and I haue hearde saye of the, that as soone as thou hearest a dreame, thou canst interpretate it.
Gen.41.16	Ioseph answered Pharao, sayinge: Not I, but God shall geue Pharao an answere of peace.
Gen.41.17	And Pharao sayde vnto Ioseph: in my dreame me thought I stode by a ryuers syde,
Gen.41.18	and there came out of the ryuer seuen fatt flesshed, and well fauored kyne, Ꟶ fedd in the medowe.
Gen.41.19	And the seuen other kyne came vp after them, poore and very euell fauored and leane flesshed: such as I neuer sawe in all the lande of Egypte,
Gen.41.20	they were so euell fauored. And the seuen leane Ꟶ euell fauored kyne dyd eate vp the fyrst .vii. fatt kyne.
Gen.41.21	And when they had eaten them vp, a man coulde not perceaue that they had eaten them: but they were still as euell fauored as they were at the begynnynge. And I awoke.
Gen.41.22	And I sawe agayne in my dreame Ꟶ beholde, .vii. eares sprange out of one stalk, full and fayre,
Gen.41.23	and .vij. other eares agayne, wythered, thynne and blasted with the east wynde, sprange vp after them.
Gen.41.24	And the thynne eares deuowred the .vij. good eares. And I haue tolde it vnto the soth sayers, but there was no man that coulde tell, what it meaneth.
Gen.41.25	And Ioseph answered Pharao: both Pharaos dreames are one. And God hath shewed Pharao what he is aboute to do.
Gen.41.26	The .vij. good kyne are .vij. yeares: and the .vij. good eares are seuen yeares also, and it is but one dreame.
Gen.41.27	Lykewyse, the .vii. thynne and euell fauored kyne that came out after them, are .vii. yeares: and the .vii. emptye and blasted eares shalbe .vii. yeares of hunger.
Gen.41.28	Thys whych I haue sayde vnto Pharao, is it that God is aboute to do, and sheweth it vnto Pharao.
Gen.41.29	Beholde there come .vii. yeare of great plenteousnes through out all the lande of Egypte.
Gen.41.30	And agayne there shall aryse after them .vii. yeares of hunger. And all the plenteousnes shalbe forgoten in the lande of Egypte: And the hunger shall consume the lande:
Gen.41.31	nether shall the plenteousnes be knowen in the lande. by reason of that hunger that shall come after, for it shalbe exceadinge great.
Gen.41.32	And as concernynge that the dreame was doubled vnto Pharao the seconde tyme, beholde, the thynge is certaynly prepared of God, Ꟶ God wyll shortly brynge it to passe.
Gen.41.33	Nowe therfore, let Pharao prouyde for a man of vnderstondynge and wysdome, and sett hym ouer the lande of Egypte.
Gen.41.34	And let Pharao do thys also, that he make offycers ouer the lande, and take vp the fyfte parte of the lande of Egypte in the .vii. plenteous yeares,
Gen.41.35	and let them gather all the foode of these good yeres that come, and lay vp corne vnder the hande of Pharao, that there maye be foode in the cyties,
Gen.41.36	and there let them kepe it: that there maye be foode in stoore in the lande, agaynst the seuen yeares of hunger whych shall come in the lande of Egypte, that the lande peryshe not thorowe hunger.
Gen.41.37	And the sayinge pleased Pharao and all hys seruauntes.
Gen.41.38	Then sayde Pharao vnto hys seruauntes: where shall we fynde soch a man as thys is, in whom is the sprete of God?
Gen.41.39	And Pharao sayde vnto Ioseph: for as moche as God hath shewed the all thys, there is no man of vnderstondynge or of wysdome lyke vnto the.
Gen.41.40	Thou therfore shalt be ouer my house, and accordynge to thy worde shall all my people be ruled, only in the kynges seate wyll I be aboue the.
Gen.41.41	And Pharao sayde agayne vnto Ioseph: beholde, I haue sett the ouer all the lande of Egypte.
Gen.41.42	And he toke of hys rynge from hys hande, and put it vpon Iosephs hande, and arayed hym in cloth of raynes, and put a golden cheyne aboute hys necke,
Gen.41.43	and sett hym vpon the best charett that he had, saue one. And they cryed before hym: Bowe the knee, and Pharao made hym ruler ouer all the lande of Egypte.
Gen.41.44	And Pharao sayde vnto Ioseph: I am Pharao, wythout the shall no man lyfte vp hys hande or fote in all the lande of Egypte.
Gen.41.45	And he called Iosephs name zaphnath Paena. And he gaue hym to wyfe Asnath the daughter of Putiphar preast of On. Than went Ioseph abrode in the lande of Egypte.
Gen.41.46	And he was thyrtye yeare olde when he stode before Pharao kynge of Egypte. And Ioseph departynge from the presence of Pharao, went thorowe out all the lande of Egypte.
Gen.41.47	And in the seuen plenteous yeares they made sheues
Gen.41.48	and gathered vp all the foode of the seuen plenteous yeares which were in the lande of Egypte, and layed vp the same in the cyties. The foode of the feldes that grewe rownde aboute euery cyte, layed he vp in the same.
Gen.41.49	And Ioseph layde vp corne in stoore, lyke vnto the sande of the see, in multitude out of mesure, vntyll he left nombrynge: For it was wythout nombre.
Gen.41.50	And vnto Ioseph were borne two sonnes (before the yeares of hunger came) whych Asnath the daughter of Putiphar preast of On, bare vnto hym.
Gen.41.51	And Ioseph called the name of the fyrst sonne Manasse, for God (sayde he) hath made me forgett all my laboure and all my fathers housholde.
Gen.41.52	The name of the seconde called he Ephraim, for God (sayd he) hath caused me to growe in the lande of my trouble.
Gen.41.53	And when the seuen yeares of plenteousnes that was in the lande of Egypte were ended,
Gen.41.54	then came the seuen yeares of derth accordyng as Ioseph had sayde. And the derth was in all landes: but in all the lande of Egypte was there yet foode.
Gen.41.55	And when the lande of Egypt also began to hunger, the people cryed to Pharao for bread. And Pharao sayde vnto all the Egypcyans, goo vnto Ioseph, and what he sayth to you, that doo.
Gen.41.56	And the derth was thorow out all the land. And Ioseph opened all that was in the cyties, and solde vnto the Egypcyans. For the hunger waxed sore in the lande of Egypte.
Gen.41.57	And all countrees came to Egypte to Ioseph for to bye corne: because that the hunger was so sore in all landes.
Gen.42.1	And Iacob seynge that there was corne in Egypt, sayde vnto hys sonnes: why gape ye one vpon another?
Gen.42.2	And he sayd: beholde, I haue hearde that there is corne in Egypte. Gete you downe thyther Ꟶ bye vs corne from thence, that we maye lyue Ꟶ not dye.
Gen.42.3	So went Iosephs ten brethren downe to bye corne of the Egypcyans.
Gen.42.4	But BenIamin Iosephs brother wolde not Iacob sende with his other brethren, for he sayd: lest some mysfortune happen hym:
Gen.42.5	And the sonnes of Israel came to bye corne amonge other that came, for there was derth in the lande of Canaan.
Gen.42.6	And Ioseph was gouerner in the lande, and solde to all the people of the lande. And hys brethren came, and fel flat on the grounde before hym.
Gen.42.7	When Ioseph sawe hys brethren, he knewe them: and made hym selfe straunge vnto them, and spake roughly vnto them, sayinge: Whence come ye? They answered: out of the lande of Canaan, to bye vytayle.
Gen.42.8	And Ioseph knewe hys brethren, but they knewe not hym.
Gen.42.9	And Ioseph remembred his dreames which he dreamed of them, and sayd vnto them: ye are spies, and to se where the lande is weake is youre comynge.
Gen.42.10	And they sayd vnto him: nay my Lorde: but to bye vitayle thy seruauntes are come.
Gen.42.11	We are all one mans sonnes, and meane truly, and thy seruauntes are no spyes.
Gen.42.12	And he sayd vnto them agayne, nay, but euen to se where the lande is weake, is youre comynge.
Gen.42.13	And they sayde: we thy seruauntes are .xii. brethren, the sonnes of one man in the lande of Canaan. And beholde, the yongest is thys daye wyth oure father, and one, no man woteth where he is.
Gen.42.14	And Ioseph sayde vnto them, that is it that I spake vnto you, sayinge: ye are spyes.
Gen.42.15	Here by ye shall be proued. By the lyfe of Pharao, ye shall not goo hence, excepte youre yongest brother come hyther.
Gen.42.16	Sende out one of you whych maye fett youre brother, Ꟶ ye shalbe kepte in presone, that youre wordes maye be proued, whether there be any trueth in you: or els by the lyfe of Pharao, ye are but spies.
Gen.42.17	And he put them in warde thre dayes.
Gen.42.18	And Ioseph sayde vnto them the thryde daye: Thys doo and lyue, for I feare God.
Gen.42.19	If ye meane no hurte, let one of youre brethren be bounde in the house of youre preson, and goo ye brynge the necessarye foode vnto youre housholdes,
Gen.42.20	but brynge youre yongest brother vnto me: that your wordes maye be tryed, and that ye dye not. And they dyd so.
Gen.42.21	And one sayde to another: we haue verely synned agaynst oure brother, in that we sawe the anguysh of hys soull when he besought vs, Ꟶ we wolde nat heare him: and therfore is thys troubyll come vpon vs.
Gen.42.22	And Ruben answered them sayinge: sayde I not vnto you that ye shulde not synne agaynst the lad? and ye wolde not heare. And see, hys bloude is requyred.
Gen.42.23	They were not aware that Ioseph understode them, for he spake vnto them by an interpreter.
Gen.42.24	And he turned from them Ꟶ wepte and turned to them agayne, and comened with them, Ꟶ toke out Symeon from amonge them, and bownde hym before theyr eyes,
Gen.42.25	and Ioseph commaunded to fyll theyr sackes wyth corne, and to put euery mans money in hys sacke, and to geue them vytayle to spende by the waye. And thus dyd he vnto them.
Gen.42.26	And they laded theyr asses wyth the corne and departed thence.
Gen.42.27	And as one of them opened hys sacke, for to geue hys asse prauender in the Inne, he spyed hys money: for it was in hys sackes mouth.
Gen.42.28	And he sayde vnto hys brethren: my money is restored me agayne: For lo, it is euen in my sacke. And theyr harte fayled them, and they were astonyed, and sayde one to another: why hath God dealt thus wyth us?
Gen.42.29	And they came vnto Iacob theyr father vnto the lande of Canaan and tolde hym all that had happened them, sayinge:
Gen.42.30	The man, euen the Lorde of the lande spake roughly to vs, and toke vs for spyes of the countre.
Gen.42.31	And we sayd vnto him: we meane truely Ꟶ are no spyes.
Gen.42.32	We be .xii. brethren, sonnes of oure father, one is a waye, and the yongest is thys daye wyth oure father in the lande of Canaan.
Gen.42.33	And the Lorde of the countre sayde agayne vnto vs: here by shall I knowe yf ye meane truly: leaue one of youre brethren here with me, and take foode necessary for youre housholdes and get you awaye,
Gen.42.34	Ꟶ brynge youre yongest brother vnto me, that I maye knowe that ye are no spyes, but meane truely: So wyll I delyuer you youre brother, Ꟶ ye shall occupye in the lande.
Gen.42.35	And it fortuned as they emptyed theyr sackes, beholde: euery mans bundell of money was in his sacke. And when both they Ꟶ their father sawe the bundells of money, they were afrayde.
Gen.42.36	And Iacob theyr father sayde vnto them: Me haue ye robbed of my chyldren: Ioseph is a waye, and Symeon is awaye, and ye take Ben Iamin awaye. All these thynges are agaynst me.
Gen.42.37	Ruben sayde vnto hys father: Slee my two sonnes, yf I brynge hym not to the agayne. Delyuer hym to my hande, and I wyll brynge hym to the agayne:
Gen.42.38	And he sayde: my sonne shall not go downe wyth you. For hys brother is dead, Ꟶ he is left alone. If some mysfortune happen vnto him by the waye which ye go, ye shall brynge my gray head with sorowe vnto the graue.
Gen.43.1	And the derth was greate in the lande.
Gen.43.2	And it fortuned when they had eaten vp the corne whych they brought out of the lande of Egypt theyr father sayde vnto them: goo agayne, Ꟶ by vs a lytle food.
Gen.43.3	Iuda answered hym, and sayde: the man dyd testifye vnto vs, sayinge: loke that ye see not my face, excepte youre brother be wyth you.
Gen.43.4	If thou wylt sende oure brother wt vs, we wyll go downe, and bye the foode.
Gen.43.5	But yf thou wylt not sende hym, we wyll not goo downe: for the man sayde vnto vs: loke that ye see not my face, excepte youre brother be wyth you.
Gen.43.6	And Israel sayde: wherfore delt ye so cruelly wyth me, as to tell the man that ye had yet a brother?
Gen.43.7	They answered: The man asked vs straytly of oure kynred sayinge, is youre father yet alyue? haue ye not another brother? And we tolde hym accordynge to these wordes. Cowld we knowe that he wolde saye: brynge your brother downe with you?
Gen.43.8	Than sayde Iuda vnto Israel hys father: Sende the lade with me, that we maye ryse Ꟶ goo, Ꟶ that we maye lyue Ꟶ not dye: both we, thou Ꟶ also oure children.
Gen.43.9	I wylbe suertye for hym, of my handes shalt thou requyre hym. If I brynge hym not to the agayne, Ꟶ set him before thyne eyes, than let me bere the blame for euer.
Gen.43.10	Truly except we had made thys taryenge: by thys, we had bene there twyse and come agayne.
Gen.43.11	And theyr father Israel sayde vnto them: If it must nedis be so nowe: than do thus. Take of the best frutes of the lande in youre vesselles, and brynge the man a present, a curtesye bawlme, and a curtesye of hony, spyces and myrre, notts Ꟶ almondes.
Gen.43.12	And take double money in youre hande. And the money that was brought agayne in youre sackes, take it agayne wyth you, lest peraduenture it was some ouersyghte.
Gen.43.13	Take also youre brother wyth you and, aryse and goo agayne to the man.
Gen.43.14	And God almyghtye geue you mercye in the syghte of the man, that he maye delyuer you youre other brother, Ꟶ this BenIamin, and I shalbe robbed of my chylde, as I haue bene.
Gen.43.15	Thus toke they the present and twyse so moch more money in theyr hande with BenIamin. And rose vp, went downe to Egypte, and stode before Ioseph.
Gen.43.16	When Ioseph sawe BenIamin wyth them, he sayde to the rular of hys house: brynge these men home, and sley and make redye: for these men shall dyne wt me at noone.
Gen.43.17	And the man dyd as Ioseph bad, Ꟶ brought them into Iosephs house.
Gen.43.18	When the men were brought into Iosephs house, they were afrayde, and sayde: because of the money that came in oure sackes mouthes at the fyrst tyme, are we brought in, that he maye pycke a quarell wt vs, Ꟶ to laye some thynge to oure charge, and to brynge vs in bondage and oure asses also.
Gen.43.19	Therfore came they to the man that was the rular ouer Iosephs house, Ꟶ commened with hym at the doore of the house,
Gen.43.20	and sayde: Oh Syr, we came downe hyther at the fyrst tyme to bye foode:
Gen.43.21	Ꟶ as we came to an inne, it happened that we opened oure sackes: and beholde, euery mannes money was in hys sacke wyth full weyghte: And we haue brought it agayne in oure hande,
Gen.43.22	and other mony haue we brought also in oure handes, to bye foode, but we cannot tell who put oure money in oure sackes.
Gen.43.23	And he sayde: peace be vnto you, feare not: youre God and the God of youre father hath geuen you that treasure in youre sackes, I had youre money. And he brought Simeon out to them,
Gen.43.24	and the man led them into Iosephs house, and gaue them water to washe theyr fete, Ꟶ gaue theyr asses prauender:
Gen.43.25	And they made redye theyr present agaynst Ioseph came at none, for they herde saye that they shulde eate bred there.
Gen.43.26	When Ioseph came home, they brought the present into the house to him, whych was in their handes, Ꟶ fell flat on the grounde before hym.
Gen.43.27	And he welcomed them courteously sayinge: is youre father that old man whych ye tolde me of, in good health? and is he yet alyue?
Gen.43.28	they answered: thy seruaunte oure father is in good health, and is yet alyue. And they bowed downe theyr heades, and made obaysaunce.
Gen.43.29	And he lyftinge vp his eyes, behelde his brother BenIamin his mothers sonne, and sayde: is this youre yonger brother of whome ye sayde vnto me? And he sayde: God be mercyfull vnto the my sonne.
Gen.43.30	And Ioseph made hast (for hys hert dyd melt vpon his brother) Ꟶ sought where to wepe, and entred into his chambre, Ꟶ wepte there.
Gen.43.31	And he wasshed his face Ꟶ came out and refrayned hym selfe, and sayde: set bread on the table.
Gen.43.32	And they prepared for hym by him selfe, and for them by them selues, Ꟶ for the Egypcians which dyd eate with him by them selues, because the Egypcians maye not eate bread with the Hebrues, for that is an abhomynacyon vnto the Egypcyans.
Gen.43.33	And they satt before hym: the eldest accordynge vnto hys age, Ꟶ the yongest accordynge vnto hys youth. And the men merueled amonge them selues.
Gen.43.34	And they broughte rewardes vnto them from before hym: but Ben Iamins parte was fyue tymes so moch as any of theyrs And they drynkynge were dronke with hym.
Gen.44.1	And he commaunded the ruler of his house sayinge: fyll the mens sackes wt foode, as moch as they can carye,
Gen.44.2	and put euery mans money in his sacke mouth, and put my syluer cupin the sackes mouth of the yongest, and hys corne money also. And he dyd accordinge to the worde that Ioseph had sayde.
Gen.44.3	And in the mornynge assoone as it was lyghte, the men were let goo, they and their asses.
Gen.44.4	And when they were out of the cytie and not yet farre awaye, Ioseph sayde vnto the ruelar of hys house: vp and folowe after the men, and whan thou dost ouertake them, thou shalt saye vnto them: wherfore haue ye rewarded euell for good?
Gen.44.5	is that not the cuppe in the which my Lord drynketh, and for the which he prophecyeth? ye haue euell done that ye haue done.
Gen.44.6	And whan he ouertoke them, he sayde the same wordes vnto them.
Gen.44.7	And they answered hym: wherfore sayeth my Lord soch wordes? God forbydd that thy seruauntes shulde doo so:
Gen.44.8	Beholde, the money which we founde in oure sackes mouthes, we brought agayne vnto the, out of the lande of Canaan: howe then shulde we steale out of thy Lordes house, ether syluer or golde?
Gen.44.9	wyth whomsoeuer of thy seruauntes it be founde, let him dye, and we also will be my Lordes bondmen.
Gen.44.10	And he sayde: Nowe also let it be accordynge vnto youre woordes: he with whom it is founde, shalbe my seruaunte: and ye shalbe harmelesse.
Gen.44.11	And attonce euery man toke downe hys sacke to the grounde, and euery man opened hys sacke.
Gen.44.12	And he serched, and began at the eldest and left at the yongest. And the cuppe was founde in Ben Iamins sacke.
Gen.44.13	Then they rent their clothes, and laded euery man his asse, and went agayne vnto the cytie.
Gen.44.14	And Iuda and hys brethren came to Iosephs house for he was yet there, and they fell before him on the grounde.
Gen.44.15	And Ioseph sayd vnto them: what dede is this which ye haue done? wote ye not that soche a man as I can prophesye?
Gen.44.16	Then sayde Iuda: what shall we saye vnto my Lorde? what shall we speake, or what excuse can we make? God hath founde out the wykednesse of thy seruauntes. Beholde, both we Ꟶ he with whom the cuppe is founde, are my Lordes seruauntes.
Gen.44.17	And he answered. God forbyd that I shulde do so, but the man with whom the cuppe is founde, he shalbe my seruaunte. And go ye in peace vnto youre father.
Gen.44.18	Then Iuda went vnto hym and sayde: oh my Lorde, let thy seruaunte speake a worde in my Lordes eares, and be not wrooth wyth thy seruaunte: for thou art euen as Pharao.
Gen.44.19	My Lord asked his seruaunte sayinge: haue ye a father or a brother?
Gen.44.20	And we answered my Lorde we haue a father that is olde, and a yonge lad which he begat in hys age: and the brother of the sayde lad is dead, and he is all that is left of that mother. And hys father loueth hym.
Gen.44.21	And thou saydest vnto thy seruauntes: brynge him vnto me, that I maye sett myne eye vpon him.
Gen.44.22	And we answered my Lorde, that the lad coulde not goo from his father, for yf he shulde leaue his father, he were but deed.
Gen.44.23	Than saydest thou vnto thy seruauntes excepte your youngest brother come with you, loke that ye se my face no moare.
Gen.44.24	And when we came vnto thy seruaunt oure father, we shewed hym what my lorde had sayd:
Gen.44.25	And oure father sayd vnto vs: goo agayne, Ꟶ bye vs a lytle fode.
Gen.44.26	And we answered: we cannot goo downe. Neuerthelesse: yf oure yongeste brother go wt vs, then wyll we go downe, for we maye not see the mannes face, excepte oure youngest brother be wt vs.
Gen.44.27	And thy seruaunt oure father sayde vnto vs: ye knowe that my wyfe bare me .ij. sonnes.
Gen.44.28	And the one went out from me, and I sayde: of suertye he is torne in peaces, and I sawe hym not sence.
Gen.44.29	And ye take this also awaye from me. If some mysfortune happen vpon him, ye shall brynge my gray heed in sorowe vnto the graue.
Gen.44.30	Nowe therfore, when I come to thy seruaunt my father, and the lad be not with vs (seynge that his lyfe hangeth by the laddes lyfe)
Gen.44.31	then shall it come to passe, that as soone as he seeth that the lad is not come, he wyll dye. So shall we thy seruauntes bringe the gray hedde of thy seruaunt our father with sorowe vnto the graue.
Gen.44.32	For I thy seruaunt became suertye for the lad before my father and sayde: yf I bringe him not vnto the agayne, I wyll bere the blame vnto my father all my lyfe longe.
Gen.44.33	Nowe therfore let me thy seruaunt byde here for the lad, and be my Lordes bondman: and let the lad goo vp wt his brethren.
Gen.44.34	For howe can I goo vp to my father, yf the lad be not with me? onlesse I wolde see the wretchednes that shall come on my father.
Gen.45.1	Ioseph coulde no longer refrayne before all them that stode by hym. Wherfore he cryed: brynge furth all the men fro me. And there remayned no man wyth him, whyle Ioseph vttred hym selfe vnto hys brethren.
Gen.45.2	And he wepte alowde, so that the Egypcyans, and the house of Pharao herde it.
Gen.45.3	And Ioseph sayde vnto hys brethren: I am Ioseph, doth my father yet lyue? And hys brethren coulde not answere hym, they were so abasshed at hys presence.
Gen.45.4	And Ioseph sayde vnto his brethren: come nere to me, and they came nere. And he sayde: I am Ioseph youre brother whom ye solde in to Egypte.
Gen.45.5	Nowe therfore be not greued ther wyth, nether let it seme a cruel thynge in your eyes, that ye solde me hyther. For God dyd send me before you to saue lyfe.
Gen.45.6	For thys is the seconde yeare of derth in the lande, and fyue moo are behynde, in whych there shall nether be earynge nor heruest.
Gen.45.7	Wherfore God sent me before you to make prouisyon, that ye myghte contynue in the erth, and to saue youre lyues by a greate delyueraunce.
Gen.45.8	So nowe it was not ye that sent me hyther, but God: which hath made me a father vnto Pharao Ꟶ Lorde of all hys house, Ꟶ ruler thorowe out all the lande of Egypte.
Gen.45.9	Hast you, and goo vp to my father and tell him. This sayeth thy sonne Ioseph: God hath made me Lorde of all Egypte. Come downe therfore vnto me, tarye not.
Gen.45.10	And thou shalt dwell in the lande of Gosan and be by me: thou and thy chyldren, and thy chyldrens chyldren: thy shepe, and thy beestes, Ꟶ all that thou hast.
Gen.45.11	And there wyll I make prouisyon for the, for there remayne yet .v. yeares of derth, lest thou Ꟶ thy houshold and all that thou hast come to pouertye.
Gen.45.12	And beholde, youre eyes do se, Ꟶ the eyes also of my brother Ben Iamin, that myne awne mouth speaketh to you.
Gen.45.13	Therfore tell my father of all my honoure in Egypt and of all that ye haue sene, and make hast and brynge my father hyther.
Gen.45.14	And he fell on hys brother Ben Iamins necke and wepte, and Ben Iamin wepte on hys necke.
Gen.45.15	Moreouer he kyssed all hys brethren and wepte vpon them. And after that, hys brethren talked wyth hym.
Gen.45.16	And the tydynges came vnto Pharaos house, so that they sayde: Iosephs brethren are come, Ꟶ it pleased Pharao well and all hys seruauntes.
Gen.45.17	And Pharao spake vnto Ioseph: saye vnto thy brethren, this do ye: lade your beestes and get you hence, vnto the lande of Canaan,
Gen.45.18	Take youre father, and your housholdes and come vnto me, and I wyll geue you the good of the lande of Egypte, and ye shall eate the fatt of the lande.
Gen.45.19	And thou also shalt commaunde them. Thys do ye: take charettes wyth you out of the lande of Egypte, for youre chyldren and for youre wyues: and brynge your father, and come.
Gen.45.20	Also, regarde not youre stuffe, for the good of all the lande of Egypt is youres.
Gen.45.21	And the chyldren of Israel dyd euen so, And Ioseph gaue them charettes according to the commaundement of Pharao, and gaue them vytayle also to spende by the waye.
Gen.45.22	And he gaue vnto eche of them chaunge of rayment: but vnto Ben Iamin he gaue .iij. hundred peces of syluer and .v. chaunge of rayment.
Gen.45.23	And vnto hys father he sent after the same maner .x. asses laden wyth good, out of Egypt, and .x. she asses laden wyth corne, bred and meate: for hys father by the waye.
Gen.45.24	So sent he hys brethren awaye to departe: And he sayde vnto them: se that ye fall not out by the waye.
Gen.45.25	They departed therfore from Egypt and came in to the lande of Canaan vnto Iacob theyr father, and tolde hym sayinge:
Gen.45.26	Ioseph is yet alyue, Ꟶ is gouerner ouer all the lande of Egypte. And Iacobs hert wauered, for he beleued them not.
Gen.45.27	And they tolde hym all the wordes of Ioseph, whych he had sayde vnto them. And when he sawe the charettes whych Ioseph had sent to carye hym, the sprete of Iacob theyr father reuyued.
Gen.45.28	And Israel sayde: I haue ynough that Ioseph my sonne is yet alyue: I wyll goo, and se hym, yer that I dye.
Gen.46.1	Israel toke hys iourney wt all that he had, and came vnto Beer Seba Ꟶ offred offringes vnto the God of his father Isahac.
Gen.46.2	And God spake vnto Israel in a visyon by nyght sayenge: Iacob, Iacob. And he answered: here am I.
Gen.46.3	And he sayde: I am God, the God of thy father, fere not to goo downe into Egypt. For I wyll there make of the a great people.
Gen.46.4	I will goo downe with the into Egypt, Ꟶ I will also bringe the agayne, and Ioseph shall put hys hande vpon thyne eyes.
Gen.46.5	And Iacob rose vp from Beer Seba. And the sonnes of Israel caryed Iacob theyr father, and their chyldren Ꟶ theyr wyues in the charettes whych Pharao had sent to carye him.
Gen.46.6	And they toke theyr catell and the goodes which they had gotten in the lande of Canaan, Ꟶ came in to Egypte: both Iacob Ꟶ all hys seed with hym,
Gen.46.7	hys sonnes Ꟶ hys sonnes sonnes with hym, his daughters and hys sonnes daughters and all hys seed brought he with hym in to Egypte.
Gen.46.8	These are the names of the chyldren of Israel whych came in to Egypte, both Iacob Ꟶ his sonnes: Ruben, Iacobs first sonne:
Gen.46.9	The chyldren of Ruben: Hanoch, and Pallu, Hezron Ꟶ Charmi.
Gen.46.10	The chyldren of Symeon: Iemuel, Iamin, Ohad, Iachin, Ꟶ zohar Ꟶ Saul the sonne of a Cananitish woman.
Gen.46.11	The chyldren of Leui: Gerson, Kahath and Merari.
Gen.46.12	The chyldren of Iuda: Er, Ꟶ Onan, Sela, and Pharez and zerah, But Er Ꟶ Onan dyed in the lande of Canaan, The chyldren of Pharez also were Hezron Ꟶ Hamul.
Gen.46.13	The chyldren of Isachar: Tola, Phua, Iob and Simron.
Gen.46.14	The chyldren of zabulon: Sered, Elon Ꟶ Iaheleleel.
Gen.46.15	These be the chyldren of Lea whych she bare vnto Iacob in Mesopotamia with his daughter Dina. All the soules of hys sonnes and daughters make .xxx. and .iij.
Gen.46.16	The chyldren of Gad: ziphion, Ꟶ Haggi, Suni, and Ezbon, Eri, Ꟶ Arodi, and Areli.
Gen.46.17	The chyldren of Asser: Iemna, and Iesua, Iesui, and Brya and Serah theyr syster. And the chyldren of Brya: Heber and Malchiel.
Gen.46.18	These are the chyldren of Silpha, whom Laban gaue to Lea hys daughter. And these she bare vnto Iacob euen .xvi. soules.
Gen.46.19	The chyldren of Rahel Iacobs wyfe: Ioseph and Ben Iamin.
Gen.46.20	And vnto Ioseph in the lande of Egypte were borne: Manasses and Ephraim whych Asnath the daughter of Putiphar preast of On bare vnto hym.
Gen.46.21	The chyldren of Ben Iamin: Bela, Becher, Asbel, Gera, Naeman, Ehi Ꟶ Ros, Mupim, Hupim and Ard.
Gen.46.22	These are the children of Rahel, whych she bare vnto Iacob, .xiiii. soules alltogether.
Gen.46.23	The chyldren of Dan: Husim.
Gen.46.24	The children of Nephtali: Iahezeel, Guni, Iezer and Sillem.
Gen.46.25	These are the sonnes of Bilha, whych Laban gaue vnto Rahel hys daughter, and she bare these vnto Iacob, alltogether .vii. soules.
Gen.46.26	And so the soules that came wt Iacob in to Egypte, whych came out of hys loyns (besyde Iacobs sonnes wyfes) were all together .lx. and .vi. soules.
Gen.46.27	And the sonnes of Ioseph, which were borne him in Egypte, were .ij. soules: So that all the soules of the house of Iacob whych came into Egypte, are .lxx.
Gen.46.28	And he sent Iuda before hym vnto Ioseph, to directe hys face vnto Gosan, Ꟶ they came in to the lande of Gosan.
Gen.46.29	And Ioseph made redye hys charett, and went vp to mete Israel hys father vnto Gosan, and presented hym selfe vnto hym, and fell on hys necke, and wepte vpon hys necke a good whyle.
Gen.46.30	And Israel sayde vnto Ioseph: Nowe am I content to dye, in somoch as I haue sene the and because thou art yet alyue.
Gen.46.31	And Ioseph sayde vnto hys brethren, and vnto hys fathers house: I wyll goo vp and shewe Pharao Ꟶ tell hym: My brethren and my fathers house which were in the lande of Canaan, are come vnto me,
Gen.46.32	and they are shepherdes (for they were men of catell) Ꟶ they haue brought theyr shepe and theyr oxen and all that they haue.
Gen.46.33	And yf it chaunce that Pharao call you, and aske you, what youre occupacyon is,
