1Sam.0.0	¶ The fyrst booke of Samuel called the fyrst booke of the Kynges.
1Sam.21.2	And Dauid sayde to Ahimelech the preaste: the kynge hath commaunded me to do a certeyn thynge, and hath sayde vnto me, let no man knowe where aboute I sende the, and what I haue commannded the to do. And I haue appoynted my seruauntes, to soche and soche places.
1Sam.21.3	Nowe therfore yf thou hast ought vnder thyne hande geue me fyue loues of breade, or what cometh to hande.
1Sam.21.4	And the preast answered Dauid, and sayde: there is no comen bread vnder myne hande, but here is halowed bread, yf the younge men haue kepte them selues from vncleane thynges especiallye wemen.
1Sam.21.5	Dauid answered the Preaste, and sayde vnto hym: of a truth wemen hath bene locked vp from vs about a thre dayes. When I came out, Ꟶ the vesselles of the young men were holy. How be it this waye is vnpure, and how much more shal there be holynes in the vessell.
1Sam.21.6	And so the preast gaue him halowed bred, for there was no nother bred there, saue the shewebreds, that were taken from before the Lorde, to put freshe bred there, the daye that it was taken awaye.
1Sam.21.7	And ther was there the same daye a certen man of the seruauntes of Saul abydyng before the Lorde, named Doeg an Edomite, the chefest of Sauls hearde men.
1Sam.21.8	And Dauid sayd vnto Ahimelech: is not here vnder thyne hande other speare or swerde? for I haue nether brought my swerde nor my harnesse with me, because the kynge busines required haste.
1Sam.21.9	And the preast sayd: the swerde of Goliath the Philistine whome thou sluest in the Ocke valley, beholde, it is here wrapt in a cloth behynd the Ephod. If thou wilt take that, take it, for there is no nother saue that here. And Dauid sayd: there is none to that, geue it me.
1Sam.21.10	And Dauid arose and fled the same daye from the presence of Saul, Ꟶ went to Achis the kyng of Geth.
1Sam.21.11	And the seruauntes of Achis sayd of him: is not this Dauid the kyng of the lande? dyd they not syng vnto him, in daunses saying Saul hath slayne his thousand, Ꟶ Dauid his ten thousand?
1Sam.21.12	And Dauid put those wordes into his heart, Ꟶ was sore afrayed of Achis the kyng of Geth.
1Sam.21.13	And he chaunged his speche before them, Ꟶ fayned him self madd in theyr handes, Ꟶ scrabled on the dores of the gate, and let his spittel fall downe vpon his bearde.
1Sam.21.14	Then sayde Achis vnto his seruaunte: Loo, ye se that this man is besyde hym selfe, wherfore then haue ye brought hym to me?
1Sam.21.15	Haue I nede of madd men that ye haue brought this felow to playe the mad man in my presence? Shall he come into my howse.
1Sam.22.1	Dauid therfore departed thence, and escaped, and came vnto the caue Odollam. When his brethren also and all his fathers house heard it, they went downe thither to hym.
1Sam.22.2	And there geathered vnto him all men that were in combraunce, and in dett, and troubled in their mindes, Ꟶ he became a captayne ouer them And there were with hym vpon a foure hundred men.
1Sam.22.3	And Dauid went thence to Mizpa in the lande of Moab, and sayde vnto the kyng of Moab: Let my father Ꟶ my mother (I praye the) come forth vnto you, tyll I knowe what God will do for me.
1Sam.22.4	And he brought them before the king of Moab. And they dwelt wt him all the while that Dauid kepte him selfe in hold.
1Sam.22.5	And the prophet Gad sayde vnto Dauid: abide not in holde, but departe and go into the land of Iuda. Then Dauid departed and came into the forest Hareth.
1Sam.22.6	And Saul heard that Dauid was come abrode, and also the men that were wyth hym. And Saul satt in Gibea vnder a tree in Rama, hauyng hys speare in his hand, Ꟶ all his men stode about hym
1Sam.22.7	And Saul sayde vnto his seruauntes that stode about him. Heare I praye you you sonnes of Iemini: will the sonne of Isai geue euery one of you feldes and vineardes, Ꟶ make you all captaynes ouer thousandes Ꟶ ouer hundredes?
1Sam.22.8	that ye haue also conspired agaynst me, and there is none that telleth it me in myne eare. And where as my sonne hath made a bonde wt the sonne of Isai, ther is none of you that mourneth for me, or sheweth it in myne eare: beholde, my sonne hath stered vp my seruaunt to lye awayte agaynst me thys same daye.
1Sam.22.9	Then answered Doeg the Edomite which also stode by the seruauntes of Saul, and sayde: I saw the sonne of Isai, when he cam to Nob, to Ahimelech the sonne of Ahitob,
1Sam.22.10	which asked councell of the Lorde for hym Ꟶ gaue hym vitayles, Ꟶ the swerde of Goliath the Philistine also.
1Sam.22.11	Then the Kynge sent Ꟶ called for Ahimelech the preast the sonne of Ahitob, Ꟶ all his fathers house: that is to saye, the preastes that were in Nob. And they cam all to the kyng.
1Sam.22.12	And Saul sayde: heare now thou sonne of Ahitob. He answered: here I am, my Lorde.
1Sam.22.13	And Saul sayde vnto hym: why haue ye conspired agaynst me, thou Ꟶ the sonne of Isai, in that thou hast geuen him vitaile, Ꟶ a swerde, and hast asked councell of God for him, that he shuld aryse agaynst me, Ꟶ lye awayte for me this daye?
1Sam.22.14	Ahimelech answered the king Ꟶ sayd who is so faithfull among all thy seruauntes as Dauid, Ꟶ therto the kinges sonne in law, Ꟶ goeth at thy bydding, Ꟶ is had in honoure in thyne house?
1Sam.22.15	haue I this daye begonne first to aske councell of God for him. That be farre from me: yf I had knowen it, lett not the kyng put soch a thyng vnto his seruaunt, in all the house of my father. For thy seruaunt knew nothing of all this, ether lesse or moare.
1Sam.22.16	The king sayde: thou shalt surelye dye Ahimelech, thou and all thy fathers house
1Sam.22.17	And the king sayde vnto the fote men that stode about him: turne, Ꟶ sley the preastes of the Lord, both because their hand is with Dauid, Ꟶ because they knewe when Dauid fleed, Ꟶ shewed it not to me. But the seruauntes of the kyng wolde not moue their handes, to fall vpon the preastes of the Lorde.
1Sam.22.18	And the kyng sayde to Doeg: turne thou, and fall vpon the preastes. And Doeg the Edomite turned, and ranne vpon the preastes, and slue that same daye foure skore Ꟶ fyue persones, that dyd weare a lynnen Ephod.
1Sam.22.19	And Nob the cytie of the preastes smote he wyth the edge of the swerde, both men Ꟶ wemen, children and sucklynges, oxen and asses and shepe.
1Sam.22.20	And one of the sonnes of Ahimelech the sonne of Ahitob (named Abiathar) escaped Ꟶ fled to Dauid.
1Sam.22.21	And Abiathar shewed Dauid, how that Saul had slayne the lordes preastes.
1Sam.22.22	And Dauid sayde vnto Abiathar: I wilt it the same daye, whan Doeg the Edomite was there, that he wolde tell Saul. And I am cause of the deeth of all the soules of thy fathers house.
1Sam.22.23	Abide thou wt me, and feare not: For yf anye man seke my soule, he shall seke thyne also, wt me thou shalt be in sauegard.
1Sam.23.1	Then they told Dauid saying: Behold the Philistines fight agaynst keilah, and spoyle the barnes.
1Sam.23.2	Therfore Dauid asked the Lords aduyse, saying: shall I goo and smyte these Philistines? And the Lorde answered vnto Dauid: go and smyte the Philistines, and saue keilah.
1Sam.23.3	And Dauids men that were with him, sayd vnto him: se, we be afrayed here in Iuda: how much more then yf we come to keila agaynst the host of the Philistynes?
1Sam.23.4	Then Dauid asked the Lorde agayne. And the Lord answered him and sayde: Aryse, Ꟶ go downe to keila, for I will delyuer the Philistines in to thyne hande.
1Sam.23.5	And so Dauid and his men went to keila, and fought with the Philistynes, Ꟶ droue awaye their catell, and smote them with a great slaughter. And so Dauid saued the enhabiters of keila.
1Sam.23.6	And it chaunced, when Abiathar the sonne of Ahimelech fled to Dauid to keila, that he brought an Ephod with him in his hande.
1Sam.23.7	And it was tolde Saul, that Dauid was come to keila. And Saul sayde: God hath delyuered him into myne hand. For he is shut in now that he is come into a towne that hath gates Ꟶ barres.
1Sam.23.8	And Saul called all the people together to warre, for to go downe to keila, and to besege Dauid Ꟶ his men.
1Sam.23.9	And Dauid hauing knowlege that Saul imagened myschef against him, sayd, to Abiathar the preast: Bryng the Ephod.
1Sam.23.10	Then sayde Dauid: O Lord God of Israel, thi seruaunt hath heard, that Saul is about to come against keila to destroye the cytie for my sake:
1Sam.23.11	Wyll the men of keyla delyuer me into hys hande? And will Saul come downe, as thy seruaunt hath heard saye? O Lord God of Israel, tell they seruaunt. And the Lorde sayde: he will come downe.
1Sam.23.12	Then sayd Dauid: will the men of keila delyuer me and the men that are with me into the hand of Saul? Ꟶ the Lord sayde: they will betraye you.
1Sam.23.13	Then dauid Ꟶ his men which were vpon a syxe hundred, arose Ꟶ departed out of keila Ꟶ went whether they could. And it was told Saul, that Dauid was fled from keila, Ꟶ he let the iourney a lone.
1Sam.23.14	Dauid abode in the wildernesse in strong holdes, Ꟶ remayned in a mountayne in the wildernesse of ziph. And Saul sought him euery daye, but God delyuered him not into his hand.
1Sam.23.15	And Dauid saw that Saul was come out, to seke his life. And Dauid was in the wyldernesse of ziph in a thickett.
1Sam.23.16	And Ionathas Sauls sonne arose, Ꟶ went to Dauid in to the thicket, Ꟶ comforted his hand in God,
1Sam.23.17	Ꟶ sayde vnto hym: feare not, for the hand of Saul my father shall not fynd the, Ꟶ thou shalt be king ouer Israel, Ꟶ I must be next vnto the. And that doth Saul my father know.
1Sam.23.18	And they made abonde both of them togeather before the Lorde. And Dauid taryed styll in the thickett, and Ionathas went to his house.
1Sam.23.19	Then came the ziphites to Saul, to Gibea, saying: Doth not Dauid hyde him selfe fast by vs in strong holdes, in a thyckett that is by the hyll of Hachila, on the ryght syde of the wildernesse?
1Sam.23.20	Now therfore kyng, thou mayest come downe according to all the lust of thy soule: come downe, Ꟶ oure parte shalbe to delyuer hym into the kynges hande.
1Sam.23.21	And Saul sayde: Blessed are ye in the Lord: for ye haue compassion on me.
1Sam.23.22	Go I praye you, Ꟶ ordre the matter well, know Ꟶ se his haunte, where hys fote hath bene, and who hath sene him there: for it is tolde me, that he is very sottel, Ꟶ worketh craftely.
1Sam.23.23	Se therfore, Ꟶ know all the lourkyng places, where he hideth him self, and come ye agayne to me with the certentye, Ꟶ I will go wyth you. And yf he be in the land, I will serche him out thorow out all the thousandes of Iuda.
1Sam.23.24	And they arose, and went to ziph before Saul, But Dauid and his men were in the wildernesse of Maon, in the playne that is, on the ryght hand of Iesimon.
1Sam.23.25	Saul also and his men wente to seke: and they tolde Dauid. Wherfore he went vnto a Rocke, and abode in the wildernesse of Maon.
1Sam.23.26	And when Saul hearde that, he folowed after Dauid in the wildernesse of Maon. And Saul Ꟶ his men went on the one syde of the mountayne, Ꟶ Dauid Ꟶ his men on the other syde. And Dauid toke thought, how to get from Saul. For Saul Ꟶ his men compased Dauid Ꟶ his men, rounde about, to take them.
1Sam.23.27	But there cam a messenger to Saul, saying Hast the, Ꟶ come, for the Philistines are come into the land.
1Sam.23.28	Wherfore, Saul returned from persecuting Dauid, Ꟶ went agaynst the Philistines. And therfore is it, that they called the place: The rock of separacion.
1Sam.23.29	And Dauid went thence, Ꟶ dwelt in strong holdes at Engadi.
1Sam.24.1	When Saul was come agayne from folowing after the Philistines, it fortuned, that there were, which told him saying: beholde, Dauid is in the wildernesse of Engadi.
1Sam.24.2	Then Saul toke thre thousand chosen men out of all Israel, and went to seke Dauid and his men in the height of the Rockes, where wilde gootes remayne.
1Sam.24.3	And he cam to the flockes of shepe in the waye. And Saul went in to a caue to couer his fete. And Dauid and hys men remayned in the inward partes of the caue.
1Sam.24.4	And the men of Dauid sayd vnto him: se, the daye is come, of which the Lorde sayde vnto the: Beholde: I will delyuer thyne enemyes into thyne hand, Ꟶ thou shalt do to him as it shall seme good in thy syght. Then Dauid arose and cutt of a lappe of Sauls garment priuelye.
1Sam.24.5	And immediatly Dauids hert smote hym because he had cutt of a lapp of Sauls garment.
1Sam.24.6	And he sayde vnto his men: the Lorde kepe me from doing that thing vnto my master the Lords anoynted, to laye mine hande vpon hym, seyng he is the anoynted of the Lorde.
1Sam.24.7	And so Dauid kept of hys seruauntes with these wordes, and soffred them not to ryse agaynst Saul. But Saul rose vp out of the caue Ꟶ went awaye,
1Sam.24.8	Dauid also arose and went out of of the caue, and cryed after Saul, saying: My Lorde kyng. And when Saul loked behynde hym. Dauid stowped to the erth, and bowed him self,
1Sam.24.9	Ꟶ sayd to Saul: wherfore geuest thou an eare to mennes wordes that saye, Dauid seketh euell agaynst the?
1Sam.24.10	Beholde, this daye thyne eyes haue sene. how that the Lord had delyuered the thys daye into myne hand in the caue. And some bad me kyll the, but I had compassion on the, and sayde: I will not laye my handes on my master, for he is the Lordes anointed.
1Sam.24.11	And moreouer, my father, behold, Ꟶ se yet the lapp of thy garment in my hand: in as moch as I kylled the not, when I cutt of the lapp of thy garment. Understande therfore Ꟶ se, that there is nether euell nor wickednesse in me, and that I haue not synned agaynst the. And yet thou huntest after my soule to take it.
1Sam.24.12	The Lord be iudge betwene the and me, and the Lorde aduenge me of the. But myne hand be not vpon the.
1Sam.24.13	Accordyng as the olde prouerbe sayeth: wyckednesse proceadeth from the wycked: But myne hande be not vpon the.
1Sam.24.14	After whom is the kyng of Israel come out? After whom dost thou moue persecucion? after a deed dogg, and after a flee.
1Sam.24.15	The Lorde be iudge, and iudge betwene the and me, Ꟶ se Ꟶ pleate my cause, and avenge me of thyne hande.
1Sam.24.16	When Dauid had made an ende of speaking these wordes to Saul, Saul sayde is this thy voyce my sonne Dauid? and Saul lyfte vp his voyce, and wepte,
1Sam.24.17	and sayde to Dauid: thou art ryghteouser then I, for thou hast rewarded me with good, where as I haue rewarded the wyth euell.
1Sam.24.18	And thou hast shewed thys daye, how that thou hast dealt louynglye wyth me, for as moche as when the Lorde had locked me in thyne handes, thou kylledst me not.
1Sam.24.19	For who shall finde his enemye, Ꟶ lett him depart in to a good waye? Wherfore the Lord reward the with good, for that thou hast done vnto me this daye.
1Sam.24.20	And now beholde, I wote well that thou shalt be kyng, and that the kingdom of Israel shalbe stablyshed in thyne hande.
1Sam.24.21	Swere now therfore vnto me by the Lord that thou shalt not destroye my seade after me, Ꟶ that thou shalt not put my name out of my fathers house.
1Sam.24.22	And Dauid sware vnto Saul, and Saul went home. But Dauid and his men gatt them vp vnto an hold.
1Sam.25.1	And Samuel dyed, and all the Israelites geathered togeather and lamented hym, and buryed hym in his owne house at Rama. And Dauid arose, and gat hym to the wildernesse of Pharan.
1Sam.25.2	And there was a man in Maon whose possession was in Carmel, and the man was excedyng myghtie, and had thre thousand shepe Ꟶ a thousand gootes. And he was sheryng his shepe in Carmell.
1Sam.25.3	The name of the man was Nabal, and the name of his wyfe was Abigail, and she was a woman of a singuler wisdome and bewtifull. But the man was churlyshe, and of shrewde condicions, and was of the kynred of Caleb.
1Sam.25.4	And Dauid heard in the wildernesse, that Nabal dyd shere hys shepe.
1Sam.25.5	And Dauid sent out ten young men, and sayde vnto them: get you vp to Carmel, and go to Nabal, and grete hym in my name.
1Sam.25.6	And thus shal ye saye: peace be to the, peace be to thyne house, Ꟶ peace be vnto all that thou hast.
1Sam.25.7	Beholde, I haue heard saye, that thou hast sherers. Now, thy sheperdes were with vs and we dyd them no spyte, nether was there ought myssing vnto them, all the whyle they were in Carmel:
1Sam.25.8	aske thy laddes, Ꟶ they will shew the. Wherfore let these young men fynde fauore in thine eyes (for we come in a good ceason) and geue I praye the whatsoeuer commeth to thyne hande, vnto thy seruauntes, and to thy sonne Dauid.
1Sam.25.9	And whan Dauids youngmen came, they tolde Nabal all those wordes in the name of Dauid, Ꟶ then helde theyr peace.
1Sam.25.10	And Nabal answered Dauids seruauntes, Ꟶ sayde: what is Dauid? Ꟶ what is the sonne of Isai? there is plentye of seruauntes now a dayes, that breake awaye euery man from his master.
1Sam.25.11	Shal I then take my breed, my water Ꟶ my flesshe, that I haue kylled for my sherers, Ꟶ geue it vnto men whom I wote not whence they be?
1Sam.25.12	And so Dauids seruauntes turned their waye, and went agayne, and came and told him all those sayinges.
1Sam.25.13	And Dauid sayd vnto hys men: gyrde euery man hys swerde aboute him. And they gyrded euery man his swerde aboute him, Ꟶ Dauid was gyrded with his swerde. And there folowed Dauid vpon a foure hundred men, and two hundred abode by the stuffe.
1Sam.25.14	But one of the laddes tolde Abigail Nabals wyfe, saying: Beholde, Dauid sent messengers vnto oure master out of the wildernesse to salute him Ꟶ he rayled on them.
1Sam.25.15	And yet the men are very good vnto vs, Ꟶ dyd vs no displeasure, nether missed we any thing, as long as we were conuersant with them, when we were in the feldes.
1Sam.25.16	They were a wall of defence vnto vs both by nyght Ꟶ daye, all the whyle we were with them keping shepe.
1Sam.25.17	Now therfore, take hede, and se what thou hast to do, for there is an occasion of euell geuen agaynst oure master and all his housholde, seyng: he is as a sonne of beliall vngracious to speake to.
1Sam.25.18	Then Abigail made hast, Ꟶ toke two hundred loues, Ꟶ two bottelles of wine, and fyue shepe readye dressed, and fyue measures of parched corne, and an hundred frayles of reasyngs, and two hundred topnettes of fygges, and laded them on asses,
1Sam.25.19	Ꟶ sayde vnto her young men: go ye before me. Beholde, I come after you. But she tolde her husband Naball nothing therof.
1Sam.25.20	And as she rode on her asse she came preuely downe the syde of the hyll, Ꟶ beholde, Dauid and hys men came downe agaynst her, Ꟶ she met them.
1Sam.25.21	And Dauid sayde: in vayne haue I kept all that this felow hath in the wildernesse: so that nought was myssed of all that pertayned vnto hym. And he hath quite me euell for good.
1Sam.25.22	So and so do God vnto the enemyes of dauid, yf I leaue of all that pertayne to him, by the dawnyng of the daye, any thing that pisseth agaynst the walle.
1Sam.25.23	And when Abigail saw Dauid, she hasted Ꟶ lyghted of her asse, and fell before Dauid on her face, and bowed her self to the ground
1Sam.25.24	and fell at his fete, and sayde: Let this vnhappie deade be counted myne, my Lorde, Ꟶ let thine handmayde speake in thine audience, and heare the wordes of thy handemayde.
1Sam.25.25	Let not my Lorde regard this vnthriftye man Naball: for as his name is, so is he Nabal is his name, Ꟶ follie is wt him. But I thine handmayd saw not the young men of my Lorde whom thou sendedst.
1Sam.25.26	Now therfore my Lorde, as sure as the lord lyueth, Ꟶ as thy soule lyueth, the Lorde hath withholden the from comming to shede bloud, Ꟶ withdraw thou thine hand from bloude sheade Now, I praye God, that thine enemyes Ꟶ they that entende to do my Lorde euel, may be as Nabal.
1Sam.25.27	And now this is the blessyng which thyne hand mayde hath brought vnto my Lord: Ꟶ lett it be geuen vnto the young men, that folow my Lorde.
1Sam.25.28	Forgeue the trespace of thine handmayde, for the Lord will make my Lorde a sure house, because my Lord fyghteth the batayles of the Lorde, and there coulde none euel be founde in the in all thy dayes.
1Sam.25.29	And yf any man ryse to persecute the, Ꟶ to seke thy soule, the soule of my Lorde shall be bound as in the bondell of the lyuing wt the Lord thy God. And the soules of thy enemyes shal God cast out, euen as out of the mydle of a slyng.
1Sam.25.30	And when the Lord shall haue done to my Lord all the good that he hath promised the, Ꟶ shall haue made the ruler ouer Israel:
1Sam.25.31	then shall it be no decaye vnto the, ner discourage of herte vnto my Lorde, that thou hast not shedde bloud causelesse, ner aduenged thy selfe. But when the Lord shall haue dealt well with my Lorde, then thynck on thyne handmayde.
1Sam.25.32	And Dauid sayd to Abigail: blessed be the Lorde God of Israel, which sent the this daye to mete me.
1Sam.25.33	Blessed is thy sayeng, Ꟶ blessed art thou, which hast kept me thys daye from coming to shede bloud, and from aduengyng my self with myne awne hand.
1Sam.25.34	For in very deade, as sure as the Lord God of Israel lyueth, which hath kept me backe from hurtyng the, excepte thou haddest hasted and met me, thinkest thou, there had bene left vnto Nabal by the dawnyng of the daye, a pisser agaynst the wall?
1Sam.25.35	And so Dauid receaued of her hand, that which she had brought him Ꟶ sayd to her: go vp in peace to thyne house. Beholde, I haue herde thy voyce, and haue accepted thy persone.
1Sam.25.36	And Abigail came to Nabal: and behold, he held a feast in his house, lyke the feest of a kyng, Ꟶ Nabals herte was mery within him, for he was very droncke. Wherfore she tolde him nothing, nether lytle nor moare, vntill the morow daye.
1Sam.25.37	But in the mornyng, when the wine was gone out of Naball, hys wife tolde him these wordes, and his herte dyed within him, and he became as a stone
1Sam.25.38	Ꟶ vpon a ten dayes after, the Lorde smote Nabal, that he dyed.
1Sam.25.39	And when Dauid heard that Nabal was deed, he sayde: Blessed be the Lorde that hath iudged the cause of my rebuke of the hand of Nabal, and hath kept his seruaunt from euell, and hath recompensed the wickednesse of Nabal vpon his awne heed. And Dauid sent to comen wt Abigail: to thyn tent to take her to his wife.
1Sam.25.40	And when the seruauntes of Dauid were come to Abigail to Carmel, they spake vnto her saying: Dauid sent vs vnto the, to take the to his wife.
1Sam.25.41	And she arose, Ꟶ bowed her self on her face to the erth, and sayde: Beholde let thy handmayde be a seruaunt, to washe the fete of the seruauntes of my Lord.
1Sam.25.42	And Abigail hasted, and arose, and gat her vp vpon an Asse, wt fyue damoselles of hers that went at her fete, and she went after the messengers of Dauid, and became hys wife.
1Sam.25.43	Dauid also toke Ahinoam of Iezrahel, Ꟶ they were both his wiues.
1Sam.25.44	But Saul gaue Michol hys daughter Dauids wyfe to phalti the sonne of Lais which was of Gallim.
1Sam.26.1	The ziphites came vnto Saul to Gibea, saying: Doth not Dauid hyde hym self in the hill of Hachila which is before Iesimon?
1Sam.26.2	Saul arose, and went dwne to the wyldernesse of ziph, hauyng thre thousande chosen men of Israel with hym, for to seke Dauid in the wildernesse of ziph.
1Sam.26.3	And Saul pitched in the hyll of Hachila which lyeth before Iesimon, by the waye side. But Dauid dwelt in the wildernesse. And he saw that Saul cam after hym into he wildernesse.
1Sam.26.4	Dauid therfore sent out spyes, Ꟶ vnderstode, that Saul was come in very dede.
1Sam.26.5	And Dauid arose and came to the placewhere Saul had pitched, Ꟶ Dauid beheld the place, where Saul laye, and Abner the sonne of Ner which was his chefe captayne Saul laye within, Ꟶ the people Ꟶ the hooste rounde about him.
1Sam.26.6	Then answered Dauid and spake to Ahimelech the Hethite, Ꟶ to Abisai the sonne of zaruia and brother to Ioab, saying: who will go downe with me to Saul to the hoste? And Abisai saide: I will go downe with the.
1Sam.26.7	And so Dauid and Abisai came downe to the people by nyght. And beholde, Saul laye sleping within the hoost, Ꟶ his speare stacke in the ground at his heed. But Abner Ꟶ the people laye round about hym.
1Sam.26.8	Then sayde Abisai to Dauid: God hath deliuered thyne enemye into thyne hande this daye. Now therfore, lett me smyte hym once with my speare to the erth, Ꟶ I wyll not smyte hym the seconde tyme.
1Sam.26.9	And Dauid sayde to Abisai: destroye him not. For who can laye his hande on the Lordes anoynted, Ꟶ be gyltlesse?
1Sam.26.10	And Dauid sayde furthermore: as sure as the Lorde lyueth, the Lorde shall smyte him or his daye shall come to dye, or he shall descende into battell, Ꟶ there perishe.
1Sam.26.11	The Lord kepe me from laying myne hande vpon the Lordes anoynted: But take thou now the speare that is at his heed, Ꟶ the crewse of water, Ꟶ let vs go.
1Sam.26.12	And so Dauid toke the speare Ꟶ the crewse of water from Sauls heed, and they gatt them awaye, and no man saw it or marked yt or awaked. For they were all a slepe, because the Lorde had sent a deade sleape vpon them.
1Sam.26.13	Then Dauid went ouer to the other syde, and stode on the toppe of an hyll a farre of (a great space beyng betwene them)
1Sam.26.14	and Dauid cryed to the people, and to Abner the sonne of Ner, saying: Hearest thou not Abner? Abner answered, and sayde: What art thou that cryest to the king?
1Sam.26.15	and Dauid sayd to Abner: art not thou a man: and who his lyke the in Israel? Wherfore then hast thou not kept thy Lord the kyng? For there came one of the folke in, to destroy the kyng thy lord.
1Sam.26.16	It is not good that thou hast done. As truly as the Lorde lyueth, ye are worthy to dye, because ye haue not kepte youre master, the Lordes anoynted. And nowe se where the kynges speare is and the crewse of water, that was at his heed.
1Sam.26.17	And Saul knew Dauids voyce, Ꟶ sayde is this thy voyce my sonne Dauid? Ꟶ Dauid sayd: it is my voyce, my Lord, O kyng
1Sam.26.18	And he sayde: wherfore doth my lord thus persecute his seruaunt? for what haue I done? or what euell is in myne hand?
1Sam.26.19	Now therfore let my Lord the kyng heare the wordes of his seruaunt. If the Lorde haue stered the vp agaynst me, let him smell the sauoure of a sacrifice. But Ꟶ yf they be the children of men, cursed are they before the lord For they haue cast me out this daye from abidyng in the enheritaunce of the Lord, saying: hence, Ꟶ go serue other gods.
1Sam.26.20	Now therfore let not my bloud fall to the erth before the face of the lorde. For the king of Israell is come out to hunt a flee, as whan one doth hunt a partrege in the mountaynes.
1Sam.26.21	Then sayde Saul: I haue synned, come agayn my sonne Dauid, for I will do the no moare harme, because my soule was preciouse in thyne eyes thys daye. Beholde, I haue played the fole, Ꟶ haue erred excedyngly.
1Sam.26.22	And Dauid answered and sayd: Behold, the kyngs speare, lett one of the young men come ouer, Ꟶ fett it.
1Sam.26.23	The Lorde reward euery man accordyng to his ryghtwesnesse Ꟶ fayth: for the Lordde delyuered the into my hand thys daye, but I wolde not laye myne hand vpon the Lordes anoynted.
1Sam.26.24	And beholde, lyke as thy lyfe was moche set bye this daye in myne eyes: so be my lyfe set by in the eyes of the Lorde, that he delyuer me out of all tribulacion.
1Sam.26.25	Then Saul sayd to Dauid: Blessed art thou my sonne Dauid, for thou shalt be a doer and preuayle. And so Dauid went his waye, and Saul turned to his place agayne.
1Sam.27.1	And Dauid sayde in his hert: I shall perishe one daye or other by the hand of Saul. Therfore is there nothing better for me, then to flee and saue my selfe in the land of the Philistines, and Saul shall cease Ꟶ seke me nomore in all the coastes of Israel, Ꟶ so shall I escape out of his hand.
1Sam.27.2	And Dauid arose, Ꟶ he Ꟶ the syxe hundred men that were wt him went vnto Achis, the sonne of Maoch, king of Geth.
1Sam.27.3	And Dauid dwelt wt Achis at Geth, both he Ꟶ his men, euery man wt his housholde, Ꟶ Dauid wt hys two wiues: Ahinoam the Iezrahelite, Ꟶ Abigail Nabals wife of Carmell.
1Sam.27.4	And it was tolde Saul, that Dauid was fleed to Geth, and he sought no moare for him.
1Sam.27.5	And Dauid sayd vnto Achis: If I haue now found grace in thine eyes, lett them geue me a place in some towne in the feldes, that I maye dwell there. For why shulde thy seruaunt dwell in the heed cytie of the kingdome wt the?
1Sam.27.6	Then Achis gaue hym zikleg the same daye, for which cause zikleg pertaineth vnto the kynges of Iuda vnto thys daye.
1Sam.27.7	And the tyme that Dauid dwelt in the contreye of the Philistines, was foure monethes, and certayne dayes.
1Sam.27.8	And Dauid Ꟶ his men went vp, and ranne vpon the Gesurites, the Gerzites Ꟶ the Amalekites: For those nacions were from the begynnyng the enhabiters of the lande, as men go to Sur, vnto the lande of Egypte.
1Sam.27.9	And Dauid smote the land, and left nether man ner woman alyue, and droue awaye the shepe, the oxen, the asses, camelles, and clothes, and retourned, and came to Achis.
1Sam.27.10	And Achis sayde: where haue ye bene a rouing this daye? And Dauid answered: Toward the south of Iuda, Ꟶ towarde the south of the Iezrahelites, Ꟶ towarde the south of the kenites.
1Sam.27.11	And Dauid saued nether man nor woman alyue ner suffred them to come to Geth, for feare (sayeth he) leste they shuld telle on vs saing so dyd Dauid Ꟶ so wylbe his maner all the while he dwelleth in the contreye of the Philistines.
1Sam.27.12	And Achis beleued Dauid saying He abhorreth his people of Israel, Ꟶ therfore he shalbe my seruaunt for euer.
1Sam.28.1	And it chaunced in those dayes, that the Philistines geathered their hoost together to warre, to fyght with Israel. And Achis sayde to Dauid: Be sure, thou shalt goo out with me to the battell, thou Ꟶ the men that are with the.
1Sam.28.2	And Dauid sayde to Achis: then thou shalt know, what thy seruaunt can do. And Achis sayde agayne to Dauid: Then I will make the keper of my heed for euer
1Sam.28.3	Samuel was then deed, Ꟶ all Israel had lamented hym, Ꟶ buryed him in Rama his awne cytie. And Saul hat put the wemen that had spretes of prophesye, Ꟶ the Sothsayers out of the land.
1Sam.28.4	And the Philistines geathered together, Ꟶ came, Ꟶ pitched in Sunem. And Saul gathered all Israel togeather, Ꟶ they pitched in Giboa:
1Sam.28.5	And when Saul saw the hoste of the Philistines, he was afrayed, Ꟶ his hert was sore astonyed.
1Sam.28.6	And whan Saul asked councell of the Lorde, the Lorde answered him not, nether hy dreames, nor by Urim nor yet by prophetes.
1Sam.28.7	Then sayd Saul vnto his seruauntes seke me a woman that hath a sprete of prophesye, that I maye go to her Ꟶ aske of her. And hys seruauntes sayde to him: Beholde, there is a woman that hath a sprete of prophesye at Endor.
1Sam.28.8	And Saul chaunged him self, and put on other rayment, Ꟶ then went he Ꟶ two men with hym, and they came to the woman by nyght. And he sayde: prophesye vnto me by the sprete, Ꟶ bring me him vp whom I shall name vnto the.
1Sam.28.9	And the woman sayde vnto hym: Beholde thou knowest what Saul hath done, how he hath destroyed the wemen that had prophesying spretes, Ꟶ the Sorcerars out of the lande. Wherfore then sekest thou an occasion agaynst my soule, that he maye kyll me?
