2Chr.0.0	¶ The seco{n}de boke of the Chronycles which in the Hebrue is one with the fyrst.
2Chr.26.6	And he went to batell agaynst the Philistines, and brake downe the wall of Geth, Ꟶ the wall of Iabne, and the wall of Asdob, Ꟶ buylt cyties about Asdod Ꟶ among the Philistines.
2Chr.26.7	And God holpe him against the Philistines, and agaynst the Arabiens that dwelt in Gurbaal and Hammehunim.
2Chr.26.8	And the Ammonites gaue tribute to Uzia, and his name spredde abroade euen to the entryng in of Egypte: for he played the man exceadingly.
2Chr.26.9	Moreouer Uzia buylt towres in Ierusalem by the corner gate, Ꟶ by the valeye gate, and at the turninge of the wall, and made them stronge.
2Chr.26.10	And he buylt towres in the wyldernesse, and digged many welles: For he had moche catell, in the valeys and playnes, plowmen and vynedressers in the mountaynes and in Charmel, for he loued husbandrye:
2Chr.26.11	And Uzia had an host of fyghtynge men that went out to warre in the armye accordynge to the nombre of theyr office vnder the hande of Ieiel the scrybe Ꟶ Maasiahu the ruler, Ꟶ vnder the hande of Hananiahu which was one of the kynges Lordes.
2Chr.26.12	And the hoale nombre of the auncient fathers, Ꟶ of the men of myght were two thousande and syxe hundred:
2Chr.26.13	Ꟶ vnder the hande of them was the armye of the men of warre, euen thre hundred and seuen thousande, Ꟶ fyue hundred that made warre with the power of an armye, helpyng the kynge against the enemies.
2Chr.26.14	And Uzia prouided them thorowe out all the host, shildes, speares, helmettes, haberginnes, bowes and slynges for to cast stones.
2Chr.26.15	And he made sotle engynnes in Ierusalem, which he inuented Ꟶ layed on the towres and corners, to shote arowes and greate stones with all. And his name spredd farre abroad, because he was helped so excellently, so that he became very mighty.
2Chr.26.16	But in his strength, his hert arose to hys destruction: For he transgressed agaynst the Lorde hys God, Ꟶ went into the temple of the Lorde, to burne cense vpon the alter of incense.
2Chr.26.17	And Asariahu the preaste went in after him, and with him foure skore preastes of the Lorde that were valeaunt men.
2Chr.26.18	And they stode by Uzia the kynge, and sayde vnto hym: it pertayneth not to the Uzia to burne incense vnto the Lorde, but to the preastes the chyldren of Aaron, that are consecrate for to offre incense. Come therfore out of the sanctuarye for thou hast trespaced, and it is no worshyp to the before the Lorde God.
2Chr.26.19	And Uzia was wroth, Ꟶ had incense in his hande to burne it: Ꟶ so whyle he had indignacyon agaynst the preastes, the leprosye sprange in his foreheed before the preastes in the house of the Lorde, euen besyde the incense aulter.
2Chr.26.20	And Asariahu the chefe preaste with all the other preastes loked vpon him: and beholde, he was become a leper in his foreheed, Ꟶ they vexed him thence. And he was fayne to go out, because the Lorde had smitten hym.
2Chr.26.21	And Uzia the kynge contynued a lepre vnto the daye of hys deeth, and dwelt seuerall in an house beynge a leper and shutte out of the house of the Lorde. And Iotham hys sonne had the gouernaunce of the kynges house, and iudged the people of the lande.
2Chr.26.22	The rest of the actes of Uzia fyrst Ꟶ last, dyd Isai the prophete the sonne of Amos, wryte
2Chr.26.23	And so Uzia slepte with hys fathers, and they buryed him with his fathers in the felde of the buryall which was besyde the sepulchres of the kinges. For they sayde: he is a leper. And Ioatham hys sonne raygned in hys steade.
2Chr.27.1	Iotham was fyue and twenty yere olde, when he beganne to raygne, and raygned syxtene yere in Ierusalem. Hys mothers name also was Ierusa the daughter of zadoc.
2Chr.27.2	And he dyd that which was ryght in the syght of the Lorde in all poyntes as dyd hys father Uzia saue, that he came not into the temple of the Lorde, and the people dyd yet wyckedly.
2Chr.27.3	He buylt the hye gate of the temple of the Lorde, and on the walle (where the house of ordinaunce was) he buylte moche.
2Chr.27.4	Moreouer he buylt cyties in the mountaynes of Iuda, and in the wood countreye he buylt castelles and towres.
2Chr.27.5	He fought with the kynge of the chyldren of Ammon, and preuayled agaynst them. And the chyldren of Ammon gaue hym the same yere an hundred talentes of syluer, and ten thousande quarters of wheate, Ꟶ ten thousand of barleye. So moche dyd the chyldren of Ammon geue hym the seconde yere and the thyrd also.
2Chr.27.6	So Iotham became myghtie, because he directed hys waye before the Lorde his God.
2Chr.27.7	The rest of the actes of Iotham Ꟶ all hys warres, Ꟶ his conuersacyon, lo, they are written in the boke of the kynges of Israel and Iuda.
2Chr.27.8	He was .xxv. yere olde when he beganne to raygne, Ꟶ raygned syxtene yere in Ierusalem.
2Chr.27.9	And Iotham slepte with his fathers, and they buryed hym in the cytie of Dauid: Ꟶ Ahaz hys sonne raygned in hys steade.
2Chr.28.1	Ahaz was twenty yere old when he beganne to raygne, Ꟶ raygned syxtene yere in Ierusalem, and he dyd not that which is ryght in the syght of the Lorde, as dyd his father Dauid:
2Chr.28.2	For he walked in the wayes of the kynges of Israel, Ꟶ made molten ymages for Baalim.
2Chr.28.3	He offered incense in the valeye of the sonne of Hinnom, and burnt hys chyldren in fyre after the abominacions of the Heithen, whom the Lord cast out before the chyldren of Israel.
2Chr.28.4	He offered also, and burnt incense in hilaulters and on mountayns and vnder euery grene tre.
2Chr.28.5	Wherfore the Lorde his God delyuered him into the hande of the kynge of the Siriens: which bet him, Ꟶ caried awaye a great multitude of hys captiue, and brought them to Damascon. And he was delyuered into the hande of the kynge of Israel, which smote him with a greate slaughter.
2Chr.28.6	For Pekah the sonne of Remaliahu slue in Iuda an hundred Ꟶ twentye thousande in one daye, which were all fyghtinge men: and that because they had forsaken the Lorde God of theyr fathers.
2Chr.28.7	And zichria mightye man of Ephraim slue Maasiahu the kynges sonne, Ꟶ Africa the gouernour of the house, and Elcana that was next to the kynge.
2Chr.28.8	And the children of Israel toke prisoners of theyr brethren, two hundred thousande wemen, sonnes, Ꟶ daughters, Ꟶ caryed awaye moche spoyle of them, Ꟶ brought the spoyle to Samaria.
2Chr.28.9	But there was a prophete of the Lordes (whose name was Obed) and he went out before the host that came to Samaria, Ꟶ sayde vnto them. Beholde, because the Lorde God of youre fathers is wroth wt Iuda, he hath delyuered them into youre hande. And ye haue slayne them with cruelnesse, that reacheth vp to heauen.
2Chr.28.10	And nowe ye purpose to kepe vnder the chyldren of Iuda and Ierusalem, and to make them bondmen and bondwemen. And do ye not lade youre selues with synne in the syght of the Lorde youre God?
2Chr.28.11	Nowe heare me therfore, and delyuer the captyues agayne which ye haue taken of youre brethren. for els shall the great wrath of God be vpon you.
2Chr.28.12	Wherfore, certayne of the heedes of the chyldren of Ephraim, as Asaria the sonne of Iehohanan. Berechiahu the sonne of Mesillemoth, and Iehezkiahu the sonne of Sallum, and Amasa the sonne of Hadlai, stode vp agaynst them that came from the warre,
2Chr.28.13	and sayde vnto them: bringe not in the captiues hyther. For where as we haue offended towarde God allreadye, ye entende to adde more to our synnes Ꟶ trespace. For our trespace is great allready, and there is a fearce wrath agaynst Israel.
2Chr.28.14	And vpon that, the men of armes lefte the captiues and the spoyle before the Lordes and all the congregacyon.
2Chr.28.15	And the men that were nowe rehearsed by name, rose vp, and toke the prisoners, Ꟶ with the spoyle clothed all that were naked amonge them, and arayed them, Ꟶ shoed them, Ꟶ gaue them to eate and to drinke, Ꟶ anoynted them, and caryed all that were feble of them vpon asses, Ꟶ brought them to Iericho (the cytie of Paulme trees) to theyr brethren: Ꟶ then they returned to Samaria agayne.
2Chr.28.16	At that same tyme dyd kyng Ahaz send vnto the kynges of Assur, to haue helpe of them.
2Chr.28.17	And the Edomites came agayne, and slue some of Iuda, and caryed awaye captyues.
2Chr.28.18	And the Philistines inuaded the cities in the lowe countrey, and towarde the south of Iuda: Ꟶ toke Bethsames, Ꟶ Aialon, and Gederoth, and Socho with the townes longynge therto, and Thimna with the townes of the same: Gimso, and the townes therof, and dwelt there.
2Chr.28.19	For the Lord brought Iuda lowe, because of Ahaz kynge of Iuda, which made Iuda naked, Ꟶ transgressed sore against the Lorde.
2Chr.28.20	And Thilgath pilneser kynge of the Assyrians came vpon him, and troubled him rather then strengthed hym.
2Chr.28.21	For Ahaz toke awaye a porcion out of the house of the Lorde, and out of the kynges house, Ꟶ out of the Lordes houses, Ꟶ gaue vnto the kynge of the Assyrians: and yet it helped him not.
2Chr.28.22	And in the very tyme of hys tribulacion dyd kyng Ahaz trespace yet moare agaynst the Lord.
2Chr.28.23	For he offered vnto the Gods of them of Damasco, which bette hym, Ꟶ he sayd: because the Gods of the kynges of Syria healpe them, therfore wyll I offer to them, that they maye helpe me also. But they were his destruccyon, and the destruccion of all Israel.
2Chr.28.24	And Ahaz gathered together the vessels of the house of God, and brake them, and shut vp the dores of the house of the Lord, and made him aulters in euery corner of Ierusalem.
2Chr.28.25	And in all the cities of Iuda he made hyllaulters, to burne incense vnto other Gods, Ꟶ angred the Lorde God of his fathers.
2Chr.28.26	The rest of hys actes and hys workes fyrst and last: beholde, they are written in the boke of the kynges of Iuda Ꟶ Israel.
2Chr.28.27	And Ahaz slepte with hys fathers, Ꟶ they buryed hym in the cytie of Ierusalem: but brought hym not vnto the sepulchres of the kynges of Israel. And Hezekia his sonne raygned in hys steade.
2Chr.29.1	Hezekia beganne to raygne, when he was fyue Ꟶ twenty yere olde, Ꟶ raygned nyne Ꟶ twenty yere in Ierusalem. And his mothers name was Abia the daughter of zachariahu.
2Chr.29.2	And he dyd that which was ryght in the syght of the Lorde, in all poyntes as dyd Dauid hys father.
2Chr.29.3	He opened the dores of the house of the Lorde (in the fyrst yere and fyrst moneth of hys raygne) and repayred them.
2Chr.29.4	And he brought in the preastes and the Leuites, and gathered them together in to the eest strete:
2Chr.29.5	and sayde vnto them. Heare me ye Leuites, Ꟶ now be sanctifyed and halowe the house of the Lorde God of youre fathers, brynge fylthinesse out of the holy place.
2Chr.29.6	For oure fathers haue trespaced, and done euell in the eyes of the Lorde oure God: and haue forsaken him, Ꟶ turned awaye theyr faces from the habitacion of the Lorde, and turned theyr backes on it.
2Chr.29.7	And besyde that they haue shut vp the dores of the porche and quenched the lampes, Ꟶ haue nether burnt incense, nor offered burnt offeringes in the holy place vnto the God of Israel.
2Chr.29.8	Wherfore the wrath of the Lorde fell on Iuda and Ierusalem: Ꟶ he hath brought them to trouble, to be wondred on, and to be hissed at, euen as ye se with youre eyes.
2Chr.29.9	For, lo, oure fathers were ouerthrowen with the swerde, and oure sonnes, oure daughters Ꟶ oure wyues were caryed awaye captiue for the same cause.
2Chr.29.10	And nowe it is in my hert, to make a couenaunt with the Lorde God of Israel: that he maye turne awaye his heuye indignacyon from vs.
2Chr.29.11	Nowe therfore my sonnes, be not neclygent: for the Lorde hath chosen you to stande before him, and for to ministre and serue hym, and to burne incense.
2Chr.29.12	Then the Leuites arose: Mahath the sonne of Amasai, Ꟶ Ioel the sonne of Asariahu of the chyldren of the Cahathites. And of the sonnes of Merari, Kis the sonne of Addi, and Asariahu the sonne of Iehalelel. And of the sonnes of the Gersonites, Ioah the sonne of Simma, and Eden the sonne of Ioah.
2Chr.29.13	And of the sonnes of Elizaphan, Simri Ꟶ Iehiel. And of the sonnes of Asaph, zechariahu and Mathaniahu.
2Chr.29.14	And of the sonnes of Heman, Iehiel Ꟶ Simei. And of the sonnes of Ieduthun Semaia and Uziel.
2Chr.29.15	And they gathered their brethren, Ꟶ purifyed them selues, Ꟶ came accordynge to the commaundement of the kynge and the wordes of the Lorde, for to clense the house of the Lorde.
2Chr.29.16	And the preastes went into the ynner partes of the house of the Lord to clense it, and brought out all the vnclennesse that they founde in the temple of the Lorde into the court of the house of the Lorde. And the Leuites toke it, to carye it out into the broke Cedron.
2Chr.29.17	They beganne the fyrst daye of the fyrst moneth to purifye, and the eyght daye of the monethe came they to the porche of the Lorde: and purged the house of the Lorde in eyght dayes, and in the syxtene daye of the fyrst moneth they made an ende.
2Chr.29.18	And they went into Hezekia the kynge, Ꟶ sayde: we haue clensed all the house of the Lord, the aulter of burntofferinge, with all his vessels, Ꟶ the shewbreed table with all his apparell:
2Chr.29.19	and all the vessels which kyng Ahaz did cast a syde when he raygned Ꟶ transgressed, them we haue prepared and sanctifyed: and beholde, they are before the aulter of the Lord.
2Chr.29.20	And Hezekia the kynge rose earlye, Ꟶ gathered the Lordes of the cytie and went vp to the house of the Lorde.
2Chr.29.21	And they brought seuen oxen, seuen rammes, seuen shepe, and seuen hegoates, to be a synne offeryng for the kyngdome, for the sanctuarie, Ꟶ for Iuda. And he commaunded the preastes the sonnes of Aaron, to offer them on the aulter of the Lorde.
2Chr.29.22	And they slue the oxen, Ꟶ the preastes receaued the bloude, Ꟶ sprinkled it on the aulter: lyke wyse, whan they had slayne the rammes, they sprinkled the bloude vpon the aulter: they slue also the shepe, Ꟶ they sprinkled the bloud vpon the aulter.
2Chr.29.23	And then they brought forth the hegoates for the synne offerynge before the kynge and the congregacyon, Ꟶ put theyr handes vpon them.
2Chr.29.24	And the preastes slue them, and with the bloude of them they clensed the aulter, to make satisfaccion for all Israel: for the kynge commaunded, that the burnt offerynge and the synne offering shulde be made for all Israel.
2Chr.29.25	And set the Leuites in the house of the Lorde with symbales, psalteries and harpes accordynge to the commaundement of Dauid and of Gad the kynges sear, and Nathan the prophete. For so was the commaundment of the Lorde thorowe the hande of his prophetes.
2Chr.29.26	And the Leuites stode, hauynge the instrumentes of Dauid, and the preastes helde the trompettes.
2Chr.29.27	And Hezekia commaunded to offer the burntofferynge vpon the aulter. And when the burntoffering beganne, the songe of the Lorde beganne also, Ꟶ the trompettes wt the instrumentes that were ordeyned by the hande of Dauid kynge of Israel.
2Chr.29.28	And all the congregacion worshypped, synginge a song, and blowinge with the trompets, Ꟶ all thys continued, vntyll the burnt offerynge was fynysshed.
2Chr.29.29	And when they had made an ende of offerynge, the kynge and all that were present wt hym. bowed them selues, Ꟶ worshypped.
2Chr.29.30	And Hezekia the kynge Ꟶ the Lordes spake to the Leuites to prayse the Lorde with the wordes of Dauid, Ꟶ of Asaph the sear. And the Leuites sange prayses with gladnesse, and the other bowed them selues, and worshypped.
2Chr.29.31	And Hezekia answered, Ꟶ sayde: nowe ye haue consecrate youre handes to the Lord: go to therfore, Ꟶ bringe in the sacrifices Ꟶ thankofferynges into the house of the Lorde. And the congregacyon brought in the sacrifyces Ꟶ thanke offerynges Ꟶ burntofferinges, as many as were of a fre liberall hart.
2Chr.29.32	And the nombre of the burntofferinges which the congregacion brought, was .lxx. oxen, an hundred rammes, Ꟶ two hundred shepe: which were, all for the burnt offeringe of the Lorde.
2Chr.29.33	And ther were dedicated syxe hundred oxen, and thre thousande shepe.
2Chr.29.34	And the preastes were to fewe, to fleye all the burnt offeringes: but their brethren the Leuites dyd helpe them, till they had ended the worke, and vntyll the preastes were sanctifyed. For the Leuites were purer herted to be sanctifyed then the preastes.
2Chr.29.35	And therto the burnt offerynges were many with the fatte of the peace offeringes Ꟶ the drinke offerynges that be longe to the burnt offerynge. And so the seruice pertayninge to the house of the Lorde was fynisshed.
2Chr.29.36	And Hezekia reioysed Ꟶ all the people, that God had made the folcke so readye: and that the thynge was so soone done.
2Chr.30.1	And Hezekia sent to all Israell and Iuda, and wrote letters to Ephraim Ꟶ Manasse, that they shulde come to the house of the Lorde at Ierusalem, and offer Passeouer vnto the Lord God of Israel.
2Chr.30.2	And the kynge helde a councell with his Lordes and all the congregacion of Ierusalem to kepe the feast of Passeouer in the seconde moneth.
2Chr.30.3	For they coulde not kepe it at that tyme: because the prestes were not sanctifyed sufficiently, nether was the people gathered together to Ierusalem.
2Chr.30.4	And the thynge pleased the kynge and al the congregacion.
2Chr.30.5	And they decreed that it shulde be proclaymed thorowe out all Israel from Bersabe to Dan, that they shulde come, Ꟶ holde the feast of Passeouer vnto the Lord God of Israel at Ierusalem: for they had not done it of a greate season as they shuld haue done by the lawe.
2Chr.30.6	So the postes wente with letters of the hande of the kyng, Ꟶ of his Lordes thorowe out all Israell and Iuda: Ꟶ at the commaundement of the kynge they sayd: Ye children of Israel, turne agayne vnto the Lord God of Abraham, Isahac Ꟶ Israel, and let euery one returne to the remnaunt that are escaped you out of the hande of the kynges of Assur.
2Chr.30.7	And be not ye lyke your fathers, Ꟶ your brethren which trespaced agaynst the Lorde God of theyr fathers, which gaue them vp to be destroyed, as ye se.
2Chr.30.8	And nowe be not ye stiffenecked, lyke as were your fathers, but yelde your selues vnto the Lorde, Ꟶ entre into his holy place, which he hath sanctified for euer and serue the Lorde your God, Ꟶ the fearcenesse of his wrath shal turne awaye from you.
2Chr.30.9	For yf ye turne agayne vnto the Lord, then shall your brethren and your children fynde compassion in the presence of them that toke them captyue, and they shall come agayne vnto this land: for the Lord your God is gracious Ꟶ mercyfull and wil not turne awaye his face from you, yf ye conuerte vnto hym.
2Chr.30.10	And so the postes went from cytie to cytie in the lande of Ephraim Ꟶ Manasse, euen vnto zabulon. But they laughed them to skorne Ꟶ mocked them.
2Chr.30.11	Neuerthelesse, yet dyuerse of Asser, Manasse and of zabulon submytted them selues, and came to Ierusalem.
2Chr.30.12	And the hande of God was in Iuda, so that he gaue them one hert, to do the commaundement of the kyng and of the rulers, accordyng to the worde of the Lorde.
2Chr.30.13	And there assembled to Ierusalem moch people, and there was present a myghtye great congregacion, to holde the feast of swete bread in the second moneth.
2Chr.30.14	And they arose, Ꟶ remoued the aulters that were in Ierusalem. And all the vessels of incense dyd they awaye, and cast them into the broke Cedron.
2Chr.30.15	And they slue Passeouer the fourtenth daye of the second moneth. And the preastes and Leuites. which were ashamed, sanctifyed them selues, and brought in the burnt offerynges into the house of the Lorde.
2Chr.30.16	And they stode in theyr offyce after theyr maner, and accordynge to the lawe of Moses the man of God. And the preastes sprinkled the bloude, which they receaued of the hande of the Leuites.
2Chr.30.17	For there were many in the congregacion, that were not sanctifyed: Ꟶ the Leuites dyd sley Passeouer for al that were not cleane, Ꟶ that myght not execute the holy worke of the Lorde.
2Chr.30.18	For many of the people, and very many: out of Ephraim, Manasse, Isakar and zabulon were not cleansed, Ꟶ yet dyd eate Passeouer agaynst the lawe apoynted. Wherfore Hezekia prayed for them, and sayd: the good Lorde
2Chr.30.19	be mercyful vnto them: For he set hys whole hert, to seke the Lorde God euen the God of his fathers: but all the other dyd not so accordyng to vnfayned holynesse.
2Chr.30.20	And the Lorde hearde Hezekia, and healed the people.
2Chr.30.21	And the chyldren of Israel that were present at Ierusalem, helde the feast of swete bread seuen dayes with great gladnesse, and the Leuites and the preastes praysed, and magnifyed the power of the Lorde daye by daye, vpon instrumentes.
2Chr.30.22	And Hezekia spake hertely vnto all the Leuites that had vnderstandyng and were of a good mynde toward the Lorde. And they dyd eate thorowe out that feast, seuen dayes longe, Ꟶ offered peaceofferynges, Ꟶ thanked the Lorde God of theyr fathers.
2Chr.30.23	And the hole assemble toke councell, to do so other seuen dayes, and they helde those seuen dayes with gladnesse.
2Chr.30.24	For Hezekia kinge of Iuda toke out (from amonge his catel) for the congregacion, a thousande yonge oxen, and seuen thousande shepe. And the Lordes gaue out to the congregacion a thousande yonge oxen, and ten thousande shepe. And a greate nombre of the preasts were sanctifyed.
2Chr.30.25	And all the congregacyon of Iuda wyth the preastes Ꟶ Leuites, Ꟶ al the congregacion that came out of Israel, and the straungers that came out of the lande of Israel, and that dwelt in Iuda, reioysed:
2Chr.30.26	Ꟶ there was great gladnesse in Ierusalem. For sence the tyme of Salomon the sonne of Dauid kynge of Israel there was no soche ioye in Ierusalem.
2Chr.30.27	And the preastes and the Leuites arose, and blessed the people, and theyr voyce was hearde of the Lord, and theyr prayer came vp vnto heauen, his holy dwellynge place.
2Chr.31.1	And when all these thynges were fynysshed, all they of Israel that were present in the cyties of Iuda, went out and brake the ymages, and cut downe the Idoles groues, Ꟶ al to brake the hye places, and aulters, thorow out all Iuda and Beniamin, in Ephraim also and Manasse, vntyll they had vtterly destroyed them al. And all the children of Israel returned euery man to his possessions Ꟶ to their awne cyties.
2Chr.31.2	And Hezekia appoynted sondrye companies of the preastes and Leuites after the dyuersyte of their ministracions, euery man accordynge to his office: both preastes and Leuites, for the burntofferinge Ꟶ peace offeringes, to ministre, Ꟶ to geue thankes Ꟶ prayse in the gates of the host of the Lord.
2Chr.31.3	And the kynges porcion of his substaunce that he gaue, were dayly burntofferinges in themorning and euening, Ꟶ burntofferinges for the Saboth dayes, newmones, Ꟶ solempne feastes, accordynge as it is written in the lawe of the Lorde.
2Chr.31.4	And he bade the people that dwelt in Ierusalem, geue the parte to the preastes Ꟶ Leuites, that they might substauncially applye them selues to the lawe of the Lord.
2Chr.31.5	And as sone as the kynges commaundement came abroad, the children of Israel brought aboundaunce of first frutes, of corne, wyne, oyle, honye, Ꟶ of all maner of frutes of the felde, Ꟶ the tythes of all maner of thynges brought they in plenteously.
2Chr.31.6	And the chyldren of Israel and Iuda that dwelt in the cyties of Iuda, they also brought in the tythes of oxen and shepe, and other holy tythes which were consecrate vnto the Lorde theyr God, they dyd offre, and brought them all by heapes.
2Chr.31.7	In the thyrd moneth they beganne to laye the heapes (in maner of a foundacion) and finisshed them in the seuenth moneth.
2Chr.31.8	And when Hezekia and the Lordes came and sawe the heapes, they blessed the Lorde Ꟶ his people Israel.
2Chr.31.9	And Hezekia questioned with the preastes Ꟶ the Leuites concernyng the heapes.
2Chr.31.10	And Azaria the chefe preaste of the house of zadock, answered him, Ꟶ sayde: sense the people beganne to bryng the heaue offerynges into the house of the Lord, we also haue had ynough to eate, there remayned so moch: for the Lorde hath blessed his people and this heape is left.
2Chr.31.11	And Hezekia bad prepare the chambres in the house of the Lord. And they dyd prepare them,
2Chr.31.12	Ꟶ caryed in the first frutes, the tythes, and the dedicat thynges, faythfully. Ouer which Chonaniahu the Leuite had the rule, and Semei his brother next to him.
2Chr.31.13	And Iehiel, Asaziahu, Nahath, Asael, Ierimoth, Iosabad, Eliel, Iesmachiahu, Mahath Ꟶ Banaiahu were ouer sears ordeyned by Chonaniahu, Ꟶ Semei his brother was an offycer of Hezekia the kyng, and Azaria was the ruler of the house of God.
2Chr.31.14	And Chore the sonne of Imna the Leuite and porter of the East dore, had the ouersyght of the thinges that were offred of a frewill vnto God (and were geuen in maner seuerally vnto the Lorde) and ouer the thynges most holy.
2Chr.31.15	And vnder his hand were Eden, Miniamin, Iesua, Semeiahu, Amariahu, and Sechaniahu in the cities of the preastes appoynted of theyr fydelyte to geue to their brethren theyr porcions, as wel to the small as to the greate.
2Chr.31.16	Except that to the males that were reckened from thre yere Ꟶ aboue (amonge al that went into the house of the Lord) they shuld geue daye by daye, for theyr ministracion, Ꟶ for theyr geuyng attendaunce, Ꟶ for their diuerse waytinges by course.
2Chr.31.17	And to the preastes Ꟶ Leuites thorowe out the housholde of theyr fathers, from twentye yere Ꟶ aboue to wayte when their courses came.
2Chr.31.18	And to the families of all their babes, wyues, sonnes Ꟶ daughters thorowe all the congregacion. For vpon the fydelyte of them were the holy thynges bestowed.
2Chr.31.19	And to the chyldren of Aaron, the preastes, whych were in the feldes Ꟶ suburbes of their cyties, cytie by cytie the men (whose names were expressed afore) shulde geue porcions, euen to all the males amonge the preastes, and to all the Leuites accordynge to theyr nombre.
2Chr.31.20	And of thys maner dyd Hezekia thorowe out all Iuda, Ꟶ wrought it that is good, and ryght and true, before the Lorde hys God.
2Chr.31.21	And in all the worckes that he beganne for the seruice of the house of God, for the lawe, and for the commaundementes, he sought his God, Ꟶ that dyd he with all his hert, Ꟶ prospered.
2Chr.32.1	After that these deades were faythfully done Sennacherib kynge of Assur came, Ꟶ entred into Iuda, Ꟶ compased the stronge cyties, and thought to winne them for him selfe.
2Chr.32.2	And so when Hezekia sawe that Sennacherib was come, Ꟶ that he was purposed to fyght agaynst Ierusalem,
2Chr.32.3	he toke councel with his Lordes, and men of myght to stop the water of the fountaynes without the cytie: Ꟶ they dyd helpe him.
2Chr.32.4	For ther gathered many of the people together, Ꟶ stopte al the welles, and the broke that ranne thorow the myddes of the lande, sayenge: why shall the kynges of Assur come, and fynde moch water?
2Chr.32.5	And Hezekia went to lustelye, and built vp all the wal where it was broken, Ꟶ made ordinaunce vpon the towres and to the other wall without, and repayred Myllo in the cytie of Dauid, and made many dartes and shyldes.
2Chr.32.6	And he sett captaynes of warre ouer the people, and gathered them together to hym in the large strete of the gate of the cytie, and spake ientely to them, saying:
2Chr.32.7	Plucke vp yor hertes, and be strong: Be not afraied ner discouraged for the kyng of Assur, and for all the multitude that he hath with him: for there be moo with vs then with him.
2Chr.32.8	With him is an arme of flesh. But with vs is the Lorde oure God, for to helpe vs, and to fyght oure batayles. And the people toke a courage thorow the wordes of Hezekia kyng of Iuda.
2Chr.32.9	After thys dyd Sennacherib kynge of Assur send of hys seruauntes to Ierusalem, (but he hym selfe remayned besyde Lachis: hauyng all his power with him) vnto Hezekia kyng of Iuda and vnto all Iuda that were at Ierusalem, sayenge:
2Chr.32.10	Thus sayeth Sennacherib kyng of Assur: wherin do ye trust, O ye that dwell in Ierusalem which is beseged?
2Chr.32.11	Doth not Hezekia entyce you to geue ouer youre selues vnto deeth, hongre, and thurst, sayeng: the Lorde our God shall ridd vs oute of the hande of the kynge of Assur?
2Chr.32.12	Hath not the same Hezekia put downe hys hye places and hys aulters, and commaunded Iuda and Ierusalem, sayinge: Ye shall worshyppe before one aulter, and burne incense vpon the same?
2Chr.32.13	Know ye not, what I and my fathers haue done vnto the people of all landes? were the Gods of the people of otherlandes able or mighty to saue their landes out of my hand?
2Chr.32.14	which of all the Gods of those nacions (that my fathers destroyed) coulde delyuer hys people out of myne hand? And shall yor God be able to delyuer you out of myne hande?
2Chr.32.15	Wherfore, nowe lett not Hezekia deceaue you, ner persuade you of this facion, nor yet beleue him. For as no God among all nacions and kingdomes, was able to rydde hys people out of my hande and out the hande of my fathers: How moch lesse shall your goddes be able to kepe you out of myne hand?
2Chr.32.16	And yet mo thinges dyd his seruauntes speake against the Lord God, and agaynst his seruaunt Hezekia.
2Chr.32.17	And (Sennacherib) also wrote a letter, to rayle on the Lord God of Israell, Ꟶ spake agaynst him, sayinge: as the Gods of the nacyons of other landes haue not bene able to delyuer their people out of myne hande. Euen so shal not the God of Hezekia delyuer hys people out of myne hand.
2Chr.32.18	And they cryed wt a loude voyce in the Iewes speach vnto the people of Ierusalem that were on the wall, to feare them and to make them faynt harted, Ꟶ that they might so take the cyte.
2Chr.32.19	And they spake against the God of Ierusalem, as against the Gods of the nacyons of the earth, which were the worckes of the handes of men.
2Chr.32.20	But Hezekia the kynge, and the prophet Isai the sonne of Amoz prayed agaynst that blasphemy, and cryed vp to heauen.
2Chr.32.21	And the Lord sent an angell, which destroyed all the men of warre and the Lordes and captaynes of the hoost of the kyng of Assur, that he turned his face agayne wt shame toward hys awne land. And when he was come into the house of his God, they that came of hys awne body, slue hym there with the sweard.
2Chr.32.22	And so the Lord saued Hezekia and the inhabiters of Ierusalem out of the hand of Sennacherib king of Assur, and from the hand of all other, and mayntened them on euery syde.
2Chr.32.23	And many brought offerynges vnto the Lord to Ierusalem, and presentes to Hezekia king of Iuda: so that he was magnifyed in the syght of all nacions from thence forth.
2Chr.32.24	In those dayes Hezekia was sycke vnto the death, Ꟶ prayed vnto the Lord, which answered him, Ꟶ shewed hym a wonderfull miracle.
2Chr.32.25	But Hezekia dyd not agayne vnto God acording to it that he had shewed hym, for his hert arose: Ꟶ there came wrath vpon him and vpon Iuda Ꟶ Ierusalem.
2Chr.32.26	Notwithstanding Hezekia submitted hym self (after that hys hert was rysen vp) he, Ꟶ the inhabyters of Ierusalem: and the wrath of the Lord came not vpon them in the dayes of Hezekia.
2Chr.32.27	And Hezekia had exceadynge moche ryches and honour. And he gat hym treasures of syluer and golde, precious stones, and spices, shyldes, and of all maner pleasaunt Iuelles:
2Chr.32.28	and made store houses for the frutes of corne, for wyne and oyle: and stalles for all maner of beastes, and foldes for shepe.
2Chr.32.29	And he made him cyties, and had of shepe and oxen great aboundance. For God had geuen him substaunce exceadinge moch.
2Chr.32.30	This same Hezekia stopped the vpper water sprynges of Gihon, and brought them downe to the west syde of the cyte of Dauid. And Hezekia prospered in all hys worckes.
