Exod.0.0	¶ The second boke of Moses called in the Hebrue: Ueelleh Schemoth: And in the Latin, Exodus.
Exod.24.1	And he sayde vnto Moses: come vp vnto the Lorde: thou Ꟶ Aaron, Nadab and Abihu, and the .lxx. elders of Israel, and ye shal worshyppe a farre of.
Exod.24.2	And Moses hym selfe alone shall go vnto the Lorde, but they shall not come nye, nether shall the people go vp with hym.
Exod.24.3	And Moses came, Ꟶ tolde the people all the wordes of the Lord and all the lawes: And all the people answered with one voyce, and sayde: all the wordes whiche the Lorde hath sayde, wyll wee doo.
Exod.24.4	And Moses wrote all the wordes of the Lorde, Ꟶ rose vp early, and set vp an aulter vnder the hyll, Ꟶ .xii. stones according to the .xii. trybes of Israel,
Exod.24.5	and sent yonge men of the chyldren of Israell, which brought burntofferynges, and offred peace offeringes of oxen vnto the Lord.
Exod.24.6	And Moses toke halfe of the bloude, and put it in basens, Ꟶ the other halfe he sprenkeld on the aulter.
Exod.24.7	And he toke the boke of the appoyntement and redd it in the audience of the people. And they sayd. All that the Lorde hath sayde, we wyll do and be obedyent.
Exod.24.8	And Moses toke the bloude, and sprynkeld it on the people and sayde, beholde thys is the bloude of the appoyntement, which the Lorde hath made with you vpon all these wordes.
Exod.24.9	Then went Moses and Aaron, Nadab and Abihu and the .lxx. elders of Israel vppe,
Exod.24.10	and sawe the God of Israel, and there was vnder hys fete, as it were a worke of a Saphir stone; and as it were the heauen when it is cleare,
Exod.24.11	and vpon the nobles of the chyldren of Israel he sett not his hand. And they sawe God and dyd eate and dryncke.
Exod.24.12	And the Lorde sayde vnto Moses: come vp to me into the hyll, and be there, and I wyll geue the tables of stone, and a lawe and commaundmentes, which I haue written that thou mayest teach them.
Exod.24.13	And Moses rose vppe Ꟶ hys minister Iehosua, Ꟶ Moses went vppe into the hyll of God,
Exod.24.14	and sayde vnto the elders: tarye ye here vntyll we come agayne vnto you. Beholde, here is Aaron Ꟶ Hur with you. If any man haue any matters to do, let hym come to them.
Exod.24.15	And Moses went vp into the mounte, and a clowde couered the hyll,
Exod.24.16	and the glorye of the Lorde abode vpon mounte Sinay, and the clowde couered it .vi. dayes. And the seuenth daye he called vnto Moses out of the clowde.
Exod.24.17	And the facyon of the glorye of the Lorde was lyke consumynge fyre on the toppe of the hyll in the syghte of the children of Israel.
Exod.24.18	And Moses went into the clowde, and got him vp into the mountayne. And Moses was in the mounte .xl. dayes and .xl. nyghtes.
Exod.25.1	And the Lorde spake vnto Moses sayinge:
Exod.25.2	speake vnto the chyldren of Israel that they brynge me an heue offerynge: of euery man that geueth it wyllyngly with hys herte, ye shall take it.
Exod.25.3	Thys is the heue offrynge which ye shall take of them golde and syluer and brasse:
Exod.25.4	yelowe sylke, purple, scarlet, white sylke, and gootes here
Exod.25.5	rams skynnes that are redd, and the skynnes of taxus and sethim wodd,
Exod.25.6	oyle for lyghte, spices for anoyntynge oyle, and for swete cense,
Exod.25.7	Onix stones and stones to be sett in the Ephod and in the brest lappe.
Exod.25.8	And let them make me a sanctuarie (that I maye dwell amonge them.)
Exod.25.9	And accordinge to all that I shewe the both after the facyon of the habitacyon, and after the facyon of all the ornamentes therof, euen so shall ye make it.
Exod.25.10	And they shall make an arke of sethim wood .ii. cubytes and an halfe longe, a cubite and an halfe broade and a cubyte Ꟶ an halfe hye.
Exod.25.11	And thou shalt ouerlaye it with pure golde, within and without shalt thou ouerley it, and shalt make an hye vpon it a crowne of golde rounde aboute.
Exod.25.12	And thou shalt cast foure rynges of gold for it, and put them in the foure corners therof .ii. rynges shalbe in the one syde of it, and .ii. in the other.
Exod.25.13	And thou shalt make barres of sethim wood, and couer them with golde,
Exod.25.14	and put the barres in the ringes alonge by the sydes of the arke, to bere it with all
Exod.25.15	And the barres shall be in the rynges of the arke, and shall not be taken awaye from it.
Exod.25.16	And thou shalt put in the arke, the witnesse which I shall geue the.
Exod.25.17	And thou shalt make a mercyseate of pure golde .ii. cubytes and an halfe longe and a cubite Ꟶ a halfe brode.
Exod.25.18	And thou shalt make .ii. cherubins of golde: Euen of a whole worke shalt thou make them in the two endes of the mercyseate:
Exod.25.19	and the one cherub shalt thou make on the one ende, and the other on the other ende. Euen of the same mercyseate shall ye make Cherubins in the two endes therof.
Exod.25.20	And the Cherubins shall stretch theyr wynges abrode ouer an hye, coueringe the mercy seate with theyr wynges, and theyr faces shall loke one to another: euen to the mercyseate warde, shall the faces of the cherubins be.
Exod.25.21	And thou shalt put the mercyseate aboue vpon the arke, and in the arke thou shalt put the witnesse which I wyll geue the.
Exod.25.22	And from thence I wyll testifye vnto the and wyll comon with the from vpon the mercyseate: from betwene the two Cherubins which are vpon the arke of witnesse, of all thynge which I wyll geue the in commaundement vnto the chyldren of Israel.
Exod.25.23	Thou shalt also make a table of sethim wodd of two cubytes longe, and one cubytt brode, and a cubytt and an halfe hye.
Exod.25.24	And thou shalt couer it with pure golde, and make there to a crowne of golde rounde aboute.
Exod.25.25	And make vnto that an whope of foure fyngers brode, rounde aboute. And make a golden crowne also to the whope rounde aboute.
Exod.25.26	And make for it foure rynges of gold, and put the rynges in the corners that are on the foure fete therof:
Exod.25.27	euen ouer against the whope shall the rynges be, to put in barres, to bere the table with all.
Exod.25.28	And thou shalt make the barres of Sethim wodd, and ouerlaye them with gold, that the table maye be borne with them.
Exod.25.29	And thou shalt make hys disshes, and spones, flatpeces, and pottes to powre oute withall: Euen of fyne golde shalt thou make them.
Exod.25.30	And thou shalt sett vpon the table, shewbreed before me alwaye.
Exod.25.31	And thou shalt make a candelstycke of pure golde euen of a whole worke shall the candelstycke be made with his shaft, braunches, bolles, knoppes and floures proceadinge there out.
Exod.25.32	Syxe braunches also shall procede out of the sydes of it: thre braunches of the candelstycke out of the one syde and thre out of the other.
Exod.25.33	Thre cuppes lyke vnto almondes with knoppes Ꟶ floures in one braunche. And thre cuppes lyke almondes in the other braunche, with knoppes and floures. And euen so thorowe out the syxe braunches that procede out of the candelstycke:
Exod.25.34	and in the candelstycke selfe foure cuppes lyke vnto almondes with theyr knoppes and floures:
Exod.25.35	and there shall be a knoppe vnder euery two braunches. Of the syxe that procede out of the candelstyck.
Exod.25.36	And the knoppes and the braunches shalbe of it. And it shalbe one worke euen of pure golde.
Exod.25.37	And thou shalt make the seuen lampes of it: and the seuen lampes therof, shalt thou put an hye there on, to geue lyghte vnto the other syde that is ouer against it.
Exod.25.38	The tongges and snoffers therof shalbe of pure golde.
Exod.25.39	Of an hundred pounde weyghte of fyne golde shalt thou make it with all the apparell.
Exod.25.40	Loke therfore that thou make them after the facyon that was shewed the in the mounte.
Exod.26.1	The tabernacle shalt thou make wt ten curtaynes of whyte twyned sylke: yelowe sylke, purple and scarlet. And in them thou shalt make pictures of broderd worke.
Exod.26.2	The length of one curtayne shalbe eyght and twenty cubytes, Ꟶ the bredth of one curtayne foure cubytes, and euery one of the curtaynes shall haue one measure:
Exod.26.3	fyue curtaynes shalbe coupled together one to another: and fyue curtaynes shalbe coupled together one to another.
Exod.26.4	And thou shalt make lowpes of yelow sylke, a longe by the edge of the one curtayne which is in the seluege of the couplynge courtayne. And lykewyse shalt thou make in the edge of the vtmost curtayne that is to be coupled therwith on the other syde.
Exod.26.5	Fyftye lowpes shalt thou make in the one curtayne, and fyftie lowpes shalt thou make in the edge of the curtayne that is to be couppled therwith on the other syde: that the lowpes maye take holde one of a nother.
Exod.26.6	And thou shalt make fyftye buttons of golde, and couple the curtaynes together with the buttons: and it shalbe one habitacyon.
Exod.26.7	And thou shalt make .xi. curtaynes of gotes heere, to be a coueringe vpon the Tabernacle.
Exod.26.8	The length of a curtayne shalbe .xxx. cubytes and the bredeth foure and they shalbe all .xi. of one measure.
Exod.26.9	And thou shalt couple .v. curtaynes by them selues, and the sixe by them selues, and shalt double the syxt in the fore front of the tabernacle.
Exod.26.10	And thou shalt make fyftye lowpes in the edge of the vtmost curtayne on the one syde: euen in the edge of the couplynge courtayne:
Exod.26.11	and fyftye lowpes in the edge of the other curtayne that must be ioyned vnto it. And thou shalt make fyftie buttones of brasse and put them on the lowpes, and couple the couerynge to gether, that it maye be one.
Exod.26.12	And the remnaunt that resteth in the curtaynes of the couerynge: euen the halfe curtayne that resteth, shalbe lefte on the backe sydes of the habitacyon:
Exod.26.13	that a cubyte on the one syde and a cubyte on the other syde maye remayne in the length of the curtaynes of the coueryng, and that it maye remayne of ether syde of the habitacyon to couer it with all.
Exod.26.14	And vpon the Tabernacle thou shalt make a couerynge of rams skynnes dyed redd: Ꟶ yet a coueringe aboue all of taxus skynnes.
Exod.26.15	And thou shalt make bordes for the habitacyon of sethim wod to stonde vp ryghte:
Exod.26.16	ten cubytes longe shall euery borde be, and a cubite Ꟶ an halfe brode.
Exod.26.17	Two fete shall there be in one borde: and they shalbe separate one from another. And thus shalt thou make for all the bordes of the Tabernacle.
Exod.26.18	And thou shalt make .xx. bordes for the habitacyon on the south syde,
Exod.26.19	and thou shalt make .xl. sockettes of syluer vnder the .xx. bordes two sockettes vnder one borde; for hys two fete,
Exod.26.20	Ꟶ two sockettes vnder another borde for his two fete. In lyke maner in the north syde of the habitacyon there shalbe .xx. bordes
Exod.26.21	and .xl. sockettes of syluer: two sockettes vnder one borde, and two sockettes vnder another borde.
Exod.26.22	And in the west ende of the habitacyon, shalt thou make syxe bordes,
Exod.26.23	and two bordes shalt thou make in the corners of the habitacyon in the metynge together of the two sydes.
Exod.26.24	And they shall be coupled together beneth and lyke wyse aboue to a rynge. And thus shall it be for the two bordes that are in the corners.
Exod.26.25	And they shalbe eyght bordes, hauynge sockettes of syluer, euen syxtene sokettes: that there maye be two sokettes vnder one borde, and two sokettes vnder another borde.
Exod.26.26	And thou shalt make barres of sethim wodd, fyue for the bordes of the Tabernacle in one syde, and fyue barres for the bordes of the Tabernacle in the other syde,
Exod.26.27	and fyue barres for the bordes of the Tabernacle in the west ende.
Exod.26.28	And the mydle barre shall goo alonge thorowe the myddes of the bordes from the one ende vnto the other.
Exod.26.29	And thou shalt couer the bordes with golde, and make theyr rynges of golde, to put the barres thorowe, and thou shalt couer the barres with golde also.
Exod.26.30	And thou shalt rere vp the habitacyon accordynge to the facion therof, as it was shewed the in the mount.
Exod.26.31	And thou shalt make a vayle of yelowe sylke, of purpull, scarlet, and whyte twyned sylke. Of broderd worke with pictures shalt thou make it.
Exod.26.32	And hange it vpon foure pilers of sethim wodd couerd with golde. Whose heades shalbe of golde, stondynge vpon foure sockettes of syluer.
Exod.26.33	And thou shalt hange vp the vayle wyth rynges, that thou mayest bringe in (with in the vayle) the arcke of witnesse. And the vayle shall vnto you deuyde the holye from the most holy.
Exod.26.34	And thou shalt put the mercy seate vpon the arcke of wytnesse in the holyest place.
Exod.26.35	And thou shalt put the table without the vayle: and the candelsticke ouer agaynst the table on the south syde of the habitacyon. And put the table on the north syde.
Exod.26.36	And thou shalt make an hangynge for the dore of the Tabernacle: of yelowe sylke purple, scarlet, and white twined sylk wroughte with nedle worke.
Exod.26.37	And thou shalt make for the hangyng, fyue pillers of sethim wodd and couer them with golde, and theyr knoppes shalbe of golde, and thou shalt cast fyue sockettes of brasse for them.
Exod.27.1	And thou shalt make an aultare of sethim wodd: fyue cubytes longe and fyue cubytes brode. For it shall be foure square, and thre cubytes hye.
Exod.27.2	And thou shalt make it hornes in the foure corners of it the hornes shalbe of it selfe, and thou shalt couer it with brasse.
Exod.27.3	And make hys asshepannes, shouels, basens, fleshhokes, fyrepannes Ꟶ all the apparell therof for the same, of brasse.
Exod.27.4	And thou shalt make vnto it a gredyern also (lyke a net) of brasse. And vpon that net shalt thou make foure brasen rynges in the foure corners therof:
Exod.27.5	and thou shalt put it vnder the compase of the altare beneth, that the net maye be in the myddes of the altare.
Exod.27.6	And thou shalt make (two) barres for the altare of sethim wodd, and couer them with brasse,
Exod.27.7	and let them be put in rynges a longe by the sydes of the altare to beare it wt all.
Exod.27.8	And make the aulter holowe with bordes: euen as it was shewed the in the mount, so shall they make it.
Exod.27.9	And thou shalt make the courte of the habitacyon, that there maye be in the south syde hangynges of white twyned sylke, of an hundred cubytes longe, for one syde,
Exod.27.10	and .xx. pyllers therof, with theyr .xx. sockettes of brasse: but the knoppes of the pyllers Ꟶ theyr whopes shalbe syluer.
Exod.27.11	In lykewyse on the north syde there shalbe hangynges of an hundred cubytes longe and .xx. pylers with their twentye sockettes of brasse, and the knoppes and the whopes of syluer.
Exod.27.12	But vpon the west syde the bredth of ye courte shal haue an hanginge of fiftie cubites longe, Ꟶ ten pilers vpon ten sokettes.
Exod.27.13	And the breadth of the court which is eastwarde, shall haue fyftye cubytes.
Exod.27.14	Hangynges of fyftene cubytes in the one syde: and their pillers with their thre sockettes:
Exod.27.15	and lykewyse on the other syde shalbe hanginges of fiftene cubites with their thre pillers and thre sockettes.
Exod.27.16	And in the gate of the court shalbe a vayle of twentye cubites of yelowe silk, purple, and skarlet Ꟶ whyte twined silke, wrought with nedle worke: Ꟶ foure pillers with their foure sockettes.
Exod.27.17	All the pillers round about the court shalbe whoped with syluer, Ꟶ their knoppes shalbe of syluer, and their sockettes of brasse.
Exod.27.18	The length of the court shalbe an hundred cubites, and the breadth fyftye Ꟶ the heigth fyue. And the hanginges shalbe of whyte twined sylk, and their sockettes of brasse.
Exod.27.19	All the vesselles of the habitation in all maner seruice and the pynnes therof: yee, and all the pynnes also of the courte shalbe of brasse.
Exod.27.20	And thou shalt commaunde the children of Israel, that they geue the pure oyle olyue beaten for the lyght, to powre allwaye into the lampes.
Exod.27.21	In the tabernacle of witnesse without the vayle which is before the witnes, shall Aaron and his sonnes dresse it both euening and mornyng before the Lorde: and it shalbe a statute for euer vnto the generations of the children of Israel.
Exod.28.1	And take thou vnto the Aaaron thy brother and hys sonnes wt him, from amonge the chyldren of Israel, that they maye minister vnto me. Aaron, Nadab, and Abihu, Eleazar and Ithamar, Aarons sonnes.
Exod.28.2	And thou shalt make holy rayment for Aaron thy brother, that they maye be vnto glory and bewtye.
Exod.28.3	And thou shalt speake vnto all that are wise harted, and whomsoeuer I haue filled with the sprete of wysdome: that they make Aarons rayment to consecrate him with, that he maye minyster vnto me.
Exod.28.4	These are the garmentes which they shall make, a brestlap, Ephod, a tunycle, a strayte cote, a miter and a gyrdell. These holy garmentes shall they make for Aaron thy brother and his sonnes, that they maie minister vnto me.
Exod.28.5	And lett them take golde, yelowe silk, purple, skarlet and whyte twyned silk.
Exod.28.6	They shall make the Ephod of gold, yelow sylke, purple, skarlet and whyte twyned silke with broderd worke.
Exod.28.7	The two sydes shal come together, and be closed vp in the two edges therof.
Exod.28.8	And the gyrdell of the Ephod shalbe of the same workmanship, and of the same stuffe, euen of golde, yelow sylke, purple, skarlet and whyte twyned sylke.
Exod.28.9	And thou shalt take two onix stones, and graue in them the names of the chyldren of Israel:
Exod.28.10	syxe names of them in the one stone, and the other syxe in the other stone: accordynge to their byrth.
Exod.28.11	After the work of a stonegrauer, and of him that graueth signettes shalt thou graue the two stones with the names of the children of Israel, and shalt make them to be set in golde.
Exod.28.12	And thou shalt put the two stones vpon the two shoulders of the Ephod, that they maye be stones of remembraunce vnto the chyldren of Israel. And Aaron shall beare their names before the Lorde vpon hys two shoulders for a remembraunce.
Exod.28.13	And thou shalt make hokes of golde
Exod.28.14	Ꟶ two cheynes of fyne golde: link worke and wrethed, and fasten the wrethed cheynes to the hokes.
Exod.28.15	And thou shalt make the brestlap of iudgement with broderd worke, euen after the worke of the Ephod shalt thou make it: namely of golde, yelow sylke, purple, skarlet, and whyte twyned silke, shalt thou make it.
Exod.28.16	Foure square it shalbe and double, an hande brede longe, and an handbrede broade.
Exod.28.17	And thou shalt fill it with foure rowes of stones. In the first rowe shalbe a Sardions, a Topas, and Smaragdus:
Exod.28.18	in the second rowe, a Ruby, Saphir and Diamond:
Exod.28.19	in the thyrde Lygurios, an Achat, Ꟶ Amatist:
Exod.28.20	in the fourth a Turcas, Onix and Iaspis. And they shall be set in golde in their inclosers.
Exod.28.21	And the stones shalbe grauen as sygnettes be grauen wt the names of the children of Israel, euen with twelue names, euery one with his name accordyng to the twelue tribes.
Exod.28.22	And thou shalt make vpon the brestlapp two fastenyng cheynes of pure golde Ꟶ wrethen worke.
Exod.28.23	And thou shalt make lykewyse vpon the brestlap two rynges of golde: and put them on the edges of the brestlap,
Exod.28.24	and put the two wrethen cheynes of golde in the two rynges which are in the edges of the brest lappe.
Exod.28.25	And the other two endes of the two cheynes, thou shalt fasten in two close hokes, and put them vpon the shulders of the Ephod on the foresyde of it.
Exod.28.26	And thou shalt yet make two rynges of golde, which thou mayest put in the two edges of the brestlappe, euen in the borders therof, towarde the insyde of the Ephod oueragenst it.
Exod.28.27	And yet two other ringes of golde thou shalt make: and put them on the two sydes of the Ephod, beneth oueragaynst the brestlap, alowe where the sydes are ioyned together vpon the brodered gyrdell of the Ephod.
Exod.28.28	And they shall bynde the brestlappe by hys rynges vnto the ringes of the Ephod with a lace of yelow silke, that it maye lye closse aboue the broderd gyrdell of the Ephod, and that the brestlap be not losed from the Ephod.
Exod.28.29	And Aaron shall beare the names of the chyldren of Israel in the brestlapp of iudgement vpon his hert, when he goeth into the holy place for a remembraunce before the Lorde allwaye.
Exod.28.30	And thou shalte put in the brestlappe of iudgement Urim and Thumin: and they shalbe euen upon Aarons hert, when he goeth in before the Lord: and Aaron shall beare the iudgement of the children of Israel vpon his herte before the Lorde allwaye.
Exod.28.31	And thou shalt make the tunycle vnto the Ephod altogether of yelow sylke.
Exod.28.32	And ther shalbe an hole for the heed in the myddes of it, hauyng a bonde of wouen worke rounde about the coler of it (as it were the coller of a partlet) that it rent not.
Exod.28.33	And beneth vpon the hem, thou shalt make pomgranates of yelow sylke and of purple and skarlet, round about the hem,
Exod.28.34	and belles of golde betwene them rounde about: and lett there be euer a golden bell and a pomgranate, a golden bell and a pomgranate, rounde about vpon the hem of the tunycle.
Exod.28.35	And Aaron shall haue it vpon him, when he ministreth, and the sounde shalbe hearde, when he goeth into the holy place before the Lorde, Ꟶ when he commeth out, and he shall not dye.
Exod.28.36	And thou shalt make a plate of pure gold, and graue theron, as sygnettes are grauen. The holynesse of the Lorde,
Exod.28.37	and put it on a yelow sylke lace to be vpon the mytre, euen vpon the forefront of it.
Exod.28.38	And it shalbe vpon Aarons foreheede: that Aaron maye beare the synne of the holy thynges which the chyldren of Israel halowe in all theyr holye gyftes. And it shalbe allwayes vpon his foreheed, for the reconcylynge of them before the Lorde.
Exod.28.39	And thou shalt make a lynnen cote, and thou shalt make a mytre of lynnen and a girdell of nedle worke.
Exod.28.40	And thou shalt make for Aarons sonnes also cotes, gyrdelles and bonettes, glorious and bewtyfull:
Exod.28.41	and thou shalt put them vpon Aaron thy brother, and on hys sonnes with him: and shalt anoynte them, and fyll their handes, and sanctifye them, that they maye ministre vnto me.
Exod.28.42	And thou shalt make them lynnen breches to couer their preuityes, from the loynes vnto the thies shall they reach.
Exod.28.43	And they shalbe vpon Aaron and his sonnes, when they come into the tabernacle of witnes, or when they come vnto the aultare to minister in holynesse, that they beare no sinne, and so dye. And it shalbe a lawe for euer vnto Aaron and his seed after him.
Exod.29.1	This thyng also shalt thou do vnto them, when thou halowest them to be my prestes. Thou shalt take a calfe, euen a yonge oxe, and two rammes that are without blemish,
Exod.29.2	and vnleuened breade, and cakes of swete bread tempered with oyle, Ꟶ wafers of swet bread anoynted with oyle (of wheten floure shalt thou make them)
Exod.29.3	Ꟶ put them in a maunde, and brynge them in the maunde with the calfe and the two rammes.
Exod.29.4	And brynge Aaron and his sonnes vnto the doore of the tabernacle of wytnesse, and washe them with water,
Exod.29.5	and take the garmentes, and put vpon Aaron: the strayte cote the tunycle of the Ephod, Ꟶ the Ephod, and the brestlappe: and gyrd them to hym with the brodered gyrdell which is in the Ephod.
Exod.29.6	And put the mytre vpon his heed: and put the holy crowne vpon the mytre.
Exod.29.7	Then shalt thou take the anoynting oyle, and powre it vpon his heed, and anoynte hym.
Exod.29.8	And bring hys sonnes,
Exod.29.9	and put albes vpon them, and gyrd them with gyrdels, aswell Aaron, as his sonnes. And put the myters on them, and the preastes office shalbe theirs for a perpetuall lawe. And thou shalt fyll the handes of Aaron and of his sonnes:
Exod.29.10	and bryng the calfe before the tabernacle of witnes. And Aaron and his sonnes shall put their handes vpon the heed of the calfe,
Exod.29.11	and thou shalt kyll hym before the Lorde, by the dore of the tabernacle of witnes.
Exod.29.12	And take of the bloud of the calfe and put it vpon the hornes of the aulter with thy fynger: and powre all the bloude besyde the botome of the aulter,
Exod.29.13	and take all the fat that couereth the inwardes, and the kall that is on the lyuer, and the two kidneys and the fat that is vpon them: and burne them vpon the aulter.
Exod.29.14	But the flesh of the calfe and hys skynne, Ꟶ his donge shalt thou burne wt fyer without the hoost. It is a synofferyng.
Exod.29.15	Thou shalt also take one ram, and Aaron and hys sonnes shalt put their handes vpon the head of the ram,
Exod.29.16	Ꟶ when thou hast slayne the ramme, thou shalt take hys bloude, and sprynkle it rounde about vpon the aulter,
Exod.29.17	Ꟶ cut the ram in peces, and washe the inwardes of him and his legges, and put them vnto the peces and vnto his heed:
Exod.29.18	and then burne the hole ram vpon the aulter for a burntoffering vnto the Lorde, Ꟶ for a swete sauour and a sacrifyce vnto the Lorde.
Exod.29.19	And take the other ram, and Aaron Ꟶ hys sonnes shall put their handes vpon hys heed.
Exod.29.20	Then shalt thou kyll hym, and take of hys bloude, and put it vpon the typpe of the ryght eare of Aaron and of hys sonnes, and vpon the thombe of their ryght handes, and vpon the great to of their ryght fote, Ꟶ sprynkle the bloude vpon the aulter rounde about.
Exod.29.21	And thou shalt take of the bloude that is vpon the aulter, and of the anoyntyng oyle, and sprynkell it vpon Aaron and hys vestimentes, and vpon his sonnes and vpon their garmentes wt hym. And he shalbe halowed Ꟶ his clothes and his sonnes and theyr clothes with hym.
Exod.29.22	And thou shalt take the fatt of the ram and his rompe, and the fat that couereth the inwardes, and the kall of the lyuer, and the two kydneys and the fat that is vpon them and the ryghte shoulder: for that ram is a full offerynge:
Exod.29.23	and a symnell of bread, and a cake of oyle bread, and a wafer out of the baskette of swete breade that is before the Lorde,
Exod.29.24	and putt all vpon handes of Aaron, and on the handes of hys sonnes: and waue them for a waueofferynge before the Lorde.
Exod.29.25	And agayne, thou shalt take it from of their handes, and burne it vpon the aulter for a burntofferinge, to be a sauoure of swetnes before the Lorde. For it is a sacrifice vnto the Lorde.
Exod.29.26	And thou shalt take the brest of the ram of Aarons consecracyon, and waue it for a waueoffering before the Lorde: and it shalbe thy parte.
Exod.29.27	And thou shalt sanctifye the brest of the waueoffering: and the shoulder of the heueofferyng which is waued and heued vp of the ram of the consecracyon for Aaron and for his sonnes.
Exod.29.28	And it shalbe Aarons and his sonnes by a statute for euer of the chyldren of Israel: for it is an heueoffering. Euen an heueofferyng of the chyldren of Israel, and of their peaceofferinges. Their heueofferinges is the Lordes.
Exod.29.29	And the holy garmentes of Aaron shalbe his sonnes after him, to be anoynted therin, and to fyll their handes therin.
Exod.29.30	And that sonne that is preast in his stead after him, shall put them on seuen dayes: when he commeth into the tabernacle of witnes to minyster in the holy place.
Exod.29.31	And thou shalt take the ram of the consecracyon, and seth his flesh in an holy place.
Exod.29.32	And Aaron and his sonnes shall eate the flesh of the ram, and the bread that is in the basket: euen by the dore of the tabernacle of witnes: and they shall eate them,
Exod.29.33	because the atonement was made therwith, to fyll theyr handes, Ꟶ to consecrate them: but a straunger shal not eate therof, because they are holy.
Exod.29.34	And yf ought of the flesh of the consecracyon or of the bread remayne vnto the mornynge, thou shalt burne it with fyer, and it shall not be eaten, because it is holy.
Exod.29.35	Therfore shalt thou do vnto Aaron and his sonnes, euen so, according to all thinges which I haue commaunded the: seuen dayes shalte thou fyll their handes,
Exod.29.36	and offer euery daye a calfe for a synne offerynge, for to reconcyle withall: that thou mayest clense the aultare when thou reconcylest vpon it, and thou shalt anoynte it, to sanctify it.
Exod.29.37	Seuen dayes thou shalt reconcyle vpon the aulter, and sanctifye it, and it shalbe as an aulter moost holye. Euery one that toucheth the aulter, lett. hym be holy.
Exod.29.38	This is that which thou shalt offer vpon the aulter: euen two lambes of one yeare olde, daye by daye continually:
Exod.29.39	the one thou shalt offer in the mornyng, and the other at euen.
Exod.29.40	And with the one lambe a tenth deale of flour myngled with the fourth parte of an hyn of beaten oyle, and the fourth part of an hin of wyne, for a drynck offerynge.
Exod.29.41	And the other lambe thou shalt offer at euen, and shalt do therto accordynge to the meatofferyng and drynckofferynge in the mornynge, to be an odoure of a swete sauoure and a sacrifyce vnto the Lorde.
Exod.29.42	And let this be a continuall burntofferynge amonge youre chyldren after you, before the dore of the tabernacle of witnesse before the Lorde, where I wyll mete you, to speake there vnto the.
Exod.29.43	There I wyll mete with the chyldren of Israel, and wyll be sanctifyed in myne honoure.
Exod.29.44	And I wyll sanctifye the tabernacle of witnes and the aulter. And I wyll sanctifye also both Aaron and hys sonnes to be my preastes.
Exod.29.45	And I wyll dwell amonge the chyldren of Israel: and will be their God.
Exod.29.46	And they shall knowe that I am the Lorde their God, that brought them oute of the lande of Egypte. for to dwell amonge them: euen I the Lord theyr God.
Exod.30.1	And thou shalt make an alter to burne incense: of sethim wodde shalt thou make it,
Exod.30.2	a cubite long and a cubite broade: euen foure square shall it be and two cubites hye: the hornes ther of shall procede out of it,
Exod.30.3	and thou shalt ouerlaye it with fyne golde, both the roffe and the walles round about, and hys hornes also, Ꟶ shalt make vnto it a crowne of golde round about
Exod.30.4	and two golden rynges on eyther syde: euen vnder the crowne, that they may be as places for the barres to beare it withall.
Exod.30.5	And thou shalt make the barres of sethim wodd, and couer them with golde.
Exod.30.6	And thou shalt putt it before the vayle, that is by the arcke of witnesse, before the mercy seate that is vpon the witnes, where I wyll mete the.
Exod.30.7	And Aaron shall burne theron swete incense euery mornynge, when he dresseth the lampes,
Exod.30.8	euen then shall he burne it: and lykewyse at euen, when he setteth vp the lampes he shall burne incense: and thys incensynge shalbe perpetually before the Lorde thorow out youre generacyons.
Exod.30.9	Ye shall putt no straunge incense theron, burnt sacrifyce or meateofferynge, neyther powre any drinckofferinge theron.
Exod.30.10	And Aaron shall reconcile vpon the hornes of it once in a yeare: wt the bloude of the synneofferynge of reconcylynge: euen once in the yeare shall he reconcyle it thorow your generacions. It is most holy vnto the Lord.
Exod.30.11	And the Lorde spake vnto Moses, saying:
Exod.30.12	Yf thou takest the summe of the chyldren of Israel after their nombre, they shall geue euery man a reconcylynge of hys soule vnto the Lorde when thou tellest them: that there be no plage amonge them, when thou tellest them.
Exod.30.13	And thus moch shall euery man geue, and that goeth into the nombre: halfe a sycle, after the sycle of the sanctuarye: a sycle is twentye halfpence. An halfe sycle shalbe the heueofferynge of the Lorde.
Exod.30.14	All that are nombred from twentye yeare olde and aboue, shall geue an heueofferyng vnto the Lorde.
Exod.30.15	The ryche shall not passe, and the poore shal not go vnder halfe a sicle. But ye shall geue an heueofferinge vnto the Lorde, that he maye haue mercy vpon your soules.
Exod.30.16	And thou shalt take the reconcylyng money of the children of Israel, and shalt put it vnto the vse of the tabernacle of witnesse, that it maye be a memoriall vnto the children of Israel before the Lorde, that he maye haue mercy vpon youre soules.
Exod.30.17	And the Lorde spake vnto Moses, saying:
Exod.30.18	thou shalt make a lauer of brasse, and his fote also of brasse to washe withall, and shalt putt it betwene the tabernacle of witnes, and the aulter: and put water therin.
Exod.30.19	For Aaron and his sonnes shall wash theyr handes and theyr fete therin:
Exod.30.20	euen when they go into the tabernacle of witnesse, or when they go vnto the aulter to minystre and to burne the Lordes offeringe, they shall wash them selues with water, lest they dye.
Exod.30.21	And it shalbe an ordinaunce vnto them for euer, both vnto him and his seed thorow out their generacyons.
Exod.30.22	And the Lorde spake vnto Moses, saying:
