Luke.0.0	¶ The Gospell of S. Luke.
Luke.16.15	And he sayd vnto them: Ye are they which iustifye youre selues before men: but God knoweth youre hertes. For that which is hyghlye estemed amonge men, is abhominable in the syght of God.
Luke.16.16	The lawe and the Prophetes raygned vntyll Iohn: and sence that tyme, the kyngdome of God is preached, and euery man stryueth to go in.
Luke.16.17	Easyer is it for heauen and erth to peryshe, then one tytle of the lawe to fayll.
Luke.16.18	Whosoeuer forsaketh hys wyfe, and marieth another, committeth aduoutrye. And he which marieth her that is deuorsed from her husbande, committeth aduoutry also.
Luke.16.19	Ther was a certayne ryche man, which was clothed in purple and fyne whyte, and fared deliciously euery dyae:
Luke.16.20	And there was a certayne begger named Lazarus, which laye at his gate full of sores,
Luke.16.21	desyrynge to be refresshed with the cromes, which fell from the ryche mannes borde. The dogges came also, and lycked his sores,
Luke.16.22	And it fortuned, that the begger died, and was caryed by the angelles into Abrahams bosome. The riche man also dyed, and was buryed.
Luke.16.23	And beynge in hell in tormentes, he lyfte vp hys eyes and sawe Abraham a farre of and Lazarus in hys bosome,
Luke.16.24	and he cryed and sayde: father Abraham: haue mercy on me, and sende Lazarus, that he maye dyppe the typpe of hys fynger in water, and cole my tonge: for I am tormented in this flame.
Luke.16.25	But Abraham sayde: Sonne remember that thou in thy lyfe tyme, receauedst thy pleasure, Ꟶ contrary wyse, Lazarus receaued payne. But now is he conforted, and thou art punisshed.
Luke.16.26	Beyonde all this, betwene vs and you ther is a greate space set, so that they which wolde go from hence to you, cannot: nether maye come from thence to vs.
Luke.16.27	Then he sayd: I praye the therfore father, sende him to my fathers house.
Luke.16.28	(For I haue fyue brethren) for to warne them, lest they also come into this place of tourment.
Luke.16.29	Abraham sayde vnto him: they haue Moses and the Prophetes, let them heare them.
Luke.16.30	And he sayde: naye father Abraham, but yf one come vnto them from the deed, they wyll repent.
Luke.16.31	He sayde vnto him: If they heare not Moses and the Prophetes, nether wyll they beleue, though one rose from deeth agayne.
Luke.17.1	He sayde vnto the disciples: it cannot be: but offences wyll come. Neuerthelesse wo vnto hym thorow whom they come.
Luke.17.2	It were better for him that a mylstone were hanged aboute his neck, and he cast into the see, then that he shulde offende one of these lytleons.
Luke.17.3	Take hede to youre selues. If thy brother trespas agaynst the, rebuke hym:
Luke.17.4	and yf he repent, forgeue hym. And though he synne agaynst the seuen tymes in a daye, and seuen tymes in a daye tourne agayne to the, sayinge: it repenteth me, thou shalt forgeue hym.
Luke.17.5	And the Apostles sayde vnto the Lorde: increase oure fayth.
Luke.17.6	And the Lorde sayde: yf ye had fayth lyke a grayne of mustarde sede, Ꟶ shuld saye vnto this Sycamyne tree, plucke thy selfe vp by the rootes, and plant thy selfe in the see: it shulde obey you.
Luke.17.7	Who is it of you; yf he had a seruaunte plowynge or fedynge catell, that wyll saye vnto hym when he commeth from the felde: Go quyckly, and syt downe to meat,
Luke.17.8	Ꟶ sayth not rather vnto him, dresse, wherwt I maye supp, Ꟶ gyrde vp thy selfe, and serue me, tyll I haue eaten and droncken: and afterward, eate thou, and drincke thou?
Luke.17.9	Doeth he thanke that seruaunt, because he dyd the thynges that were commaunded vnto him? I trowe not.
Luke.17.10	So lyke wyse ye, when ye haue done all those thynges which are commaunded you, saye: we are vnprofitable seruauntes. We haue done that, which was oure duety to do.
Luke.17.11	And it chaunsed as he went to Ierusalem, that he passed thorow Samaria and Galile,
Luke.17.12	And as he entred into a certayne towne, ther met him ten men that were lepers. Which stode a farre of,
Luke.17.13	and put forth theyr voyces and sayde: Iesu master, haue mercy on vs.
Luke.17.14	When he sawe them he sayd vnto them: Go, shewe youre selues vnto the Prestes. And it came to passe, that as they went, they were clensed
Luke.17.15	And one of them, when he sawe that he was clensed, turned backe agayne, Ꟶ with a loude voyce praysed God,
Luke.17.16	and fell doune on hys face at hys fete, and gaue hym thankes. And the same was a Samaritane.
Luke.17.17	And Iesus answered, Ꟶ sayde: are ther not ten clensed? But where are those nyne?
Luke.17.18	Ther are not founde that returned agayne, to geue God prayse, saue only this straunger.
Luke.17.19	And he sayd vnto him: aryse, go thy waye, thy fayth hath made the whoale.
Luke.17.20	When he was demaunded of the Pharises, when the kyngdome of God shulde come, he answered them and sayd: The kyngdome of God shall not come with wayting for,
Luke.17.21	nether shal they saye. Lo here, Or lo there: For beholde the kyngdome of God is within you.
Luke.17.22	And he sayde vnto the disciples: the dayes wyll come, when ye shall desyre to se one daye of the sonne of man, and ye shall not se it.
Luke.17.23	And they shall saye to you: Se here, Se there. Go not after them, nor folowe them:
Luke.17.24	for as the lyghtenynge that apereth out of the one parte that is vnder heauen, Ꟶ shyneth vnto the other parte which is vnder heauen, so shall the sonne of man be in hys dayes.
Luke.17.25	But fyrst must he suffre many thynges Ꟶ be refused of this nacion.
Luke.17.26	And as it happened in the dayes of Noe: so shall it be also in the dayes of the sonne of man.
Luke.17.27	They dyd eate Ꟶ dryncke, they maryed wyues and were maried, euen vnto that same daye that Noe went into the Arke: and the floude cam, and destroyed them all.
Luke.17.28	Lykewyse also as it chaunced in the dayes of Lot. They dyd eate, they drancke, they bought, they solde they planted, they buylded:
Luke.17.29	But euen the same daye that Lot went out of zodom, it rayned with fyre and brymstone from heauen, Ꟶ destroyed them all.
Luke.17.30	Euen thus, shall it be in the daye, when the sonne of man shall appere.
Luke.17.31	At that daye he that is on the house topp, and his stuffe in the house: let him not come downe to take it out. And let not him that is in the felde, turne backe agayne to the thinges that he lefte behinde.
Luke.17.32	Remember Lottes wyfe.
Luke.17.33	Whosoeuer wyll go aboute to saue his lyfe, shal lose it: and whosoeuer shall lose his lyfe, shall saue it.
Luke.17.34	I tell you: in that night ther shalbe two in one bed, the one shalbe receaued, the other shalbe forsaken:
Luke.17.35	Two shalbe agryndynge together: the one shalbe receaued, and the other forsaken.
Luke.17.36	n/a
Luke.17.37	And they answered, and sayd to him, where Lorde. He sayde vnto them: whersoeuer the body shalbe, thyther wyll also that Egles be gathered together.
Luke.18.1	And he put forth a parable vnto them, signifying that men ought all wayes to praye and not to be wery,
Luke.18.2	sayinge: Ther was in a certayne cytie a iudge, which feared not God, nether regarded man.
Luke.18.3	And ther was a certayne wedowe in the same cytye, and she came vnto hym, sayinge: auenge me of myne aduersary.
Luke.18.4	And he wolde not for a whyle. But after warde he sayd within him selfe: though I feare not God, nor care for man,
Luke.18.5	yet because thys wedowe is importune vpon me, I wyll auenge her, lest she come at the last and rayle on me.
Luke.18.6	And the Lorde sayde, heare what the vnryghtewes Iudge sayeth.
Luke.18.7	And shal not God auenge his electe, which crye daye and nyght vnto him, yee, though he deferre them?
Luke.18.8	I tell you that he will auenge them, Ꟶ that quickly. Neuerthelesse, when the sonne of man commeth, shall he fynde fayth on the erth?
Luke.18.9	And he tolde this parable, vnto certayne which trusted in them selues that they were perfecte, and despysed other
Luke.18.10	Two men went vp into the temple to praye: the one a Pharise, and the other a publican.
Luke.18.11	The Pharyse stode and prayed thus with hym selfe: God, I thancke the, that I am not as other men are, extorsioners, vniuste, aduoutrers, or as this publycan.
Luke.18.12	I fast twyse in the weke. I geuetythe of all that I possesse.
Luke.18.13	And the publican stondyng a farre of, wolde not lyfte vp his eyes to heauen, but smote vpon hys brest, saying: God be mercyfull to me a synner:
Luke.18.14	I tell you: thys man departed home to hys house iustyfyed, more then the other. For euery one that exalteth him self, shalbe brought lowe: And he that humbleth him selfe, shalbe exalted.
Luke.18.15	They brought vnto him also yong children, that he shulde touche them. When hys dysciples sawe it, they rebuked them.
Luke.18.16	But Iesus (whan he had called them vnto hym) sayde: Suffre children to come vnto me, and forbyd them not. For of soch is the kyngdome of God.
Luke.18.17	Uerely I saye vnto you: whosoeuer receaueth not the kyngdome of God as a chylde, shall not enter therin.
Luke.18.18	And a certayne ruler asked him, sayinge: good master, what ought I to do, to obtaine eternall lyfe?
Luke.18.19	Iesus sayd vnto him: Why callest thou me good? None is good, saue God onely.
Luke.18.20	Thou knowest the commaundementes: Thou shalt not commit aduoutry: thou shalt not kyll: thou shalt not steale, thou shalt not beare false wytnes: honoure thy father Ꟶ thy mother.
Luke.18.21	And he sayde: all these haue I kept from my youth vp.
Luke.18.22	When Iesus hearde that, he sayd vnto hym: Yet lackest thou one thynge. Sell all that thou hast, and distrybute vnto the poore, and thou shalt haue treasure in heauen, and come, folowe me.
Luke.18.23	When he hearde thys, he was sory: for he was very ryche.
Luke.18.24	When Iesus sawe that he was sory, he sayde wyth what difficulte shall they that haue mony, enter into the kingdome of God?
Luke.18.25	it is easyer for a camell to go thorow a nedles eye, then for a ryche man to enter into the kyngdome of God.
Luke.18.26	And they that hearde it: sayd. And who can then be saued?
Luke.18.27	And he sayde: The thynges which are vnpossyble wt men, are possyble wyth God.
Luke.18.28	Then Peter sayde. Lo, we haue forsaken all, and folowed the.
Luke.18.29	He sayde vnto them: Uerely I saye vnto you: ther is no man that hath forsaken house, ether father or mother, ether brethren, or wyfe, or chyldren (for the kyngdome of Goddes sake)
Luke.18.30	whych shall not receaue moch more in this worlde, and in the worlde to come, lyfe euerlastynge.
Luke.18.31	Iesus toke vnto him the twelue, Ꟶ sayd vnto them: Beholde, we go vp to Ierusalem, and all shalbe fulfylled, that are wrytten by the Prophetes, of the sonne of man.
Luke.18.32	For he shalbe delyuered vnto the gentyls, Ꟶ shalbe mocked, and despytfully entreated, Ꟶ spytted on:
Luke.18.33	Ꟶ when they haue scourged him, they wyll put hym to deeth, and the thyrd daye he shall aryse agayne.
Luke.18.34	And they vnderstode none of these thynges. And this saying was hyd from them, so that they perceaued not the thynges which were spoken.
Luke.18.35	And it came to passe, that as he was come nye vnto Hierico, a certayne blynde man sate by the waye syde, beggynge.
Luke.18.36	And when he hearde the people passe by, he asked what it meant.
Luke.18.37	And they sayde vnto hym, that Iesus of Nazareth passed by.
Luke.18.38	And he cryed, sayinge: Iesu thou sonne of Dauid, haue mercy on me.
Luke.18.39	And they whych went before, rebuked hym, that he shulde holde his peace. But he cryed so moch the more: thou sonne of Dauid, haue mercy on me.
Luke.18.40	And Iesus stode styll, and commaunded hym to be brought vnto hym. And when he was come neare, he asked hym,
Luke.18.41	sayinge: what wilt thou that I do vnto the? And he sayde: Lorde, that I maye receaue my syght.
Luke.18.42	And Iesus sayd vnto hym: receaue thy syght: thy fayth, hath saued the.
Luke.18.43	And immediatly he receaued his syght, and folowed hym, praysynge God. And all the people, when they sawe it, gaue prayse vnto God.
Luke.19.1	And he entred in, Ꟶ went thorow Hierico.
Luke.19.2	And behold, ther was a man named zacheus, whych was a ruler amonge the Publicans, and was ryche also.
Luke.19.3	And he sought meanes to se Iesus, what he shuld be: and coulde not for the preace, because he was lytle of stature.
Luke.19.4	And he ran before, and clymed vp into a wylde fygge tree, to se him: for he was to come that waye.
Luke.19.5	And when Iesus cam to the place, he looked vp, and sawe hym, and sayd vnto him: zache, come downe atonce, for to daye I must abyde at thy house.
Luke.19.6	And he came downe hastelye, and receaued hym ioyfully.
Luke.19.7	And when they sawe it, they all grudged, sayinge: He is gone in to tary with a man that is a synner.
Luke.19.8	And zache stode forth, and sayd vnto the Lorde: beholde Lorde, the halfe of my goodes I geue to the poore: and yf I haue done eny man wronge, I restore him foure folde.
Luke.19.9	Iesus sayde vnto him: this daye is health happened vnto thys house, because that he also is become the chylde of Abraham:
Luke.19.10	For the sonne of man is come to seke, and to saue that whych was loste.
Luke.19.11	As they hearde these thynges, he added therto a parable, because he was nye to Ierusalem, and because they thought, that the kyngdome of God shulde shortly appeare.
Luke.19.12	He sayde therfore: a certayne noble man went into a farre countre, to receaue hym a kyngdome, and to come agayne.
Luke.19.13	And he called hys ten seruauntes, and delyuered them ten pounde, sayinge vnto them: Occupye, tyll I come.
Luke.19.14	But hys cytesens hated hym, Ꟶ sent a message after him, sayinge: we will not haue thys man to raygne ouer vs.
Luke.19.15	And it came to passe, that when he had receaued his kingdome, he returned, Ꟶ commaunded these seruauntes to be called vnto hym (to whom he had geuen the money) to wete how moch euery man had done.
Luke.19.16	Then came the fyrst, saying: Lorde, thy pounde hath gayned ten pounde.
Luke.19.17	And he sayd vnto hym: Well thou good seruaunt: because thou hast bene faythfull in a very lytell thynge, haue thou auctoryte ouer ten cyties.
Luke.19.18	And another came, sayinge: Lorde, thy pounde hath made fyue pounde.
Luke.19.19	And to the same he sayde: be thou also ruler ouer fyue cyties.
Luke.19.20	And another came, saying: Lorde, beholde here is thy pounde, whych I haue kepte in a napkyn:
Luke.19.21	for I feared the, because thou art a strayte man: thou takest vp that thou laydest not downe, and reapest that thou dyddest not sowe.
Luke.19.22	He sayeth vnto hym: Of thyne awne mouth, wyll I iugde the, thou euyll seruaunt. Knewest thou that I am a strayte man, takynge vp that I layde not downe, Ꟶ reapynge that I dyd not sowe?
Luke.19.23	And wherfore gauest not thou my money into the banke, and at my commynge I myght haue required myne awne wyth vauntage?
Luke.19.24	And he sayd vnto them that stode by, take from hym that pounde, and geue it hym that hath ten pounde.
Luke.19.25	And they sayde vnto hym: Lorde, he hath ten pounde.
Luke.19.26	For I saye vnto you, that vnto euery one which hath, shalbe geuen Ꟶ from him that hath not shalbe taken awaye, euen that whych he hath.
Luke.19.27	Moreouer, those myne enemyes, (whych wolde not that I shuld raygne ouer them) brynge hyther, and slee them before me.
Luke.19.28	And when he had thus spoken, he proceaded forth, takynge hys iourney, to go vp to Ierusalem.
Luke.19.29	And it fortuned, when he was come nye to Bethphage Ꟶ Bethany, besydes the mounte whych is called Olyuete, he sent two of hys discyples
Luke.19.30	sayinge: go ye into the towne, which is ouer agaynst you: Into the whych assone as ye are come, ye shall fynde an asses coltetyed, wheron yet neuer man sate. Loose him, and bringe hym hyther.
Luke.19.31	And yf eny man aske you, why do ye loose him? thus shall ye saye vnto hym: the Lorde hath nede therof.
Luke.19.32	They that were sent, went their waye, and founde, euen as he had sayd vnto them.
Luke.19.33	And as they were a lossynge the colte, the owners therof sayd vnto them, why loose ye the colte?
Luke.19.34	And they sayde: for the Lorde hath nede of hym.
Luke.19.35	And they brought him to Iesus, and cast their rayment on the colte, and sett Iesus theron.
Luke.19.36	And as he went, they spredde theyr clothes in the waye.
Luke.19.37	And when he was now come nye to hye goyng downe of the mounte Olyuete, the whole multitude of the discyples began to reioyce, Ꟶ to prayse God with a loude voyce, for all the myracles that they had sene,
Luke.19.38	sayinge: blessed be the kynge that commeth in the name of the Lorde: peace in heauen, and glory in the hyest:
Luke.19.39	And some of the Pharyses of the company sayd vnto hym: Master, rebuke the disciples.
Luke.19.40	He sayd vnto them: I tell you, that yf these holde theyr peace, then shall the stones crye.
Luke.19.41	And when he was come neare, he behelde the cytie, and wept on it,
Luke.19.42	sayinge: If thou haddest knowen those thynges whych belonge vnto thy peace, euen in thys thy daye, thou woldst take hede. But now are they hydde from thyne eyes.
Luke.19.43	For the dayes shall come vpon the, that thy enemyes also shall cast a banke aboute the, and compasse the rounde, and kepe the in on euery syde,
Luke.19.44	and make the euen wyth the grounde, and thy chyldren which are in the. And they shall not leaue in the one stone vpon another, because thou knowest not the tyme of thy visitacyon.
Luke.19.45	And he went into the temple, and beganne to cast out them that solde therin, and them that bought,
Luke.19.46	sayinge vnto them: It is written: my house is the house of prayer: but ye haue made it a den of theues:
Luke.19.47	And he taught dayly in the temple. But the hye Prestes Ꟶ the scrybes and the chefe of the people went aboute to destroye hym:
Luke.19.48	Ꟶ coulde not fynde what to do. For all the people stacke by hym, whan they hearde hym.
Luke.20.1	And it fortuned in one of those dayes (as he taught the people in the temple and preached the gospell) the hye Prestes and the Sribes came together wyth the elders,
Luke.20.2	Ꟶ spake vnto him sayinge: Tell vs: by what auctorite doest thou these thynges? Ether who is he, that gaue the thys auctorite?
Luke.20.3	Iesus answered Ꟶ sayd vnto them: I also will aske you one thyng, Ꟶ answer me.
Luke.20.4	The baptyme of Iohn: was it from heauen or of men?
Luke.20.5	And they thought wyth in them selues sayinge: yf we saye from heauen, he will saye: why then beleued ye hym not?
Luke.20.6	But Ꟶ yf we saye: of men, all the people wyll stone vs. For they be perswaded, that Iohn is a Prophete.
Luke.20.7	And they answered, that they coulde not tell whence it was.
Luke.20.8	And Iesus sayd vnto them: nether tell I you, by what auctoryte I do these thynges.
Luke.20.9	Then beganne he to put forth to the people thys parable: A certayne man planted a vyneyarde, and let it forth to husband men, and went hym selfe into a straunge countre for a greate season.
Luke.20.10	And when the tyme was come, he sent a seruaunt to the husband men, that they shulde geue hym of the frute of the vineyarde. And they bet hym, and sent hym, awaye emptye.
Luke.20.11	And agayne, he sent yet another seruaunt. And hym they dyd beat, and entreated hym shamefully, and sent hym awaye emptye.
Luke.20.12	Agayne, he sent the thyrde also, and hym they wounded, and cast hym out.
Luke.20.13	Then sayd the Lord of the vineyarde: what shall I do? I wyll sende my deare sonne: peraduenture they will stande in awe of him, when they se hym.
Luke.20.14	But when the husbandmen sawe hym, they thought within them selues, sayinge: this is the heyre, come, let vs kyll hym, that the enheritaunce maye be oures.
Luke.20.15	And they cast him out of the vineyarde, Ꟶ kylled him. What shall the Lord of the vineiarde therfore do vnto them?
Luke.20.16	He shall come, Ꟶ destroye these husbandmen, Ꟶ shall let out hys vineyarde to other. When they hearde thys, they sayde: God forbyd.
Luke.20.17	And he behelde them, and sayde: what is thys then that is wrytten: the stone that the buylders refused, the same is become the heed of the corner?
Luke.20.18	Whosoeuer doth stomble vpon the stone, shalbe broken: but on whosoeuer it falleth, it wyll grynde him to powder.
Luke.20.19	And the hye prestes and the Scrybes the same houre went about to laye handes on hym, and they feared the people. For they perceaued that he had spoken thys symilitude agaynst them.
Luke.20.20	And they watched hym, Ꟶ sent forth spies, which shuld fayne them selues ryghteous men, to take him in hys wordes, and to delyuer him vnto the power Ꟶ auctorite of the debyte.
Luke.20.21	And they asked hym, saying: Master, we knowe that thou sayest and teachest ryght, nether consyderest thou the outward appearaunce of eny man, but teachest the waye of God truly.
Luke.20.22	Is it laufull for vs to geue trybute vnto Cesar, or no?
Luke.20.23	He perceaued theyr craftines, and sayde vnto them: why tempt ye me?
Luke.20.24	Shewe me a peny. Whose ymage Ꟶ superscripcion hath it? They answered and sayde: Cesars.
Luke.20.25	And he sayde vnto them: geue then vnto Cesar, the thynges whych belonge vnto Cesar: Ꟶ to God the thynges that pertayne vnto God.
Luke.20.26	And they coulde not reproue his sayinge before the people: Ꟶ they maruayled at his answer, and helde their peace.
Luke.20.27	Then came to hym certayne of the Saduces, which denye that ther is eny resurreccion. And they asked him
Luke.20.28	sayinge: Master, Moses wrote vnto vs, yf eny mannes brother dye hauing a wyfe, Ꟶ he dye without chyldren, that then hys brother shulde take hys wyfe, and rayse vp seede vnto hys brother.
Luke.20.29	Ther were therfore seuen brethren, and the fyrste toke a wyfe, Ꟶ dyed without chyldren.
Luke.20.30	And the seconde toke her, and he dyed chyldelesse.
Luke.20.31	And the thyrde toke her: and in lykewise the residue of the seuen, and left no chyldren behynde them, and dyed.
Luke.20.32	Last of all the woman dyed also.
Luke.20.33	Now in the resurreccion, whose wyfe of them shall she be? For seuen had her to wyfe.
Luke.20.34	Iesus answered and sayd vnto them. The chyldren of this worlde mary wyues, and are maryed:
Luke.20.35	but they whych shalbe counted worthy of that worlde and the resurreccion from the deed, do not mary wyues, nether are maryed,
Luke.20.36	nor yet can dye eny more, For they are equall vnto the angels, and are the sonnes of God, in as moch as they are chyldren of the resurreccion.
Luke.20.37	And that the deed shall ryse agayne: Moses also sheweth besides the busshe, when he calleth: the Lord, the God of Abraham, and the God of Isaac, and the God of Iacob.
Luke.20.38	For he is not a God of deed, but of lyuynge. For all lyue vnto him.
Luke.20.39	Then certayne of the Pharises answered, annd sayd: Master, thou hast wel sayd.
Luke.20.40	And after that durst they not aske him eny question at all.
Luke.20.41	And he sayde vnto them: how saye they that Chryst is Dauids sonne?
Luke.20.42	And Dauid him selfe sayeth in the boke of the Psalmes: The Lorde sayde vnto my Lorde: syt thou on my ryght hande,
Luke.20.43	tyll I make thyne enemyes thy fote stole.
Luke.20.44	Dauid therfore calleth hym Lord: and how is he then hys sonne?
Luke.20.45	Then in the audyence of all the people, he sayde vnto his disciples:
Luke.20.46	beware of the Scribes, whych wyll go in longe clothynge: Ꟶ loue gretynges in the markets, and the hyest seates in the synagoges, and the chefe rowmes at feastes,
Luke.20.47	whych deuoure wyddowes houses, faynyng longe prayers: the same shall receaue greater dampnacyon.
Luke.21.1	As he behelde, he sawe the ryche men, whych cast in their offeringes into the treasury.
Luke.21.2	He sawe also a certyane poore wyddowe, whych cast in thyther two mytes.
Luke.21.3	And he sayde: of a trueth I saye vnto you, that thys poore wyddow hath put in moare then they all.
Luke.21.4	For they all haue of theyr superfluyte added vnto the offerynges of God: but she, of her penury hath cast in all the substaunce that she had.
Luke.21.5	And vnto some that spake of the temple, how it was garnysshed with goodly stones and Iewels, he sayde.
Luke.21.6	The dayes wyll come, in the which (of these thynges which ye se) there shall not be lefte one stone vpon another, that shall not be thorowen doune.
Luke.21.7	And they asked hym sayinge: Master, when shall these thynges be, and what sygne wyll ther be when soch thynges come to passe?
Luke.21.8	And he sayde: take hede, that ye be not deceaued. For many shall come in my name, and saye that they are Chryst: and the tyme draweth neare. Folowe ye not them therfore.
Luke.21.9	But when ye heare of warres and sedicions, be not afrayed. For these thynges must first come to passe, but the ende foloweth not by and by.
Luke.21.10	Then sayde he vnto them: Nacion shall ryse agaynst nacion, Ꟶ kyngdome agaynst kyngdome,
Luke.21.11	and greate erthquakes shalbe in all places, and honger, and pestilence, Ꟶ fearfull thinges. And greate sygnes shall ther be from heauen.
Luke.21.12	But before all these, they shall laye handes on you, and persecute you, delyuerynge you vp to the Synagoges Ꟶ into presons, Ꟶ shall bringe you vnto kynges Ꟶ rulers for my names sake.
Luke.21.13	And thys shall chaunce you for a testimoniall.
Luke.21.14	Be at a sure point therfore in your hertes, not to study before, what ye shal answere:
Luke.21.15	for I wyll geue you a mouth Ꟶ wysdome, where agaynste, all your aduersaries shall not be able to speake nor resist.
Luke.21.16	Moreouer ye shalbe betrayd of your fathers and mothers Ꟶ brethren, Ꟶ kynsfolke Ꟶ frendes, and some of you shall they put to deeth.
Luke.21.17	And hated shall ye be of all men for my names sake,
Luke.21.18	Ꟶ ther shall not one herre of youre head perysshe.
Luke.21.19	Possesse ye youre soule by pacience.
Luke.21.20	And when ye se Ierusalem beseged wyth an hoste, then be sure that the desolacyon, of the same is nye.
Luke.21.21	Then let them which are in Iewrye, flye to the mountaynes. And let them whych are in the myddes of it, departe out. And let not them that are in other countreyes, enter therin.
Luke.21.22	For these be the dayes of vengeaunce, that all thynges which are wrytten, maye be fulfylled.
Luke.21.23	But wo vnto them that be with chylde, Ꟶ to them that geue sucke in those dayes: for there shalbe greate trouble in the lande, and wrath ouer all this people.
Luke.21.24	And they shall fall thorow the edge of the swearde, and shalbe ledd awaye captyue into all nacions. And Ierusalem shalbe troden downe of the gentyls, vntyll the tyme of the gentyls be fulfylled.
Luke.21.25	And ther shalbe sygnes in the Sonne, and in the Moone, and in the starres: and in the erth the people shalbe at their wyttes ende, thorow dispayre. The see and the water shall roare,
Luke.21.26	and mennes hertes shall fayle them for feare, and for lokynge after those thynges which shall come on the erth. For the powers of heauen shall moue.
Luke.21.27	And then shall they se the sonne of man come in a cloude with power and greate glory.
Luke.21.28	When these thynges begynne to come to passe: then loke vp, and lyfte vp youre heades, for youre redempcyon draweth nye.
Luke.21.29	And he shewed them a symilitude: beholde the fygge tree, and all the trees,
Luke.21.30	when they shoot forth their buddes, ye se and knowe of youre awne selues, that sommer is then nye at hand.
Luke.21.31	So lykewyse ye also (when ye se these thynges come to passe) be sure, that the kyngdome of God is nye.
Luke.21.32	Uerely I saye vnto you: this generacion shall not passe, tyll all be fulfylled.
Luke.21.33	Heauen and erth shall passe: but my wordes shall not passe.
Luke.21.34	Take hede to your selues, lest at anye tyme youre hertes be ouercome with surfettynge and dronkennes and cares of thys lyfe, and so the daye come vpon you vnwares.
Luke.21.35	For as a snare shall it come on all them that dwell on the face of the whole erth.
Luke.21.36	Watch ye therfore contynually, and praye, that ye maye escape all these thynges that shall come, and that ye maye stande before the sonne of man.
Luke.21.37	In the daye tyme, he taught in the temple: and at nyght, he went out, and abode in the mount that is called Olyuete.
Luke.21.38	And all the people came in the mornynge to hym in the temple, for to heare hym.
Luke.22.1	The feast of swete breed drue nye, which is called Easter,
Luke.22.2	and the hye Prestes, and Scrybes sought how they myght kyll him, for they feared the people.
Luke.22.3	Then entred Satan into Iudas, whose syr name was Iscarioth (which was of the nombre of the twelue)
Luke.22.4	and he went his waye and communed with the hye prestes and officers, how he myght betraye him to them.
Luke.22.5	And they were glad Ꟶ promysed to geue hym money.
Luke.22.6	And he consented, and sought oportunyte to betraye hym vnto them, when the people were awaye.
Luke.22.7	Then came the daye of swete breed, when of necessyte Passeouer must be offered.
Luke.22.8	And he sent Peter Ꟶ Iohn, sayinge: go Ꟶ prepare vs the Passeouer, that we maye eate.
Luke.22.9	They sayde vnto him. Where wilt thou, that we prepare?
Luke.22.10	And he sayd vnto them: Beholde, when ye entre into the cytie, ther shall a man mete you, bearynge a pytcher of water, him folowe into the same house that he entreth in,
Luke.22.11	and ye shall saye vnto the good man of the house: The master sayeth vnto the: where is the gest chamber, where I shall eate Passeouer wt my disciples?
Luke.22.12	And he shall shewe you a greate parloure paued. Ther make ready.
Luke.22.13	And they went and founde as he had sayd vnto them, and they made ready the Passeouer.
Luke.22.14	And when the houre was come, he sate downe, Ꟶ the .xij. Apostles wyth hym.
Luke.22.15	And he sayde vnto them: I haue inwardly desyred to eate thys Passeouer wyth you, before that I suffre.
Luke.22.16	For I saye vnto you: hence forth I wyll not eate of it eny more, vntyll it be fulfilled in the kyngdome of God.
Luke.22.17	And he toke the cup, and gaue thankes, and sayd: Take thys, and deuyde it amonge you.
Luke.22.18	For I saye vnto you: I wyll not dryncke of the frute of the vyne, vntyll the kyngdome of God come.
Luke.22.19	And he toke breed, and whan he had geuen thankes, he brake it, and gaue vnto them, sayinge: Thys is my body, whych is geuen for you. Thys do, in the remembraunce of me.
Luke.22.20	Lykewyse also, when he had supped, he toke the cup, sayinge: Thys cup is the new testament in my bloude, whych is shedd for you.
Luke.22.21	Yet beholde, the hande of hym that betrayeth me, is wyth me on the table.
Luke.22.22	And trulye the sonne of man goeth, as it is apoynted: But wo vnto that man, by whom he is betrayed.
Luke.22.23	And they began to enquyre amonge them selues, whych of them it was, that shulde do it.
Luke.22.24	And ther was a stryfe amonge them, whych of them shuld seme to be the greatest.
Luke.22.25	And he sayde vnto them: the kynges of nacyons raygne ouer them: and they that haue auctoryte vpon them, are called gracious lordes.
Luke.22.26	But ye shall not be so. But he that is greatest amonge you, shalbe as the younger: and he that is chefe, shalbe as he that doth mynister.
Luke.22.27	For whether is greater, he that sytteth at meate, or he that serueth? Is not he that sytteth at meate? But I am amonge you, as he that mynistreth.
Luke.22.28	Ye are they, whych haue bydden wyth me in my temptacyons.
Luke.22.29	And I apoynt vnto you a kyngdom, as my father hath apoynted to me:
Luke.22.30	that ye maye eate and dryncke at my table in my kyngdome, Ꟶ syt on seates, iudgynge the twelue trybes of Israell.
Luke.22.31	And the Lord sayde: Symon, Simon, beholde, Satan hath desyred to syfte you, as it were wheate:
Luke.22.32	but I haue prayed for the, that thy fayth fayle not. And when thou arte conuerted, strength thy brethren.
Luke.22.33	And he sayde vnto hym: Lorde, I am ready to go wyth the into preson, and to deeth.
Luke.22.34	And he sayd: I tell the Peter, the cocke shall not crowe thys daye, tyll thou haue thryse denyed that thou knewest me.
Luke.22.35	And he sayde vnto them: when I sent you wythout wallet and scryppe and shoes lacked ye eny thynge? And they sayde, no.
Luke.22.36	Then he sayde vnto them: but now he that hath a wallet, let hym take it vp, and lykewyse hys scrippe. And he that hath no swearde, let hym sell hys coate, and bye one.
