Deut.0.0	¶ The fyfth boke of Moses called in the Hebrue: elle Haddebarim, Ꟶ in the Latin. Deuteronomium.
Deut.22.11	Thou shalt not weare a garment made of woll and flaxe together.
Deut.22.12	Thou shalt make the gardes vpon the .iiij. quarters of thy vesture, where with thou couerest thy selfe.
Deut.22.13	If a man take a wyfe, and when he hath lyen wyth her, hate her,
Deut.22.14	and laye shamefull thynges vnto her charge, and brynge vp an euell name vpon her, and saye: I toke thys wyfe, and when, I came to her, I founde her not a mayde:
Deut.22.15	Then shall the father of the damsell and the mother brynge forth the tokens of the damsels virginite, vnto the elders of the cytie in the gate.
Deut.22.16	And the damsels father shall saye vnto the elders: I gaue my daughter vnto this man to wyfe, and he hateth her:
Deut.22.17	and lo, he layeth shamefull thynges vnto her charge, sayinge: I founde not thy daughter a mayde. And yet these ar the tokens of my daughters virginyte. And they shall sprede the vesture before the elders of the cytie.
Deut.22.18	And the elders of that cytie shall take that man and chastyce him,
Deut.22.19	and mearce hym in an hundred sycles of syluer, and geue them vnto the father of the damsell, because he hath brought vp an euell name vpon a mayde of Israel. And she shalbe hys wyfe, Ꟶ he maye not put her a waye all hys dayes.
Deut.22.20	But and yf the thynge be of a suertye, that the damsell be not founde a virgen,
Deut.22.21	they shall brynge the damsell to the dore of her fathers house, and the men of that cytie shall stone her wyth stones to death, because she hath wrought folye in Israel, to playe the whore in her fathers house. And so thou shalt put euell a waye from the.
Deut.22.22	If a man be founde lyenge wyth a woman, that hath a wedded husbande, they shall dye ether other of them: both the man that laye with the wyfe, Ꟶ also the wyfe: and so thou shalt put awaye euell from Israel.
Deut.22.23	If a mayde be handfasted vnto an husbande, and then a man fynde her in the towne and lye with her,
Deut.22.24	ye shall brynge them both out vnto the gates of the same cytie, Ꟶ shall stone them with stones to death: The damsell, because she cryed not beynge in the cytie: And the man, because he hath humbled hys neyghbours wife, and thou shalt put a waye euell from the.
Deut.22.25	But yf a man fynde a betrauthed damsell in the felde, and force her, and lye wyth her. Then the man that laye wyth her shall dye alone,
Deut.22.26	but vnto the damsell thou shalt do no harme: because there is in the damsell no cause of death. For as when a man ryseth agaynste his neyghboure Ꟶ sleyeth him, euen so is thys matter.
Deut.22.27	For he founde her in the feldes, and the betrouthed damsell cryed: and there was no man to suckoure her.
Deut.22.28	If a man fynde a mayde that is not betrauthed, and take her, and lye with her, and they be founde:
Deut.22.29	Then the man that laye wyth her, shall geue vnto the damsels father .l. sycles of syluer. And she shall be hys wyfe, because he hath humbled her, and he maye not put her a waye all hys dayes.
Deut.22.30	No man shall take hys fathers wyfe, nor vnhele hys fathers couerynge.
Deut.23.1	None that is gelded or hath hys preuye membres cutt of, shall come into the congregacyon of the Lorde.
Deut.23.2	And he that is borne of a comen woman, shall not come into the congregacyon of the Lorde, no not in the tenth generacyon he shall not entre into the congregacyon of the Lorde.
Deut.23.3	The Ammonites and the Moabites shall not come into the congregacyon of the Lorde, no not in the tenth generacyon, nor they shall neuer come into the congregacyon of the Lorde,
Deut.23.4	because they met you not wyth bread and water in the waye, when ye came out of Egypt, and because they hyred agaynst the. Balaam the sonne of Beor of Pethor, of Mesopotamia, to curse the.
Deut.23.5	Neuerthelesse the Lorde thy God wolde not herken vnto Balaam, but the Lorde thy God turned the curse to a blessynge vnto the, because the Lorde thy God loued the.
Deut.23.6	Thou shalt not seke the prosperyte or welth of them all thy dayes for euer.
Deut.23.7	Thou shalt not abhorre an Edomite, for he is thy brother: nether shalt thou abhorre an Egipcian, because thou wast a straunger in hys lande.
Deut.23.8	The chyldren that are begotten of them shall come into the congregacyon of the Lorde in the .iij. generacyon.
Deut.23.9	When thou goest out wyth the host agaynst thyne enemyes, kepe the from all wickednesse.
Deut.23.10	If there be amonge you any man that is vncleane, by the reason of vnclennesse that chaunceth hym by nyght, let hym go out of the host,
Deut.23.11	and not come in agayne, into the hoost, but at euen let hym wasshe hym selfe wyth water, Ꟶ then when the sonne is doune, let him come into the host agayne.
Deut.23.12	Thou shalt haue a place also without the host, whether thou shalt resorte to,
Deut.23.13	and thou shalt haue a sharpe poynte vpon thy wepon: and when thou wylt ease thy selfe, dygge therwith, Ꟶ turne and couer that whych is departed from the.
Deut.23.14	For the Lord thy God walketh in the middes of thyne host, to rydd the, and to set thyne enemies before the. Therfore shall the place of thyne host be pure, that he se no vncleane thynge in the, and so turne him selfe from the.
Deut.23.15	Thou shalt not delyuer vnto his master the seruaunt whych is escaped from hys master vnto the.
Deut.23.16	He shall dwell with the, euen amonge you in what place he hym selfe lyketh best, in one of thy cyties where it is good for hym, and thou shalt not vexe hym.
Deut.23.17	There shalbe no whore of the daughters of Israel, nor whore keper of the sonnes of Israel.
Deut.23.18	Thou shalt nether brynge the hyer of an whore nor the pryce of a dogge into the house of the Lorde thy God, in any maner of vowe, for euen both of them are abhominacyon vnto the Lorde thy God.
Deut.23.19	Thou shalt not hurt thy brother by vsury of money, ner by vsury of corne, ner by vsury of any thynge that he maye be hurt withall.
Deut.23.20	Unto a straunger thou mayst lende vpon vsurye, but not vnto thy brother, that the Lorde thy God may blesse the in all that thou settest thyne hande to, in the lande whether thou goest to conquere it.
Deut.23.21	When thou hast vowed a vowe vnto the Lorde thy God, thou shalt not slacke to paye it. For the Lorde thy God wyll surely requyre it of the, and it shalbe synne in the.
Deut.23.22	If thou shalt leue vowynge, it shalbe no synne in the:
Deut.23.23	but that which is once gone out of thy lyppes, thou must kepe and do, accordynge as thou hast vowed vnto the Lorde thy God of a frewyll, and as thou hast spoken wyth thy mouth.
Deut.23.24	When thou commest into thy neyghbours vyneyarde, thou mayst eate grapes thy belly full at thine awne pleasure: but thou shalt put none in thy vessell.
Deut.23.25	Euen so whan thou commest into thy neyghbours corne, thou mayst plucke the eares with thyne hande, but thou shalt not moue a sycle vnto thy neyghbours corne.
Deut.24.1	When a man hath taken a wyfe and maried her, yf she finde no fauour in his eyes, because he hath spied some vnclennesse in her. Then let him wryte her a bylle of deuorcement, and put it in her hande, and sende her out of hys house.
Deut.24.2	And when she is departed out of hys house, let hir go, and be another mans wyfe.
Deut.24.3	And yf the seconde husbande hate her, let him wryte her also a letter of deuorcement, and put it in her hande and sende her out of hys house: or yf the seconde man dye whych toke her to wyfe,
Deut.24.4	her fyrst man whych sent her a waye, maye not take her agayne to be hys wyfe, after that she is defyled. For that is abhominacyon in the syght of the Lorde. And thou shalt not cause the lande to synne, whych the Lorde thy God shall geue the to enheret.
Deut.24.5	When a man taketh a newe wyfe, he shall not go a warrefare, nether shalbe charged wyth any busynesse: but shalbe fre at home one yere, Ꟶ reioyse with hys wyfe whych he hath taken.
Deut.24.6	No man shall take the nether or the vpper mylstone to pledge, for then he shall hurt a mans lyfe.
Deut.24.7	If any man be founde stealynge any of his brethren the chyldren of Israel, and abuseth him, or selleth him, the thefe shall dye. And thou shalt put euell awaye from the.
Deut.24.8	Take heade to thy selfe as concernynge the plage of leprosye, that thou obserue diligently. And ye shall do accordynge to all that the Preastes the Leuytes shall teache you: Euen as I commaunded them, so ye shall obserue to do.
Deut.24.9	Remembre what the Lorde thy God dyd vnto Mir Iam by the waye, after that ye were come out of Egypte:
Deut.24.10	Whan thou doest lende thy brother any thinge, thou shalt not go into his house to fetche a pledge from thence:
Deut.24.11	but shalt stande without, and the man that borowed it of the, shall brynge the pledge out vnto the.
Deut.24.12	Forthermore, yf it be a pore body, thou shalt not slepe with hys pledge,
Deut.24.13	but delyuer hym the pledge agayne whan the sonne goth doune that he maye slepe in his awne rayment, and blesse the. And it shalbe ryghteousnes vnto the, before the Lord thy God
Deut.24.14	Thou shalt not defraude an hyred seruaunte that is nedye and poore, whether he be of thy brethen, or of the straungers that are in thy lande with in thy gates.
Deut.24.15	But shall geue him his hyer the same daye, and lett not the sonne go doune theron. For he is nedye, and therwith susteyneth his lyfe, lest he crye agaynst the vnto the Lorde, and it be synne vnto the.
Deut.24.16	The fathers shall not dye for the chyldren, nor the chyldren for the fathers: but euery man shall dye for hys awne synne.
Deut.24.17	Thou shalt not hynder the ryght of the straunger nor of the fatherlesse, nor take a wedowes rayment to pledge.
Deut.24.18	But remembre that thou wast a seruaunte in Egypte, and howe the Lorde thy God delyuered the thence: And therfore I commaunde the to do thys thynge.
Deut.24.19	When thou cuttest doune thyne herueste in thy felde, and hast forgotte a shefe in the felde, thou shalt not go agayne to fett it. But it shalbe for the straunger, the fatherlesse Ꟶ the wedowe, that the Lord thy God maye blesse the in all the workes of thyne hande.
Deut.24.20	When thou beatest doune thyne olyue tree, thou shalt not turne agayne to gather vp that thou leftest behynde the: but it shalbe for the straunger, the fatherlesse and the wedowe.
Deut.24.21	When thou getherest thy vineyarde, thou shalt not gether the grapes cleane after the: but leaue them for the straunger, the fatherlesse and the wedowe.
Deut.24.22	And remembre that thou also wast a seruaunte in the lande of Egipte: and therfore I commaunde the to do thys thynge.
Deut.25.1	If there be stryfe betwene men, they shall come vnto the lawe, and let the iudges geue sentence betwene them, and iustifye the ryghteous, Ꟶ condemne the vngodly.
Deut.25.2	And yf any man be vngodly, and worthy of strypes, then let the iudge cause to take hym doune, and to beate hym before hys face accordynge to hys trespace vnto a certayne nombr
Deut.25.3	.xl. strypes he shall geue hym and not passe: lest yf he shulde exceade and beate hym aboue that with many strypes, thy brother shulde appere vngoodly before thyne eyes.
Deut.25.4	Thou shalt not mosell the oxe that treadeth out the corne.
Deut.25.5	Yf brethren dwell together, and one of them dye and haue no chylde, the wyfe of the deed shall not mary without vnto a straunger: but hys brother shall go in vnto her, and take her to wyfe, and occupye the rowme of his kynsman.
Deut.25.6	And the eldest sonne which she beareth, shall succede in the name of hys brother whych is deed, that his name be not put out of Israel.
Deut.25.7	And yf the man wyll not take hys brothers wyfe, then let her go vp to the gate vnto the elders, and saye: My husbandes brother refuseth to sterre vp vnto hys brother a name in Israel, nether will he marye me.
Deut.25.8	Then the elders of hys cytie shall call hym, and comen with hym. And yf he stande and saye: I wyll not take her,
Deut.25.9	then shall hys kynswoman come vnto him in the presence of the elders, Ꟶ loose hys showe of hys fote, Ꟶ spyt in hys face, and answere, Ꟶ saye: So shall it be done vnto that man, that doth noth bylde vp hys brothers house.
Deut.25.10	And hys name shall be called in Israel, the vnshodhouse.
Deut.25.11	If when men stryue together, one with another, the wyfe of the one ronne to, for to ryd her husbande out of the handes of hym that smyteth hym, and put forth her hande, Ꟶ take him by the secrettes:
Deut.25.12	Thou shalt cut of her hande, and lett not thyne eye pytie her.
Deut.25.13	Thou shalt not haue in thy bagge two maner of weightes, a greate and a small:
Deut.25.14	nether shalt thou haue in thyne house dyuerse measures, a great Ꟶ a small.
Deut.25.15	But thou shalt haue a right, and iust weight, and a perfect, and a iust measure shalt thou haue: that thy dayes maye be lengthed in the lande, whych the Lorde thy God geueth the.
Deut.25.16	For all that do soche thynges and all that do vnryght, are abhominacion vnto the Lorde thy God:
Deut.25.17	Remembre what Amalech dyd vnto the by the waye, whan ye were come out of Egipte,
Deut.25.18	how he met the by the waye, Ꟶ smote the hyndmost of you, all that were feble Ꟶ came behynde, when thou wast faynted and werye, and he feared not God.
Deut.25.19	Therfore when the Lorde thy God hath geuen the reast from all thyne enemyes rounde aboute, in the lande whych the Lorde thy God geueth the to enheret and possesse: se that thou put oute the remembraunce of Amalech from vnder heauen and forget not.
Deut.26.1	When thou art come into the lande whych the Lorde thy God geueth the to enheret, and hast enioyed it and dwellest therin:
Deut.26.2	take of the fyrst of all the frute of the erthe, and brynge it out of thy lande that the Lord thy God geueth the, and put it in a maunde, and go vnto the place whych the Lorde thy God shall chose to sett his name in it.
Deut.26.3	And thou shalt come vnto the Preaste, that shalbe in those dayes, and saye vnto hym: I knowledge thys daye vnto the Lorde thy God, that I am come vnto the contre which the Lorde sware vnto oure fathers for to geue vs.
Deut.26.4	And the Preaste shall take the maunde out of thyne hande, and set it doune before the aulter of the Lorde thy God.
Deut.26.5	And thou shalt answere, and saye before the Lord thy God: The Sirians went aboute to destroye my father, and he went doune into Egypte, and so soiourned there wyth a fewe folcke, Ꟶ grewe there vnto a nacion greate, myghtie, and full of people.
Deut.26.6	And the Egyptyans vexed vs, and troubled vs, and laded vs wyth most cruel bondage.
Deut.26.7	And whan we cried vnto the Lorde God of oure fathers, the Lord hearde oure voyce, and loked on oure aduersyte, laboure and oppressyon.
Deut.26.8	And the Lorde brought vs out of Egypt in a myghtye hande, Ꟶ a stretched out arme, and in great terreblenesse, and signes, and wonders.
Deut.26.9	And he hath brought vs into this place, and hath geuen vs this lande, that floweth with mylke Ꟶ honye.
Deut.26.10	And nowe loo, I haue brought the fyrst frutes of the lande whych thou (O Lorde) hast geuen me. And thou shalt set it before the Lorde thy God, Ꟶ worshippe before the Lorde thy God,
Deut.26.11	and reioyse in all the good thynges, which the Lorde thy God hath geuen vnto the and vnto thyne house, thou and the Leuite, and the straunger that is amonge you.
Deut.26.12	When thou hast made an ende of tythinge all the tythes of thyne encrease the thyrde yere, which is the yere of tythynge: thou shalt geue it vnto the Leuite, the straungers, the fatherlesse and the wedowes, that they maye eate wythin thy gates, and fyll them selues.
Deut.26.13	And thou shalt saye before the Lorde thy God. I haue brought the halowed thynges out of myne house, and haue geuen them vnto the Leuites, the straungers, the fatherlesse and the wedowes accordynge to all thy commaundmentes which thou hast commaunded me: I haue not ouerskypped thy commaundementes, nor forgotten them.
Deut.26.14	I haue not eaten therof in my mournynge nor suffred ought to peryshe thorowe vnclennesse, ner geuen ought therof for the deed, but haue herkened vnto the voyce of the Lorde my God, Ꟶ haue done after all that thou hast commaunded me.
Deut.26.15	Loke doune therfore from thy holy habitacyon euen from heauen, and blesse thy people Israel, and the lande which thou hast geuen vs (as thou swarest vnto oure fathers) a lande that floweth with mylke and honye.
Deut.26.16	Thys daye the Lorde thy God hath commaunded the to do these ordinaunces and lawes: kepe thou them, and do them wythall thyne herte, and all thy soule.
Deut.26.17	Thou hast sett vp the Lorde thys daye to be thy God, and to walke in hys wayes, and to kepe hys ordinaunces, hys commaundementes Ꟶ hys lawes, and to herken vnto his voyce.
Deut.26.18	And the Lorde hath sett the vp thys daye, to be a seuerall people vnto hym (as he hath promysed the) and that thou kepe hys commaundementes,
Deut.26.19	and to make the hye aboue all nacyons (which he hath made) in prayse in name and honoure: and that thou mayest be an holy people vnto the Lorde thy God, as he hath sayde.
Deut.27.1	And Moses wyth the elders of Israel commaunded the people, sayinge: kepe all the commaundementes which I commaunde you thys daye.
Deut.27.2	And when ye be come ouer Iordan vnto the lande whych the Lorde thy God geueth the, thou shalt set the vp greate stones, and plaster them wyth plaster,
Deut.27.3	and wryte vpon them all the wordes of thys lawe, when thou arte come ouer: because thou art come into the lande whych the Lorde thy God geueth the: a lande that floweth with mylke and honye, as the Lord God of thy fathers had promised the.
Deut.27.4	Therfore when ye be come ouer Iordan, ye shall set vp these stones, which I commaunde you thys daye in mount Ebal, and thou shalt plaster them wyth plaster.
Deut.27.5	And there shalt thou bylde vnto the Lord thy God, an altare of stones, Ꟶ lyfte vp no yron vpon them:
Deut.27.6	Thou shalt make the altare of the Lorde thy God of whole stones, and offer burntofferynges theron vnto the Lorde thy God.
Deut.27.7	And thou shalt offer peaceofferinges, Ꟶ shall eate there, Ꟶ reioyse before the Lorde thy God.
Deut.27.8	And thou shalt wryte vpon the stones all the wordes ofthys lawe, manifestly and well.
Deut.27.9	And Moses and the Preastes the Leuites spake vnto all Israel sayinge: take hede Ꟶ heare (O Israel) thys daye thou art be come the people of the Lorde thy God.
Deut.27.10	Thou shalt herken therfore vnto the voyce of the Lorde thy God, and do hys commaundementes, and his ordinaunces which I commaunde the thys daye.
Deut.27.11	And Moses charged the people the same daye, sayinge:
Deut.27.12	These shall stande vpon mount Garizim to blesse the people, when ye are come ouer Iordan: Symeon, Leui, Iuda, Isachar, Ioseph, and Ben Iamin.
Deut.27.13	And these shall stande vpon mount Eball to curse: Ruben, Gad, Aser, zabulon, Dan Nephthali.
Deut.27.14	And the Leuites shall answere and saye vnto all the men of Israel wyth a loude voyce.
Deut.27.15	Cursed be the man that maketh any carued or molten ymage (an abhominacyon vnto the Lorde, the worke of the handes of the craftesman) and putteth it in a secret place: and all the people shall answere and saye Amen.
Deut.27.16	Cursed be he that curseth hys father, Ꟶ hys mother, and all the people shall saye Amen.
Deut.27.17	Cursed be he that remoueth his neyghbours marke, Ꟶ all the people shall saye Amen.
Deut.27.18	Cursed he be that maketh the blynde go out of his waye, Ꟶ all the people shall saye Amen.
Deut.27.19	Cursed be he that hyndreth the ryght of the straunger, fatherlesse and wedowe, and all the people shall saye Amen.
Deut.27.20	Cursed be he that lyeth wyth hys fathers wyfe and vnhealeth his fathers couerynge, and all the people shall saye, Amen.
Deut.27.21	Cursed be he that lyeth with any maner of beast, Ꟶ all the people shall saye, Amen.
Deut.27.22	Cursed be he that lyeth with hys syster the daughter of hys father, or the daughter of his mother, Ꟶ all the people shall saye, Amen.
Deut.27.23	Cursed be he, that lyeth with hys mother in lawe, and all the people shall saye, Amen.
Deut.27.24	Cursed be he that smyteth his neyghboure secretly, and all the people shall saye, Amen.
Deut.27.25	Cursed be he that taketh a rewarde to slaye the soule of innocent bloude, and all the people shall saye, Amen.
Deut.27.26	Cursed be he that contynueth not in all the wordes of thys lawe to do them, and all the people shall saye, Amen.
Deut.28.1	If thou shalt herken diligently vnto the voyce of the Lorde thy God, and obserue and do all hys commaundementes, whych I commaunde the thys daye, The Lorde wyll set the on hye aboue all nacyons of the erth.
Deut.28.2	And all these blessinges shall come on the, and ouertake the, yf thou shalt herken vnto the voyce of the Lord thy God.
Deut.28.3	Blessed shalt then be in the towne, and blessed in the feldes:
Deut.28.4	blessed shalbe the frute of thy body, and the frute of thy grounde, and the frute of thy cattell, the frute of thyne oxen, Ꟶ the flockes of thy shepe:
Deut.28.5	blessed shall be thy basket and thy store.
Deut.28.6	Blessed shalt thou be, when thou goest out, and blessed when thou comest in.
Deut.28.7	The Lorde shall geue ouer thyne enemyes that ryse agaynst the, that they maye fall before thy face. They shall come out agaynst the one waye, and flee before the seuen wayes.
Deut.28.8	The Lorde shall put the blessynge vpon the in thy store houses, Ꟶ in all that thou settest thyne hande to, Ꟶ will blesse the in the lande which the Lorde thy God geueth the.
Deut.28.9	The Lorde shall make the an holye people vnto hym selfe, as he hath sworen vnto the: yf thou shalt kepe the commaundementes of the Lorde thy God, and walke in hys wayes.
Deut.28.10	And all nacyons of the erth shall se, that the name of the Lorde, is called vpon ouer the, and they shalbe aferde of the.
Deut.28.11	And the Lorde shall make the plenteous in goodes, in the frute of thy body, in the frute of thy catell, and in the frute of thy grounde, in the lande whych the Lorde sware vnto thy fathers, to geue the.
Deut.28.12	The Lorde shall open vnto the his good treasure, euen the heauen to geue rayne vnto thy lande in due ceason, and to blesse all the laboures of thyne hande. And thou shalt lende vnto many nacyons, but shalt not borowe thy selfe.
Deut.28.13	And the Lord shall set the before and not behynde, Ꟶ thou shalt be aboue only, and not beneth: yf that thou herken vnto the commaundementes of the Lorde thy God, which I commaunde the thys daye, to kepe and to do them.
Deut.28.14	And se that thou bowe not asyde from any of these wordes, which I commaunde the thys daye, ether to the ryght hande or to the lefte, that thou woldest goo after straunge goddes to serue them.
Deut.28.15	But and yf thou wylt not herken vnto the voyce of the Lorde thy God, to kepe Ꟶ to do all hys commaundementes and his ordinaunces, which I commaunde the this daye: all these curses shall come vpon the, and ouertake the:
Deut.28.16	Cursed shalt thou be in the towne, and cursed in the felde:
Deut.28.17	cursed shall thy baskett be, Ꟶ thy store.
Deut.28.18	Cursed shall be the frute of thy body, and the frute of thy lande, and the frute of thyne oxen, and the flockes of thy shepe.
Deut.28.19	Cursed shalt thou be when thou goest in, and cursed when thou goest out.
Deut.28.20	The Lorde shall sende vpon the, cursynge, destruccyon, and rebuke in all that thou settest thyne hande to, and that thou doest: vntyll he destroye the, and brynge the to nought quyckely, because of the wyckednesse of thyne inuencyons, and because thou hast forsaken me.
Deut.28.21	The Lorde shall make the pestilence cleaue vnto the, vntyll he haue consumed the from of the lande, whether thou goest to enioye it.
Deut.28.22	The Lorde shall smyte the with swellynge, wyth feuers, heet, burnynge, and wyth the swerde, with wetherynge, and with blastynge. And they shall folowe the vntyll thou peryshe.
Deut.28.23	And the heauen that is ouer thy head shalbe brasse, and the erthe that is vnder the, yron.
Deut.28.24	The Lorde shall turne the rayne of the lande vnto powder and dust: euen from heauen shall they come doune vpon the, vntyll thou be brought to nought.
Deut.28.25	And the Lorde shall plage the before thyne enemyes: Thou shalt come out one waye agaynst them, and flee seuen wayes before them, and shall be scatered amonge all the kyngdomes of the erthe.
Deut.28.26	And thy carkesse shalbe meate vnto all maner foules of the ayre, and vnto the beastes of the erthe, and no man shall fraye them awaye.
Deut.28.27	The Lord wyll smyte the wt the botche of Egypte, and the emarodes, scalle, Ꟶ mangenesse, that thou mayest not be healed therof.
Deut.28.28	And the Lord shall smyte the with madnesse, and blyndnesse and dasynge of herte.
Deut.28.29	Thou shalt grope at noone dayes, as the blinde gropeth in darkenesse, and shalt not prosper in thy wayes. Thou shalt be oppressed wyth wronge, and be polled euermore, Ꟶ no man shall sucker the.
Deut.28.30	Thou shalt be betrowthed vnto a wyfe, and another man shall lye wyth her. Thou shalt buylde an house, and not dwell therin. Thou shalt also plante a vyneyarde, and shalt not gather the grapes.
Deut.28.31	Thyne oxe shalbe slayne before thyne eyes, and thou shalt not eate therof. Thyne asse shalbe violently taken a waye euen before thy face, and shall not be restored to the agayne. Thy shepe shalbe geuen vnto thine enemyes, and no man shall rescue them.
Deut.28.32	Thy sonnes and thy daughters shall be geuen vnto another nacyon, and thyne eyes shall se it, Ꟶ dase vpon them all the daye longe, and there shalbe no myghte in thyne hande.
Deut.28.33	The frute of thy lande and all thy laboures shall a nacion whych thou knowest not, eate, Ꟶ thou shalt continually suffre violence onely, and be oppressed alwaye:
Deut.28.34	so that thou shalt be cleane besyde thy selfe, for the syghte of thyne eyes whych thou shalt se:
Deut.28.35	The Lorde shall smyte the in the knees and legges, wyth a myscheuous botche that can not be healed: euen from the sole of thy fote vnto the toppe of thy head.
Deut.28.36	The Lorde shall brynge the and thy kynge (which thou shalt set ouer the) vnto a nacyon, which nether thou nor thy fathers haue knowne, that there thou mayest serue straunge Goddes: euen wodd and stone.
Deut.28.37	And thou shalt be wondred at, spoken of, Ꟶ iested at amonge all nacyons, whether the Lorde shall carye the.
Deut.28.38	Thou shalt carye moche seed out in to the felde, and shalt gether but lytle in: for the greshoppers shall destroye it.
Deut.28.39	Thou shalt plante a vyneyarde and dresse it, but shalt nether dryncke of the wyne, nether gether the grapes, for the wormes shall eate it.
Deut.28.40	Thou shalt haue oliue trees thorowe out all thy coastes, but shalt not anoynte thy selfe wyth the oyle, for thyne olyue trees shalbe roted out.
Deut.28.41	Thou shalt beget sonnes, and daughters, but shalt not haue them: for they shalbe caryed a waye captyue.
Deut.28.42	All thy trees and frute of thy lande shalbe marred wyth blastynge.
Deut.28.43	The straunger that is amonge you, shall clyme aboue the vp on hye, and thou shalt come doune beneth alowe.
Deut.28.44	He shall lende the, Ꟶ thou shalt not lende hym: he shalbe before, Ꟶ thou behynde.
Deut.28.45	Moreouer, all these curses shall come vpon the, and shall folowe the and ouertake the, tyll thou be destroyed: because thou herkenedst not vnto the voyce of the Lorde thy God, to kepe hys commaundementes, and hys ordinaunces, whych he commaunded the,
Deut.28.46	and they shalbe vpon the as myracles and wonders, and vpon thy seed for euer,
Deut.28.47	because thou seruedst not the Lorde thy God wyth ioyfulnesse and wyth a good herte, whan thou haddest aboundaunce of all thynges,
Deut.28.48	therfore thou shalt serue thyne enemye, whych the Lorde shall sende vpon the in hunger and thyrst, in nakednesse, and in nede of all thynge: and he shall put a yocke of yron vpon thy necke, vntyll he haue broughte the to nought.
Deut.28.49	And the Lord shall brynge a nacyon vpon the from a farre, and from the ende of the worlde, as swifte as an egle flyeth: a nacyon whose tonge thou shalt not vnderstande:
Deut.28.50	a harde fauoured nacyon, whych shall not regarde the person of the olde, nor haue compassyon on the younge.
Deut.28.51	The same shall eate the frute of thy catell, and the frute of thy londe, vntyll he haue destroyed the: and shall leaue the nether corne, wyne, nor oyle, nether the encrease of thyne oxen, nor the flockes of thy shepe: vntyll he haue brought the to nought.
Deut.28.52	And he shall kepe the in, in all thy cyties, vntyll he haue cast downe thy hye walles and stronge holdes, wherin thou trustedst, thorowe out all the lande. And he shall besege the in all thy cyties thorowe out all thy lande, whych the Lorde thy God hath geuen the.
Deut.28.53	And thou shalt eate the frute of thyne awne bodye: the fleshe of thy sonnes, and of thy daughters, whych the Lorde thy God hath geuen the, in that straytenesse and sege, wherwith thyne enemye shall besege the:
Deut.28.54	so that it shall greue the man (that is tender Ꟶ exceadynge delycate amonge you,) to loke on hys brother and vpon hys wyfe that lyeth in hys bosome, and on the remnaunte of hys chyldren, whych he hath yet lefte:
Deut.28.55	for feare of geuynge (vnto anye of them) of the fleshe of hys chyldren, whom he shall eate, because he hath nothynge left hym in that straytenesse Ꟶ sege, wherwith thyne enemye shall besege the in all thy cyties.
Deut.28.56	Yee and the woman that is so tender and delycate, that she dare not aduenture to set the sole of her foote vpon the grounde, (for softnesse and tendernesse) shalbe greued to loke on her husbande that lyeth in her bosome, Ꟶ on her sonne and on her daughter:
Deut.28.57	and on hyr after byrthe (that is come out from betwene her legges,) and her chyldren whych she shall beare: For whan all thynges lack, she shall eat them secretly, in the sege Ꟶ straytenesse, wherwith thyne enemye shall besege the in thy cyties.
Deut.28.58	If thou wylt not kepe and do all the wordes of thys lawe (that are wrytten in thys boke,) and feare thys gloryous and fearfull name of the Lorde thy God:
Deut.28.59	the Lorde will sende vnto the and thy seed, greate plages and of longe continuaunce,
Deut.28.60	euell sycknesses and of longe duraunce. Moreouer he will bringe vpon the all the diseases of Egypte, and those whych thou wast afrayed of shall cleaue vnto the.
Deut.28.61	And all maner syckenesses, and all maner plages whych are not wrytten in the boke of thys lawe, wyll the Lorde brynge vpon the, vntyll he bringe the to noughte.
Deut.28.62	And ye shalbe lefte fewe in nombre, where before ye were as the starres of heauen in multytude: because thou woldest not herken vnto the voyce of the Lorde thy God.
Deut.28.63	And it shall come to passe, that as the Lord reioysed ouer you, to do you good, Ꟶ to multiplye you: euen so he wyll reioyse ouer you, to destroye you, Ꟶ to brynge you to nought. And ye shalbe wasted from of the land, whether thou goest to enioye it.
Deut.28.64	And the Lorde shall scater the amonge all nacions, from the one ende of the worlde vnto the other, and there thou shalt serue straunge goddes, whych thou nor thy fathers haue knowne: euen wodd and stone.
Deut.28.65	And amonge these nacyons thou shalt fynde no ease, neyther shall the sole of thy foote haue rest. But the Lorde shall geue the there an vnquyet herte, and dasyng eyes, and sorowe of mynde.
Deut.28.66	And thy lyfe shall hange before the and thou shalt feare both daye, and nyghte, Ꟶ shalt haue no trust in thy lyfe.
Deut.28.67	In the mornynge thou shalt saye, wolde God it were nyght. And at nyght thou shalt saye: wolde God it were mornynge: for feare, of thyne harte whych thou shall feare Ꟶ for the syghte of thyne eyes, whych thou shalt se.
Deut.28.68	And the Lorde shall brynge the into Egipt agayne wyth shyppes, by the waye which I bad the, that thou shuldest se it no moare. And there ye shalbe solde vnto youre enemies, for bondmen and bondwemen: Ꟶ no man shall bye you.
Deut.29.1	These are the wordes of the appoyntment, which the Lorde commaunded Moses, to make wyth the chyldren of Israel in the lande of Moab, besyde the appoyntment which he made wyth them in Horeb,
Deut.29.2	and Moses called all Israel, and sayde vnto them: Ye haue sene all that the Lorde dyd before youre eyes in the lande of Egipt, vnto Pharao and vnto all hys seruauntes, and vnto all hys lande,
Deut.29.3	the greate temptacions which thyne eyes haue sene, those greate myracles and wonders:
Deut.29.4	and yet the Lorde hath not geuen you an herte to perceaue, and eyes to se, and eares to heare vnto thys daye.
