John.0.0	¶ The Gospell of Sayncte Iohn.
John.19.40	Then toke they the body of Iesu, Ꟶ wounde it in lynnen clothes wt the odoures, as the maner of the Iewes is to bury.
John.19.41	And in the place where he was crucified, there was a garden, and in the garden a newe sepulchre, wherin was neuer man layd.
John.19.42	There layde they Iesus therfore, because of the preparinge of the Sabboth of the Iewes for the sepulchre was nye at hande.
John.20.1	The fyrst daye of the Sabbothes cam Mary Magdalene early (when it was yet darcke) vnto the sepulchre, and sawe the stone taken awaye from the graue.
John.20.2	Then she ranne, and came to Symon Peter, and to the other dyscyple whom Iesus loued, and sayeth vnto them. They haue taken awaye the Lorde out of the graue, Ꟶ we cannot tell where they haue layde him.
John.20.3	Peter therfore went forth, Ꟶ that other disciple, and came vnto the sepulchre.
John.20.4	They ranne both together, Ꟶ the other disciple dyd out runne Peter, Ꟶ came fyrst to the sepulchre.
John.20.5	And whan he had stowped downe he sawe the lynnen clothes lyenge, yet went he not in.
John.20.6	Then came Symon Peter, folowinge him, Ꟶ went into the sepulchre, Ꟶ sawe the lynnen clothes lye,
John.20.7	Ꟶ the napkin that was aboute his heed, not lyinge wt the lynnen clothes, but wrapped together in a place by it selfe.
John.20.8	Then went in also the other discyple, which came fyrst to the sepulchre, and he sawe Ꟶ beleued.
John.20.9	For as yet they knew not the scripture, that he shulde ryse agayne from deeth.
John.20.10	Then the disciples went awaye agayne vnto theyr awne home.
John.20.11	Mary stode without at the sepulcre wepinge. So as she wepte, she bowed her selfe into the sepulchre,
John.20.12	Ꟶ seeth two angels clothed in whyte, sytting, the one at the heed Ꟶ the other at the fete, where they had layde the body of Iesus.
John.20.13	They saye vnto her, woman, why wepest thou? She sayeth vnto them: for they haue taken awaye my Lord, Ꟶ I wote not where they haue layde him.
John.20.14	When she had thus sayd, she turned her selfe backe, Ꟶ sawe Iesus standinge, and knewe not that it was Iesus:
John.20.15	Iesus sayeth vnto her: woman, why wepest thou? Whom sekest thou? She supposing that he had bene a gardener, sayeth vnto him. Syr: yf thou haue borne him hence, tell me wher thou hast layde him, and I wyll fet him.
John.20.16	Iesus sayeth vnto her. Mary. She turned her selfe, Ꟶ sayd vnto hym: Rabboni, which is to saye, master.
John.20.17	Iesus sayeth vnto her, touche me not, for I am not yet ascended to my father. But go to my brethren, Ꟶ saye vnto them? I ascende vnto my father Ꟶ youre father: Ꟶ to my God, Ꟶ youre God.
John.20.18	Mary Magdalene came Ꟶ tolde the disciples, that she had sene the Lorde, and that he had spoken soch thinges vnto her.
John.20.19	The same daye at night: which was the fyrst daye of the Sabothes, when the dores were shut (where the disciples were assembled together for feare of the Iewes) came Iesus, and stode in the myddes, Ꟶ saieth vnto them: peace be vnto you.
John.20.20	And when he had so sayde, he shewed vnto them his handes, Ꟶ his syde. Then were the disciples glad when they sawe the Lord.
John.20.21	Then sayd Iesus to them agayne: peace be vnto you. As my father sent me, euen so sende I you also.
John.20.22	And when he had sayd those wordes, he brethed on them and sayeth vnto them: Receaue ye the holy goost.
John.20.23	Whosoeuers synnes ye remitte, they are remitted vnto them. And whosoeuers synnes ye retayne, they are retayned.
John.20.24	But Thomas one of the twelue (which is called Didymus) was not wt them when Iesus came.
John.20.25	The other disciples therfore sayde vnto him: we haue sene the Lorde. But he sayde vnto them: except I se in hys handes the prynt of the nayles, Ꟶ put my fynger in to the prynte of the nayles, Ꟶ thrust my hande into his syde, I will not beleue.
John.20.26	And after .viij. dayes, agayne his disciples were wt in, Ꟶ Thomas wt them. Then came Iesus when the dores were shut, Ꟶ stode in the myddes, and sayde: peace be vnto you.
John.20.27	After that sayd he to Thomas: bringe thy fynger hether, Ꟶ se my handes, Ꟶ reach hyther thy hande, Ꟶ thrust it into my syde, Ꟶ be not faythlesse, but beleuinge.
John.20.28	Thomas answered, and sayde vnto him: my Lorde, Ꟶ my God:
John.20.29	Iesus sayeth vnto him: Thomas, because thou hast sene me, thou hast beleued, blessed are they that haue not sene, and yet haue beleued.
John.20.30	And many other sygnes truly dyd Iesus in the presence of his discyples, which are not wrytten in this boke.
John.20.31	These are written, that ye myght beleue, that Iesus is Chryst the sonne of God, and that (in beleuyng) ye myght haue lyfe thorow hys name.
John.21.1	After warde dyd Iesus shewe hym selfe agayne, at the see of Tyberias. And on this wyse shewed he him selfe
John.21.2	There were together Symon Peter Ꟶ Thomas (which is called Didymus) and Nathanael of Cana in Galile, and the sonnes of zebeddei, and two other of hys disciples.
John.21.3	Simon Peter sayeth vnto them: I wyll go a fisshinge. They saye vnto him: we also wyll go with the. They went theyr waye Ꟶ entred into a shyppe immediatly, Ꟶ that night caught they nothinge.
John.21.4	But when the mornynge was now come, Iesus stode on the shore: neuerthelesse the disciples knewe not that it was Iesus.
John.21.5	Iesus sayeth vnto them: Children, haue ye eny meat? they answered him, no.
John.21.6	And he saieth vnto them: cast out the net on the ryght syde of the ship, Ꟶ ye shall fynde. They cast out therfore, and anone they were not hable to drawe it for the multitude of fysshes.
John.21.7	Then sayde the disciple whom Iesus loued vnto Peter: It is the Lord: When Symon Peter heard that it was the Lord, he gyrde his coate vnto him (for he was naked) Ꟶ sprange into the see.
John.21.8	The other disciples came by shyp for they were not farre from lande, but as yt were two hondred cubites, Ꟶ they drewe the net wt fisshes.
John.21.9	Assone then as they were come to lande, they sawe hoote coles, Ꟶ fisshe layd theron, Ꟶ breed.
John.21.10	Iesus sayeth vnto them. brynge of the fysshe which ye haue now caught:
John.21.11	Symon Peter went vp, Ꟶ drewe the net to londe full of great fysshes, an hondred Ꟶ .liij. And for all ther were so many, yet was not the net broken.
John.21.12	Iesus sayeth vnto them: come Ꟶ dyne. And none of the discyples durst aske him: what art thou? For they knewe that it was the Lorde.
John.21.13	Iesus then came, and toke breed, Ꟶ gaue them, and fisshe lykewyse.
John.21.14	This is nowe the thyrde tyme that Iesus appeared to hys discyples, after that he was rysed agayne from deeth.
John.21.15	So when they had dyned, Iesus sayeth to Simon Peter: Symon Ioanna, louest thou me more then these? He sayd vnto him: ye Lord, thou knowest, that I loue the. He sayeth vnto him: fede my lambes.
John.21.16	He sayeth to him agayne the seconde tyme: Symon Ioanna, louest thou me? He saieth vnto him. Yee Lord, thou knowest that I loue the. He sayde vnto him: fede my shepe.
John.21.17	He sayde vnto him the thyrde tyme: Symon Ioanna, louest thou me? Peter was sory, because he sayde vnto hym the thyrde tyme: louest thou me, and he sayde vnto hym: Lord, thou knowest all thinges, thou knowest that I loue the, Iesus saieth vnto him: fede my shepe.
John.21.18	Uerely, verely, I saye vnto the: when thou wast yong, thou gerdedst thy selfe, and walkedst whither thou woldest: but when thou art olde, thou shalt stretche forth thy handes, Ꟶ another shall gyrde the, Ꟶ leade the whyther thou woldest not.
John.21.19	That spake he, sygnyfyinge, by what death he shuld glorifye God. And when he had spoken thys, he sayeth vnto him: folowe me.
John.21.20	Peter turned about, and sawe the disciple whom Iesus loued, folowynge (which also leaned on hys brest at supper, and sayde: Lord, which is he that betrayeth the?)
John.21.21	When Peter therfore sawe him, he sayeth to Iesus: Lord, what shall he here do?
John.21.22	Iesus sayeth vnto hym, If I wyll haue him to tary tyll I come, what is that to ther folowe thou me.
John.21.23	Then went thys sayinge abroade among the brethren, that the discyple shulde not dye. Yet Iesus sayde not to hym, he shall not dye: but yf I wyll that he tary tyll I come, what is that to the?
John.21.24	The same dyscyple is he, which testifieth of these thynges, and wrote these thynges. And we knowe, that hys testimony is true.
John.21.25	There are also many other thynges which Iesus dyd, the which yf they shulde be wrytten euery one, I suppose the worlde coulde not contayne the bokes that shulde be wrytten.
John.0.0	¶ Here endeth the Gospell of Sayncte Iohn.
