Isa.0.0	¶ The booke of the prophete Esay
Isa.49.7	Moreouer, thus sayth the Lorde the auenger and holy one of Israel: because of the abhorringe and despysinge amonge the Gentiles, concerning the seruaunt of all them that beare rule. Kynges and princes shall se, and aryse and worshyp, because of the Lord that is faythfull: Ꟶ because of the holy one of Israel, which hath chosen the.
Isa.49.8	And thus saith the Lorde: In the tyme accepted haue I heard the, and in the daye of saluacion haue I helped the. I will preserue the and make the to be the atonement of the people, that thou mayst helpe vp the earth agayne: Ꟶ possesse agayne the desolate herytages.
Isa.49.9	That thou mayest saye to the presoners: go forth, and to them that are in darcknesse: come into the lyght, they shall fede in the hye wayes, and get their pasture in all hye places.
Isa.49.10	They shall nether honger, ner thurst: heate nor sunne shall not hurte them. For he that fauoureth them, shall leade them, and geue them dryncke of the springe welles.
Isa.49.11	I wyll make wayes vpon all my mountaynes, and my fote pathes shalbe exalted.
Isa.49.12	And beholde, they shall come from far: lo, some from the north and west, some from the lande of Sinis, which is in the south.
Isa.49.13	Reioyse ye heauens: Ꟶ synge prayses, thou earth. Talke of ioye ye hylles, for God hath conforted hys people, and wyll haue mercye vpon his that be in trouble.
Isa.49.14	But Sion sayde: God hath forsaken, Ꟶ my Lorde hath forgotten me.
Isa.49.15	Wyll a wyfe forget the childe of her wombe, and not pitie the sonne whom she hath borne? And though, they do forget, yet will not I forget the.
Isa.49.16	Beholde, I haue written the vp vpon my handes, thy walles are euer in my syght.
Isa.49.17	They make hast to buylde the vp agayne. As for those that ouerthrowe the, and made the wast, they shall departe from the.
Isa.49.18	Lyft vp thyne eyes, and loke about the: all these gather them together, Ꟶ come to the. As truly as I lyue (sayth the Lord) thou shalt put them all vpon the, as an apparell, Ꟶ gyrde them to the as a bryd doth her iewels.
Isa.49.19	As for thy land that lyeth desolate wasted and destroyed: it shalbe to narowe for them that shall dwell in it. And they that wolde deuoure the, they shalbe farre awaye.
Isa.49.20	Then the childe whom the baren shall bringe forth vnto the, shall saye in thyne care: thys place is to narowe, gyue place that I maye haue rowme.
Isa.49.21	Then shalt thou thynke by thy selfe: Who hath begotten me these? seinge I am baren and alone, a captyue and an out cast? And who hath noryshed them vp for me? I am desolate and alone, but from whence come these?
Isa.49.22	And therfore thus sayth the Lorde God: Behold, I wyll stretch out myne hande to the Gentyls, and set vp my token to the people. They shall bring the thy sonnes in their lappes: and carye thy daughters vnto the vpon their shoulders.
Isa.49.23	For kinges shalbe thy nursyng fathers, and quenes shalbe thy nursing mothers. They shall fall before the wt theyr faces flatt vpon the earth: and lycke vp the dust of thy fete: that thou mayst knowe how that I am the Lorde. And who so putteth his trust in me, shall not be confounded.
Isa.49.24	Who spoyled the gyaunte of his praye? or who taketh the presoner from the mightye?
Isa.49.25	And therfore, thus sayeth the Lorde. The prisoners shalbe taken from the gyaunte, and the spoyle delyuered from the violente: for I wyll maynteyne thy cause agaynst thyne aduersaryes, and saue thy sonnes.
Isa.49.26	And wyll fede thyne enemyes with theyr awne fleshe, and make them drynke of their awne bloude, as of swete wyne. And all flessh shall knowe, O Iacob, that I am the Lorde thy sauiour, thy noble redemer.
Isa.50.1	Thus sayth the Lord: where is the byll of your mothers deuorcement, that I sent her awaye? or who is the vsurer, to whom I solde you? Beholde, for your awne offences are ye solde, Ꟶ because of youre transgression, is youre mother forsaken.
Isa.50.2	For why wolde no man receaue me, when I came? and when I called, no man gaue me answere. Is my hande shortened that it might not helpe? or haue I not power to deliuer? lo, at a worde I dryncke vp the see and of water floudes I make drye lande: so that for want of water, the fyshe corrupt and dye for thurst.
Isa.50.3	As for heauen, I clothe it with darcknesse, and put as it were a sack vpon it.
Isa.50.4	The Lorde God hath geuen me a well lerned tonge, so that I can confort them which are troubled: yee, and that in due ceason. He wakeneth myne eare vp by tymes in the mornynge: by tymes in the morninge, I saye, he will waken myne eare, that I myght herken as to the scole masters.
Isa.50.5	The Lord God hath opened myne eare, therfore can I nott saye, naye: ner withdrawe my selfe:
Isa.50.6	but I offre my backe vnto the smyters, Ꟶ my chekes to the nippers. I turne not my face from shame and spittyng,
Isa.50.7	Ꟶ the Lord God shall helpe me: therfore shall I not be confounded. I haue hardened my face like a flynt stone, for I am sure, that I shall not come to confusion.
Isa.50.8	He is at hand that iustifieth me, who will then go wt me to lawe? Let vs stande one against another: yf there be any that wyll reason with me, let hym come here forth to me.
Isa.50.9	Beholde, the Lorde God standeth by me, what is he then that can condempne me? lo, they shalbe all like as an olde clothe, the mothe shall eate them vp.
Isa.50.10	Therfore, whoso feareth the Lord among you, let him heare the voyce of his seruaunt, Whoso walketh in darcknesse, and no lyght shyneth vpon him, lett hym put hys trust in the name of the Lorde, and holde him by his God.
Isa.50.11	But take hede, ye all kyndle a fyre of the wrath of God, and stere vp the coales: walke on in the glistering of your awne fyre Ꟶ in the coales that ye haue kindled. This cometh vnto you fro my hande, namely that ye shall slepe in sorowe.
Isa.51.1	Herken vnto me, ye that holde of righteousnes, Ꟶ ye that seke the Lorde. Take hede vnto the stone, whereout ye are hewen, Ꟶ to the graue wherout ye are dygged.
Isa.51.2	Considre Abraham your father, Ꟶ Sara that bare you: howe that I called him alone, Ꟶ blessed hym, and encreased him
Isa.51.3	Therfore shall the Lorde comforte Syon, Ꟶ repayre all her decaye: making her deserte as a paradise, Ꟶ her wildernesse as the garden of the Lorde. Myrth and ioye shalbe founde there, thankesgeuing Ꟶ the voyce of prayse.
Isa.51.4	Haue respect vnto me then, O my people both hyghe Ꟶ lowe Ꟶ laye thyne eare to me: for a lawe Ꟶ an ordinaunce shall go forth fro me, to lyghten the Gentils.
Isa.51.5	It is hard by, that my health Ꟶ my righteousnes shall go forth, and the people shalbe ordred with myne arme. The ylandes, that is the Gentils, shall hope in me, and put their trust in myne arme.
Isa.51.6	Lift vp your eyes towarde heauen, and loke vpon the earth beneth. For the heauens shall vanyshe awaye lyke smoke, and the earth shall waxe olde lyke a cloth, Ꟶ they that dwell therin shall perysh in lyke maner. But my saluacion shall endure for euer, and my righteousnesse shall not cease.
Isa.51.7	Herken vnto me, ye that haue pleasure in righteousnes, thou people that bearest my lawe in thyne hert. Feare not the curse of men: be not afrayde of their blasphemyes and reuylinges:
Isa.51.8	for wormes Ꟶ mothes shall eate them vp lyke cloth Ꟶ woll. But my ryghteousnes shall endure for euer, Ꟶ my sauynge health from generacion to generacyon.
Isa.51.9	Wake vp, wake vp: and be stronge. O thou arme of the Lorde, wake vp, lyke as in tyme past, euer and sence the worlde beganne.
Isa.51.10	Art not thou the same arme, that hast wounded the proude Egypt, and hewen the Dragon in peces? Art not thou euen he, which hast dryed vp the depe of the see, which hast made playne the see grounde, that the delyuered myght goo thorow?
Isa.51.11	Therfore the redemed of the Lord shall turne agayne, Ꟶ come wyth ioye vnto Sion, there to endure for euer? That myrth Ꟶ gladnesse myght be with them: that sorowe and wo myght fle from them?
Isa.51.12	Yee I, I am euen he, that in all thynges geueth you consolacyon. What art thou then, that fearest a mortall man, the chylde of man, which goeth awaye as doeth the floure?
Isa.51.13	And forgettest the Lorde that made the, that spred out the heauenes, and layde the foundacion of the earth But thou art euer afrayde for the syght of thyne oppressoure, which is ready to do harme: Where is the wrath of the oppressoure?
Isa.51.14	The tyme commeth on faste when the presoner shall be losened, and he shall not dye in the dongeon nor yet be consumed by famyshement.
Isa.51.15	I am the Lorde thy God (that make the see to be styll, Ꟶ to rage:) whose name is the Lorde of Hoste
Isa.51.16	I haue put my wordes in thy mouth, Ꟶ haue defended the in the shadowe of my hande: that I maye plante the heauens, Ꟶ leye the foundacyon of the earth, and saye vnto Sion: thou art my people.
Isa.51.17	Awake, awake, and stande vp, O Ierusalem, thou that from the hande of the Lord, hast droncken out the cuppe of hys wrath: thou that hast supped of, and sucked out the dregges of his deadly cuppe to the botome.
Isa.51.18	For among all the sonnes whom he hath begotten, there is not one that maye holde it vp: Ꟶ not one to leade it by the hande, of all the sonnes that he hath noryshed.
Isa.51.19	Both these thynges are happened vnto the, but who is sory for it? Yee, destructyon, wastynge, hunger and swerde: but who wyll comforte the?
Isa.51.20	Thy sonnes lye comfortles at the heade of euery strete lyke a taken venyson, and are full of the terrible wrath of the Lorde, and punishment of thy God.
Isa.51.21	And therfore thou miserable and droncken (howbeit not wyth wyne) Heare this:
Isa.51.22	Thus sayeth thy Lorde: thy Lorde and God, the defender of hys people: Beholde, I wyll take the slombrynge cuppe out of thy hande, euen the cuppe wyth the dregges of my wrath: that from hence forth thou shalt neuer drinke it more,
Isa.51.23	but I wyll putt it into their hande that trouble the: whych haue spoken to thy soule: stoupe downe, that we maye go ouer the: Ꟶ thou laydest thy body euen wyth the grounde, and as the strete to go vpon.
Isa.52.1	Vp Sion vp, take thy strength vnto the: put on thyne honest rayment O Ierusalem, thou holy citie. For from thys tyme forth, there shall no vncircumcysed ner vncleane person come in the.
Isa.52.2	Shake the from the dust, aryse Ꟶ stande vp, O Ierusalem. Plucke out thy neck from the bonde: O thou captiue daughter Sion.
Isa.52.3	For thus sayeth the Lord: ye are solde for naught, therfore shall ye be redemed also without eny mony.
Isa.52.4	For thus sayeth the Lorde God: My people wente downe afore tyme into Egypte, there to be straungers, and the kynge of the Assyrians oppressed them wythout anye cause.
Isa.52.5	And nowe what profyt is it to me (sayth the Lorde) that my people is frely caryed awaye, and brought in to heuynes by their rulers, Ꟶ my name euer still blasphemed? sayeth the Lorde?
Isa.52.6	Therfore that my people maye knowe my name, therfore I say in that daye they shall knowe it, that I am he that do speake. I saye euen I.
Isa.52.7	O howe bewtifull are the fete of the Embassitoure, that bryngeth the message from the mountayne, Ꟶ proclameth peace: that bryngeth the good tydynges, and preacheth health, and sayeth vnto Sion: Thy God is the kynge.
Isa.52.8	Thy watchmen shall lyft vp theyr voyce: with lowde voyce shall they preach of hym: for they shall se hym present, when the Lorde shall conuerte Sion.
Isa.52.9	Be glad, with thankes gyuynge. O thou desolate Ierusalem, Ꟶ reioyce together for the Lorde hath comforted hys people, he hath delyuered Ierusalem.
Isa.52.10	The Lorde hath made bare hys holy arme, and shewed it forth in the syght of all the Gentiles, Ꟶ all the endes of the earth hath sene the sauinge health of our God.
Isa.52.11	Awaye, awaye, get you out from thence and touche no vncleane thynge. Go oute from amonge soche. And be cleane, that beare the vessell of the Lorde.
Isa.52.12	For ye shall not escape by rennynge ner by flyenge awaye: but the Lorde shall go before you, and the God of Israel shall gather you together.
Isa.52.13	Beholde, my seruaunt shall deale wysely, therfore shall he be magnified, exalted Ꟶ greatly honoured.
Isa.52.14	Lyke as the multitude shall wondre vpon hym, because hys face shalbe so deformed Ꟶ not as a mans face, hys bewtye lyke no man:
Isa.52.15	Euen so shall the multitude of the Gentyles loke vnto hym, Ꟶ kynges shall shut their mouthes before him. For they that haue not bene tolde of him, shall se hym, Ꟶ they that herde nothynge of hym, shall beholde him.
Isa.53.1	But who hath geuen credence vnto the thynge we haue hearde? Or to whom is the arme of the Lord knowne?
Isa.53.2	For he dyd growe before the Lord lyke as a braunche, Ꟶ as a rote in a drye grounde, he hath nether bewtye nor fauoure. When we shall loke vpon hym, there shalbe no fayrnesse: we shall haue no lust vnto him.
Isa.53.3	He is despised Ꟶ abhorred of men, he is soch a man as is full of sorowe Ꟶ as hath good experience of infirmyties. We haue rekoned hym so vyle, that we hyd oure faces from hym, ye he was despised Ꟶ therfore we regarded him not.
Isa.53.4	Howbeit he only hath taken on hym oure infyrmitie, Ꟶ borne our paynes. Yet we dyd iudge hym, as though he were plaged Ꟶ cast downe of God:
Isa.53.5	and punished where as he (not wythstandynge) was wounded for oure offences, and smytten for oure wyckednes. For the chastysement of oure peace was layde vpon him, and wyth hys strypes are we healed.
Isa.53.6	As for vs, we haue gone all astraye (like shepe) euery one hath turned his awne way. But the Lorde hath heaped together vpon him the iniquitie of vs all.
Isa.53.7	He suffred violence and was euell intreated, Ꟶ dyd not yet open his mouth. He shalbe led as a shepe to be slayne, yet shall he be as styll as a lambe before the shearer, and not open hys mouth.
Isa.53.8	He was had awaye from preson hys cause not herde, and wythout eny iudgement: Whose generacyon yet who maye nombre? he was cut of from the grounde of the lyuynge: Whych punyshment dyd go vpon hym, for the transgressyon of my people, whych in deade had deserued that punyshment,
Isa.53.9	Hys graue was geuen hym wyth the condemned, and wyth the ryche man at hys deeth. Where as he dyd neuer violence ner vnryght, nether hath there bene eny disceatfulnesse in hys mouth.
Isa.53.10	Yet hath it pleased the Lorde thus to bruste hym wyth plages, and to smyte hym wyth infyrmite, that when he had made his soule an offeryng for synne, he myght se longe lastynge sede. And thys deuyce of the Lorde shall prospere in hys hande.
Isa.53.11	With trauayle Ꟶ laboure of hys soule, shall he optayne frute, and he shall be satisfyed by the knowledge of hym whych is my ryghteous seruaunt he shall iustifye the multitude, for he shall beare awaye theyr synnes.
Isa.53.12	Therfore wyll I geue hym the multitude for hys parte, and he shall deuyde the spoyle wyth the strongest because he geueth ouer hys soule to death, and is rekened amonge the transgressours, whych neuertheles hath taken awaye the synnes of the multitude, and made intercessyon for the mysdoers.
Isa.54.1	Be glad now, thou baren that bearest not, reioyce, synge and be mery thou that art not wyth chylde: For the desolate hath moo chyldren, then the maryed wyfe, sayeth the Lorde.
Isa.54.2	Make thy tentes wyder, and sprede out the hangynges of thyne habitacion: spare not, laye forth thy coardes, and make fast thy stakes:
Isa.54.3	for thou shalt be multiplied on the ryght syde Ꟶ on the left, and thy sede shall haue the Gentyles in possessyon and dwell in the desolate cyties.
Isa.54.4	Feare not, for thou shalt not be confounded: Be not ashamed, for thou shalt not come to confusyon. Yee thou shalt forget the shame of thy youth, Ꟶ shalt not remembre the dishonoure of thy wedowhead.
Isa.54.5	For he that made the, shalbe thy Lord Ꟶ husbande (whose name is the Lorde of hostes) and thy redemer shalbe euen the holy one of Israel, the Lorde of the whole worlde.
Isa.54.6	For the Lord, hath called the, beynge as a desolate sorowfull woman, Ꟶ as a younge wyfe that hath broken her wedlocke: sayeth thy God.
Isa.54.7	A lytle whyle haue I forsaken the, but wt greate mercyfulnes shall I take the vp vnto me.
Isa.54.8	When I was angry, I hydde my face from the for a lytle season, but thorow euerlastinge mercye haue I pardoned the, sayth the Lord thyne auenger.
Isa.54.9	And this is vnto me as the water of Noe: for lyke as I haue sworne that I wyll not bringe the water of Noe eny more vpon the worlde: so haue I sworne that I wyll neuer be angry with the, ner reproue the:
Isa.54.10	The mountaynes shall remoue, and the hylles shall fall downe: but my louynge kyndnesse shall not moue, and the bonde of my peace shall not fall downe from the, sayeth the Lorde thy mercyfull louer.
Isa.54.11	Beholde thou pore, ouerwhelmed with tempest Ꟶ wythout comforte. I will make thy walles of precyous stones, Ꟶ thy foundacyon of Saphyres,
Isa.54.12	thy wyndowes of Chrystal, thy gates of fyne cleare stone, Ꟶ all thy borders of pleasaunt stones.
Isa.54.13	Thy children shall all be taught of God, Ꟶ I wyll geue them plenteousnes of peace.
Isa.54.14	In ryghteousnes shalt thou be grounded, Ꟶ be farre from oppressyon: for the whych thou nedest not be afrayed, nether for hynderaunce, for it shall not come nye the.
Isa.54.15	Beholde, the aleaunt that was farre from me, shall dwell with the: Ꟶ he that ioyneth batayle agenst the shall perishe.
Isa.54.16	Beholde, I make the smith that bloweth the coales in the fyre, Ꟶ he maketh a weapen after hys handy worcke. I make also the waster to destroye:
Isa.54.17	but all the weapens that are made agaynst the, shall not prospere. And as for all tunges, that shall resyste the in iudgement, thou shalt ouercome them, Ꟶ condemne them. Thys is the heritage of the Lordes seruauntes, and their ryghteousnes commeth of me, sayeth the Lorde.
Isa.55.1	Come to the waters all ye, that be thursty, and ye that haue no money. Come, bye, that ye maye haue to eate. Come, bye wyne and mylck, wythout any money, or money worth.
Isa.55.2	Wherfore do ye laye out youre money, for the thynge that fedeth not, Ꟶ spende youre laboure aboute the thynge that satisfyeth you not. But herken herken rather vnto me, Ꟶ ye shall eate of the best, and youre soule shall haue her pleasure in plenteousnes.
Isa.55.3	Enclyne your eares, and come vnto me, take hede (I saye) Ꟶ your soule shall lyue. For I will make an euerlastynge couenaunt wyth you, euen the sure mercyes of Dauid.
Isa.55.4	Beholde, I gaue him for a wytnesse among the folke, for a Prynce and captayne vnto the people.
Isa.55.5	Lo, thou shalt call an vnknowne people: Ꟶ a people that had not knowledge of the, shall runne vnto the: because of the Lord thy God, and the holy one of Israel, whych glorifyeth the.
Isa.55.6	Seke the Lorde, whyle he may be founde, and call vpon hym whyle he is nye.
Isa.55.7	Let the vngodly man forsake his owne wayes, Ꟶ the vnryghtuous hys owne ymagynacyons, and turne agayne vnto the Lorde: so shall he be mercyfull vnto hym: and to oure God, for he is very ready to forgeue.
Isa.55.8	For thus sayeth the Lorde: my thoughtes are not youre thoughtes, and youre wayes are not my wayes,
Isa.55.9	but as farre as the heauens are hyer then the earth, so farre do my wayes exceade yours, and my thoughtes yours.
Isa.55.10	And lyke as the rayne Ꟶ snowe commeth downe from heauen, and returneth not thyther agayne, but watereth the earth, maketh it frutefull and grene, that it maye geue corne vnto the sower, and breade to hym that eateth.
Isa.55.11	So the worde also that commeth out of my mouth shall not turne againe voyde vnto me, but shall accomplyshe my wyll and prospere in the thynge wherto I sende it.
Isa.55.12	And so shall ye goo forth wt ioye, Ꟶ be led wt peace. The mountaynes Ꟶ hylles shall synge wyth you for ioye, Ꟶ all the trees of the felde shall clappe theyr handes.
Isa.55.13	For thornes, there shall growe Fyrre trees, Ꟶ the Myrre tre in the steade of breers. And thys shall be done to the prayse of the Lorde, and for an euerlastynge token, that shall not be taken awaye.
Isa.56.1	Thus sayeth the Lorde. Kepe equite, and do ryght, for my sauyng health shall come shortly, Ꟶ my ryghteousnes shalbe opened.
Isa.56.2	Blessed is the man that doth thys, and the mans chylde whych kepeth the same. He that taketh hede, that he vnhalowe not the Sabboth (that is) he that kepeth hym selfe that he do no euel.
Isa.56.3	Then shall not the straunger, which cleaueth to the Lorde, saye: Alas, the Lorde hath shut me cleane out from hys people. Nether shall the gelded man saye: lo, I am a drye tre.
Isa.56.4	For thus sayeth the Lorde, vnto the gelded that kepeth my Sabboth: Namely, that holdeth greatly of the thynge that pleaseth me, and kepeth my couenaunt:
Isa.56.5	Unto them wyll I geue in my housholde and wythin my walles, a better herytage Ꟶ name, then yf they had bene called sonnes Ꟶ daughters. I will geue them an euerlastinge name, that shall not perish.
Isa.56.6	Agayne the straungers that stycke to the Lorde, to serue hym, and to loue hys name: and to be hys seruauntes. And all they, whych kepe them selues, that they vnhalowe not the Sabboth, namely, that they fulfyll my couenaunt:
Isa.56.7	Them wyll I brynge to my holy mountayne, and make them ioyfull in my house of prayer. Theyr burnt offrynges and sacrifyces shalbe accepted vpon myne aulter. For my house shalbe called an house of prayer for all people.
Isa.56.8	Thus sayeth the Lorde God whych gathereth together the scatred of Israel: I will brynge yet another congregacyon to hym.
Isa.56.9	Come all ye beastes of the felde, that ye may deuoure, all the beastes of the wodd.
Isa.56.10	For hys watchmen are all blynde, they haue all together no vnderstandynge, they are all domme dogges, not beynge able to barcke, they are slepy: slogysh are they, and lye snortynge:
Isa.56.11	they are shamelesse dogges, that be neuer satisfyed. The sheperdes also in lyke maner haue no vnderstandynge, but euery man turneth his awne waye, euery one after his awne couetousnes with all hys power.
Isa.56.12	Come (saye they) I wyll fetch wyne, so shall we fyll oure selues, that we maye be dronken. And do to morowe, lyke as to daye, yee and moche more.
Isa.57.1	The ryghteous perisheth, and no man regardeth it in hys hert, Good godly people are taken a waye, and no man consydreth it. Namely, that the ryghteous is conuayed awaye from the wycked.
Isa.57.2	He commethe into peace, Ꟶ godlye men rest in their chambres, and before the godly man goeth peace.
Isa.57.3	Come hyther therfore ye charmers children, ye sonnes of the aduoutrer and the whore:
Isa.57.4	Wherin take ye youre pleasure? Upon whom gape ye with your mouth, Ꟶ bleare out your tonge? Are ye not children of aduoutry, and a sede of dissimulacion?
Isa.57.5	Ye make youre fyre vnder the okes, and vnder all grene trees, and ye offre chyldren in the valleys, and dennes of stone.
Isa.57.6	Thy parte shalbe with the stony rockes by the riuer: Yee, euen these shall be thy parte. For there thou hast poured meat Ꟶ drincke offringe vnto them. Shulde I delite in that?
Isa.57.7	Thou hast made thy bed vpon hye mountaynes, thou wentest vp thyther, and there hast thou slayne sacrifices.
Isa.57.8	Behynde the dores and postes, hast thou sett vp thy remembraunce. When thou haddest dyscouered thy selfe to another then me, when thou wentest downe and made thy bed wyder, and wyth those Idols hast thou made a couenaunt, and louedest theyr couches, where thou sawest them.
Isa.57.9	Thou wentest streyght to kynges wyth oyle Ꟶ dyuerse oyntmentes (that is) thou hast sent thy messaungers farre of, Ꟶ yet art thou fallen into the pyt therby.
Isa.57.10	Thou art weery for the multitude of thyne awne wayes, yet saydest thou neuer: I wyll leaue of. Thou hast had the lyfe that thy handes wrought, Ꟶ therfore thou art carelesse.
Isa.57.11	For when wylt thou be abasshed or feare, seynge thou hast broken thy promyse, and remembrest not me, nether hast me in thyne hert? Thynkest thou, that I also wyll holde my peace (as afore tyme) that thou fearest me not?
Isa.57.12	Yee, verely I wyl declare thy goodnes and thy workes, but they shall not profyt the:
Isa.57.13	when thou cryest, let thy chosen heape deliuer the. But the wynde shall blowe them furth, and vanite shall take them all awey. Neuertheles, they that put their trust in me, shall inheret the lande, Ꟶ haue my holy hyll in possessyon.
Isa.57.14	And therfore thus he sayeth: Make playne, make playne, Ꟶ clense the strete, take vp the stomblynge blockes out of the waye that ledeth to my people.
Isa.57.15	For thus sayeth the hye Ꟶ excellent, euen he that dwelleth in euerlastyngnesse, whose name is the holy one: I dwell hye aboue and in the sanctuary, and wyth hym also, that is of a contrite and humble sprete do I dwell: that I maye heale a troubled mynde, and a contrite herte.
Isa.57.16	For I chyde not euer, Ꟶ am not wroth wyth out ende. But the blastyng goeth from me, and is included in the body, and I made the breath.
Isa.57.17	I am wroth wyth hym for his couetousnes, I smyte him, I hyde me, and am angrye, when he turneth him selfe, Ꟶ foloweth the by waye of his awne hert.
Isa.57.18	I haue seen his wayes and I heale hym I lede him and restore to hym comforte, and to those that were sory for him
Isa.57.19	I make the frutes of thankesgeuynge, that he maye saye. Peace peace vnto them that are farre of, and to them that are nye, sayth the Lorde, and I make hym whole.
Isa.57.20	But the wycked are lyke the ragynge see, that cannot rest, whose water fometh wyth the myre Ꟶ grauel.
Isa.57.21	Euen so the wycked haue no peace, sayeth God.
Isa.58.1	Crye nowe, as loude as thou canst. Leaue not of, lyft vp thy voyce lyke a trompet, Ꟶ shewe my people theyr offences, Ꟶ the house of Iacob their synnes.
Isa.58.2	For they seke me daylye, Ꟶ wyll knowe my wayes, euen as it were a people that dyd ryght, and had not forsaken the statutes of theyr God. They argue wyth me concernynge ryght iudgement, and will be nye vnto God.
Isa.58.3	Wherfore fast we (saye they) and thou seest it not? we put out lyues to straytenes, and thou regardest it not?
Isa.58.4	Beholde, when ye fast, youre lust remayneth styll: for ye do no lesse vyolence to your detters: lo, ye fast to stryfe and debate, Ꟶ to smyte with youre fyst without mercy. Now ye shall not fast thus that your voyce myght be hearde aboue.
Isa.58.5	Thyncke ye this fast pleaseth me, that a man shulde chasten him selfe for a daye, and to wrythe his head aboute lyke an hoope, Ꟶ to lye vpon the earth in an heary cloth? Shulde that be called fastynge, or a daye that pleaseth the Lorde?
Isa.58.6	Doth not this fastynge rather please me, that thou loose him out of bondage, that is in thy daunger: that thou breake the ooth of wycked bargaynes, that thou lett the oppressed go fre, and take from them all maner of burthens:
Isa.58.7	to deale thy bread to the hongry, Ꟶ bringe the poore wandringe, home into thy house, when thou seest the naked that thou couer him, and hyde not thy face from thy neyghboure.
Isa.58.8	Then shall thy lyght breake forth as the mornyng, Ꟶ thy health floryshe ryght shortly: thy righteousnesse shall go before the, and the glory of the Lorde shall embrace the.
Isa.58.9	Then yf thou callest, the Lorde shall answere the: yf thou cryest, he shall saye: here I am. Yee, yf thou layest awaye from the thy burthens, and holdest thy fingers, Ꟶ ceasest from blasphemous talkinge,
Isa.58.10	yf thou hast compassyon vpon the hongrye, Ꟶ refreshest the troubled soule: Then shall thy lyght sprynge out in the darcknesse, Ꟶ thy darcknesse shalbe as the noone day.
Isa.58.11	The lord shall euer be thy guyd, Ꟶ satisfie the desyre of thyne herte in the tyme of drougthe, Ꟶ fyll thy bones wt mary. Thou shalt be lyke a fresh waterd garden Ꟶ lyke the fountayne of water, that neuer leaueth runnynge.
Isa.58.12	Then the places that haue euer bene waste, shalbe builded of the: there shalt thou laye a foundacion for many kynredes. Thou shalt be called the maker vp of hedges, Ꟶ the buylder agayne of the waye of the Sabboth.
Isa.58.13	Yee, yf thou turne thy fete in the Sabbath, so that thou do not the thynge which pleaseth thy self in my holy daye: Ꟶ thou call the pleasaunt, holy, and glorious Sabbath of the Lorde, and that thou gyue him the hononoure: so that thou do not after thyne awne ymagination, nether seke thyne awne wyll, ner speake thyne awne wordes.
Isa.58.14	Then shalt thou haue thy pleasure in the Lord, and I wyll carye the hye aboue the earth, and fede the wyth the herytage of Iacob thy father: for the Lordes awne mouth hath so promysed.
Isa.59.1	Beholde the Lordes hande is not so shortened that it can not helpe, nether is his eare so stopped that it maye not heare.
Isa.59.2	But youre mysdedes haue separated you from youre God, Ꟶ your synnes hyde his face from you, that he heareth you not.
Isa.59.3	For youre handes are defyled wyth bloude, Ꟶ youre fyngers wt vnrighteousnesse: Your lyppes speake lesynges, and youre tonge setteth oute wyckednes.
Isa.59.4	No man regardeth ryghteousnes, and no man iudgeth truly. Euery man hopeth in vayne thynges, and ymagineth disceate conceaueth weerynesse, and bryngeth forth euell.
Isa.59.5	They brede cockatrice egges, and weaue the spyders webb: Who so eateth of their egges, dyeth. But yf one treade vpon them, there commeth vp a serpent.
Isa.59.6	Theyr webbe maketh no clothe, and they maye not couer them wyth their labours. Their dedes are the dedes of wyckednes, and the worcke of robbery is in their handes.
Isa.59.7	Theyr fete runne to euell, and they make haste to shed innocent bloude. Theyr councels are wicked councels, harme and destruccyon are in their wayes.
Isa.59.8	But the waye of peace they knowe not. In theyr goinges is no equyte: their wayes are so croked, that whosoeuer goeth theryn, knoweth of no peace.
Isa.59.9	And this is the cause that equite is so farre from vs, and that righteousnes commeth not nye vs. We loke for lyght, lo, it is darckenesse: for the mornynge shyne, se, we walcke in the darcke.
Isa.59.10	We grope lyke the blynde vpon the wall, we grope euen as one that hath none eyes. We stomble at the none daye, as though it were toward nyght: in the fallyng places, lyke men that are halfe deed.
Isa.59.11	We roare all lyke Beers, and mourne styll lyke doues. We loke for equyte, but there is none: for health, but it is farre from vs.
Isa.59.12	For oure offences are many before the, Ꟶ oure synnes testifye agaynst vs. Yee, we must confesse that we offende, Ꟶ knowledge that we do amysse:
Isa.59.13	Namely, transgresse Ꟶ dissemble agaynst the Lorde, and fall awaye from oure God: vsynge presumptuous and traytorous ymaginacyons, and castinge false matters in oure hertes.
Isa.59.14	And therfore is equite gone asyde, and ryghteousnes standeth farre of treuth is fallen downe in the strete, and the thynge that is playne and open, maye not be shewed.
Isa.59.15	Yee, the treuth is taken awaye, and he that refrayneth him selfe from euell, must be spoyled. When the Lord sawe thys, it displeased him sore, that there was no equite.
Isa.59.16	He sawe also, that there was no man, ryghtwise, Ꟶ he wondered that ther was no man to helpe hym. Wherfore he helde hym by his awne power, and he sustayned him by his awne righteousnes.
Isa.59.17	He put ryghteousnes vpon him for a brest plate, a set the helmet of health vpon hys head. He put on wrath in steade of clothynge, Ꟶ toke gelousy about hym for a cloke:
Isa.59.18	(lyke as when a man goeth forth wrathfully to recompence hys enemyes, Ꟶ to be auenged of hys aduersaryes.) Namelye, that be myght recompence Ꟶ rewarde the Ilandes,
Isa.59.19	wher thorowe the name of the Lorde myght be feared, from the rysynge of the Sunne: and hys magesty, vnto the goinge downe of the same. For he shall come as a violent waterstreame, whych the wynde of the Lorde hath moued.
