Jer.0.0	¶ The boke of the prophete Ieremye.
Jer.40.13	Moreouer, Iohanan the sonne of Careah and all the captaynes of the Hoste, that were scatred on euery syde in the lande, cam to Godoliah in Mizpa, Ꟶ sayde vnto him.
Jer.40.14	knowest thou not that Baalis kynge of the Ammonites hath sent Ismael the sonne of Nathaniah, to slaye the? But Godoliah the sonne of Ahicam beleued them not.
Jer.40.15	Then sayde Iohanan the sonne of Careah vnto Godoliah in Mizpa these wordes secretly: Let me go, I praye the, and I will slaye Ismael the sonne of Nathaniah, so that no body shall knowe it. Wherfore will he kyll the, that all the Iewes which resorte vnto the, might be scatred and the remnaunt in Iuda peryshe.
Jer.40.16	And Godoliah the sonne of Ahikam sayde to Iohanan the sonne of Careah. Thou shalt not do it, for they are but lyes, that thou sayest, of Ismael.
Jer.41.1	But in the seuenth Moneth it happened, the Ismael the sonne of Nathaniah the sonne of Elisama (one of the kynges bloude) came with them that were greatest aboute the kynge, Ꟶ ten men that were sworne with him: vnto Godoliah the sonne of Ahicam to Mizpa, Ꟶ they dyd eate together.
Jer.41.2	And Ismael the sonne of Nathaniah with those ten men that were sworne to him, starte vp, and smote Godoliah the sonne of Ahicam the sonne of Saphan with the swearde, and slewe him, whom the kynge of Babylon had made gouernoure of the lande.
Jer.41.3	Ismael also slewe all the Iewes that were with Godoliah at Mizpa, and all the Caldees that he founde there waytynge vpon hym and those that were able to fyght they slewe with hym.
Jer.41.4	The nexte daye after that he had slayne Godoliah (the matter was yet vnknowne)
Jer.41.5	Ꟶ there came certayne men from Sichem, from Siloh and Samaria, to the nombre of .lxxx. which had shauen theyr beardes, rent theyr clothes, and were all heuye, bringynge meatoffringes, Ꟶ incense in their handes to offre it in the house of the Lorde.
Jer.41.6	And Ismael the sonne of Nathaniah went forth of Mizpa wepinge, to mete them. Nowe when he met them, he sayde: Go youre waye to Godoliah the sonne of Ahicam.
Jer.41.7	And when they came in the myddest of the cytie, Ismael the sonne of Nathaniah (wt them that were sworne vnto him) slewe them, euen at the myddest of the pyt.
Jer.41.8	Amonge these .lxxx. men there were ten, that sayde vnto Ismael: Oh slaye vs not, for we haue yet a great treasure in the felde, of wheate barley, oyle and hony. So he spared them, Ꟶ slewe them not with theyr brethren.
Jer.41.9	Nowe the pyt wherin Ismael dyd cast the deed bodies of the men (whom he slewe because of Godoliah) had kynge Asa caused to be made, for feare of Baasa the kyng of Israel, and the same pyt dyd Ismael fyll with slayne men
Jer.41.10	As for the remnaunt of the people, the kynges daughters and all the people that were yet left at Mizpa, vpon whom Nabusaradan the chefe Captayne had made Godoliah the sonne of Ahicam gouernoure: Ismael the sonne of Nathaniah caryed them awaye presoners towarde the Ammonites.
Jer.41.11	But when Iohanan the sonne of Careah Ꟶ all they which had bene captaynes ouer the kynges Hoste with hym, herde of all the wyckednes that Ismael the sonne of Nathaniah had done:
Jer.41.12	they toke theyr companions, Ꟶ went out for to fyght wt Ismael the sonne of Nathaniah, and founde him by the greate waters that are in Gibeon.
Jer.41.13	Nowe when all the people, whom Ismael led captiue, sawe Iohanan the sonne of Careah and all the other Captaines of the Hoste, they were glad.
Jer.41.14	So all the people that Ismael had caryed awaye from Mizpa, were brought agayne. And when they returned, they came to Iohanan the sonne of Careah.
Jer.41.15	But Ismael the sonne of Nathaniah fled from Iohanan with eyght of hys sworne companyons, Ꟶ wente to the Ammonites.
Jer.41.16	Then Iohanan the sonne of Careah and all the captaynes of the Hoste that were with him, toke all the remnaunt of the people, whom Ismael the sonne of Nathaniah had led a waye. (When he had slayne Godoliah the sonne of Ahicam) whom they also had rescued from hym: fyghtinge men, wemen Ꟶ chyldren, Ꟶ gelded men, whom they brought agayne from Gibeon:
Jer.41.17	and wente from thence, Ꟶ sat them downe at Geruth Camaam, whiche lyeth besyde Bethlehem that they myght go into Egypte for feare of the Caldees:
Jer.41.18	of whome they were afrayed, because that Ismael the sonne of Nathaniah had slayne Godoliah Ahikams sonne whom the kynge of Babylon had made gouernoure in the lande.
Jer.42.1	So all the captaynes, Ꟶ Iohanan the sonne of Kareah, Iezaniah the sonne of Osayah came with all the people from the leest vnto the most,
Jer.42.2	and sayde vnto Ieremy the prophete. O heare oure peticion, that thou mayest praye for vs vnto the Lorde thy God, namely, for all the remnaunt, wherof there be very fewe of vs left of many, as thou seest vs:
Jer.42.3	that the Lorde, thy God may shew vs a waye to go in, Ꟶ tell vs, what we shulde do.
Jer.42.4	Then Ieremy the prophet sayde vnto them: I haue herde you. Behold I will praye vnto God youre Lorde as ye haue requyred me: and loke what answere the Lord geueth you, I shall certifye you therof, and kepe nothynge back from you.
Jer.42.5	And they sayde vnto Ieremy. The Lord of trueth Ꟶ faithfulnes be oure recorde, that we wyll do all that the Lorde thy God commaundeth vs,
Jer.42.6	whether it be good or euell. We wyll herken vnto the voyce of oure Lorde God to whom we sende the, that we maye prospere, when we haue folowed the voyce of the Lorde oure God.
Jer.42.7	And after ten dayes came the worde of Lorde vnto Ieremy.
Jer.42.8	Then called he Iohanan the sonne of Kareah, Ꟶ all the captaynes of the people that were with him: yee, and all the people from the leest to the moost,
Jer.42.9	and sayde vnto them: Thus sayeth the Lorde God of Israel vnto whom ye sent me, to laye forth your prayers before him:
Jer.42.10	If ye wyll dwell in this lande, I shall buylde you vp, and not breake you downe: I shall plante you, and not rote you out: for I repent, as concernynge the trouble that I haue done to you.
Jer.42.11	Feare not the kynge of Babylon, of whom ye stand in awe, O, be not afrayed of him, sayeth the Lorde: for I wyll be wt you, to helpe you, and delyuer you from his hande.
Jer.42.12	I wyll pardon you, I wyll haue mercy vpon you, and cause him to pytie you, Ꟶ bringe you agayne into youre awne lande.
Jer.42.13	Neuertheles, yf ye purpose not to dwell in this lande, ner to folowe the voyce of the Lorde youre God:
Jer.42.14	but wyll saye thus, we will not dwell here, but go into Egypt: where we shal nether se warre, heare the noyse of the trompe, ner suffre honger, there wyll we dwell.
Jer.42.15	Wherfore, heare nowe the worde of the Lord, O ye remnaunt of Iuda. Thus sayeth the Lorde of hoostes the God of Israel: If ye be wholy purposed to go into Egypte, Ꟶ ye entre ther to dwell as straungers:
Jer.42.16	the swearde that ye feared shall ouer take you in Egypte and the honger wherof ye be here afrayed shall hange vpon you Ꟶ folowe you into Egypte, and there ye shall dye.
Jer.42.17	And all they, that of sett purpose vndertake to go into Egipte to soiourne there, shall perysh with the swearde, with honger and pestilence: not one of them shall remayne, there shall none escape the plage, that I wyll brynge vpon them.
Jer.42.18	For thus sayeth the Lorde of hoostes the God of Israel: lyke as my wrath and indygnacyon is moued agaynst the inhabitatours of Ierusalem, so shall my displeasure be kyndled agaynst you also, yf ye go into Egypte: Ꟶ there ye shalbe reuyled, abhorred, brought to shame and confusyon: and as for thys place, ye shall neuer se it more.
Jer.42.19	The Lorde forbyddeth you, O ye remnaunt of Iuda, that ye shall not go into Egypte. And forget not that I haue warned you earnestly this daye,
Jer.42.20	for ye haue dissembled wt me. For ye sent me vnto the Lorde youre God, and sayde: O praye thou the Lord oure God for vs: and loke what answere the Lorde oure God geueth the, that bryng vs agayne, and we shall do therafter.
Jer.42.21	Nowe haue I shewed, and declared vnto you, but you haue not obeyed the voyce of the Lord youre God, for the whych cause he hath sent me to you.
Jer.42.22	Nowe therfore, If ye wyll not folowe it, be sure, that ye shall perishe with the swearde, with honger and pestilence: euen in the same place, where youre lust is to go, and dwell.
Jer.43.1	Nowe when Ieremy had ended all the wordes of the Lord his God vnto the people which to declare the Lorde theyr God had sent hym to them, (euen all thes wordes I saye)
Jer.43.2	Azariah the sonne of Osaiah, and Iohanan the sonne of Kareah with all the stubborne personnes, sayde vnto Ieremy: Thou lyest; the Lorde oure God hath not sent the to speake vnto vs, that we shulde not go into Egypte, and dwell there:
Jer.43.3	But Baruch the sonne of Neriah prouoketh the agaynst vs, that he myght brynge vs into the captiuyte of the Caldees: that they might slaye vs, and carye vs awaye presoners vnto Babylon.
Jer.43.4	So Iohanan the sonne of Kareah, and all the captaynes of the hooste, and all the people folowed not the commaundement of the Lorde: Namely, to dwell in the lande of Iuda.
Jer.43.5	But Iohanan the sonne of Kareah, and all the captaynes of the hooste, caried awaye all the remnaunt in Iuda, that were come together agayne from all the Heythen (among whom they had bene scatred) to dwell in the lande of Iuda:
Jer.43.6	Men, wemen, chyldren, the kynges daughters, all those that Nabuzaradan the chefe captayne had lefte with Godoliah the sonne of Ahikam, the sonne of Saphan. They caryed awaye also the prophete Ieremy, Baruch the sonne of Neriah,
Jer.43.7	and so came into Egypte: for they were not obedyent, vnto the commaundement of God. Thus came they to Taphnis.
Jer.43.8	And in Taphnis the worde of the Lorde happened vnto Ieremy, saying:
Jer.43.9	Take great stones in thyne hande, and hyde them in the bryck wall, vnder the dore of Pharaos house in Taphnis, that all the men of Iuda maye se,
Jer.43.10	and saye vnto them: Thus sayth the Lorde of hoostes the God of Israel. Beholde, I wyll sende and call for Nabuchodonosor the kynge of Babylon my seruaunt, and wyll sett his seate vpon these stones that I haue hyd, and he shall sprede his tente ouer them.
Jer.43.11	And when he commeth, he shall smyte the lande of Egypte, some with slaughter, some with presonment, and some with the swearde.
Jer.43.12	He shall set fyre vpon the temples of the Egypcians goddes, and burne them vp, Ꟶ take them selues presoners. Moreouer, he shall araye him selfe with the lande of Egypte, lyke as a shepherde putteth on hys cote, and shall departe his waye from thence in peace.
Jer.43.13	The pylers also of the temple of the Sunne that is in Egypte: shall he breake in peces, and burne the tempels of the Egypcians goddes.
Jer.44.1	This is the worde that was shewed to Ieremy, concernyng all the Iewes: which dwelt in Egypte: at Migdol, at Taphnis, at Noph, Ꟶ in the lande of Patures.
Jer.44.2	Thus sayethe the Lorde of hostes, the God of Israel: Ye haue sene all the misery, that I haue brought vpon Ierusalem, and vpon the cityes of Iuda: so that thys daye they are desolate, and no man dwellynge therin:
Jer.44.3	and that because of the greate blasphemies which they committed, to prouoke me vnto anger. In that they went backe to do sacrifyce and worship vnto straunge goddes: whom nether ye, ner youre fathers haue knowne.
Jer.44.4	Howebeit, I sent vnto them my seruauntes all the prophetes. I rose vp early, I sent vnto them, and gaue them warnyng. O do no soche abhominable thynges, Ꟶ thynges that I hate.
Jer.44.5	But they wolde not folowe ner herken, to turne from their wickednes, Ꟶ to do nomore sacrifyces vnto straunge goddes.
Jer.44.6	Wherfore myne indignation and wrath was kyndled, and it brente vp the cytyes of Iuda, the feldes with the stretes of Ierusalem, so that they were made waste and desolate, as it is come to passe thys daye.
Jer.44.7	Nowe therfore, thus sayth the Lorde of hoostes, the God of Israel: Howe happeneth it, that ye do so greate euyll vnto youre awne soules: thus to destroye the men and wemen, chyldren and babes of Iuda? so that none of you is lefte,
Jer.44.8	because ye prouoke me vnto wrathe with the worckes of youre awne handes: when ye offer vnto straunge goddes in the lande of Egipt, where as ye be gone to dwell. That ye myght vtterly peryshe, and that ye myght be reuyled and shamefully intreated of all natyons.
Jer.44.9	Or haue ye nowe forgotten the wickednes of your forefathers, the wickednes of the kinges of Iuda and their wyues, the wyckednes that ye youre selues and youre wyues haue done in the lande of Iuda, in the cytie and in the lande of Ierusalem.
Jer.44.10	Yet are ye not sory vnto this daye, ye feare not, nether walke ye in my lawe and in my commaundementes, that I haue geuen vnto you and youre forefathers.
Jer.44.11	Therfore thus sayeth the Lorde of hoostes, the God of Israel: I am stedfastly aduised and determyned to punysshe you, Ꟶ to rote out all Iuda.
Jer.44.12	As for the remnaunt of Iuda, that purposly wente into Egipt, ther to dwell, I wyll take them, and they shall all be destroyed. In the lande of Egypt shall they perysshe, beynge consumed with the swearde and with honger. For from the leest vnto the moost, they shall perysshe with the swearde and with honger. Moreouer, they shalbe reuyled, abhorred, shamed, and confounded.
Jer.44.13	For I wyll viset them that dwell in Egypte, as I haue visyted Ierusalem, with the swearde, with honger and with pestilence.
Jer.44.14	So that none of the remnaunt of Iuda, which are gone to dwell in Egipte, shall be left to come agayne into the lande of Iuda all though they thynke to come thyther agayne, and to dwell there. For none shall come agayne, but soch as are fledd awaye.
Jer.44.15	Then all the men which knewe that their wyues had offred vnto straunge goddes, and a greate sorte of wyues that stode there, yee, and all the people that dwelt there in Egipt in the cytie of Patures, answerde Ieremye, and sayde:
Jer.44.16	As for the wordes that thou hast spoken vnto vs, in the name of the Lorde, we wyll in no wyse heare them:
Jer.44.17	but whatsoeuer goeth out of oure awne mouthe, that we wyll do. We wyll do sacrifyce and offer oblatyons vnto the quene of heauen, lyke as we and our forefathers, oure kynges and oure heades haue done in the cytie of Iuda, and in the stretes and feldes of Ierusalem. For then had we plenteousnes of vitayles, then were we in prosperyte, and no mysfortune came vpon vs.
Jer.44.18	But sens we left to burne incense, and to do sacrifyce vnto the quene of heauen, we haue had scarcenesse of all thynges, and perisshe with the swearde and honger.
Jer.44.19	Last of all, when we wemen dyd sacrifyce and offered vnto the quene of heauen, dyd we make her cakes and poure vnto her drinckofferinges, euen to that ymage dyd we sacrifyce and seruice, without oure husbandes wylles?
Jer.44.20	Then sayde Ieremy vnto all the people, to the men, to the wemen, and to all the folke, which had geuen him that answere:
Jer.44.21	Dyd not the Lorde remember the sacrifyces that ye, youre forefathers, youre kynges and rulers, with all the people, haue offered in the cyties of Iuda, in the stretes and lande of Ierusalem? and hath he not consydered thys in his mynde?
Jer.44.22	In somoch that the Lorde might no longer suffer the wyckednes of youre inuencyons, and the abhomynable thynges, which ye dyd? Is not youre lande desolate and voyde: yee, abhorred and accursed, so that no man dwelleth therein eny more, as it is come to passe thys daye?
Jer.44.23	Dyd not all thys happen vnto you, because ye made soch sacrifyces to ydols, and synned agaynst the Lorde. Ye haue not folowed hys voyce, to walke in hys lawe, in his ordynaunces and statutes. Yee, this is the cause, that all misfortune happened vnto you, as it is come to passe this daye.
Jer.44.24	Moreouer, Ieremy spake vnto all the people and to all the wemen. Heare the worde of the Lorde all Iuda, ye that be in the lande of Egipt.
Jer.44.25	Thus sayth the Lord of hoostes the God of Israel. Ye and your wyues haue spoken with youre awne mouth, the thinge that ye haue fulfylled in dede. Yee, thus haue ye sayde: We wyll nott fayle, but perfourme the vowes that we haue vowed, we will do sacrifyce Ꟶ powre out drinckofferinges to the quene of heauen. Purposly wyll ye set vp your awne meanynges and perfourme your vowes.
Jer.44.26	And therfore, heare the wordes of the Lorde, all Iuda, ye that dwell in the lande of Egipte. Beholde, I haue sworne by my greate name, sayth the Lorde: that my name shall not be rehearsed thorowe eny mans mouthe of Iuda, in all the lande of Egipte, to saye: The Lorde God lyueth,
Jer.44.27	for I wyll watche, to plage them, and not for theyr wealthe. And all the men of Iuda that be in the lande of Egypte shall peryshe with the swearde, and with honger, vntyll they be vtterly destroyed.
Jer.44.28	Neuertheles, those that fledd awaye for the swearde, shall come agayne into the lande of Iuda: but there shall be very feawe of them. And all the remnaunt of Iuda, that are gone into Egypte, there to dwell, shall knowe whose wordes shall be founde true: theyrs or myne.
Jer.44.29	Take thys for a token that I wyll viset you in this place, sayth the Lord: and that ye maye knowe that I (without doubte) will perfourme my purpose vpon you to punyshe you.
Jer.44.30	Beholde, sayth the Lorde, I wyll delyuer Pharao Hophrea kynge of Egipte into the handes of his enemyes that seke after his lyfe: euen as I gaue zedekias the king of Iuda, into the handes of Nabuchodonosor kynge of Babilon hys enemye which sought after his lyfe.
Jer.45.1	These are the wordes that Ieremye the prophete spake vnto Baruch the sonne of Neriah. after that he had wrytten these sermons in a boke at the mouth of Ieremy: In the fourth yeare of Iehoakim the sonne of Iosias kynge of Iuda, sayinge.
Jer.45.2	Thus sayth the Lorde God of Israel vnto the, O Baruch.
Jer.45.3	In somoche as thou thoughtest thus, when thou wast writtyng, Wo is me, the Lorde hath geuen me sorowe vpon sorowe. I haue weryed my selfe with syghing, and haue founde no rest.
Jer.45.4	Therfore tell hym, O Ieremye, that the Lorde sayth thus: Beholde, the thing that I haue buylded, wyll I breake downe agayne and rote out the thinge that I haue planted: yee, this whole lande.
Jer.45.5	And sekest thou yet promotion? Loke not for it, and desyre it not. For I wyll brynge a miserable plage vpon all fleshe, sayeth the Lorde. But thy lyfe wyll I geue the for a praye in all places, wheresoeuer thou goest.
Jer.46.1	Here folowe the wordes of the Lorde to the prophete Ieremye, which he spake agaynst all the Gentyles.
Jer.46.2	These wordes folowing preached he to the Egipcyans concerninge the hoost of Pharao Necho kynge of Egypte: when he was in Charcamis, besyde the water of Euphrates: what tyme as Nabuchodonosor the king of Babilon slewe him, in the fourth yeare of Iehoakim the sonne of Iosias king of Iuda.
Jer.46.3	Make ready buckler and shylde, and go forth to fyght:
Jer.46.4	harnes your horses, and sett your selues vpon them: set your salettes fast on, bring forth speares, scoure youre sweardes, and put on your breste plates.
Jer.46.5	But alas, howe happeneth it, that I se you so afrayde? why shryncke ye backe? Theyr worthyes are slayne. Yee, they runne so fast awaye, that none of them looketh behynde him. Fearfulnes is fallen vpon euerychone of them, sayth the Lorde.
Jer.46.6	The lightest of fote shall not fle awaye, and the worthies shal not escape. Towarde the north by the water of Euphrates, they dyd stomble and fall.
Jer.46.7	But what is he this, that swelleth vp, as it were a floude, roaringe and ragynge lyke the streames of water?
Jer.46.8	It is Egipte that ryseth vp lyke the floude, and casteth out the waters with so greate noyse. And he sayde: I will go, and wyll couer the earth, I will destroye the citye with them that are therin.
Jer.46.9	Gett you vp ye horses, rolle forth ye charettes, come forth worthies: ye Morians, ye Libeans with youre bucklers, ye Lideans with your bowes.
Jer.46.10	This daye of the Lorde God of hostes, is a daye of vengeaunce, that he maye auenge hym of hys enemyes. The swearde shall deuoure, it shalbe satisfyed, and bathed in theyr bloude. For the Lorde God of hostes shall haue a slayne offering towarde the north, by the water of Euphrates.
Jer.46.11	Go vp, O Gilead, and brynge triacle vnto the daughter of Egypt. But in vayne shalt thou go to surgery: for thy wounde shall not be stopped.
Jer.46.12	The Heythen haue hearde of thy shame, and the lande is full of thy confusion: for one stronge man dyd stomble vpon another, and they are fallen both together.
Jer.46.13	These are the wordes that the Lorde spake to the prophete Ieremy concerning the comming of Nabuchodonosor the kinge of Babilon, which was sent to destroye the lande of Egipt.
Jer.46.14	Preach out thorowe the lande of Egipt: Ꟶ cause it to be proclamed at Migdol, Noph and Taphnis, and saye: Stande styll, make the ready, for the swearde shall consume the rounde aboute.
Jer.46.15	Howe happeneth, it that thy mightye worthies are fallen? why stode they not fast? Euen because the Lord thrust them downe.
Jer.46.16	The slaughter was greate, for one fell euer still vpon another. One cryed vpon another. Up, let vs go agayne to oure awne people, and to oure awne naturall contrey from the cruell swearde.
Jer.46.17	They dyd crye euen there, O Pharao kyng of Egipt thou trobulous king: the tyme wil bring sedityon.
Jer.46.18	As truly as I lyue, sayth the king, whose name is the Lorde of hostes, it shall come as the mount of Thabor, and as Libanus yf it stode in the see.
Jer.46.19	O thou daughter of Egipte make ready thy geer to flyt. For Noph shalbe voyde and desolate, so that no man shall dwell therin.
Jer.46.20	The lande of Egipt is lyke a goodly fayre calfe: but destruccyon shall come out of the north I saye it commeth.
Jer.46.21	Her waged soudyers that ben with her, are like fat calues. They also shall fle awaye together, and not abyde: for the daye of theyr slaughter, and the tyme of their visytation shall come vpon them.
Jer.46.22	The crye of them shall make a noyse, as the blast of a trompete. For they shall enter in with their hostes, and come with axes, as it were hewers downe of wodde.
Jer.46.23	And they shall cut downe her wodde, sayth the Lorde. They shalbe innumerable: for they shalbe mo in nomber then the greshoppers, so that no man shalbe able to tell them.
Jer.46.24	The daughter of Egipte is confounded, and deliuered into the handes of the people of the north.
Jer.46.25	Thus sayth the Lorde of hostes the God of Israel. Beholde, I wyll viset that restles people of Alexandria, Pharao and Egypte: yee, bothe theyr goddes and theyr kynges: euen Pharao, and all them that putt theyr trust in hym.
Jer.46.26	Yee, I wyll delyuer them into the handes of those, that seke after theyr lyues. Namely into the power of Nabuchodonosor the kyng of Babilon, and into the power of hys seruauntes. And after all these thynges it shalbe inhabyted as afore tyme, sayth the Lorde.
Jer.46.27	But be not thou afrayed (O my seruaunt Iacob) feare not thou, O Israel. For lo, I wyll helpe the from farre, and thy seede from the lande of theyr captiuite. Iacob also shall come agayne, and be in rest: he shall prospere and no man shall do him harme.
Jer.46.28	Feare thou not (O Iacob my seruaunt) sayth the Lord, for I am with the: and wyll destroye all nacyons, amonge whom I haue scatered the. Neuerthelesse, I wyll not consume the: but chasten the and correcte the: yee, and that wt discrecyon: nether will I spare the as one that were fautlesse.
Jer.47.1	These are the wordes, that the Lord spake vnto Ieremye the prophete, agaynst the Philistines, before that Pharao smote the citye of Azah.
Jer.47.2	Thus sayth the Lorde: Beholde, there shall waters aryse out of the north: Ꟶ shall growe to a greate floude, runnynge ouer and couerynge the lande, the cyties, and them that dwell therin. And the men shall crye, and all they that dwell in the lande, shall mourn
Jer.47.3	at the noyse and stampinge of theyr stronge barbed horses, at the shakyng of theyr charettes and at the romblynge of the wheles. The fathers shall not loke to their chyldren, so feable and wery shall their handes be:
Jer.47.4	at the same tyme when he shall be there, to destroye the whole lande of the Philistines. He shall make waste both Tirus, Sidon, and all other that are sworne vnto them. For the Lorde wyll destroye the Philistines, the remnaunt of the yle of Caphto
Jer.47.5	Baldenesse is come vpon Azah, Ascalon with her other valleys shall kepe her peace. Howe longe wilt thou slaye,
Jer.47.6	O thou swearde of the Lorde? Whan wylt thou ceasse? Turne agayne into thy swete reste, and leaue of.
Jer.47.7	But howe can it cease, when the Lorde hym selfe hath geuen him a charge agaynste Ascalon, and raysed it vp agaynst the cityes of the see coast?
Jer.48.1	Thus sayeth the Lorde of hoostes the God of Israel agaynst Moab: wo be to the cytie of Nebo: for it is layed wast, brought to confusion: and Kariathiarim taken, Misgab is brought to shame and afrayed:
Jer.48.2	Moab can boast nomore of Hesebon: for they haue deuysed against it. Come, shall they saye, let vs rote them out, that they maye be nomore amonge the nomber of the Gentiles, and that thou Madmen maye nomore be thought vpon: and the swearde shall persecute the.
Jer.48.3	A voyce shall crye from Horanaim: With greate wastynge and destruccyon
Jer.48.4	is Moab made desolate. Chyldren coulde tell of the crye therof.
Jer.48.5	For at the goynge vp vnto Luyth, he arose with lamentation and mournynge, and downe towarde Horonaim, they heard a cruell and a deedly crye.
Jer.48.6	Get you awaye, saue your lyues, and be lyke vnto the heeth in the wildernesse.
Jer.48.7	For because thou hast trusted in thine owne workes and treasure, thou shalt be taken. Chamos with his prestes and princes shall go awaye into captiuyte.
Jer.48.8	The destroyer shall come vpon all cyties none shall escape. The valleys shalbe destroyed, and the feldes shalbe layed waste, lyke as the Lorde hath spoken.
Jer.48.9	Geue wynges vnto Moab, that she get her awaye spedely: for her cyties shalbe made so desolate, that no man shall dwell therin.
Jer.48.10	Cursed be he that doth the worcke of the Lorde negligently, and cursed be he that kepeth backe his swearde from sheddynge of bloude.
Jer.48.11	Moab hath euer bene ryche and carelesse from her youth vp, she hath sytten and taken her ease with her treasure. She was neuer yet put out of one vessell into another (that is) she neuer wente awaye into captiuyte, therfore her taste remayneth, and her sauour is not yet chaunged.
Jer.48.12	But lo, the tyme commeth, sayth the Lord, that I shall sende her trussers to trusse her vp: which shall remoue her from her dwellynge: and to emptye her vessels, and breake her wyne pottes.
Jer.48.13	And Moab shalbe ashamed of Chamos, lyke as Israel was ashamed of Bethel, wherin she put her trust
Jer.48.14	Wherfore do ye thynke thus: we are myghtye and stronge men of warre?
Jer.48.15	Moab is destroyed, and her cyties brent vp: her chosen yonge men be slayne, sayth the kyng, whose name is the Lorde of hostes.
Jer.48.16	The destruccyon of Moab commeth on apace, and her fall is at hande.
Jer.48.17	All her neyghbours shall mourne for her, and all they that know her name shall saye, O howe happeneth it, that the stronge stafe and the goodly rodde is thus broken?
Jer.48.18	And thou daughter Dibon, come downe from thy glory, Ꟶ syt in thyrst. For he that destroyeth Moab, shall come vp to the also, and breake downe thy stronge holde.
Jer.48.19	And thou that dwellest in Aroer, get the to the strete, and loke aboute the: aske them that are fledd and escaped, and saye: what thinge is happened?
Jer.48.20	Oh, Moab is confounded and ouercome. Mourne and crye, tell it out at Arnon, that Moab is destroyed.
Jer.48.21	For iudgment shall come vpon the playne lande: Namely, vpon Holon, and Iahazah, vpon Mephaath
Jer.48.22	and Dibon, vpon Nabo and the house of Deblathaim,
Jer.48.23	vpon Cariathiarim and vpon the house Gamul, vpon the house Maon
Jer.48.24	and Carioth vpon Bozrah and all the cyties in the lande of Moab, whether they lye farre or neare.
Jer.48.25	The horne of Moab is smyten downe and her arme broken, sayth the Lorde.
Jer.48.26	Make her dronken, for she magnifyed her selfe aboue the Lorde, that men maye clappe theyr handes at her vomyte, and that she also maye be laughed to scorne.
Jer.48.27	O Israel, shalte thou not laugh him to scorne, when he is taken amonge theues. Yee, because of thy wordes that thou hast spoken agaynste hym, thou shalt be dryuen awaye.
Jer.48.28	Ye Moabites shall leaue the cyties, and dwell in rockes of stone, and become lyke doues, that make theyr nestes in holes.
Jer.48.29	As for Moabs pryde, we haue hearde of it: she is verye hye mynded. I knowe her stoutnes, her boastynge, her arogancye, and the pryde of her stomack, sayth the Lorde.
Jer.48.30	I knowe (sayeth the Lorde) her indignacyon, she doth not ryght, her wordes are lyes, and they haue not delt truly.
Jer.48.31	Therfore shal ther mourning be made for Moab, and euery man shall crye for Moabs sake: a lamentatyon shalbe made to the men that stande vpon the wall.
Jer.48.32	So will I mourne for the also, O Iazer and for the, O thou vineyarde of Sabamah. Thy vyne braunches shall come ouer the see, and the braunches of Iazer but vnto the see: the destroyer shall breake into thy haruest and grape gathering:
Jer.48.33	myrth and cheare shalbe taken awaye from the tymbre felde, and from the whole lande of Moab. There shalbe no swete wyne in the presse, the treader shall haue no stomacke to crye yee, ther shalbe none to crie vnto him:
Jer.48.34	which afore tyme were heard from Hesebon to Eleale and Iahaz, which lifted vp their voyce from zoar vnto Horonaim, that bullocke of thre yeare olde shall go mourning. The waters also of Memrim shalbe dryed vp.
Jer.48.35	Moreouer, I will make Moab cease, sayeth the Lord, from the offeringes and censing that, she hath made vnto her goddes in hie places.
Jer.48.36	Wherfore my hert mourneth for Moab, lyke a crowde playenge an heuy songe: and for the mennes sake of the brycke wall my herte mourneth also: euen as a pype that pypeth a dolefull songe: for they shalbe very feawe, and destroyed.
Jer.48.37	All heades shalbe shauen, and all beerdes clipped of: all handes bounde, and loynes girded about with sacke cloth.
Jer.48.38	Upon all the house toppes and stretes of Moab, ther shall be lamentable mourning. For I wyll breake Moab lyke an vnprofytable vessell, sayth the Lorde.
Jer.48.39	O howe is she destroyed? O howe mourneth she? O howe doeth Moab hange downe her heade, Ꟶ is ashamed? Thus shall Moab be a laughing stock: Ꟶ had in derision of all them that be rounde aboute her.
Jer.48.40	For thus sayth the Lorde. Beholde, the enemye shall come flieng as an aegle: Ꟶ sprede hys winges vpon Moab.
Jer.48.41	They shall clyme ouer the walles, Ꟶ wynne the strongholdes. Then the mighty mens hertes in Moab shalbe lyke the hert of a woman trauelyng with chylde.
Jer.48.42	And Moab shalbe made so desolate: that she shal nomore be a people, because she hath sett vp her selfe agaynst the Lorde.
Jer.48.43	Feare, pytt Ꟶ snare shall come vpon the, O Moab, sayeth the Lorde.
Jer.48.44	Whoso escapeth the feare, shall fall in the pytte: and who so getteth out of the pyt, shalbe taken in the snare. For I will bring a yeare of visitation vpon Moab, sayth the Lorde.
Jer.48.45	They that are able to flye, shall stande vnder the shadowe of Hesebon. For there shall go a fier out of Hesebon, and a flame from Sion, and shall burne vp that proude people of Moab, and the toppe of those sedityous chyldren.
Jer.48.46	Wo be vnto the, O Moab, for thou people of Chamos shalt peryshe. Yee, thy sonnes and daughters shalbe leade awaye captiue.
Jer.48.47	Yet at the laste wyll I brynge Moab out of captiuite agayne, sayeth the Lorde. Thus farre is of the plage of Moab.
Jer.49.1	As concerning the Ammonytes, thus the Lorde sayth: Hath Israel no children, or is he without an heyre? Why hath youre king then taken Gad in? Wherfore doth his people dwell in his cityes?
